Seed_Channel_Name,Discovered_Channel_Name,Discovered_Niche,Discovered_Subs,Discovered_Country,LLM_Score,Embedding_Score,Status,Tier,Method,Reason,Extra_LLM_Call,Discovered_Channel_ID,Discovered_Channel_URL
Ali Abdaal,Scott Ste Marie,Mental Health - Educational Tutorials,397000,CA,0.73,0.793,COMPETITOR,2,LLM_SCORE,LLM Score >= 0.7,False,UCciA8PsPm3Z5E5vlKEct_lg,https://www.youtube.com/@depressiontoexpression
Ali Abdaal,Headspace,Mental Health - Educational Tutorials,1020000,US,0.54,0.606,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UC3JhfsgFPLSLNEROQCdj-GQ,https://www.youtube.com/@headspace
Ali Abdaal,Michael Hoover,Beauty - Educational Tutorials,250000,Unknown,0.2,0.306,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UC0jfkb8bHxx3Y0MbSmx7QyQ,https://www.youtube.com/@michaelhoover.
Ali Abdaal,Olivia Yi,Cooking - Educational Tutorials,92900,US,0.3,0.349,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UC9Pt0is5h7BbKoqaezfL54Q,https://www.youtube.com/@oliviayi
Ali Abdaal,Quantum Project - Tharun Speaks,Competitive Exams - Educational Tutorials,506000,Unknown,0.54,0.713,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCQIV48SRYDq2SNv56zyjU2w,https://www.youtube.com/@quantumproject1
Ali Abdaal,Dr Faye Bate,Health and Wellness - Vlog,535000,GB,0.3,0.354,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCq8EwIdN0pmgs-EymfaiO5g,https://www.youtube.com/@drfayebate
Ali Abdaal,Bible Study With Myron Golden,Business - Educational Tutorials,129000,US,0.56,0.747,FILTERED,3,EMBEDDING_REJECT,"LLM 0.56 borderline, but Embedding 0.747 < 0.75",False,UCQvECB1KyzGF3g6FslFneRw,https://www.youtube.com/@biblestudywithmyrongolden
Ali Abdaal,The Fluellen Fam,Family - Vlog,6490000,US,0.2,0.403,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UC8shfFhkDOoIBq1i6l0nQcA,https://www.youtube.com/@thefluellenfam
Ali Abdaal,Zenji with Jason Stephenson and friends,Wellness - Guided Meditations,48200,AU,0.4,0.607,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UCKqP5dghQMua9l6ZfZi9V3A,https://www.youtube.com/@zenjijasonstephenson
Ali Abdaal,WWE,Wrestling - Entertainment,111000000,Unknown,0.1,0.144,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.1 < 0.55,False,UCJ5v_MCY6GNUBTO8-D3XoAg,https://www.youtube.com/@wwe
Ali Abdaal,Mel Robbins,Self-Improvement - Podcast/Interviews,4750000,US,0.63,0.795,FILTERED,3,EXTRA_LLM_VALIDATION,"The Seed channel focuses on personal growth and entrepreneurial strategies, while the Candidate channel emphasizes communication skills and mental health, indicating a mismatch in both format and niche.",True,UCk2U-Oqn7RXf-ydPqfSxG5g,https://www.youtube.com/@melrobbins
Ali Abdaal,Joma Clips,Tech Humor - Animated Skits,374000,US,0.3,0.466,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCqdwM6M5SPmuX779w-6iQTA,https://www.youtube.com/@joma_clips
Ali Abdaal,Wild Hunt Conditioning - James Pieratt,Physical Training - Educational Tutorials,302000,US,0.4,0.383,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UCTgBjdLR9VFgNsidVdBVdng,https://www.youtube.com/@wildhuntconditioning
Ali Abdaal,Proctor Gallagher Institute,Life Coaching - Educational Tutorials,2230000,US,0.67,0.784,COMPETITOR,3,EXTRA_LLM_VALIDATION,"Both channels focus on personal growth and self-improvement strategies, utilizing an educational format to provide actionable insights and coaching techniques.",True,UCh20lfVymrTPkw1nzhutatg,https://www.youtube.com/@bobproctortv
Ali Abdaal,Vookum,Luxury Watches - Vlog,286000,Unknown,0.2,0.383,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCkSjEY0XyPdPouTs_YqOoQA,https://www.youtube.com/@vookummedia
Ali Abdaal,LIFEOFDWHO,Lifestyle - Vlog,399000,US,0.66,0.778,FILTERED,3,EXTRA_LLM_VALIDATION,"The Seed channel focuses on personal growth and business strategies through educational content, while the Candidate channel centers around lifestyle vlogs and home organization, indicating a significant mismatch in both format and niche.",True,UC9rgZNX0-B7htTIo6p3jh1g,https://www.youtube.com/@lifeofdwho
Ali Abdaal,Team Fearless,Motivational Speeches - Podcast/Interviews,4250000,Unknown,0.54,0.674,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCf9_s9ii6BZ-klpgmtIi3WQ,https://www.youtube.com/@teamfearless
Ali Abdaal,The Koerner Office Business Ideas,Business - Documentary,87500,US,0.54,0.774,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCzjpCGEXR7BU-_SJSl59CGQ,https://www.youtube.com/@thekoernerofficeideas
Ali Abdaal,Vinh Giang,Communication Skills - Educational Tutorials,3980000,AU,0.54,0.445,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UC9K9Wnz6t4cLnCdTzAVrXqQ,https://www.youtube.com/@askvinh
Ali Abdaal,littlemixVEVO,Music - Official Audio/Live Performances,7540000,Unknown,0.1,0.084,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.1 < 0.55,False,UCssD3_aDYhaG44mwP53CO0w,https://www.youtube.com/@littlemixvevo
Ali Abdaal,SHOWTIME,Entertainment - Promotional Content,1270000,Unknown,0.2,0.263,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCtwMWJr2BFPkuJTnSvCESSQ,https://www.youtube.com/@showtime
Ali Abdaal,Sprouht,Personal Development - Podcast/Interviews,1160000,CA,0.54,0.787,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UC-q5vNvj81OmWK0pzaLB-kg,https://www.youtube.com/@sprouht
Ali Abdaal,FounderGyaan,Entrepreneurship - Podcast/Interviews,168000,Unknown,0.54,0.759,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCApOzd9zsTRiK-nlkF1Op2w,https://www.youtube.com/@foundergyaan
Ali Abdaal,Motivate_me,Personal Development - Documentary,217000,US,0.47,0.614,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.47 < 0.55,False,UCUIJFgCAtnQc-zgTl9oyBlw,https://www.youtube.com/@motivate_meofficial
Ali Abdaal,Wealth Rebuilds,Financial Education - Educational Tutorials,89600,US,0.55,0.726,FILTERED,3,EMBEDDING_REJECT,"LLM 0.55 borderline, but Embedding 0.726 < 0.75",False,UC7GzBBp6ojehcFJttuLHuEQ,https://www.youtube.com/@wealthrebuilds
Ali Abdaal,Dr. Tracey Marks,Mental Health - Educational Tutorials,2210000,US,0.55,0.649,FILTERED,3,EMBEDDING_REJECT,"LLM 0.55 borderline, but Embedding 0.649 < 0.75",False,UCL2QpphEeZFYwk6-WXD6hpA,https://www.youtube.com/@drtraceymarks
Ali Abdaal,Bernard Albertson,Faith and Spirituality - Vlog,1170000,US,0.3,0.571,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UC5hWk56PCwg1D11kDgtMg_w,https://www.youtube.com/@bernardalbertson
Ali Abdaal,SUCCESS Magazine,Personal Development - Educational Tutorials,121000,US,0.76,0.895,COMPETITOR,2,LLM_SCORE,LLM Score >= 0.7,False,UCbYmsrWdwNptv1sOYqnYiIA,https://www.youtube.com/@successmagazine
Ali Abdaal,Kübra Memiş,Health and Self Growth - Vlog,41300,US,0.66,0.886,FILTERED,3,EXTRA_LLM_VALIDATION,"The Seed channel focuses on educational tutorials related to personal growth and entrepreneurship, while the Candidate channel emphasizes aesthetic lifestyle content and productivity routines, indicating a mismatch in both format and niche.",True,UCcvz_NDB6U9ZkMIEvccXqdg,https://www.youtube.com/@kubriela
Ali Abdaal,struthless,Creativity - Talking-Head Analysis,1150000,AU,0.63,0.838,FILTERED,3,EXTRA_LLM_VALIDATION,"The Seed channel focuses on personal growth and business strategies through educational tutorials, while the Candidate channel emphasizes artistic inspiration and mental health, indicating a significant mismatch in both format and niche.",True,UCvcEBQ0K3UsQ8bzWKHKQmbw,https://www.youtube.com/@struthless
Ali Abdaal,motivation,Motivation - Educational Tutorials,10900,Unknown,0.56,0.859,FILTERED,3,EXTRA_LLM_VALIDATION,"The Seed channel focuses on personal growth and entrepreneurial strategies through educational tutorials, while the Candidate channel emphasizes motivation and manifestation techniques, indicating a mismatch in both format and niche.",True,UC-v9Zt0lHxexdkWlvJVIkaQ,https://www.youtube.com/@motivationlife.
Ali Abdaal,Lewis Howes,Personal Development - Podcast/Interviews,4830000,US,0.56,0.756,FILTERED,3,EXTRA_LLM_VALIDATION,"The Seed channel focuses on educational tutorials related to personal growth and entrepreneurship, while the Candidate channel primarily features podcasts and interviews, indicating a format mismatch despite some overlapping topics.",True,UCKsP3v2JeT2hWI_HzkxWiMA,https://www.youtube.com/@lewishowes
Ali Abdaal,Mia Yilin,Productivity - Vlog,290000,Unknown,0.67,0.773,FILTERED,3,EXTRA_LLM_VALIDATION,"The Seed channel focuses on personal growth and entrepreneurship, while the Candidate channel centers on college productivity and student life, leading to a format mismatch and differing niches.",True,UCYVFeFY_4-755hqdPfB2qpw,https://www.youtube.com/@miayilin
