Seed_Channel_Name,Discovered_Channel_Name,Discovered_Niche,Discovered_Subs,Discovered_Country,LLM_Score,Embedding_Score,Status,Tier,Method,Reason,Extra_LLM_Call,Discovered_Channel_ID,Discovered_Channel_URL
MagnatesMedia,RoboNuggets,AI Education - Educational Tutorials,84400,US,0.43,0.65,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.43 < 0.55,False,UCgscS8mBsQZ5sFRkJIFWD7Q,https://www.youtube.com/@robonuggets
MagnatesMedia,ABC News,News - Live Streaming Coverage,19100000,US,0.2,0.419,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCBi2mrWuNuyYy4gbM6fU18Q,https://www.youtube.com/@abcnews
MagnatesMedia,Alex Eubank,Fitness - Vlog,1330000,US,0.3,0.459,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCx1LMNir8yqk6otSBCB-AQw,https://www.youtube.com/@officialalexeubank
MagnatesMedia,The Independent,News - Commentary Analysis,1160000,GB,0.43,0.544,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.43 < 0.55,False,UCshwRhftzkiov5wKR7M_LsQ,https://www.youtube.com/@theindependent
MagnatesMedia,Join Elevate,Self-Improvement - Community Engagement,120000,Unknown,0.54,0.648,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCzPDRChgpml8aifik6JGo9Q,https://www.youtube.com/@elevatenetworkk
MagnatesMedia,Kentang Idaman,Humor - Vlog,3330000,Unknown,0.2,0.469,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCpuAWprwny1oKw24mvk9t4w,https://www.youtube.com/@kentangidaman
MagnatesMedia,CrashCourse,Education - Educational Tutorials,16700000,US,0.4,0.518,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UCX6b17PVsYBQ0ip5gyeme-Q,https://www.youtube.com/@crashcourse
MagnatesMedia,Snowflake Inc.,Business - Educational Tutorials,60300,US,0.54,0.594,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCs10x-muRrTQMJ4Ya-fmIlw,https://www.youtube.com/@snowflakeinc
MagnatesMedia,EO,Entrepreneurship - Documentary,615000,US,0.73,0.794,COMPETITOR,2,LLM_SCORE,LLM Score >= 0.7,False,UClWTCPVi-AU9TeCN6FkGARg,https://www.youtube.com/@eoglobal
MagnatesMedia,Krassimir Petrov,Financial Education - Educational Tutorials,180000,Unknown,0.47,0.61,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.47 < 0.55,False,UCL9No2CVecC_8WazyduwHaw,https://www.youtube.com/@kmpetrov
