Seed_Channel_Name,Discovered_Channel_Name,Discovered_Niche,Discovered_Subs,Discovered_Country,LLM_Score,Embedding_Score,Status,Tier,Method,Reason,Extra_LLM_Call,Discovered_Channel_ID,Discovered_Channel_URL
Vox,Real Crime,True Crime - Documentary,2050000,GB,0.3,0.34,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UC1s9576cQFdQq3QTtTxocmA,https://www.youtube.com/@realcrime
Vox,Salesforce,Business - Educational Tutorials,837000,US,0.2,0.291,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCUpquzY878NEaZm5bc7m2sQ,https://www.youtube.com/@salesforce
Vox,Astrum,Space Exploration - Documentary,2620000,GB,0.2,0.267,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UC-9b7aDP6ZN0coj9-xFnrtw,https://www.youtube.com/@astrumspace
Vox,SOSCAST w/ Adam Sosnick,Finance - Podcast/Interviews,270000,US,0.32,0.552,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.32 < 0.55,False,UC7muJQNjKAQh0n6bZdYVGKQ,https://www.youtube.com/@vtsoscast
Vox,Madhuri Desai,Cultural Lifestyle - Vlog,816000,US,0.3,0.4,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCLCS7G_8YXULfDSR5ZqB5fg,https://www.youtube.com/@thedesidesai
Vox,Sky News Australia,News - Talking-Head Analysis,5990000,AU,0.66,0.753,FILTERED,3,EXTRA_LLM_VALIDATION,"The Seed channel 'Vox' focuses on educational content related to civil rights and climate change, while the Candidate channel 'Sky News Australia' provides political commentary and news analysis, indicating a format mismatch and differing niches.",True,UCO0akufu9MOzyz3nvGIXAAw,https://www.youtube.com/@skynewsaustralia
Vox,Museum of Science,Science - Educational Tutorials,786000,US,0.3,0.449,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCeYda7MUy54yNYJya8txkJA,https://www.youtube.com/@museumofscience
Vox,Scripps News,News - Documentary,625000,US,0.76,0.749,COMPETITOR,2,LLM_SCORE,LLM Score >= 0.7,False,UCTln5ss6h6L_xNfMeujfPbg,https://www.youtube.com/@scrippsnews
Vox,Google,Tech - Educational Tutorials,13600000,Unknown,0.2,0.387,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCK8sQmJBp8GCxrOtXWBpyEA,https://www.youtube.com/@google
Vox,Bree Lenehan,Body Image and Lifestyle - Vlog,550000,AU,0.2,0.494,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCBpticuMzMTSo8hcxZcRWCA,https://www.youtube.com/@breelenehan
Vox,The Rebel Kid FP,Fan Edits - Documentary,576000,Unknown,0.3,0.379,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCZIqBGF3mwSPrvHArkD_pwA,https://www.youtube.com/@therebel-kid
Vox,The Wall Street Journal,Business - Documentary,6460000,US,0.4,0.539,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UCK7tptUDHh-RYDsdxO1-5QQ,https://www.youtube.com/@wsj
Vox,King Critical,Trans Identity - Talking-Head Analysis,31400,GB,0.4,0.541,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UCIJRVjTSOCliSddc6PbEFmg,https://www.youtube.com/@kc_streams
Vox,FlowchartKen,Business - Talking-Head Analysis,260000,US,0.2,0.568,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCILHNxSc8RjmggJcL4hUlDg,https://www.youtube.com/@flowchartkenyt
Vox,Thoughty2,Facts and Trivia - Documentary,5660000,GB,0.43,0.466,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.43 < 0.55,False,UCRlICXvO4XR4HMeEB9JjDlA,https://www.youtube.com/@thoughty2
Vox,Perkolator Press Flipbooks,Art - Educational Tutorials,254000,US,0.1,0.203,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.1 < 0.55,False,UCJchgVQ9nvqiTnQGq8G9H1A,https://www.youtube.com/@perkolatorpress
Vox,Amagansett Press,Travel - Vlog,615000,US,0.3,0.421,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCIYocUCja9Ug_XiYROeb_cw,https://www.youtube.com/@amagansettpress
Vox,National Geographic,Science and Exploration - Documentary,25300000,US,0.4,0.486,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UCpVm7bg6pXKo1Pr6k5kxG9A,https://www.youtube.com/@natgeo
Vox,Prove All Things Audits,First Amendment Auditing - Vlog,79700,US,0.43,0.582,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.43 < 0.55,False,UCO1uvVSUEv7H3m46ZleP-DA,https://www.youtube.com/@proveallthingsaudits
Vox,Handmade Heroes,Crafting - Educational Tutorials,3100000,US,0.2,0.268,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCAhQHwhb7nb14Cn_mIkq2hg,https://www.youtube.com/@handmade-heroes
