Tier,Discovered_Channel_Name,Discovered_Niche,LLM_Score,Embedding_Score,Discovered_Subs,Discovered_Country,Method,Reason
1,Mark Tilbury,Financial Education - Educational Tutorials,0.83,0.882,7100000,GB,LLM_SCORE,LLM Score >= 0.8
2,Mindvalley ,Personal Growth - Educational Tutorials,0.76,0.756,2470000,US,LLM_SCORE,LLM Score >= 0.7
2,Grammarly,Productivity - Educational Tutorials,0.76,0.72,237000,US,LLM_SCORE,LLM Score >= 0.7
2,Think Media Podcast,Content Creation - Podcast/Interviews,0.73,0.783,355000,US,LLM_SCORE,LLM Score >= 0.7
2,MemeGirls,Financial Education - Educational Tutorials,0.76,0.873,1070000,US,LLM_SCORE,LLM Score >= 0.7
2,Jade Beason,Creator Economy - Educational Tutorials,0.76,0.874,288000,GB,LLM_SCORE,LLM Score >= 0.7
2,Jason Graystone,Financial Education - Educational Tutorials,0.73,0.844,470000,GB,LLM_SCORE,LLM Score >= 0.7
2,Ben Alistor,Coaching - Educational Tutorials,0.76,0.812,153000,GB,LLM_SCORE,LLM Score >= 0.7
2,Janice Studies,Studying - Educational Tutorials,0.76,0.802,567000,CA,LLM_SCORE,LLM Score >= 0.7
2,Kenji Explains,Business - Educational Tutorials,0.73,0.453,835000,GB,LLM_SCORE,LLM Score >= 0.7
2,Devslopes,Tech Careers - Educational Tutorials,0.76,0.883,352000,US,LLM_SCORE,LLM Score >= 0.7
2,Fireship,Tech Education - Educational Tutorials,0.73,0.705,4040000,US,LLM_SCORE,LLM Score >= 0.7
1,Dr Salim Ahmed,Productivity - Educational Tutorials,0.83,0.817,174000,GB,LLM_SCORE,LLM Score >= 0.8
2,Improvement Pill,Self-Improvement - Educational Tutorials,0.76,0.743,3740000,US,LLM_SCORE,LLM Score >= 0.7
1,Ali Abdaal,Productivity - Educational Tutorials,0.93,0.87,6460000,GB,LLM_SCORE,LLM Score >= 0.8
2,TrulyBudget,Financial Education - Educational Tutorials,0.76,0.84,187000,US,LLM_SCORE,LLM Score >= 0.7
2,Mark Tilbury Backstage,Financial Education - Educational Tutorials,0.76,0.876,534000,GB,LLM_SCORE,LLM Score >= 0.7
2,"easyway, actually",Productivity - Educational Tutorials,0.76,0.807,132000,US,LLM_SCORE,LLM Score >= 0.7
2,One Percent Better,Self-Development - Educational Tutorials,0.73,0.762,713000,AU,LLM_SCORE,LLM Score >= 0.7
2,The Chens,Education - Educational Tutorials,0.76,0.77,115000,US,LLM_SCORE,LLM Score >= 0.7
2,I Will Teach You To Be Rich,Financial Education - Educational Tutorials,0.73,0.758,1000000,US,LLM_SCORE,LLM Score >= 0.7
2,Think Media,Creator Economy - Educational Tutorials,0.73,0.63,3360000,US,LLM_SCORE,LLM Score >= 0.7
2,Nischa,Financial Education - Educational Tutorials,0.76,0.884,1920000,GB,LLM_SCORE,LLM Score >= 0.7
2,Mel Robbins,Self-Improvement - Podcast/Interviews,0.73,0.742,4750000,US,LLM_SCORE,LLM Score >= 0.7
1,Jeff Su,Productivity - Educational Tutorials,0.83,0.844,1500000,US,LLM_SCORE,LLM Score >= 0.8
1,Baddie In Business,Entrepreneurship - Educational Tutorials,0.83,0.862,1570000,US,LLM_SCORE,LLM Score >= 0.8
1,Better Than Yesterday,Personal Growth - Educational Tutorials,0.83,0.841,2640000,CA,LLM_SCORE,LLM Score >= 0.8
1,Dan Martell,Entrepreneurship - Educational Tutorials,0.87,0.889,2070000,CA,LLM_SCORE,LLM Score >= 0.8
1,Dan Koe,Self-Improvement - Educational Tutorials,0.83,0.875,1170000,US,LLM_SCORE,LLM Score >= 0.8
2,Harvard Business Review,Management - Educational Tutorials,0.76,0.784,1440000,US,LLM_SCORE,LLM Score >= 0.7
2,Study To Success,Education - Educational Tutorials,0.76,0.832,2140000,US,LLM_SCORE,LLM Score >= 0.7
2,Caden Boof,Entrepreneurship - Educational Tutorials,0.76,0.814,778000,US,LLM_SCORE,LLM Score >= 0.7
2,Graham Stephan,Financial Education - Talking-Head Analysis,0.76,0.859,5120000,US,LLM_SCORE,LLM Score >= 0.7
1,Justin Sung,Learning Strategies - Educational Tutorials,0.85,0.842,1830000,NZ,LLM_SCORE,LLM Score >= 0.8
2,Koi,Self-Reliance - Educational Tutorials,0.76,0.88,1330000,US,LLM_SCORE,LLM Score >= 0.7
2,Casper Capital,Financial Education - Educational Tutorials,0.73,0.803,1670000,US,LLM_SCORE,LLM Score >= 0.7
2,Anik Singal,Entrepreneurship - Talking-Head Analysis,0.76,0.873,510000,US,LLM_SCORE,LLM Score >= 0.7
1,Myron Golden,Entrepreneurship - Educational Tutorials,0.87,0.869,1230000,US,LLM_SCORE,LLM Score >= 0.8
2,AI Foundations,AI Automation - Educational Tutorials,0.73,0.724,298000,US,LLM_SCORE,LLM Score >= 0.7
2,Launch To Wealth TV,Entrepreneurship - Educational Tutorials,0.76,0.782,641000,CA,LLM_SCORE,LLM Score >= 0.7
2,Make Money Matt,Entrepreneurship - Educational Tutorials,0.76,0.824,878000,US,LLM_SCORE,LLM Score >= 0.7
2,ModernHealthMonk,Self-Improvement - Talking-Head Analysis,0.73,0.844,430000,US,LLM_SCORE,LLM Score >= 0.7
2,Colin and Samir,Creator Economy - Podcast/Interviews,0.73,0.851,1600000,US,LLM_SCORE,LLM Score >= 0.7
