Tier,Discovered_Channel_Name,Discovered_Niche,LLM_Score,Embedding_Score,Discovered_Subs,Discovered_Country,Method,Reason
2,EO,Entrepreneurship - Documentary,0.73,0.794,615000,US,LLM_SCORE,LLM Score >= 0.7
1,Company Man,Business - Documentary,0.87,0.892,1790000,US,LLM_SCORE,LLM Score >= 0.8
2,Jon Youshaei,Creator Economy - Podcast/Interviews,0.76,0.783,646000,US,LLM_SCORE,LLM Score >= 0.7
1,Asianometry,Business - Documentary,0.82,0.827,881000,US,LLM_SCORE,LLM Score >= 0.8
2,ColdFusion,Technology History - Documentary,0.76,0.853,5110000,AU,LLM_SCORE,LLM Score >= 0.7
1,How History Works,Business - Documentary,0.87,0.889,234000,US,LLM_SCORE,LLM Score >= 0.8
2,History Meets Finance,History - Documentary,0.76,0.72,110000,CA,LLM_SCORE,LLM Score >= 0.7
2,Silicon Valley Historical Association,Technology History - Documentary,0.76,0.687,72400,US,LLM_SCORE,LLM Score >= 0.7
2,Brett Malinowski,Entrepreneurship - Talking-Head Analysis,0.73,0.854,518000,US,LLM_SCORE,LLM Score >= 0.7
1,Hook,Business Case Studies - Documentary,0.85,0.881,811000,CA,LLM_SCORE,LLM Score >= 0.8
2,How It Happened,Business - Documentary,0.73,0.856,50800,GB,LLM_SCORE,LLM Score >= 0.7
2,Big Company,Business - Documentary,0.76,0.908,426000,US,LLM_SCORE,LLM Score >= 0.7
2,Business Insider,Business - Documentary,0.76,0.805,10200000,US,LLM_SCORE,LLM Score >= 0.7
2,Simon Squibb,Entrepreneurship - Talking-Head Analysis,0.76,0.834,2050000,GB,LLM_SCORE,LLM Score >= 0.7
2,Bloomberg Originals,Business - Documentary,0.76,0.789,4830000,US,LLM_SCORE,LLM Score >= 0.7
