Seed_Channel_Name,Seed_Channel_ID,Seed_Niche,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Video_Count,Discovered_Niche,Language,LLM_Score,Embedding_Score,Discovered_Channel_Description,Discovered_Keywords,Seed_Keywords,Level,Timestamp,Discovered_Country
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,A4,UC2tsySbe9TNrI-xh2lximHA,https://www.youtube.com/@a4a4a4a4,90900000,1034,Entertainment - Vlog,ru,0.13,0.471,"Канал называется А4, почему так? Тебе нужно зайти на него, посмотреть пару видео и тогда ты поймешь в чем дело!) На канале ты сможешь найти интересного парня, который всегда расскажет тебе что-нибудь интересное, рассмешит и просто поднимет настроение. Подписывайся и становись БУМАЖНЫМ!

▶ Ссылка на МЕРЧ ВЛАДА А4 - https://a4shop.ru

▶ РЕКЛАМА, СОТРУДНИЧЕСТВО - ниже в разделе ""Дополнительно""

t.me/A4omg

ВЛАД А4, А4, A4, ВЛАД БУМАГА

ЮТУБ ВЛАДА №4839603846
","sneaking candy, funny challenges, prank videos, crazy stunts, challenge accepted, escape room, adventure challenges, prison escape, survival challenges, adventure videos, robot battles, tech challenges, gadget reviews, robot vs human, tech experiments, funny skits, comedy videos, humor sketches, funny moments, comedy shorts","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:43:30.746309,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Super Simple Songs - Kids Songs,UCLsooMJoIpl_7ux2jvdPB-Q,https://www.youtube.com/@supersimplesongs,45400000,860,Children's Education - Educational Tutorials,en,0.16,0.313,"Melodies make learning fun and simple! 🎶
With billions of views, Super Simple Songs is a trusted resource for parents and teachers around the world. Our library of nursery rhymes, original songs, and animated videos are perfect for children between the ages of 1 and 8. Each video is carefully crafted to engage young viewers and make learning new concepts such as colors, counting, animals and more both fun and simple!
Our videos are designed to be engaging and fun, helping children learn new concepts and skills while having a great time.
","nursery rhymes, children's music, kids songs, toddler songs, baby songs, learning songs, educational videos, kids learning, preschool learning, abc songs, halloween music, kids halloween, halloween songs, spooky songs, monster songs, back to school, school songs, classroom songs, school supplies song, learning supplies, sesame street songs, elmo songs, sesame street music, grover songs, big bird songs","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T21:07:26.514637,CA
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Jesser,UCQIUhhcmXsu6cN6n3y9-Pww,https://www.youtube.com/@jesser,35500000,1552,Entertainment - Vlog,en,0.13,0.465,"Subscribe?

★FOLLOW ME ON SOCIAL MEDIA★
●Twitter @Jesser
●Instagram @Jesser

Bucketsquad Apparel - https://bucketsquad.com/
Bucketsquad IG - https://www.instagram.com/bucketsquadshop/
","sports challenge, nfl player challenge, basketball challenge, rc car jump, watermelon challenge, madden gameplay, gaming with athletes, nfl gaming, sports video games, madden challenges, daily vlogs, lifestyle vlogs, behind the scenes, day in the life, vlog challenges, athlete collaborations, sports collabs, nfl player collabs, celebrity collaborations, sports influencer collabs","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T21:25:17.718238,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Hamster Kombat,UCozwejESfvl88CBBL0KgEhw,https://www.youtube.com/@hamsterkombat_official,34100000,720,Gaming - Vlog,en,0.22,0.532,"🚀 Watch every video closely to get clues that you can use later

🐹 Make your way from the shaved hamster to the grandmaster CEO of the tier-1 crypto exchange

Buy upgrades, complete quests, invite friends and become the best. And now watch me on YouTube

TG — http://t.me/hamster_kombat
PLAY — https://t.me/hamster_kOmbat_bot
X — https://x.com/hamster_kombat

📍 For cooperation please contact: pr@hamsterkombat.io
","crypto news, bitcoin updates, stablecoin news, xrp news, crypto market trends, corporate layoffs, business news, financial updates, investment news, economic trends, tech news, latest tech updates, technology trends, ai news, innovation news, court rulings, legal news, regulatory updates, financial regulations, business law news, social media updates, latest social media, platform changes, social media news, online trends","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T21:00:09.161685,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,TED,UCAuUUnT6oDeKwE6v1NGQxug,https://www.youtube.com/@ted,26800000,5338,Ideas and Innovation - Documentary,en,0.38,0.8,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com","team success, workplace productivity, organizational behavior, psychological safety, leadership skills, muscle building, aging health tips, strength training, healthy aging, fitness over 30, renewable energy, energy transition, clean energy future, sustainable energy, green technology, personal agency, meaningful life, self improvement, life motivation, personal growth, internet culture, social media impact, digital strategy, online community, viral content","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:53:36.249072,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,TED-Ed,UCsooa4yRKGN_zEE8iknghZA,https://www.youtube.com/@teded,22100000,2310,Education - Documentary,en,0.22,0.499,"TED-Ed’s mission is to create lessons worth sharing. Feed and expand your curiosity with our award-winning animated shorts - published on YouTube and available with supplemental learning materials on ed.ted.com.

Want to suggest an idea for a TED-Ed animation, nominate an educator or animator? Visit our website at: http://ed.ted.com/get_involved.

Consider backing us on Patreon. By doing so, you directly support our nonprofit mission to create free, high-quality educational content: https://www.patreon.com/teded

For more information on using TED-Ed content for commercial purposes (e.g. employee learning, in a film, or in an online course), please submit a Media Request using this link: https://media-requests.ted.com/ 
","famous ghost stories, japanese legends, historical figures, cultural myths, ancient battles, space debris, environmental issues, space exploration, earth science, wildlife behavior, poverty solutions, social impact, community aid, economic inequality, charity effectiveness, musician mindset, drumming techniques, music creativity, artistic expression, musical inspiration, vampire bats, animal survival, wildlife habits, nocturnal animals, animal cooperation","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T21:16:35.584341,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Law By Mike,UCKmmERguliWTynG9OIoDhDw,https://www.youtube.com/@lawbymike,15400000,1437,Legal Education - Educational Tutorials,en,0.28,0.307,"Educating YOU About Your Most Important Legal Rights.  

Ever wonder what the law says about the everyday situations you find yourself in? These videos break down all aspects of the law in an easy to understand, but entertaining way. 

Subscribe Now To Arm Yourself With The Legal Knowledge You Need. 

Join my free newsletter here: https://newsletter.lawbymike.com/subscribe

QUESTIONS? https://www.LawByMike.com
Brands? 📧 partners@lawbymike.com
PR:🗞: mike@otterpr.com","legal tips, law advice, legal help, know your rights, legal questions, prison escape, criminal law, police rights, justice system, crime stories, police at door, emergency tips, legal emergencies, self defense law, cop encounters, find missing pet, pet safety tips, lost pet help, pet recovery, pet search tips","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T21:14:15.195420,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Nas Daily,UCJsUvAqDzczYv2UpFmu4PcA,https://www.youtube.com/@nasdaily,14000000,1629,Entrepreneurship - Documentary,en,0.52,0.845,"Building nas.io - The Al Platform for Solopreneurs to Find Customers.
nas.io/100customers

","solar energy, renewable energy, sustainable tech, green technology, clean energy solutions, entrepreneur journey, startup stories, business success, founder story, innovative entrepreneurs, bitcoin investing, cryptocurrency tips, wealth building, financial growth, investment strategies, future of education, innovative learning, education technology, learning platforms, digital education, social change, impactful projects, community building, global initiatives, social entrepreneurship","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:28:30.546811,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,https://www.youtube.com/@thediaryofaceo,13200000,547,Entrepreneurship - Podcast/Interviews,en,0.64,0.907,"64% of our viewers don't realise they don't subscribe, please double check, thank you!!","visceral fat, women's health, perimenopause workouts, longevity tips, weight loss truth, financial mistakes, money mindset, wealth building, financial freedom, money management, achieve your goals, self improvement, memory improvement, goal setting, personal growth, entrepreneurship tips, business growth, start a business, business ideas, entrepreneur mindset, productivity tips, time management, habits and routines, life design, motivation tips","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:50:12.162772,GB
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,GOODLAND,UCsvAmubKx86Js7qxjZOol2g,https://www.youtube.com/@goodlandtv,11400000,1021,Animation - Storytelling,en,0.16,0.198,"Goodland is a fun channel where ordinary objects come to life!  Here chewing gum, toothpaste, as well as vegetables and fruits can talk and joke with each other.  And an ordinary sugar cube saves itself from impending doom, from falling into a cup of hot coffee.  As you can see, these little things lead their secret life, like ours.  They are also born and die.  But such short videos can really cheer you up even on the worst of days!  Our channel proves that from time to time you can discover a whole new world for yourself, even among the simplest items. All you need is a different look at simple things!
Smile.  Enjoy watching!","ثالثة ثانوي, مراجعة نهائية, خلاصة الخلاويص, ليالي الامتحان, محمد صلاح دروس, امتحانات ثانوية, تحضير امتحان, دروس ثانوية عامة, مراجعة امتحان, نصائح امتحان, حياة الطالب, روتين الدراسة, نصائح للطلاب, تحفيز الطلاب, حياة ثانوية, مطبخ فوضوي, فشل الطهي, فيديوهات مضحكة, فوضى المطبخ, قصص طهي","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:58:44.065885,US
