Seed_Channel_Name,Discovered_Channel_Name,Discovered_Niche,Discovered_Subs,Discovered_Country,LLM_Score,Embedding_Score
Ali Abdaal,A4,Entertainment - Vlog,90900000,US,0.13,0.471
Ali Abdaal,Super Simple Songs - Kids Songs,Children's Education - Educational Tutorials,45400000,CA,0.16,0.313
Ali Abdaal,Jesser,Entertainment - Vlog,35500000,US,0.13,0.465
Ali Abdaal,Hamster Kombat,Gaming - Vlog,34100000,US,0.22,0.532
Ali Abdaal,TED,Ideas and Innovation - Documentary,26800000,US,0.38,0.8
Ali Abdaal,TED-Ed,Education - Documentary,22100000,US,0.22,0.499
Ali Abdaal,Law By Mike,Legal Education - Educational Tutorials,15400000,US,0.28,0.307
Ali Abdaal,Nas Daily,Entrepreneurship - Documentary,14000000,US,0.52,0.845
Ali Abdaal,The Diary Of A CEO,Entrepreneurship - Podcast/Interviews,13200000,GB,0.64,0.907
Ali Abdaal,GOODLAND,Animation - Storytelling,11400000,US,0.16,0.198
Ali Abdaal,RubyandBonnie,Family Entertainment - Vlog,10000000,GB,0.1,0.409
Ali Abdaal,Jenny Hoyos,Faith and Inspiration - Vlog,9900000,US,0.22,0.602
Ali Abdaal,Mark Tilbury,Entrepreneurship - Talking-Head Analysis,7090000,GB,0.79,0.887
Ali Abdaal,Sideserf Cake Studio,Cake Art - Educational Tutorials,6920000,US,0.16,0.396
Ali Abdaal,Prince Ea,Personal Development - Spoken Word,6600000,US,0.58,0.899
Ali Abdaal,NetworkChuck,IT Education - Educational Tutorials,4920000,US,0.66,0.706
Ali Abdaal,GaryVee,Entrepreneurship - Vlog,4720000,US,0.61,0.871
Ali Abdaal,Motivation2Study,Motivation - Documentary,4600000,CA,0.46,0.801
Ali Abdaal,Ashton Hall,Self-Improvement - Vlog,4370000,US,0.28,0.71
Ali Abdaal,Hooray Kids Songs & Nursery Rhymes,Children's Entertainment - Music Videos,4170000,US,0.1,0.274
Ali Abdaal,Connor And Liana,Family & Lifestyle - Vlog,4060000,GB,0.13,0.54
Ali Abdaal,Fireship,Programming - Educational Tutorials,4030000,US,0.58,0.562
Ali Abdaal,Motiversity,Motivation - Documentary,4030000,CA,0.34,0.741
Ali Abdaal,STREET FOOD JOURNEY,Street Food - Documentary,3840000,US,0.13,0.353
Ali Abdaal,Motivation Madness,Motivation - Documentary,3820000,CA,0.34,0.793
Ali Abdaal,Alex Hormozi,Entrepreneurship - Talking-Head Analysis,3740000,US,0.85,0.923
Ali Abdaal,MotivationHub,Motivation - Documentary,3570000,CA,0.34,0.811
Ali Abdaal,Doctorly,Dermatology - Educational Tutorials,3450000,US,0.22,0.253
Ali Abdaal,Smartest Workers,Entertainment - Documentary,3420000,US,0.16,0.545
Ali Abdaal,Ben Lionel Scott,Motivation - Documentary,3390000,AU,0.52,0.75
Ali Abdaal,Think Media,Entrepreneurship - Podcast/Interviews,3360000,US,0.61,0.673
Ali Abdaal,Grant Cardone,Financial Education - Talking-Head Analysis,3030000,US,0.64,0.875
Ali Abdaal,Moggerly,Talent Showcase - Documentary,2970000,US,0.16,0.507
Ali Abdaal,The Futur,Entrepreneurship - Educational Tutorials,2730000,US,0.76,0.816
Ali Abdaal,Hank Green,Science Communication - Talking-Head Analysis,2680000,US,0.28,0.521
Ali Abdaal,Omah Lay,Music - Performances,2530000,NG,0.1,0.333
Ali Abdaal,James Jani,Various Topics - Documentary,2190000,GB,0.46,0.627
Ali Abdaal,Noodle & Pals,Children's Entertainment - Storytelling,2160000,CA,0.1,0.276
Ali Abdaal,Dan Martell,Entrepreneurship - Educational Tutorials,2070000,CA,0.91,0.93
Ali Abdaal,Simon Squibb,Entrepreneurship - Talking-Head Analysis,2050000,GB,0.61,0.9
Ali Abdaal,PrettyBored,Sports - Documentary,2010000,US,0.13,0.402
Ali Abdaal,Nischa,Financial Education - Educational Tutorials,1920000,GB,0.66,0.726
Ali Abdaal,OpenAI,Technology - Educational Tutorials,1880000,US,0.76,0.811
Ali Abdaal,Motivation Ark,Motivation - Documentary,1670000,US,0.34,0.753
Ali Abdaal,ForgeCore,DIY/Crafting - Educational Tutorials,1540000,US,0.22,0.473
Ali Abdaal,Jeff Su,Productivity - Educational Tutorials,1500000,US,0.92,0.846
Ali Abdaal,Charlie Chang,Entrepreneurship - Educational Tutorials,1380000,US,0.94,0.949
Ali Abdaal,The Ramsey Show,Financial Education - Podcast/Interviews,1100000,US,0.64,0.85
Ali Abdaal,BossUpCosmetics,Entrepreneurship - Vlog,958000,US,0.52,0.758
Ali Abdaal,Learn With Shopify,Entrepreneurship - Educational Tutorials,817000,CA,0.88,0.875
Ali Abdaal,Best Buy,Tech - Educational Tutorials,815000,US,0.34,0.423
Ali Abdaal,Monetize My Dog – Shorts Monetization Made Easy.,YouTube Monetization - Educational Tutorials,792000,US,0.61,0.773
Ali Abdaal,Caden Boof,Entrepreneurship - Educational Tutorials,778000,US,0.64,0.848
Ali Abdaal,Sheff G,Music - Music Videos,754000,US,0.1,0.359
Ali Abdaal,Liam Ottley,Entrepreneurship - Documentary,681000,NZ,0.58,0.856
Ali Abdaal,Lowly.,Music - Documentary,649000,US,0.13,0.335
Ali Abdaal,Jon Youshaei,Creator Economy - Podcast/Interviews,646000,US,0.61,0.707
Ali Abdaal,EO,Entrepreneurship - Documentary,615000,US,0.58,0.823
Ali Abdaal,PETFLIX,Animals - Documentary,610000,GB,0.13,0.269
Ali Abdaal,Futurepedia,AI Tools - Educational Tutorials,594000,US,0.76,0.775
Ali Abdaal,Stansberry Research,Financial Education - Talking-Head Analysis,576000,US,0.56,0.812
Ali Abdaal,CBC Kids,Children's Entertainment - Segments and Shows,532000,CA,0.13,0.405
Ali Abdaal,AK,Lifestyle - Vlog,510000,US,0.22,0.549
Ali Abdaal,Greg Isenberg,Entrepreneurship - Podcast/Interviews,491000,US,0.73,0.897
Ali Abdaal,SetupsAI,Creative Tools - Educational Tutorials,426000,US,0.28,0.4
Ali Abdaal,Business Motiversity,Entrepreneurship - Podcast/Interviews,416000,CA,0.64,0.915
Ali Abdaal,Rico Rixo,Entrepreneurship - Educational Tutorials,340000,US,0.61,0.785
Ali Abdaal,Stefanovic,Tech Careers - Talking-Head Analysis,327000,US,0.76,0.827
Ali Abdaal,Blind on the Move,Vision Rehabilitation - Educational Tutorials,313000,US,0.34,0.365
Ali Abdaal,TrulyBudget,Financial Education - Educational Tutorials,187000,US,0.56,0.646
Ali Abdaal,Money Making Community,Entrepreneurship - Talking-Head Analysis,140000,CA,0.76,0.924
Ali Abdaal,Trek,Luxury Travel - Documentary,109000,GB,0.13,0.47
Ali Abdaal,Billionaire Shots,Motivation - Documentary,104000,US,0.52,0.882
Ali Abdaal,10X ONLINE,Entrepreneurship - Documentary,102000,US,0.46,0.833
Ali Abdaal,Julian Sanchez,Car Detailing - Vlog,100000,US,0.13,0.633
Ali Abdaal,RapidLapse,Botany - Documentary,98200,US,0.16,0.42
Ali Abdaal,The Koerner Office Business Ideas,Entrepreneurship - Talking-Head Analysis,87000,US,0.85,0.928
Ali Abdaal,Caleb Ralston,Entrepreneurship - Documentary,58200,US,0.56,0.675
Ali Abdaal,BlackRock,Financial Education - Talking-Head Analysis,45600,US,0.38,0.523
Ali Abdaal,systemHUB,Business Systems - Educational Tutorials,40200,AU,0.76,0.825
Ali Abdaal,UpgradeMatrix,Self-Improvement - Educational Tutorials,16200,US,0.38,0.726
Ali Abdaal,Iman Gadzhi Mindset,Entrepreneurship - Talking-Head Analysis,10700,GB,0.64,0.906
