Seed_Channel_Name,Discovered_Channel_Name,Discovered_Niche,Discovered_Subs,Discovered_Country,LLM_Score,Embedding_Score,Status,Tier,Method,Reason,Extra_LLM_Call,Discovered_Channel_ID,Discovered_Channel_URL
MagnatesMedia,BusinessCringe,Corporate Culture - Talking-Head Analysis,36900,US,0.43,0.647,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.43 < 0.55,False,UCSMmWVzGjsPSqwWWbgMGFOg,https://www.youtube.com/@businesscringe
MagnatesMedia,Movieclips,Movies - Curated Clips,65300000,US,0.2,0.326,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UC3gNmTGu-TTbFPpfSs5kNkg,https://www.youtube.com/@movieclips
MagnatesMedia,CNN,News - Documentary,18800000,US,0.3,0.466,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCupvZG-5ko_eiXAupbDfxWw,https://www.youtube.com/@cnn
MagnatesMedia,Marshall Patrick,Lifestyle - Vlog,294000,Unknown,0.2,0.498,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCU3BPKCW_c1OnqatTuT8FEQ,https://www.youtube.com/@marshallpatrick
MagnatesMedia,Shop Maddie Green,Entrepreneurship - Vlog,29900,US,0.3,0.372,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCy3KEZcw8Q6ghIapYRIJ1Bw,https://www.youtube.com/@itsmaddiegreen
MagnatesMedia,Teddy Baldassarre,Watches - Educational Tutorials,1340000,US,0.3,0.415,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCLGp7H4XuzA9TLJ0L4PUx8w,https://www.youtube.com/@teddybaldassarre
MagnatesMedia,Kelly Gooch,Conscious Consumerism - Talking-Head Analysis,183000,US,0.3,0.38,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCtaVEzJD90lyxwumMzwOQzQ,https://www.youtube.com/@kellygooch
MagnatesMedia,McKinsey & Company,Business - Documentary,174000,Unknown,0.54,0.633,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCQMqUlg362Hhar_iCZ9tcjQ,https://www.youtube.com/@mckinsey
MagnatesMedia,PROTA,Tech - Documentary,45100,Unknown,0.4,0.567,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UCzhfE9Rx01Av1zrOAv4u-8w,https://www.youtube.com/@protadesigns
MagnatesMedia,Law By Mike,Legal Education - Educational Tutorials,15400000,US,0.3,0.301,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCKmmERguliWTynG9OIoDhDw,https://www.youtube.com/@lawbymike
MagnatesMedia,World According To Briggs,Geography - Documentary,1340000,US,0.4,0.276,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UCecPJBL6E1PVky1-gj6KH5g,https://www.youtube.com/@worldaccordingtobriggs
MagnatesMedia,Tom MacDonald,Music - Music Videos,5240000,US,0.3,0.271,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCElGBUWDCa05jRzc2PfmGqQ,https://www.youtube.com/@tommacdonaldofficial
MagnatesMedia,TIKhistory,History - Documentary,425000,GB,0.4,0.464,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UCfZz8F37oSJ2rtcEJHM2kCg,https://www.youtube.com/@theimperatorknight
MagnatesMedia,Rod Wave - Topic,Music - Documentary,51700,Unknown,0.4,0.391,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UChWPNW87QHcXAsw2mzlsYNw,https://www.youtube.com/channel/UChWPNW87QHcXAsw2mzlsYNw
MagnatesMedia,alpha m.,Men's Grooming - Educational Tutorials,6910000,US,0.2,0.306,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UC1KbedtKa3d5dleFR6OjQMg,https://www.youtube.com/@alpham
MagnatesMedia,fpt.,Tech - Talking-Head Analysis,572000,US,0.2,0.238,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UC8jkbVLPvztz8TuE98OYo8Q,https://www.youtube.com/@frontpagetech
MagnatesMedia,IntroBooks Education,Education - Documentary,114000,US,0.47,0.481,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.47 < 0.55,False,UCQFKQXI3EhSSWSwODomZ_aw,https://www.youtube.com/@introbookseducation
MagnatesMedia,Invicta,History - Documentary,1650000,US,0.3,0.385,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCwO-UgquohXwoe7f0e6lMnw,https://www.youtube.com/@invictahistory
MagnatesMedia,Linus Tech Tips,Consumer Technology - Educational Tutorials,16500000,CA,0.2,0.35,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCXuqSBlHAE6Xw-yeJA0Tunw,https://www.youtube.com/@linustechtips
MagnatesMedia,Bhanu Pathak,Entrepreneurship - Podcast/Interviews,428000,Unknown,0.54,0.746,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCrJwQlXyAtapNeh6z8TSrdQ,https://www.youtube.com/@bhanupathak
MagnatesMedia,Inanna Sarkis,Fitness - Vlog,3620000,US,0.2,0.431,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCR4RidHeLYLLFIgM5XycBXw,https://www.youtube.com/@inanna
MagnatesMedia,Sam O'Nella Academy,History - Documentary,4790000,Unknown,0.4,0.406,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UC1DTYW241WD64ah5BFWn4JA,https://www.youtube.com/@samonellaacademy
MagnatesMedia,TuxMotivation,Motivation - Educational Tutorials,252000,Unknown,0.4,0.576,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UC0Cs4KqCKTPQhZwFeEPaeNQ,https://www.youtube.com/@tuxmotivation
MagnatesMedia,Business To You,Business - Educational Tutorials,70300,Unknown,0.54,0.645,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCIo0eZl-Q7BOP719XRUBQlg,https://www.youtube.com/@businesstoyou
