Seed_Channel_Name,Discovered_Channel_Name,Discovered_Niche,Discovered_Subs,Discovered_Country,LLM_Score,Embedding_Score,Status,Tier,Method,Reason,Extra_LLM_Call,Discovered_Channel_ID,Discovered_Channel_URL
Moon,CNBC,Business - Documentary,4060000,Unknown,0.3,0.516,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCvJJ_dzjViJCoLf5uKUTwoA,https://www.youtube.com/@cnbc
Moon,World At Crossroads,Geopolitics - Talking-Head Analysis,29600,Unknown,0.62,0.774,FILTERED,3,EXTRA_LLM_VALIDATION,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel centers on geopolitics and global issues, indicating a significant niche mismatch despite both being educational in intent.",True,UC5bHd-MYU8XKlVD5sGFbYWQ,https://www.youtube.com/@worldatcrossroads
Moon,Principles by Ray Dalio,Financial Education - Educational Tutorials,2970000,Unknown,0.3,0.494,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCqvaXJ1K3HheTPNjH-KpwXQ,https://www.youtube.com/@principlesbyraydalio
Moon,Step Back,History - Documentary,135000,CA,0.54,0.85,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCxTdWpLJurbGlFMWOwXWG_A,https://www.youtube.com/@stepbackhistory
Moon,Speak Confident English,Language Learning - Educational Tutorials,1030000,US,0.2,0.332,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCEFLuo9AR7268-qJj1FkmSw,https://www.youtube.com/@speakconfidentenglish
Moon,BET Her,Lifestyle - Vlog,226000,US,0.2,0.389,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCoRPneJymvaGJZAFSg8vDlg,https://www.youtube.com/@bether
Moon,Noah Samsen,Geopolitics - Talking-Head Analysis,582000,US,0.54,0.765,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCAXCE0MLOSTTkkOU1HTh_IA,https://www.youtube.com/@noahsamsen
Moon,The Hill,Politics - Talking-Head Analysis,2120000,US,0.67,0.775,FILTERED,3,EXTRA_LLM_VALIDATION,"The Seed channel focuses on cultural and societal commentary, while the Candidate channel is centered on political news and analysis, resulting in a format mismatch and differing niches.",True,UCPWXiRWZ29zrxPFIQT7eHSA,https://www.youtube.com/@thehill
Moon,Elex Michaelson,Politics - Podcast/Interviews,65700,Unknown,0.54,0.805,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCrDJOS2mRFrF5ZDl9M0nF-w,https://www.youtube.com/@elexmichaelson
Moon,Cinema Therapy,Mental Health - Talking-Head Analysis,1830000,US,0.47,0.539,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.47 < 0.55,False,UCCYX4s1DCn51Hpf1peHS30Q,https://www.youtube.com/@cinematherapyshow
Moon,Unsolicited advice,Philosophy - Talking-Head Analysis,789000,GB,0.4,0.588,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UCW71hQg1kDxmFIfijA8dL0Q,https://www.youtube.com/@unsolicitedadvice9198
Moon,InformOverload,News - Talking-Head Analysis,2000000,CA,0.54,0.735,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UC-NINtNMPM75eaqh07RCy_Q,https://www.youtube.com/@informoverload
Moon,Alux.com,Luxury - Documentary,4970000,US,0.3,0.48,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCNjPtOCvMrKY5eLwr_-7eUg,https://www.youtube.com/@alux
Moon,Crime Tales,Celebrity Scandals - Documentary,53300,US,0.54,0.765,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCmV-mWs2ifYTS47dAyk0-Cw,https://www.youtube.com/@itscrimetales
Moon,Chris Williamson,Self-Improvement - Podcast/Interviews,3940000,GB,0.54,0.689,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCIaH-gZIVC432YRjNVvnyCA,https://www.youtube.com/@chriswillx
Moon,Broke Brothers,Career Exploration - Podcast/Interviews,523000,Unknown,0.3,0.359,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCvknEk1Bjmep7Ebv6QrJGSg,https://www.youtube.com/@officialbrokebrothers
Moon,The Music Recording Network,Music Production - Educational Tutorials,493000,US,0.4,0.734,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UC5TtuPafJIA-EBjDbjiUoFg,https://www.youtube.com/@themusicrecordingnetwork
Moon,Secret Society,Pop Culture - Documentary,75300,US,0.54,0.74,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UChjhftNUoG2g_ICvmtXiS8g,https://www.youtube.com/@notsecretsociety
Moon,Internet Anarchist,Internet Culture - Documentary,1810000,AU,0.54,0.667,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UC_iUeUzozCHEReJ-shKcCYA,https://www.youtube.com/@internetanarchist
Moon,Peterson Institute for International Economics,Global Economy - Educational Tutorials,34500,US,0.38,0.492,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.38 < 0.55,False,UCRnLlxwOaxeplsJ8On583Vw,https://www.youtube.com/@petersoninstitute
Moon,Tim Ventura,Science & Technology - Podcast/Interviews,24100,US,0.2,0.281,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.2 < 0.55,False,UCl1ewEFZwBOTU2I_f0XiSUA,https://www.youtube.com/@timventurainterviews
Moon,Don't Tell Comedy,Comedy - Live Events,2230000,US,0.47,0.506,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.47 < 0.55,False,UC7MgijK9WL_EqCo1juUERwg,https://www.youtube.com/@donttellcomedy
Moon,Sambucha,Lifestyle - Vlog,10800000,Unknown,0.35,0.71,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.35 < 0.55,False,UCWBWgCD4oAqT3hUeq40SCUw,https://www.youtube.com/@sambucha
Moon,GaryVee,Entrepreneurship - Vlog,4720000,US,0.3,0.5,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.3 < 0.55,False,UCctXZhXmG-kf3tlIXgVZUlw,https://www.youtube.com/@garyvee
Moon,celeb scoop,Celebrity News - Talking-Head Analysis,317000,US,0.54,0.717,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCw2BvXviJBejkyo2NQYFY-A,https://www.youtube.com/@celebscoop4
Moon,Politicon,Politics - Podcast/Interviews,389000,US,0.54,0.749,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCTFjmvpWb_gfIAFsEZqD3NQ,https://www.youtube.com/@politicon
Moon,KARE 11,News - Documentary,397000,US,0.4,0.52,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UC1JAwKeDUjN2orv5t7LWODQ,https://www.youtube.com/@kare11
Moon,Pop Culture Detective,Politics and Masculinity - Video Essays,1110000,US,0.54,0.676,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.54 < 0.55,False,UCHiwtz2tCEfS17N9A-WoSSw,https://www.youtube.com/@popculturedetective
Moon,National Review,Conservatism - Talking-Head Analysis,96600,US,0.67,0.883,FILTERED,3,EXTRA_LLM_VALIDATION,"The Seed channel focuses on societal issues and cultural commentary, while the Candidate channel centers on conservative political analysis and commentary, indicating a mismatch in both format and niche.",True,UCun4tg1BecN4PuxwZ6mL3NA,https://www.youtube.com/@nationalreview
Moon,Legacy News,Hollywood History - Documentary,78300,US,0.4,0.678,FILTERED,4,LLM_SCORE_LOW,LLM Score 0.4 < 0.55,False,UCrkWKcjFZtbZL3773cjYRTw,https://www.youtube.com/@legacynewsspotlight
