Seed_Channel_Name,Seed_Channel_ID,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Level,Timestamp,Similarity_Score,Seed_Keywords,Discovered_Keywords
Colin and Samir,UCamLstJyCa-t5gfZegxsFMw,Think Media Podcast,UCKegeYEy0lJxpkjWRthaRMw,https://www.youtube.com/@thinkmediapodcast,355000,1,2025-10-26T23:57:47.767645,0.873,"creator interviews, youtube strategy, content creation insights, platform analysis, creator economy, digital media commentary, influencer business, algorithm insights, creator education, social media trends","content creation, youtube strategy, monetization tactics, audience growth, social media marketing, online income, creator advice, video planning, digital entrepreneurship, content monetization"
Colin and Samir,UCamLstJyCa-t5gfZegxsFMw,Neil Patel,UCl-Zrl0QhF66lu1aGXaTbfw,https://www.youtube.com/@neilpatel,1500000,1,2025-10-26T23:53:44.288186,0.857,"creator interviews, youtube strategy, content creation insights, platform analysis, creator economy, digital media commentary, influencer business, algorithm insights, creator education, social media trends","ai visibility, content strategy, advertising trends, media economics, seo techniques, creator economy, dynamic ad insertion, research-driven content, schema markup, audience engagement"
Colin and Samir,UCamLstJyCa-t5gfZegxsFMw,vidIQ,UCZLFu8bHbwtnIgWLg5UtINw,https://www.youtube.com/@vidiq,2280000,1,2025-10-26T23:53:12.235133,0.836,"creator interviews, youtube strategy, content creation insights, platform analysis, creator economy, digital media commentary, influencer business, algorithm insights, creator education, social media trends","channel growth, audience engagement, content optimization, algorithm insights, video strategy, branding techniques, tag usage, emoji analysis, ai updates, live reviews"
Colin and Samir,UCamLstJyCa-t5gfZegxsFMw,Jade Beason,UCLMtjmKyB2ORHx2A06crsmQ,https://www.youtube.com/@jadebeason,287000,1,2025-10-26T23:58:19.240059,0.834,"creator interviews, youtube strategy, content creation insights, platform analysis, creator economy, digital media commentary, influencer business, algorithm insights, creator education, social media trends","social media strategy, personal branding, online business, content creation, email marketing, audience engagement, creator economy, monetization strategies, digital marketing, growth tactics"
Colin and Samir,UCamLstJyCa-t5gfZegxsFMw,Marcus Jones,UCR5k7bm0qgpP7-QX1uIx7cQ,https://www.youtube.com/@marcus-jones,425000,1,2025-10-26T23:57:13.394381,0.803,"creator interviews, youtube strategy, content creation insights, platform analysis, creator economy, digital media commentary, influencer business, algorithm insights, creator education, social media trends","youtube growth tactics, channel optimization, subscriber strategies, content creation tips, video performance, thumbnail design, algorithm insights, common mistakes, platform updates, shorts strategy"
Colin and Samir,UCamLstJyCa-t5gfZegxsFMw,George Vlasyev,UCu8_JcixaA7KrPAJLsGj_dA,https://www.youtube.com/@georgevlasyev,27000,1,2025-10-27T00:03:52.681755,0.786,"creator interviews, youtube strategy, content creation insights, platform analysis, creator economy, digital media commentary, influencer business, algorithm insights, creator education, social media trends","project management tools, software comparison, productivity strategies, marketing agency resources, project management software, youtube strategy, algorithm insights, self-belief development, automation analysis, business growth mindset"
Colin and Samir,UCamLstJyCa-t5gfZegxsFMw,Katie Steckly,UCCeXwLzVKZU7VW8qXis_UOQ,https://www.youtube.com/@katie,357000,1,2025-10-26T23:57:37.459463,0.785,"creator interviews, youtube strategy, content creation insights, platform analysis, creator economy, digital media commentary, influencer business, algorithm insights, creator education, social media trends","vlogging tutorial, influencer insights, content creation, editing techniques, income streams, algorithm updates, daily routines, video production, creator tips, online monetization"
Colin and Samir,UCamLstJyCa-t5gfZegxsFMw,State of Kait,UC0QkAdm98jOI_ZPsOc92_yg,https://www.youtube.com/@stateofkait,98800,1,2025-10-27T00:00:58.064807,0.78,"creator interviews, youtube strategy, content creation insights, platform analysis, creator economy, digital media commentary, influencer business, algorithm insights, creator education, social media trends","social media trends, beauty hacks, cultural commentary, retro aesthetics, internet controversies, reality tv critique, online bullying, problematic trends, nostalgia analysis, artistic intent"
Colin and Samir,UCamLstJyCa-t5gfZegxsFMw,Aizaz Engineer Facebook,UCbTMnZcdskwdnLC8ltmmSMw,https://www.youtube.com/@aizazengineerinstafacebook,163000,1,2025-10-26T23:59:22.903673,0.779,"creator interviews, youtube strategy, content creation insights, platform analysis, creator economy, digital media commentary, influencer business, algorithm insights, creator education, social media trends","facebook monetization, content creation, social media strategies, creator storefront, video marketing, earning methods, platform updates, monetization tools, content eligibility, creator marketplace"
Colin and Samir,UCamLstJyCa-t5gfZegxsFMw,Influencer Marketing Hub,UCiqcQq3JoD7zLYEugmfoXeg,https://www.youtube.com/@influencermarketinghub4552,42100,1,2025-10-27T00:02:59.918121,0.769,"creator interviews, youtube strategy, content creation insights, platform analysis, creator economy, digital media commentary, influencer business, algorithm insights, creator education, social media trends","influencer strategies, monetization platforms, creator tools, content monetization, social commerce, fitness monetization, podcast hosting, design outsourcing, merch selling, content creation"
