Seed_Channel_Name,Seed_Channel_ID,Seed_Niche,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Video_Count,Discovered_Niche,Discovered_Country,LLM_Score,Embedding_Score,Discovered_Channel_Description,Discovered_Keywords,Seed_Keywords,Level,Timestamp
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business - Documentary,RoboNuggets,UCgscS8mBsQZ5sFRkJIFWD7Q,https://www.youtube.com/@robonuggets,84400,507,AI Education - Educational Tutorials,US,0.43,0.65,"Jay here 👋🏻 - and the mission is to make creating with AI easy to learn & earn from, no matter your background.

Join the RoboNuggets community and get access to...
🥚 Step-by-step courses to create & automate with the latest AI models
🥚 Industry expert masterclasses to let you learn from the best in the field
🥚 $3 Million USD+ worth of discounts across 540+ AI tools
🥚 A community of 1000+ AI practitioners as passionate on this space as you

For business, check robolabs.so
","ai video automation, no code automation, automate content creation, ai influencer tools, ai character videos, video automation tools, create videos fast, video creation tips, automated video production, content creation tools, video editing automation, best ai tools 2025, ai tools for creators, ai productivity tools, how to use ai, ai for video editing, ugc content creation, video ads automation, how to create ads, marketing automation tools, video marketing strategies, productivity tips, time management tools, how to automate tasks, increase productivity, efficiency tips","company rise and fall, business empire, corporate scandal, brand failure, startup bankruptcy, company history, business documentary, cinematic documentary, company story, entrepreneur story, business breakdown, business case study, company analysis, business strategy, how companies failed, business investigation, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, openai truth",1,2025-10-30T18:31:44.084030
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business - Documentary,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,https://www.youtube.com/@abcnews,19100000,106466,News - Live Streaming Coverage,US,0.2,0.419,"ABC News is your daily source for breaking national and world news, exclusive interviews and 24/7 live streaming coverage that will help you stay up to date on the events shaping our world. https://abcnews.go.com","latest news, breaking news today, world news, current events, news updates, political news, government shutdown news, senate news, trump news, election updates, health news, healthcare updates, snap benefits, health insurance news, mental health news, hurricane news, disaster updates, natural disaster coverage, emergency news, rescue operations, celebrity interviews, celebrity news, entertainment news, celebrity updates, new movie releases","company rise and fall, business empire, corporate scandal, brand failure, startup bankruptcy, company history, business documentary, cinematic documentary, company story, entrepreneur story, business breakdown, business case study, company analysis, business strategy, how companies failed, business investigation, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, openai truth",1,2025-10-30T18:31:57.554435
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business - Documentary,Alex Eubank,UCx1LMNir8yqk6otSBCB-AQw,https://www.youtube.com/@officialalexeubank,1330000,1489,Fitness - Vlog,US,0.3,0.459,"Hey! My name is Alex Eubank and I am a lifter who creates fitness & lifestyle content focused around building my best natural physique. I love incorporating my faith into my content and I try my best to interact with you guys!! I hope you enjoy my vlogs, workouts, and Omegle videos!

https://maxed.vip/alexeubank

Follow The Insta @alex_eubank15
https://www.instagram.com/alex_eubank15

Snapchat:  @alex_eubank
","motivational speech, best motivational speech, motivational videos, inspirational speeches, motivation for success, motivational quotes, hardest workout, fitness motivation, strength training, workout challenges, gym motivation, intense workouts, daily vlogs, lifestyle videos, funny vlogs, personal stories, vlog life, vlog challenges, self improvement tips, personal growth, how to improve yourself, mindset shift, overcoming challenges, extreme fitness challenges, crazy workout challenges, dangerous gym, pushing limits, intense training","company rise and fall, business empire, corporate scandal, brand failure, startup bankruptcy, company history, business documentary, cinematic documentary, company story, entrepreneur story, business breakdown, business case study, company analysis, business strategy, how companies failed, business investigation, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, openai truth",1,2025-10-30T18:32:11.088281
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business - Documentary,The Independent,UCshwRhftzkiov5wKR7M_LsQ,https://www.youtube.com/@theindependent,1160000,37872,News - Commentary Analysis,GB,0.43,0.544,"The Independent is the world’s most free-thinking newsbrand, providing global news, commentary and analysis for the independently-minded.
","latest news, breaking news, current events, world news, news analysis, political news, hurricane news, storm damage, natural disaster footage, hurricane updates, disaster recovery, political news, trump news, political analysis, government updates, political debates, drone footage, aerial views, documentary style, visual storytelling, real life documentaries, social justice news, community issues, human rights, police news, crime reports","company rise and fall, business empire, corporate scandal, brand failure, startup bankruptcy, company history, business documentary, cinematic documentary, company story, entrepreneur story, business breakdown, business case study, company analysis, business strategy, how companies failed, business investigation, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, openai truth",1,2025-10-30T18:32:25.248855
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business - Documentary,Join Elevate,UCzPDRChgpml8aifik6JGo9Q,https://www.youtube.com/@elevatenetworkk,120000,322,Self-Improvement - Community Engagement,Unknown,0.54,0.648,"Elevate is the biggest upcoming networking community for individuals committed to self-improvement.

Inside, ambitious people come together to connect, build friendships, collaborate, and grow across all areas of life — including business, fitness, nutrition, mindset, dating, fashion, and overall personal transformation.

Members also gain access to multiple proven money-making methods — ranging from beginner-friendly strategies to more advanced approaches. However, Elevate is not a “get rich quick” scheme or course.

Our mission is to build a thriving community of high-value individuals who either specialize in - or seek to improve in — key areas of life.

At base, Elevate focuses on building meaningful connections. Members help and support eachother, offer advice, share experiences, and grow together. It’s a place where like-minded people on the path of self-improvement can push, guide, and elevate one another — step by step.

If you're reading this, We are already waiting for you.👇
","how to start a business, entrepreneur mindset, business ideas 2025, make money online, entrepreneurship tips, online business ideas, self improvement tips, mindset motivation, personal development, how to improve yourself, daily motivation, achieve your goals, financial freedom, passive income ideas, money mindset, get rich, wealth building tips, how to make money, productivity tips, time management, how to be productive, habits for success, motivation techniques, focus and productivity, networking tips, how to network, build professional connections, networking for entrepreneurs, effective networking strategies","company rise and fall, business empire, corporate scandal, brand failure, startup bankruptcy, company history, business documentary, cinematic documentary, company story, entrepreneur story, business breakdown, business case study, company analysis, business strategy, how companies failed, business investigation, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, openai truth",1,2025-10-30T18:32:41.530808
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business - Documentary,Kentang Idaman,UCpuAWprwny1oKw24mvk9t4w,https://www.youtube.com/@kentangidaman,3330000,2349,Humor - Vlog,Unknown,0.2,0.469,maaf ges kalo cerita ku absurd🥹❤️,"funny short stories, humor stories, pov stories, relatable humor, comedy skits, travel vlogs, birthday celebration, travel tips, exploring taipei, fun travel experiences, daily life struggles, funny challenges, relatable content, life hacks, quirky experiments, health tips, oral health, sore throat remedies, wellness advice, self-care tips, product reviews, best gadgets, kitchen appliances, mini washing machine, must-have products","company rise and fall, business empire, corporate scandal, brand failure, startup bankruptcy, company history, business documentary, cinematic documentary, company story, entrepreneur story, business breakdown, business case study, company analysis, business strategy, how companies failed, business investigation, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, openai truth",1,2025-10-30T18:32:55.253452
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business - Documentary,CrashCourse,UCX6b17PVsYBQ0ip5gyeme-Q,https://www.youtube.com/@crashcourse,16700000,1650,Education - Educational Tutorials,US,0.4,0.518,"At Crash Course, we believe that high-quality educational videos should be available to everyone for free! Subscribe for weekly videos from our current courses! The Crash Course team has produced more than 50 courses on a wide variety of subjects, ranging from the humanities to sciences and so much more! We also recently teamed up with Arizona State University to bring you more courses on the Study Hall channel.
","latin american literature, literature themes, literary movements, famous latin authors, literature analysis, native american history, tribal governments, indigenous rights, native civil rights, native culture, cultural identity, indigenous knowledge, cultural movements, cultural history, cultural impact, sex education, understanding consent, sexual health, kink education, masturbation facts, educational documentaries, history documentaries, documentary series, cultural documentaries, social issues documentary","company rise and fall, business empire, corporate scandal, brand failure, startup bankruptcy, company history, business documentary, cinematic documentary, company story, entrepreneur story, business breakdown, business case study, company analysis, business strategy, how companies failed, business investigation, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, openai truth",1,2025-10-30T18:33:08.872315
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business - Documentary,Snowflake Inc.,UCs10x-muRrTQMJ4Ya-fmIlw,https://www.youtube.com/@snowflakeinc,60300,1092,Business - Educational Tutorials,US,0.54,0.594,"Snowflake securely connects businesses globally across any type or scale of data to productize AI, applications, and more in the enterprise. Learn more at www.snowflake.com. Learn more at www.snowflake.com.

","ai data cloud, data analytics tools, ai for healthcare, data interoperability, ai in finance, data-driven decisions, business analytics, data visualization tools, business intelligence software, data insights, analytics for business, data strategy, healthcare data analytics, population health analytics, data in healthcare, healthcare technology, ai in healthcare, healthcare insights, marketing analytics, data-driven marketing, customer engagement tools, marketing automation, digital marketing strategy, ad tech solutions, data management solutions, data governance, cloud data storage, data integration tools, data silos, data architecture","company rise and fall, business empire, corporate scandal, brand failure, startup bankruptcy, company history, business documentary, cinematic documentary, company story, entrepreneur story, business breakdown, business case study, company analysis, business strategy, how companies failed, business investigation, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, openai truth",1,2025-10-30T18:33:24.028074
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business - Documentary,EO,UClWTCPVi-AU9TeCN6FkGARg,https://www.youtube.com/@eoglobal,615000,314,Entrepreneurship - Documentary,US,0.73,0.794,"EO Studio, a rapidly expanding global media platform, illuminates founders' journeys through exceptional storytelling. We provide next-generation builders with innovative infrastructure and a rich resource network, empowering them to transform bold ideas into reality.","startup stories, entrepreneurship tips, how to start a business, business ideas 2025, successful entrepreneurs, build a startup, ai startup, artificial intelligence business, how to use ai, ai tools for entrepreneurs, ai productivity tips, how to raise money, investor tips, funding for startups, venture capital advice, startup funding strategies, productivity hacks, how to be productive, innovation strategies, time management tips, work smarter, career advice, job interview tips, how to succeed at work, professional growth, skills for success","company rise and fall, business empire, corporate scandal, brand failure, startup bankruptcy, company history, business documentary, cinematic documentary, company story, entrepreneur story, business breakdown, business case study, company analysis, business strategy, how companies failed, business investigation, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, openai truth",1,2025-10-30T18:33:38.261321
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business - Documentary,Krassimir Petrov,UCL9No2CVecC_8WazyduwHaw,https://www.youtube.com/@kmpetrov,180000,690,Financial Education - Educational Tutorials,Unknown,0.47,0.61,,"stock market news, stock market trends, investing tips, market analysis, financial crisis, stock trading strategies, financial literacy, money management, personal finance tips, how to invest, finance for beginners, understanding economics, banking explained, bank management, international finance, money and banking, financial markets, banking system overview, macroeconomic trends, economic indicators, business cycles, inflation explained, economic policy, global economy, financial expert interview, economist interview, investment strategies interview, market expert insights, financial analyst interview","company rise and fall, business empire, corporate scandal, brand failure, startup bankruptcy, company history, business documentary, cinematic documentary, company story, entrepreneur story, business breakdown, business case study, company analysis, business strategy, how companies failed, business investigation, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, openai truth",1,2025-10-30T18:33:51.745720
