Seed_Channel_Name,Seed_Channel_ID,Seed_Keywords,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Keywords,Level,Timestamp,Similarity_Score
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",WB Kids,UC9trsD1jCTXXtN3xIOIU8gg,https://www.youtube.com/@wbkids,30200000,"cartoon clips, spooky themes, character pranks, mystery solving, halloween specials, animated shenanigans, classic cartoons, looney tunes, kid-friendly humor, adventure antics",1,2025-10-25T18:11:49.443399,0.0
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",TED,UCAuUUnT6oDeKwE6v1NGQxug,https://www.youtube.com/@ted,26800000,"creative expression, ai innovation, social linguistics, clean energy solutions, manufacturing impact, cognitive science, animal technology, health awareness, environmental conservation, artistic practice",1,2025-10-25T18:12:01.021380,0.3
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",True Crime News,UC69uYUqvx-vw4luuX7aHNLQ,https://www.youtube.com/@mytruecrimenews,5530000,"serial killer cases, missing persons, murder trials, sexual assault, domestic violence, crime analysis, tragic killings, criminal psychology, courtroom drama, investigative reporting",1,2025-10-25T18:12:13.315957,0.3
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Live Hindi,UCHs3bWyXIw_6J0ORvg97b2w,https://www.youtube.com/@live-hindi,4220000,"business case study, rise and fall, success story, brand journey, market analysis, untold story, entrepreneurial journey, product history, industry insights, consumer behavior",1,2025-10-25T18:12:24.772847,0.8
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",The Economic Times,UCJFOER35ggIWwsXh2ZDnqyg,https://www.youtube.com/@theeconomictimes,3290000,"government shutdown, military funding, immigration enforcement, diplomatic relations, federal employee aid, crime incidents, global coalition, political commentary, military support, international relations",1,2025-10-25T18:12:39.825767,0.4
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",MrBossFTW,UC0PMQXAwF6O6aeTpv962miA,https://www.youtube.com/@mrbossftw,3200000,"gta updates, game leaks, map comparisons, remastered games, gameplay analysis, trailer theories, online purchases, price discussions, teaser discoveries, weapon system",1,2025-10-25T18:12:51.703812,0.1
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",al jokes,UCupQd0e1leK4-Mj1wSfnkoQ,https://www.youtube.com/@aljokes,3040000,"comedy sketch, observational humor, social commentary, relatable scenarios, humorous anecdotes, cultural critique, everyday situations, satire, character interactions, absurdity humor",1,2025-10-25T18:13:02.221643,0.1
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Brian Wiles | Captain English,UCtxkIdWKrCjdHmc3WE9Vxbw,https://www.youtube.com/@captainenglishofficial,2850000,"english learning, accent training, language resources, common mistakes, language tests, prepositions usage, english articles, arabic learning, comprehension exercises, language mastery",1,2025-10-25T18:13:14.437345,0.1
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Financial Times,UCoUxsWakJucWg46KW5RsvPw,https://www.youtube.com/@financialtimes,1340000,"geopolitical analysis, economic trends, automation impact, climate change, interview series, industry investigations, job market insights, corporate failures, international relations, technological advancements",1,2025-10-25T18:13:25.086870,0.5
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Kenji Explains,UCkHdBeQ4DuvBXTahMYZVlMA,https://www.youtube.com/@kenjiexplains,833000,"financial modeling, excel tutorials, data cleaning, ai tools, project management, dynamic tracking, data visualization, excel functions, automation techniques, business analytics",1,2025-10-25T18:13:36.760390,0.4
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Mystery Scoop,UCr953QiwNCb3-Dsy3MSqYqA,https://www.youtube.com/@mysteryscoop,570000,"historical reimaginings, ai restoration, celebrity transformations, vintage portraits, 19th-century aesthetics, historical animation, artistic expertise, suffragette history, impressionist portraits, historical figures",1,2025-10-25T18:13:47.511831,0.4
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Serious History,UCXI2sj5kaCfMCkYcGk1m44A,https://www.youtube.com/@serioushistory,547000,"survival stories, historical battles, legendary figures, epic comebacks, military strategy, ancient conflicts, revenge narratives, unification tales, medieval history, heroic legends",1,2025-10-25T18:13:58.674613,0.4
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Hazard,UCI1-J45WXprOQQ_m9pmfW9A,https://www.youtube.com/@hazardoushdtv,507000,"gta online strategies, money-making guide, game updates, vehicle analysis, technological improvements, challenge tactics, event reminders, beginner tips, solo gameplay, update reviews",1,2025-10-25T18:14:10.039332,0.1
