Seed_Channel_Name,Seed_Channel_ID,Seed_Keywords,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Keywords,Similarity_Score,Level,Timestamp
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",WB Kids,UC9trsD1jCTXXtN3xIOIU8gg,https://www.youtube.com/@wbkids,30200000,"cartoon clips, character antics, spooky themes, prank videos, chase scenes, halloween content, mystery solving, cartoon friendships, themed compilations, classic animation",0.448,1,2025-10-25T17:52:34.636010
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",TED,UCAuUUnT6oDeKwE6v1NGQxug,https://www.youtube.com/@ted,26800000,"creative practice, ai generation, solar revolution, clean energy, brain function, animal internet, women's health, forest conservation, social media, new words",0.471,1,2025-10-25T17:52:43.817202
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,https://www.youtube.com/@aljazeeraenglish,16800000,"political tension, trade talks, oil pollution, rare earths, moral test, visa fees, youth uprising, rebuilding lives, sustainable way, election coverage",0.482,1,2025-10-25T17:52:53.161842
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",True Crime News,UC69uYUqvx-vw4luuX7aHNLQ,https://www.youtube.com/@mytruecrimenews,5530000,"serial killer, murder trial, sexual assault, missing person, podcast episode, crime analysis, fatal stabbing, custody battle, alleged killer, medical examiner",0.491,1,2025-10-25T17:53:02.349954
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Live Hindi,UCHs3bWyXIw_6J0ORvg97b2w,https://www.youtube.com/@live-hindi,4220000,"business case, success story, rise fall, untold story, brand analysis, corporate history, indian business, ai revolution, biography, company analysis",0.849,1,2025-10-25T17:53:11.861234
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",The Economic Times,UCJFOER35ggIWwsXh2ZDnqyg,https://www.youtube.com/@theeconomictimes,3290000,"geopolitics, political analysis, immigration policy, government shutdown, diplomatic relations, international affairs, political unrest, security concerns, border security, homeland security",0.508,1,2025-10-25T17:53:21.294391
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",MrBossFTW,UC0PMQXAwF6O6aeTpv962miA,https://www.youtube.com/@mrbossftw,3200000,"game speculation, grand theft auto, map comparison, release date, remastered version, online mansions, price analysis, trailer analysis, gameplay footage, game leaks",0.507,1,2025-10-25T17:53:38.311332
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",al jokes,UCupQd0e1leK4-Mj1wSfnkoQ,https://www.youtube.com/@aljokes,3040000,"comedy sketches, observational humor, social commentary, relatable situations, short form, satire, cultural critique, topical humor, character comedy, comedic rant",0.546,1,2025-10-25T17:53:48.719080
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Brian Wiles | Captain English,UCtxkIdWKrCjdHmc3WE9Vxbw,https://www.youtube.com/@captainenglishofficial,2850000,"english learning, language acquisition, accent training, grammar lessons, spoken english, language test, english mistakes, prepositions, english articles, arabic",0.372,1,2025-10-25T17:54:02.150986
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",List 25,UCWqJpFqlX59OML324QIByZA,https://www.youtube.com/@list25,2760000,"historical facts, ancient artifacts, scientific theories, mental disorders, interrogation tactics, controversial books, nature secrets, human body, strange paradoxes, hidden symbols",0.53,1,2025-10-25T17:54:19.602375
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Financial Times,UCoUxsWakJucWg46KW5RsvPw,https://www.youtube.com/@financialtimes,1340000,"geopolitics, economic analysis, business failures, climate change, industrial automation, digital assets, diplomatic relations, vertical farming, spy investigation, job market",0.711,1,2025-10-25T17:54:30.106654
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Kenji Explains,UCkHdBeQ4DuvBXTahMYZVlMA,https://www.youtube.com/@kenjiexplains,833000,"excel tutorial, financial modeling, data analysis, business finance, ai tools, excel functions, data cleaning, project management, automation guide, software demonstration",0.527,1,2025-10-25T17:54:42.393086
