Seed_Channel_Name,Seed_Channel_ID,Seed_Keywords,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Keywords,Level,Timestamp,Similarity_Score
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",TED,UCAuUUnT6oDeKwE6v1NGQxug,https://www.youtube.com/@ted,26800000,"creative expression, ai innovation, social linguistics, clean energy solutions, manufacturing impact, cognitive science, animal technology, health awareness, environmental conservation, artistic practice",1,2025-10-25T18:12:01.021380,0.3
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",True Crime News,UC69uYUqvx-vw4luuX7aHNLQ,https://www.youtube.com/@mytruecrimenews,5530000,"serial killer cases, missing persons, murder trials, sexual assault, domestic violence, crime analysis, tragic killings, criminal psychology, courtroom drama, investigative reporting",1,2025-10-25T18:12:13.315957,0.3
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Live Hindi,UCHs3bWyXIw_6J0ORvg97b2w,https://www.youtube.com/@live-hindi,4220000,"business case study, rise and fall, success story, brand journey, market analysis, untold story, entrepreneurial journey, product history, industry insights, consumer behavior",1,2025-10-25T18:12:24.772847,0.8
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",The Economic Times,UCJFOER35ggIWwsXh2ZDnqyg,https://www.youtube.com/@theeconomictimes,3290000,"government shutdown, military funding, immigration enforcement, diplomatic relations, federal employee aid, crime incidents, global coalition, political commentary, military support, international relations",1,2025-10-25T18:12:39.825767,0.4
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Financial Times,UCoUxsWakJucWg46KW5RsvPw,https://www.youtube.com/@financialtimes,1340000,"geopolitical analysis, economic trends, automation impact, climate change, interview series, industry investigations, job market insights, corporate failures, international relations, technological advancements",1,2025-10-25T18:13:25.086870,0.5
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Kenji Explains,UCkHdBeQ4DuvBXTahMYZVlMA,https://www.youtube.com/@kenjiexplains,833000,"financial modeling, excel tutorials, data cleaning, ai tools, project management, dynamic tracking, data visualization, excel functions, automation techniques, business analytics",1,2025-10-25T18:13:36.760390,0.4
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Mystery Scoop,UCr953QiwNCb3-Dsy3MSqYqA,https://www.youtube.com/@mysteryscoop,570000,"historical reimaginings, ai restoration, celebrity transformations, vintage portraits, 19th-century aesthetics, historical animation, artistic expertise, suffragette history, impressionist portraits, historical figures",1,2025-10-25T18:13:47.511831,0.4
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Serious History,UCXI2sj5kaCfMCkYcGk1m44A,https://www.youtube.com/@serioushistory,547000,"survival stories, historical battles, legendary figures, epic comebacks, military strategy, ancient conflicts, revenge narratives, unification tales, medieval history, heroic legends",1,2025-10-25T18:13:58.674613,0.4
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Business Motiversity,UCSRQ9pHE6CFqEib7rMmvgNw,https://www.youtube.com/@businessmotiversity,414000,"motivational speeches, business advice, entrepreneurial mindset, wealth building, financial success, personal development, affirmations for success, millionaire mindset, productivity strategies, morning routines",1,2025-10-25T18:14:22.021469,0.5
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Business Stories,UCkEeNJue8P7moYZm0Ptrn5A,https://www.youtube.com/@businessstoriesofficial,302000,"entrepreneur stories, brand origins, founder journeys, business success, corporate history, innovation tales, personal struggles, industry pioneers, legacy building, inspirational biographies",1,2025-10-25T18:14:34.792925,0.8
