Seed_Channel_Name,Discovered_Channel_Name,Discovered_Niche
Ali Abdaal,Varun Mayya,Entrepreneurship - Educational Tutorials
Ali Abdaal,Fk Editz,Entertainment - Shorts
Ali Abdaal,MIND MOTIVATION,Motivation - Educational Tutorials
Ali Abdaal,Slayy Point,Entertainment - Vlog
Ali Abdaal,warikoo,Entrepreneurship - Educational Tutorials
Ali Abdaal,Future Business Ideas,Entrepreneurship - Educational Tutorials
Ali Abdaal,Young Entrepreneurs Forum,Entrepreneurship - Educational Tutorials
Ali Abdaal,Kumari Funman,Comedy - Sketch
Ali Abdaal,Watch With Sam,Entertainment - Vlog
Ali Abdaal,Pari's Lifestyle,Entertainment - Vlog
Ali Abdaal,Rshe Collections,Fashion Accessories - Product Showcase
Ali Abdaal,New Business Ideas • 1.5M views • 3 hours ago,Entrepreneurship - Educational Tutorials
Ali Abdaal,Him-eesh Madaan,Mindset Coaching - Podcast/Interviews
Ali Abdaal,Also Abhinav,Entertainment - Vlog
Ali Abdaal,DecodeAI with Analytics Vidhya,AI and Data Science - Educational Tutorials
Ali Abdaal,Finance With Sharan,Financial Education - Educational Tutorials
Ali Abdaal,Wifi • Wealth,Motivation - Documentary
Ali Abdaal,ExcelAshu,Educational Tutorials - Educational Tutorials
Ali Abdaal,Pranjal Kamra,Financial Education - Educational Tutorials
Ali Abdaal,TECH-iELA Shorts,Tech Gadgets - Vlog
Ali Abdaal,Faad Technician,Tech Reviews - Unboxing
Ali Abdaal,Priyal Kukreja,Lifestyle - Vlog
Ali Abdaal,Men Quote,Self-Improvement - Educational Tutorials
Ali Abdaal,The Kurta Guy,Entertainment - Vlog
Ali Abdaal,Self Growth,Personal Development - Educational Tutorials
Ali Abdaal,Shorts To Mentor,Financial Education - Talking-Head Analysis
Ali Abdaal,Drk Talks,Creator Economy - Educational Tutorials
Ali Abdaal,Supercarboy,Motivation - Educational Tutorials
Ali Abdaal,Boss Wallah (Tamil),Entrepreneurship - Educational Tutorials
Ali Abdaal,The Awaken India,Social Awareness - Documentary
Ali Abdaal,Boosted Words,Motivation - Motivational Speeches
Ali Abdaal,Dr Danish Salim's Dr D Better Life,Health and Wellness - Educational Tutorials
Ali Abdaal,Billionaire_New,Personal Growth - Motivational Content
Ali Abdaal,ExpHub - Prashant Kirad,Education - Educational Tutorials
Ali Abdaal,Nitish Rajput Shorts,Geopolitics - Documentary
Ali Abdaal,Viplav Majumdar (Planyourworld.com),Financial Education - Educational Tutorials
Ali Abdaal,Ashutosh Pratihast,Entrepreneurship - Documentary
Ali Abdaal,Sandeep Maheshwari,Self-Improvement - Talking-Head Analysis
Ali Abdaal,SM Beautyland Studio,Beauty - Educational Tutorials
Ali Abdaal,Suresh Mansharamani: Business Coach,Entrepreneurship - Educational Tutorials
Ali Abdaal,FactTechz,Educational Content - Documentary
Ali Abdaal,Ishan Sharma,Entrepreneurship - Documentary
Ali Abdaal,Adi Connection,English Learning for Kids - Educational Tutorials
Ali Abdaal,MONEY_TALKS,Entertainment - Edits
Ali Abdaal,Manoj Dey,Tech - Educational Tutorials
Ali Abdaal,Tech Philim,Tech & AI - Educational Tutorials
Ali Abdaal,Raj Shamani,Entrepreneurship - Podcast/Interviews
Ali Abdaal,Hauterrfly,Women's Lifestyle - Podcast/Interviews
Ali Abdaal,Yash Pratap Singh,Entrepreneurship - Educational Tutorials
Ali Abdaal,Khooni Monday,Horror Stories - Documentary
Ali Abdaal,cravingsandcalories vlogs,Food and Travel - Vlog
Ali Abdaal,Facts' Mine,Facts - Documentary
Ali Abdaal,Fit beauty,Beauty - Educational Tutorials
Ali Abdaal,rjkarishma,Comedy - Documentary
Ali Abdaal,Akancha Sharma,Lifestyle - Vlog
Ali Abdaal,Sudha Tripathi 3M,Beauty and Personal Care - Educational Tutorials
Ali Abdaal,its Gully Boy,Pigeon Care - Educational Tutorials
Ali Abdaal,Dr. Vivek Bindra: Motivational Speaker,Entrepreneurship - Educational Tutorials
Ali Abdaal,Mallu Tech,YouTube Growth - Educational Tutorials
Ali Abdaal,Nikhil Kamath,Entrepreneurship - Podcast/Interviews
Ali Abdaal,Maizabeen Shaikh ,Comedy - Vlog
Ali Abdaal,Poonam P Bisht,General Lifestyle - Vlog
Ali Abdaal,Techyogesh Shorts,Productivity - Educational Tutorials
Ali Abdaal,Raw Talks With VK,Entrepreneurship - Podcast/Interviews
Ali Abdaal,Mr Techpedia,Technology - Educational Tutorials
Ali Abdaal,Dr. Tanu Jain,Philosophy - Talking-Head Analysis
Ali Abdaal,Sameeksha Sud,Education - Educational Tutorials
Ali Abdaal,TheSutraas हिन्दी,Educational - Educational Tutorials
Ali Abdaal,Rewirs,Self-Improvement - Educational Tutorials
Ali Abdaal,Think School,Business Case Studies - Documentary
Ali Abdaal,Umer Qureshi,Entrepreneurship - Talking-Head Analysis
Ali Abdaal,Hmm!,Indian Food - Vlog
Ali Abdaal,Kuldeep Singhania Shorts,Positivity - Vlog
Ali Abdaal,TechBurner Shorts,Technology - Educational Tutorials
Ali Abdaal,Shark Tank India,Entrepreneurship - Podcast/Interviews
Ali Abdaal,Boss Wallah (Telugu),Entrepreneurship - Educational Tutorials
