Channel_Name,Status,Holistic_Similarity_Score,Holistic_Competitor_Score,Holistic_Audience_Overlap,Audience_Match_Score,Embedding_Score
ColdFusion,Success,0.6,0.2,0.7,0.8,0.801
CGP Grey,Success,0.6,0.3,0.7,0.7,0.626
VICE News,Success,0.8,0.3,0.7,0.7,0.807
The Atlantic,Success,0.9,0.8,0.85,0.7,0.823
NowThis World,Success,0.8,0.7,0.85,0.7,0.637
Johnny Harris,Success,0.8,0.2,0.7,0.7,0.727
Veritasium,Success,0.5,0.1,0.6,0.6,0.69
AJ+,Success,0.8,0.7,0.85,0.6,0.682
Wired,Success,0.7,0.3,0.6,0.6,0.758
Kurzgesagt,Success,0.5,0.1,0.4,0.6,0.73
Wendover Productions,Success,0.6,0.2,0.7,0.6,0.667
RealLifeLore,Success,0.7,0.2,0.6,0.6,0.747
PolyMatter,Success,0.7,0.2,0.6,0.6,0.711
Vice,Success,0.8,0.6,0.7,0.6,0.639
TED-Ed,Success,0.5,0.2,0.6,0.6,0.585
Insider,Success,0.6,0.1,0.5,0.2,0.59
Cheddar,Success,0.6,0.2,0.4,0.2,0.615
