Seed_Channel_Name,Discovered_Channel_Name,LLM_Score,Embedding_Score
MagnatesMedia,BusinessCringe,0.43,0.647
MagnatesMedia,Movieclips,0.2,0.326
MagnatesMedia,CNN,0.3,0.466
MagnatesMedia,Marshall Patrick,0.2,0.498
MagnatesMedia,Shop Maddie Green,0.3,0.372
MagnatesMedia,Teddy Baldassarre,0.3,0.415
MagnatesMedia,Kelly Gooch,0.3,0.38
MagnatesMedia,McKinsey & Company,0.54,0.633
MagnatesMedia,PROTA,0.4,0.567
MagnatesMedia,Law By Mike,0.3,0.301
MagnatesMedia,World According To Briggs,0.4,0.276
MagnatesMedia,Tom MacDonald,0.3,0.271
MagnatesMedia,TIKhistory,0.4,0.464
MagnatesMedia,Rod Wave - Topic,0.4,0.391
MagnatesMedia,alpha m.,0.2,0.306
MagnatesMedia,fpt.,0.2,0.238
MagnatesMedia,IntroBooks Education,0.47,0.481
MagnatesMedia,Invicta,0.3,0.385
MagnatesMedia,Linus Tech Tips,0.2,0.35
MagnatesMedia,Bhanu Pathak,0.54,0.746
MagnatesMedia,Inanna Sarkis,0.2,0.431
MagnatesMedia,Sam O'Nella Academy,0.4,0.406
MagnatesMedia,TuxMotivation,0.4,0.576
MagnatesMedia,Business To You,0.54,0.645
MagnatesMedia,j aubrey,0.36,0.578
MagnatesMedia,ProjectManager,0.4,0.353
MagnatesMedia,TheFeedski,0.54,0.583
MagnatesMedia,EPM,0.54,0.619
MagnatesMedia,RISR Careers,0.32,0.492
MagnatesMedia,Social Symone ♡,0.3,0.539
MagnatesMedia,ModernGurlz,0.3,0.46
MagnatesMedia,Omar Agamy,0.38,0.496
MagnatesMedia,Jesper Lowgren,0.3,0.619
MagnatesMedia,Maizen,0.1,0.344
MagnatesMedia,MOS6510 Models,0.2,0.327
MagnatesMedia,Weird Asia.,0.43,0.502
MagnatesMedia,7 News Spotlight,0.4,0.548
MagnatesMedia,Beyond Majority,0.54,0.824
MagnatesMedia,ABC News In-depth,0.54,0.598
MagnatesMedia,FeminineLifestyleGuide,0.3,0.404
MagnatesMedia,LennyBarn,0.1,0.324
MagnatesMedia,GaryVee Video Experience,0.54,0.738
MagnatesMedia,YC Root Access,0.4,0.404
MagnatesMedia,The Problem With Jon Stewart,0.38,0.608
MagnatesMedia,The Boss Baby,0.43,0.495
MagnatesMedia,Ceric Artman,0.3,0.304
MagnatesMedia,Moon,0.36,0.599
MagnatesMedia,FutureAzA,0.3,0.366
MagnatesMedia,Treasure Sabs | Mine Your GAP,0.43,0.65
MagnatesMedia,Classic Car Documentaries,0.4,0.464
MagnatesMedia,Patrick Boyle,0.4,0.667
MagnatesMedia,The Verge,0.4,0.354
MagnatesMedia,PeriscopeFilm,0.45,0.635
MagnatesMedia,AJ+,0.4,0.338
MagnatesMedia,OfficialteejayVEVO,0.2,0.189
MagnatesMedia,Valuetainment,0.54,0.771
MagnatesMedia,Humanity,0.4,0.563
MagnatesMedia,Saravanan EVC,0.54,0.821
MagnatesMedia,Money Celebs,0.54,0.83
MagnatesMedia,Tales Of Success,0.76,0.899
MagnatesMedia,freeCodeCamp.org,0.3,0.392
MagnatesMedia,Mary Design ,0.1,0.259
MagnatesMedia,"YaBoyRocklee Show Reactions, Gaming & Reviews ",0.1,0.377
MagnatesMedia,Anik Singal,0.54,0.746
MagnatesMedia,Motivation2Study,0.4,0.447
MagnatesMedia,Global Discovery Documentary,0.38,0.396
MagnatesMedia,Financial Times,0.54,0.697
MagnatesMedia,VICE News,0.4,0.537
MagnatesMedia,The Connect: With Johnny Mitchell,0.3,0.448
MagnatesMedia,WTTW,0.4,0.458
MagnatesMedia,Little Z Gallery ,0.4,0.532
MagnatesMedia,Animated Courtroom,0.43,0.341
MagnatesMedia,Fox Business Clips,0.47,0.555
MagnatesMedia,Shery & Darren,0.2,0.387
MagnatesMedia,BoltMotivation,0.4,0.519
MagnatesMedia,Beginning To Now,0.4,0.475
MagnatesMedia,Nick930,0.2,0.407
MagnatesMedia,Escalate Capital,0.54,0.596
MagnatesMedia,SehgalNotes,0.54,0.705
MagnatesMedia,Content Marketing Institute,0.4,0.58
MagnatesMedia,Moconomy,0.67,0.64
MagnatesMedia,Cj Dachamp,0.2,0.279
MagnatesMedia,Investing Basics,0.47,0.619
MagnatesMedia,Vusi Thembekwayo,0.54,0.83
MagnatesMedia,Ordinary Things,0.54,0.762
MagnatesMedia,Sean Pan,0.47,0.675
MagnatesMedia,Dave the Lawyer,0.38,0.29
MagnatesMedia,Joey Bee,0.3,0.342
MagnatesMedia,AfroZidiac,0.4,0.384
MagnatesMedia,LADbible Stories,0.47,0.57
MagnatesMedia,Modaknits Apparel,0.3,0.454
MagnatesMedia,Forever Self Employed,0.47,0.756
MagnatesMedia,VICE,0.47,0.563
MagnatesMedia,BlackySpeakz,0.25,0.559
MagnatesMedia,Business Casual,0.76,0.915
MagnatesMedia,Mount Cashmore,0.67,0.605
MagnatesMedia,Vixella,0.1,0.239
MagnatesMedia,Mare,0.3,0.44
MagnatesMedia,Dr Karan,0.2,0.227
MagnatesMedia,Dr. Raj Ramesh,0.47,0.606
MagnatesMedia,TopTenz,0.3,0.426
MagnatesMedia,Subjectively,0.2,0.25
MagnatesMedia,Iye Tasti,0.2,0.252
MagnatesMedia,IBM,0.43,0.533
MagnatesMedia,Bloomberg News,0.43,0.533
MagnatesMedia,3T Warrior Academy ,0.47,0.514
MagnatesMedia,FOX 5 Atlanta,0.2,0.356
MagnatesMedia,Y Combinator,0.54,0.807
MagnatesMedia,Leon Hendrix,0.54,0.799
MagnatesMedia,Bello Mundo - EN,0.3,0.539
MagnatesMedia,Business Stories,0.76,0.911
MagnatesMedia,Chuck Gallagher,0.66,0.683
MagnatesMedia,Kings and Generals,0.3,0.413
MagnatesMedia,Broke Brothers,0.36,0.562
MagnatesMedia,Plainly Difficult,0.38,0.496
MagnatesMedia,Let's Get Into It,0.3,0.52
MagnatesMedia,TutorialsPoint,0.2,0.233
MagnatesMedia,Mark Rober,0.3,0.354
MagnatesMedia,Industrial Industries World Radio,0.2,0.451
MagnatesMedia,The Fashion Fable,0.4,0.552
MagnatesMedia,AngryJoeShow,0.1,0.425
MagnatesMedia,Rob Moore,0.47,0.777
MagnatesMedia,Goldman Sachs,0.47,0.808
MagnatesMedia,Second Thought,0.32,0.445
MagnatesMedia,Pastor Kevin L A Ewing,0.2,0.309
MagnatesMedia,Samuel Onuha Empire,0.54,0.793
MagnatesMedia,Toys and Colors,0.2,0.249
MagnatesMedia,Zack D. Films,0.4,0.538
MagnatesMedia,THIRD,0.76,0.895
MagnatesMedia,The Diary Of A CEO,0.47,0.535
MagnatesMedia,SkyBoi,0.2,0.344
MagnatesMedia,NowThis Impact,0.43,0.523
MagnatesMedia,Pop Capitalist,0.38,0.533
MagnatesMedia,BossUpCosmetics,0.38,0.809
MagnatesMedia,Biggie Clean,0.3,0.289
MagnatesMedia,The xNYr,0.4,0.552
MagnatesMedia,Paul Syng,0.54,0.777
MagnatesMedia,Barely Sociable,0.3,0.519
MagnatesMedia,HERLOZ DISCOVERY,0.3,0.499
MagnatesMedia,History Matters,0.3,0.482
MagnatesMedia,CXOTalk,0.54,0.592
MagnatesMedia,Vanessa Wingårdh,0.38,0.645
MagnatesMedia,GrowwGram,0.4,0.572
MagnatesMedia,Lil Tecca,0.1,0.209
MagnatesMedia,The Great War,0.4,0.392
MagnatesMedia,Who Wants To Be A Millionaire?,0.4,0.421
MagnatesMedia,BabbleTop,0.2,0.4
MagnatesMedia,MIT Corporate Relations,0.43,0.599
MagnatesMedia,Max Fosh,0.2,0.412
MagnatesMedia,Digital Transformation with Eric Kimberling,0.4,0.646
MagnatesMedia,Tim Todd,0.3,0.382
MagnatesMedia,Modern Business,0.76,0.786
MagnatesMedia,GROWWITHASHISH,0.3,0.506
MagnatesMedia,Forbes,0.54,0.805
MagnatesMedia,Love Luxury,0.3,0.432
MagnatesMedia,SAP,0.43,0.515
MagnatesMedia,Brandon Balfour,0.2,0.232
MagnatesMedia,Jake on Finance,0.54,0.828
MagnatesMedia,Investigation Discovery,0.3,0.427
MagnatesMedia,Dark manipulation,0.3,0.34
MagnatesMedia,The Entire History,0.3,0.459
MagnatesMedia,Iman Gadzhi Mindset,0.54,0.662
MagnatesMedia,Only Human,0.4,0.519
MagnatesMedia,Cleo Abram,0.4,0.239
MagnatesMedia,365 Financial Analyst,0.47,0.509
MagnatesMedia,The Amazing World of Gumball,0.1,0.25
MagnatesMedia,Shark Tank Global,0.73,0.742
MagnatesMedia,Seinfeld,0.1,0.302
MagnatesMedia,Delvett,0.76,0.908
MagnatesMedia,60 Minutes Australia,0.54,0.65
MagnatesMedia,Explorist,0.76,0.893
MagnatesMedia,List 25,0.3,0.394
MagnatesMedia,Insider,0.4,0.512
MagnatesMedia,I am MoBo,0.2,0.445
MagnatesMedia,The Game Theorists,0.3,0.464
MagnatesMedia,This Skill,0.67,0.852
MagnatesMedia,Marques Brownlee,0.3,0.441
MagnatesMedia,DarkViperAU,0.1,0.366
MagnatesMedia,MSNBC,0.4,0.532
MagnatesMedia,EntreLeadership,0.54,0.689
MagnatesMedia,Tony Robbins,0.4,0.556
MagnatesMedia,Sony AATH,0.2,0.396
MagnatesMedia,DIMM4,0.1,0.428
MagnatesMedia,The Forward,0.4,0.58
MagnatesMedia,Stansberry Research,0.47,0.578
MagnatesMedia,Fire of Learning,0.3,0.481
MagnatesMedia,Dom Dei Shorts,0.54,0.811
MagnatesMedia,Susan ,0.3,0.373
