name,subscribers_M,video_count
Jeff Nippard,7.79,597
Gohar Khan,7.16,697
Nicole Laeno,3.71,1360
Yoora Jung,2.11,163
Justin Sung,1.83,823
FundaTube,1.83,196
fayefilms,1.44,168
Breanna Quan,1.24,277
Elizabeth Filips,0.991,135
ClassXplained,0.865,179
Animate Aishu,0.724,312
Rebecca Jay,0.712,306
Boost Study Skill,0.665,1581
Productivity Game,0.646,299
WaysToStudy,0.621,125
Dia Gautam,0.465,708
Productive Peter,0.459,133
Ellen Kelley,0.406,58
Telugu Advice 2.O,0.403,270
Amy Cheah,0.371,285
emmaxolouise,0.316,245
Thomas Frank Explains,0.287,79
Sab Yang,0.26,59
Book Pedia,0.259,108
"Dr. Rachel Southard, DO",0.249,344
Sebastian Pirie,0.195,74
Productive Dude,0.132,301
Ginny,0.112,49
Shikha Sharma,0.102,383
Four Minute Books,0.0827,235
Shu Omi,0.0826,263
iCanStudy,0.0789,29
Student Notes,0.0649,505
Top Book Summary,0.0643,150
"Ahmad Shahin, MD",0.0607,29
Book Explainer,0.045,60
Bayan Med,0.0395,188
Productive Setups,0.0367,167
Himanshi's World! ,0.0341,201
"Kilonotes: Digital Study Notes, Planner, & Journal",0.03,780
study with notes 📖,0.0271,290
Doddie,0.0244,31
The Organized Notebook,0.0207,413
SchoolHabits,0.0193,114
The Productivity Psychologist,0.0147,104
Study Motivation,0.011,51
