name,subscribers_M,video_count
TED-Ed,22.1,2310
AsapSCIENCE,10.8,535
Jeff Nippard,7.79,597
Apna College,7.22,975
Gohar Khan,7.16,697
warikoo,6.66,2080
Motivation2Study,4.6,816
SeeKen,4.45,765
Readers Books Club,3.26,1339
Thomas Frank,3.01,281
Sprouts,1.9,221
Jim Kwik,1.87,1138
Justin Sung,1.83,823
FundaTube,1.83,196
Med School Insiders,1.79,441
Dr. Anuj Pachhel,1.66,369
Jeff Su,1.5,284
HappyDownloads,1.46,613
Pierre Dalati,1.44,1139
fayefilms,1.44,168
Koi,1.33,586
linh truong,1.27,198
Zeliha Akpinar,1.22,60
studytee,1.17,56
Kharma Medic,1.16,281
GeeksforGeeks,1.14,3816
watchwellcast,0.986,147
Life Of Riza,0.931,64
The Book Show,0.773,912
Collin The Chad,0.727,47
Rebecca Jay,0.712,306
Elise Pham,0.656,546
Productivity Game,0.646,299
Sourabh NEET,0.525,1265
Zach Highley,0.519,178
RESPIRE,0.497,107
Book Insider,0.445,519
The Angry Explainer,0.43,104
Be Creative & Artistic,0.408,398
jspark,0.382,197
Tiago Forte,0.368,189
Samuel Suresh,0.343,63
Mr Android FHD,0.293,763
Mia Yilin,0.289,163
Thomas Frank Explains,0.287,79
Sab Yang,0.26,59
SpoonFedStudy,0.233,76
Sankho kun,0.213,176
Better Creating,0.211,333
Noah Sioly,0.199,354
Sebastian Pirie,0.195,74
Flourish Planner,0.175,364
Dr Salim Ahmed,0.174,73
Enrico Vincente,0.157,1037
Prithwiraj Ghosh,0.143,578
"easyway, actually",0.131,30
"Benjamin Keep, PhD, JD",0.129,109
Ginny,0.112,49
Easlo,0.1,317
Upgraded Mentality,0.0983,151
Successful By Design,0.0955,52
Tiny Medicine,0.0843,80
Studytea,0.0841,216
Audio Books Arc,0.0834,282
Shu Omi,0.0826,263
Wesley Anna,0.0805,154
Kyla Nicole,0.0756,46
Blunt Motivation,0.061,16
"Evolving Medic, MD",0.0566,297
Be Productive,0.0537,803
Studywithemmane,0.0534,405
The Kitab Official,0.0493,469
Charlene Hao,0.0412,250
Empower ,0.0395,9
Productive Setups,0.0367,167
Book Summary LAB,0.0287,71
Doddie,0.0244,31
The Product Review,0.0238,251
Davey Gravy,0.0203,451
Milktea Emma,0.0191,172
TingTing,0.0133,95
Jennifer | ADHD systems,0.0127,544
