name,subscribers_M,video_count
Vlad and Niki,146.0,959
A4,90.9,1034
Priyal Kukreja,45.5,1499
Super Simple Songs - Kids Songs,45.4,860
BRIGHT SIDE,44.7,10623
TEDx Talks,43.8,246172
JustinBieberVEVO,31.2,223
Vania Mania Kids,30.9,1620
Dhruv Rathee,30.2,706
Sandeep Maheshwari,28.5,652
WORLDSTARHIPHOP,27.6,7347
GMA Public Affairs,27.4,92237
Tibo InShape,26.9,6162
TED,26.8,5338
Dhar Mann Studios,26.2,1738
MSA previously My Story Animated,25.5,974
Kurzgesagt – In a Nutshell,24.7,316
Zack D. Films,24.1,2467
TED-Ed,22.1,2310
Mrwhosetheboss,21.8,1852
Dr. Vivek Bindra: Motivational Speaker,21.2,2663
TheOdd1sOut,20.6,185
Marques Brownlee,20.5,1776
FactTechz,20.5,1684
itsmeissie,18.9,1882
The Dodo,17.8,12783
50 Cent,17.8,427
Law By Mike,15.4,1437
Kuldeep Singhania Shorts,15.4,1543
Crafts people,14.6,15139
Nas Daily,14.0,1629
Pari's Lifestyle,13.8,869
The Diary Of A CEO,13.2,547
Raj Shamani,13.0,2079
YouTube Viewers,12.7,164
SONU SHARMA,12.7,511
Sadhguru,12.5,4532
KEEMOKAZI,12.2,2037
Speed McQueen,11.2,5059
Sambucha,10.8,3510
Ranveer Allahbadia,10.7,5406
ExpHub - Prashant Kirad,10.5,369
Business Insider,10.2,7454
RubyandBonnie,10.0,749
Jenny Hoyos,9.9,437
TECH-iELA Shorts,9.73,734
Swara Singh,9.57,841
YouTube Creators,9.46,612
BuzzFeed Multiplayer,9.41,1879
Be Inspired,9.23,381
MrMiko 2.0,9.2,261
farmya,8.43,3635
rjkarishma,8.43,322
Thewizardliz,8.34,120
Him-eesh Madaan,8.25,1259
Denitslava Makeup,8.17,503
Natalies Outlet,8.09,1314
growingannanas,7.81,1164
L I S A creation,7.79,278
littlemixVEVO,7.54,283
Samsung,7.49,2363
Jeremy Ethier,7.37,317
Apna College,7.22,975
Andrew Huberman,7.19,414
Gohar Khan,7.16,697
Mark Tilbury,7.09,286
Valuetainment,7.05,10147
Sideserf Cake Studio,6.92,881
CA Rahul Malodia,6.83,1231
warikoo,6.66,2080
Abhi and Niyu,6.62,1017
Prince Ea,6.6,340
Pranjal Kamra,6.45,354
Exphub 9th &10th,6.45,279
Khooni Monday,6.15,732
Fit beauty,6.06,337
