Seed_Channel_Name,Discovered_Channel_Name,Discovered_Niche
Ali Abdaal,Varun Mayya,Entrepreneurship - Educational Tutorials
Ali Abdaal,Inspire Greatness,Entrepreneurship - Talking-Head Analysis
Ali Abdaal,MotivationHub,Motivation - Documentary
Ali Abdaal,The Koerner Office Business Ideas,Entrepreneurship - Talking-Head Analysis
Ali Abdaal,PETFLIX,Animals - Documentary
Ali Abdaal,Fk Editz,Entertainment - Shorts
Ali Abdaal,MIND MOTIVATION,Motivation - Educational Tutorials
Ali Abdaal,Slayy Point,Entertainment - Vlog
Ali Abdaal,Futurepedia,AI Tools - Educational Tutorials
Ali Abdaal,Caleb Ralston,Entrepreneurship - Documentary
Ali Abdaal,Business Motiversity,Entrepreneurship - Podcast/Interviews
Ali Abdaal,Inspire Weekly,Self-Improvement - Motivational Speech
Ali Abdaal,TEDx Talks,Ideas - Documentary
Ali Abdaal,Billionaire Shots,Motivation - Documentary
Ali Abdaal,Trek,Luxury Travel - Documentary
Ali Abdaal,warikoo,Entrepreneurship - Educational Tutorials
Ali Abdaal,AI Robot Lab,AI and Robotics - Documentary
Ali Abdaal,Nas Daily,Entrepreneurship - Documentary
Ali Abdaal,OpenAI,Technology - Educational Tutorials
Ali Abdaal,BRIGHT SIDE,General Knowledge - Documentary
Ali Abdaal,Future Business Ideas,Entrepreneurship - Educational Tutorials
Ali Abdaal,PowerThoughts Meditation Club,Meditation - Educational Tutorials
Ali Abdaal,Victory Venture,Motivational Quotes - Talking-Head Analysis
Ali Abdaal,selfspeed-1,Self-Improvement - Documentary
Ali Abdaal,Young Entrepreneurs Forum,Entrepreneurship - Educational Tutorials
Ali Abdaal,Kumari Funman,Comedy - Sketch
Ali Abdaal,Watch With Sam,Entertainment - Vlog
Ali Abdaal,Pari's Lifestyle,Entertainment - Vlog
Ali Abdaal,Rshe Collections,Fashion Accessories - Product Showcase
Ali Abdaal,Stansberry Research,Financial Education - Talking-Head Analysis
Ali Abdaal,New Business Ideas • 1.5M views • 3 hours ago,Entrepreneurship - Educational Tutorials
