name,subscribers_M,video_count
Dhruv Rathee,30.2,706
Professor Of How,14.5,392
Business Insider,10.2,7454
Nitish Rajput,7.85,105
DW Documentary,6.25,1493
Candace Owens,5.48,1509
ColdFusion,5.11,543
Bloomberg Originals,4.82,49280
Think School,4.76,799
Bollywood Silver Screen,4.61,1434
Wendigoon,4.47,178
Kings and Generals,4.03,1851
Internet Historian,3.99,47
The WillPower Star,2.62,86
SR PAY,2.13,201
MagnatesMedia,1.83,274
Company Man,1.79,448
Shivanshu Agrawal,1.76,317
Bright Sun Films,1.6,257
Black Rifle Coffee Company,1.37,828
Financial Times,1.35,10936
History Time,1.3,160
Mighty Monk,1.28,280
War Stories,1.2,783
Business Casual,1.16,91
Odyssey - Ancient History Documentaries,0.989,491
Chronicle - Medieval History Documentaries,0.84,405
Logically Answered,0.834,1103
Hook,0.811,92
FINAiUS,0.724,56
Real Time History,0.607,62
American Experience | PBS,0.485,1131
Real History,0.461,678
RAVA Documentary Films,0.356,387
The DoCumentary,0.245,146
Business Movie,0.232,31
Jason Carman,0.171,264
The Global Stories,0.166,87
The Movie Fabric,0.162,234
DOCUMENTARY INDUSTRIES,0.105,16
DocuReal,0.104,317
Autentic Documentary,0.0822,441
Post Office Horizon IT Inquiry,0.0587,429
The Madras Documentary Company,0.0289,172
Park Stories,0.0248,12
