name,subscribers_M,video_count
Dhruv Rathee,30.2,706
Rotten Tomatoes Trailers,16.0,12613
The Infographics Show,15.3,5843
Vox,12.7,1891
Still Watching Netflix,10.3,10182
Business Insider,10.2,7454
Big Think,8.35,9715
CA Rahul Malodia,6.83,1231
DW Documentary,6.25,1493
Labour Law Advisor,5.38,1906
ColdFusion,5.11,543
Bloomberg Originals,4.82,49280
Think School,4.76,799
Brut India,4.62,8975
CNBC-TV18,4.41,220149
Priya Jain,4.31,626
Live Hindi,4.22,802
Rotten Tomatoes Coming Soon,4.09,25427
CNBC,4.06,15763
Kings and Generals,4.03,1851
Think Media,3.36,2806
Henry Belcaster,3.34,907
FRONTLINE PBS | Official,3.21,1177
The Futur,2.73,2181
FinnovationZ by Prasad,2.64,1591
The WillPower Star,2.62,86
OxfordUnion,2.36,3097
Forbes,2.01,9437
Abhishek Kar,1.98,1142
Jake Tran,1.86,516
CNBC Make It,1.85,2957
Company Man,1.79,448
Shivanshu Agrawal,1.76,317
Apple Explained,1.54,531
Prabhjot Speaks,1.47,772
CNBC International,1.41,3001
ENDEVR,1.35,544
Moconomy,1.25,609
Mangesh Shinde Shorts,1.2,732
Business Casual,1.16,91
The Plain Bagel,1.1,257
Live Hindi Facts,0.974,390
Nishant Mehta,0.919,790
GaryVee Video Experience,0.826,3705
Sony Pictures Television,0.784,1832
FINAiUS,0.724,56
Our Future,0.585,1049
Startup Stories,0.55,139
The BarberShop with Shantanu,0.436,1201
Big Company,0.426,16
Brez,0.394,95
Rajiv Talreja,0.368,1028
Wall Street Millennial,0.345,869
Inspire Yourself,0.305,169
The Financial Controller,0.304,246
Business Stories,0.302,133
TheFilmyCut,0.293,129
Hrithik Mehlawat,0.289,464
Investing Basics,0.277,1366
EMPOWORDS,0.262,560
Explorist,0.245,7
One Minute Economics,0.228,433
Mr. Will Roundtree,0.225,2007
BLASTERTECHNOLOGY,0.218,154
The Global Stories,0.166,87
Michael Girdley,0.159,322
Pradeep Speaks,0.158,361
FD Finance,0.15,171
Exotic Mind ,0.106,462
Marketing by Vijay,0.095,204
Green Portfolio,0.0929,503
Auto Bulletin ,0.0807,303
Positive Revolution,0.0714,202
Crayon Capital,0.0644,10
Life As Kiki ,0.0616,139
CA Tushar Makkar,0.0535,673
How It Happened,0.0508,320
Represent Clo,0.0496,585
Bhavin J. Shah: Life & Business Coach,0.039,793
Content Marketing Institute,0.0356,1259
InfoSpark,0.0317,598
Money Minutes,0.03,52
Jason Hassett,0.0259,32
Gulshan Geeks,0.0227,24
Constance Carter,0.0181,1627
OOOnce,0.0133,37
Phantom Pictures™,0.0127,29
Nextunomic,0.0111,22
