Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count
Philip DeFranco,6610000,0.7685548,0.61,0.1532877832651138,2430
Patrick Cc:,2350000,0.7399408,0.779,0.1645677238702774,459
j aubrey,1290000,0.7316121,0.689,0.1651972234249115,100
Casey Aonso,651000,0.70757455,0.633,0.159710094332695,197
The Movie Cynic,216000,0.7066378,0.636,0.159387469291687,112
ColdFusion,5110000,0.705099,0.662,0.1391682475805282,543
Cruel World Happy Mind,657000,0.6978277,0.665,0.1680564135313034,129
SWOOP,944000,0.69516236,0.583,0.1680856794118881,184
The Iced Coffee Hour,1470000,0.6873147,0.574,0.1431731134653091,1304
Coffeezilla,4340000,0.6867426,0.574,0.1276119202375412,534
Henry Belcaster,3340000,0.6855116,0.649,0.1198932379484176,911
Alex O'Connor,1730000,0.6793344,0.384,0.0863297507166862,556
oompaville,5850000,0.674402,0.66,0.1421997100114822,1197
FunkyFrogBait,2880000,0.66922927,0.61,0.1157566830515861,186
Ashley Norton,244000,0.66918194,0.713,0.1604493409395218,64
Joma Tech,2350000,0.668986,0.459,0.0969079062342643,89
tiffanyferg,829000,0.6666559,0.52,0.1278416961431503,284
Sydney Watson,1110000,0.6643543,0.644,0.1162108853459358,223
It's Blanko,1620000,0.6631837,0.763,0.1733447313308715,859
Blaire White,1540000,0.65989727,0.592,0.1343024373054504,467
All-In Podcast,955000,0.6584059,0.567,0.1342782229185104,735
Wall Street Millennial,346000,0.6464417,0.598,0.1253836005926132,870
Cam Kirkham Reacts,373000,0.64623696,0.71,0.1328794211149215,468
BlackWolfCompany,120000,0.64498144,0.628,0.1525280773639679,30
Kidology,333000,0.6432936,0.57,0.1207100301980972,215
King Exbee,10500,0.6417655,0.67,0.1421792209148407,60
Nas Daily,14000000,0.64151555,0.475,0.09598870575428,1629
10g Colin,61100,0.6395238,0.519,0.1220101341605186,278
State of Kait,98800,0.63689256,0.626,0.148158997297287,569
Internet Anarchist,1810000,0.6346824,0.721,0.1548738926649093,210
SunnyV2,4440000,0.63432026,0.734,0.1522058099508285,267
Deep Dive,612000,0.6283723,0.551,0.1360140442848205,81
Edvasian,1070000,0.6253645,0.622,0.1107364296913147,480
Mujin,604000,0.6248754,0.585,0.1552871465682983,152
JAMARI,1390000,0.62136877,0.679,0.1456601768732071,1145
Matthew Cox | Inside True Crime,803000,0.6203749,0.541,0.1324705332517624,2329
Rotten Mango,5940000,0.61782336,0.475,0.1134442389011383,425
Gal,166000,0.6148875,0.576,0.1464923322200775,39
FoxAkimbo,194000,0.6145553,0.601,0.1561191827058792,237
Anik Singal,510000,0.6123176,0.446,0.101333849132061,1285
Turkey Tom,1560000,0.6113311,0.716,0.1454190462827682,266
Danny Rayes,1790000,0.6104505,0.665,0.1480017900466919,2349
Vox,12700000,0.6084504,0.498,0.1053199768066406,1894
fantano,2030000,0.60516584,0.535,0.1108637750148773,1996
kate cassidy,30000,0.6028323,0.556,0.1221214309334755,60
Ouachita Mountain Living ,69700,0.60199946,0.556,0.1085156127810478,363
Fosterfy,53800,0.60086554,0.511,0.1204926222562789,1271
Tinysey,61800,0.59684527,0.572,0.1205704733729362,74
Graham Stephan,5120000,0.59444463,0.503,0.1215776428580284,1341
How It Happened,50800,0.59335315,0.562,0.0984947308897972,320
More Perfect Union,2260000,0.5839707,0.628,0.117721289396286,1543
Visual Venture,1350000,0.58385,0.659,0.1557848155498504,120
Nathan,486000,0.5810197,0.51,0.1150626242160797,870
Fleshcore AI,56100,0.58007705,0.382,0.1043749526143074,548
Mina Le,1740000,0.57963705,0.585,0.1224045678973198,149
Chris Portal,26000,0.57938075,0.497,0.1164213642477989,51
Celebified,17000,0.5788299,0.683,0.1415472030639648,621
Misha Petrov,521000,0.57723105,0.704,0.1375220417976379,832
iNabber,1100000,0.573048,0.615,0.1528230309486389,450
PyroLIVE,1140000,0.56946856,0.556,0.1062593162059784,1313
Blooms,576000,0.56839603,0.577,0.1745706647634506,82
First Things THRST,257000,0.56718636,0.5,0.0975772365927696,837
BBC Global,702000,0.5653325,0.566,0.1160032153129577,703
Real Stories,6630000,0.564886,0.621,0.1292440295219421,1220
The Will Spencer Podcast,12600,0.56257665,0.614,0.1150341182947158,465
Neil Patel,1500000,0.55997276,0.419,0.0985487923026084,2198
Hamish Hodder,282000,0.5598934,0.591,0.1448720395565033,560
Kiki Chanel,888000,0.5585817,0.587,0.1379427015781402,476
Investing Basics,277000,0.5575684,0.559,0.1566585004329681,1366
Knowledge at Wharton,75200,0.5565685,0.481,0.0916332453489303,1141
Coding with Lewis,714000,0.55605316,0.393,0.0656897872686386,723
Learn Liberty,298000,0.5535572,0.57,0.1134506464004516,991
BJ Investigates,319000,0.5529269,0.574,0.12187360227108,208
Mark Tilbury,7110000,0.54828554,0.428,0.0944249108433723,288
Liam Donovan,178000,0.5476874,0.583,0.1398373693227768,79
CircleToonsHD,3590000,0.54477084,0.514,0.096251256763935,477
TLDR News Global,1050000,0.54211485,0.443,0.097752459347248,981
Jaydone History,170000,0.54182804,0.565,0.1590812057256698,122
The Critical Drinker,2380000,0.54082775,0.568,0.1248631551861763,626
ButterFaces,156000,0.5404819,0.493,0.140892818570137,684
The Plain Bagel,1100000,0.5385616,0.426,0.103056788444519,257
Have You Met Thomas,68300,0.53682625,0.421,0.1147068217396736,37
Matteo Turi,42600,0.53406847,0.5,0.1085261031985282,240
Salesforce Ben,66800,0.5331795,0.327,0.0742791593074798,666
Pop Culture Brain,168000,0.5288011,0.624,0.1409979909658432,2293
Hugo Henderson,90800,0.5285624,0.517,0.1435993909835815,214
Noah Kagan,1180000,0.5280235,0.332,0.0846760123968124,564
Clara Dao,4100000,0.52751803,0.352,0.0694785788655281,1053
Patty Pop Culture,216000,0.5271121,0.59,0.1419486254453659,675
mattyballz,474000,0.52419186,0.646,0.14202381670475,370
MicroConf,110000,0.5235102,0.31,0.0611384660005569,529
