Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
Philip DeFranco,6610000,0.7685548,0.61,0.1532877832651138,2430,https://www.youtube.com/@philipdefranco
Patrick Cc:,2350000,0.7399408,0.779,0.1645677238702774,459,https://www.youtube.com/@patrickcc
j aubrey,1290000,0.7316121,0.689,0.1651972234249115,100,https://www.youtube.com/@jaubrey
Casey Aonso,651000,0.70757455,0.633,0.159710094332695,197,https://www.youtube.com/@caseyaonso4270
The Movie Cynic,216000,0.7066378,0.636,0.159387469291687,112,https://www.youtube.com/@themoviecynic
ColdFusion,5110000,0.705099,0.662,0.1391682475805282,543,https://www.youtube.com/@coldfusion
Cruel World Happy Mind,657000,0.6978277,0.665,0.1680564135313034,129,https://www.youtube.com/@cruelworldhappymind
SWOOP,944000,0.69516236,0.583,0.1680856794118881,184,https://www.youtube.com/@pettyuniversity
The Iced Coffee Hour,1470000,0.6873147,0.574,0.1431731134653091,1304,https://www.youtube.com/@theicedcoffeehour
Coffeezilla,4340000,0.6867426,0.574,0.1276119202375412,534,https://www.youtube.com/@coffeezilla
Henry Belcaster,3340000,0.6855116,0.649,0.1198932379484176,911,https://www.youtube.com/@henrybelcaster
Alex O'Connor,1730000,0.6793344,0.384,0.0863297507166862,556,https://www.youtube.com/@cosmicskeptic
oompaville,5850000,0.674402,0.66,0.1421997100114822,1197,https://www.youtube.com/@oompaville
FunkyFrogBait,2880000,0.66922927,0.61,0.1157566830515861,186,https://www.youtube.com/@funkyfrogbait
Ashley Norton,244000,0.66918194,0.713,0.1604493409395218,64,https://www.youtube.com/@ashleynorton
Joma Tech,2350000,0.668986,0.459,0.0969079062342643,89,https://www.youtube.com/@jomakaze
tiffanyferg,829000,0.6666559,0.52,0.1278416961431503,284,https://www.youtube.com/@tiffanyferg
Sydney Watson,1110000,0.6643543,0.644,0.1162108853459358,223,https://www.youtube.com/@sydneywatson
It's Blanko,1620000,0.6631837,0.763,0.1733447313308715,859,https://www.youtube.com/@its.blanko
Blaire White,1540000,0.65989727,0.592,0.1343024373054504,467,https://www.youtube.com/@blairewhitex
All-In Podcast,955000,0.6584059,0.567,0.1342782229185104,735,https://www.youtube.com/@allin
Wall Street Millennial,346000,0.6464417,0.598,0.1253836005926132,870,https://www.youtube.com/@wallstreetmillennial
Cam Kirkham Reacts,373000,0.64623696,0.71,0.1328794211149215,468,https://www.youtube.com/@camkirkhambabyy
BlackWolfCompany,120000,0.64498144,0.628,0.1525280773639679,30,https://www.youtube.com/@bwc
Kidology,333000,0.6432936,0.57,0.1207100301980972,215,https://www.youtube.com/@kidologyco
King Exbee,10500,0.6417655,0.67,0.1421792209148407,60,https://www.youtube.com/@kingexbee
Nas Daily,14000000,0.64151555,0.475,0.09598870575428,1629,https://www.youtube.com/@nasdaily
10g Colin,61100,0.6395238,0.519,0.1220101341605186,278,https://www.youtube.com/@10gcolin
State of Kait,98800,0.63689256,0.626,0.148158997297287,569,https://www.youtube.com/@stateofkait
Internet Anarchist,1810000,0.6346824,0.721,0.1548738926649093,210,https://www.youtube.com/@internetanarchist
SunnyV2,4440000,0.63432026,0.734,0.1522058099508285,267,https://www.youtube.com/@sunnyv2
Deep Dive,612000,0.6283723,0.551,0.1360140442848205,81,https://www.youtube.com/@deepdiveproductions
Edvasian,1070000,0.6253645,0.622,0.1107364296913147,480,https://www.youtube.com/@edvasian
Mujin,604000,0.6248754,0.585,0.1552871465682983,152,https://www.youtube.com/@mujinofficial
JAMARI,1390000,0.62136877,0.679,0.1456601768732071,1145,https://www.youtube.com/@jamarispeaks
Matthew Cox | Inside True Crime,803000,0.6203749,0.541,0.1324705332517624,2329,https://www.youtube.com/@insidetruecrime
Rotten Mango,5940000,0.61782336,0.475,0.1134442389011383,425,https://www.youtube.com/@rottenmangopod
Gal,166000,0.6148875,0.576,0.1464923322200775,39,https://www.youtube.com/@melonmannnn
FoxAkimbo,194000,0.6145553,0.601,0.1561191827058792,237,https://www.youtube.com/@foxakimbo
Anik Singal,510000,0.6123176,0.446,0.101333849132061,1285,https://www.youtube.com/@aniksingal
Turkey Tom,1560000,0.6113311,0.716,0.1454190462827682,266,https://www.youtube.com/@turkeytom
Danny Rayes,1790000,0.6104505,0.665,0.1480017900466919,2349,https://www.youtube.com/@dannyrayes
Vox,12700000,0.6084504,0.498,0.1053199768066406,1894,https://www.youtube.com/@vox
fantano,2030000,0.60516584,0.535,0.1108637750148773,1996,https://www.youtube.com/@fantano
kate cassidy,30000,0.6028323,0.556,0.1221214309334755,60,https://www.youtube.com/@kate.cassidy
Ouachita Mountain Living ,69700,0.60199946,0.556,0.1085156127810478,363,https://www.youtube.com/@ouachitamountainliving
Fosterfy,53800,0.60086554,0.511,0.1204926222562789,1271,https://www.youtube.com/@fosterfy
Tinysey,61800,0.59684527,0.572,0.1205704733729362,74,https://www.youtube.com/@tinysey
Graham Stephan,5120000,0.59444463,0.503,0.1215776428580284,1341,https://www.youtube.com/@grahamstephan
How It Happened,50800,0.59335315,0.562,0.0984947308897972,320,https://www.youtube.com/@howithappened
More Perfect Union,2260000,0.5839707,0.628,0.117721289396286,1543,https://www.youtube.com/@moreperfectunion
Visual Venture,1350000,0.58385,0.659,0.1557848155498504,120,https://www.youtube.com/@visualventure
Nathan,486000,0.5810197,0.51,0.1150626242160797,870,https://www.youtube.com/@nathan.barnatt
Fleshcore AI,56100,0.58007705,0.382,0.1043749526143074,548,https://www.youtube.com/@mr_ai_creatorr
Mina Le,1740000,0.57963705,0.585,0.1224045678973198,149,https://www.youtube.com/@gremlita
Chris Portal,26000,0.57938075,0.497,0.1164213642477989,51,https://www.youtube.com/@chrisportalbits
Celebified,17000,0.5788299,0.683,0.1415472030639648,621,https://www.youtube.com/@celebified3246
Misha Petrov,521000,0.57723105,0.704,0.1375220417976379,832,https://www.youtube.com/@realmishapetrov
iNabber,1100000,0.573048,0.615,0.1528230309486389,450,https://www.youtube.com/@inabber
PyroLIVE,1140000,0.56946856,0.556,0.1062593162059784,1313,https://www.youtube.com/@pyrocynicalvevo
Blooms,576000,0.56839603,0.577,0.1745706647634506,82,https://www.youtube.com/@bloomser
First Things THRST,257000,0.56718636,0.5,0.0975772365927696,837,https://www.youtube.com/@firstthingsthrst
