Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count
Philip DeFranco,6610000,0.7685548,0.61,0.1532877832651138,2430
Patrick Cc:,2350000,0.7399408,0.779,0.1645677238702774,459
j aubrey,1290000,0.7316121,0.689,0.1651972234249115,100
Casey Aonso,651000,0.70757455,0.633,0.159710094332695,197
The Movie Cynic,216000,0.7066378,0.636,0.159387469291687,112
ColdFusion,5110000,0.705099,0.662,0.1391682475805282,543
Cruel World Happy Mind,657000,0.6978277,0.665,0.1680564135313034,129
SWOOP,944000,0.69516236,0.583,0.1680856794118881,184
The Iced Coffee Hour,1470000,0.6873147,0.574,0.1431731134653091,1304
Coffeezilla,4340000,0.6867426,0.574,0.1276119202375412,534
Henry Belcaster,3340000,0.6855116,0.649,0.1198932379484176,911
Alex O'Connor,1730000,0.6793344,0.384,0.0863297507166862,556
oompaville,5850000,0.674402,0.66,0.1421997100114822,1197
FunkyFrogBait,2880000,0.66922927,0.61,0.1157566830515861,186
Matt Walsh,3340000,0.6691994,0.668,0.1218713223934173,6443
Ashley Norton,244000,0.66918194,0.713,0.1604493409395218,64
Joma Tech,2350000,0.668986,0.459,0.0969079062342643,89
tiffanyferg,829000,0.6666559,0.52,0.1278416961431503,284
GaryVee,4720000,0.66573274,0.495,0.1291049420833587,6422
Sydney Watson,1110000,0.6643543,0.644,0.1162108853459358,223
It's Blanko,1620000,0.6631837,0.763,0.1733447313308715,859
Blaire White,1540000,0.65989727,0.592,0.1343024373054504,467
Messy Michon Live,40400,0.6598752,0.533,0.1188180893659591,4469
All-In Podcast,955000,0.6584059,0.567,0.1342782229185104,735
Wall Street Millennial,346000,0.6464417,0.598,0.1253836005926132,870
Cam Kirkham Reacts,373000,0.64623696,0.71,0.1328794211149215,468
BlackWolfCompany,120000,0.64498144,0.628,0.1525280773639679,30
Kidology,333000,0.6432936,0.57,0.1207100301980972,215
King Exbee,10500,0.6417655,0.67,0.1421792209148407,60
Nas Daily,14000000,0.64151555,0.475,0.09598870575428,1629
10g Colin,61100,0.6395238,0.519,0.1220101341605186,278
State of Kait,98800,0.63689256,0.626,0.148158997297287,569
Internet Anarchist,1810000,0.6346824,0.721,0.1548738926649093,210
SunnyV2,4440000,0.63432026,0.734,0.1522058099508285,267
Deep Dive,612000,0.6283723,0.551,0.1360140442848205,81
Edvasian,1070000,0.6253645,0.622,0.1107364296913147,480
Mujin,604000,0.6248754,0.585,0.1552871465682983,152
CNN Business,746000,0.6242596,0.56,0.0983536541461944,12229
JAMARI,1390000,0.62136877,0.679,0.1456601768732071,1145
Matthew Cox | Inside True Crime,803000,0.6203749,0.541,0.1324705332517624,2329
Rotten Mango,5940000,0.61782336,0.475,0.1134442389011383,425
Gal,166000,0.6148875,0.576,0.1464923322200775,39
FoxAkimbo,194000,0.6145553,0.601,0.1561191827058792,237
Anik Singal,510000,0.6123176,0.446,0.101333849132061,1285
What's Trending,641000,0.6119049,0.627,0.1205645874142646,8447
Turkey Tom,1560000,0.6113311,0.716,0.1454190462827682,266
Danny Rayes,1790000,0.6104505,0.665,0.1480017900466919,2349
Vox,12700000,0.6084504,0.498,0.1053199768066406,1894
fantano,2030000,0.60516584,0.535,0.1108637750148773,1996
kate cassidy,30000,0.6028323,0.556,0.1221214309334755,60
Ouachita Mountain Living ,69700,0.60199946,0.556,0.1085156127810478,363
Fosterfy,53800,0.60086554,0.511,0.1204926222562789,1271
The Verge,3470000,0.5997752,0.439,0.0815449804067611,5637
Sky Jack Morgan,12500,0.59926915,0.559,0.1567717790603637,6945
Bloomberg Originals,4830000,0.5981442,0.569,0.10685645788908,49287
Tinysey,61800,0.59684527,0.572,0.1205704733729362,74
The Comments Section,3710000,0.5959083,0.647,0.1073871254920959,3854
Graham Stephan,5120000,0.59444463,0.503,0.1215776428580284,1341
How It Happened,50800,0.59335315,0.562,0.0984947308897972,320
AFRO,22500,0.5931046,0.555,0.1214112341403961,13390
Valuetainment Short Clips,740000,0.5874752,0.585,0.1292670965194702,9609
More Perfect Union,2260000,0.5839707,0.628,0.117721289396286,1543
Visual Venture,1350000,0.58385,0.659,0.1557848155498504,120
ABC News,19100000,0.58382106,0.518,0.1018659323453903,106542
Nathan,486000,0.5810197,0.51,0.1150626242160797,870
Fleshcore AI,56100,0.58007705,0.382,0.1043749526143074,548
Mina Le,1740000,0.57963705,0.585,0.1224045678973198,149
Chris Portal,26000,0.57938075,0.497,0.1164213642477989,51
Celebified,17000,0.5788299,0.683,0.1415472030639648,621
Haley Kalil,8070000,0.57735705,0.468,0.0878100171685218,4212
Misha Petrov,521000,0.57723105,0.704,0.1375220417976379,832
Valuetainment,7060000,0.5748579,0.643,0.1332084089517593,10180
iNabber,1100000,0.573048,0.615,0.1528230309486389,450
Chris Williamson,3940000,0.5719665,0.575,0.1272615045309066,3815
TED,26800000,0.57103324,0.528,0.1310150921344757,5343
Louis Levanti,985000,0.57040405,0.51,0.126480147242546,2887
PyroLIVE,1140000,0.56946856,0.556,0.1062593162059784,1313
Blooms,576000,0.56839603,0.577,0.1745706647634506,82
First Things THRST,257000,0.56718636,0.5,0.0975772365927696,837
BBC Global,702000,0.5653325,0.566,0.1160032153129577,703
Real Stories,6630000,0.564886,0.621,0.1292440295219421,1220
The Will Spencer Podcast,12600,0.56257665,0.614,0.1150341182947158,465
Neil Patel,1500000,0.55997276,0.419,0.0985487923026084,2198
Hamish Hodder,282000,0.5598934,0.591,0.1448720395565033,560
Bloomberg Technology,705000,0.5585946,0.422,0.0871648788452148,12942
Kiki Chanel,888000,0.5585817,0.587,0.1379427015781402,476
Investing Basics,277000,0.5575684,0.559,0.1566585004329681,1366
Knowledge at Wharton,75200,0.5565685,0.481,0.0916332453489303,1141
Yahoo Finance,1450000,0.5561291,0.437,0.099469393491745,58834
Coding with Lewis,714000,0.55605316,0.393,0.0656897872686386,723
CNBC Television,3270000,0.55604637,0.477,0.112757109105587,149117
