Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
Philip DeFranco,6610000,0.7727382,0.615,0.15353721380233765,2430,https://www.youtube.com/@philipdefranco
Patrick Cc:,2350000,0.73756945,0.776,0.16181495785713196,459,https://www.youtube.com/@patrickcc
j aubrey,1290000,0.7250293,0.679,0.1599222868680954,100,https://www.youtube.com/@jaubrey
Casey Aonso,651000,0.7081982,0.632,0.15776710212230682,197,https://www.youtube.com/@caseyaonso4270
ColdFusion,5110000,0.7042185,0.661,0.13748875260353088,543,https://www.youtube.com/@coldfusion
The Movie Cynic,216000,0.7024747,0.632,0.1560959815979004,112,https://www.youtube.com/@themoviecynic
SWOOP,944000,0.6929024,0.574,0.1628919243812561,184,https://www.youtube.com/@pettyuniversity
Cruel World Happy Mind,657000,0.69217765,0.659,0.163980633020401,129,https://www.youtube.com/@cruelworldhappymind
The Iced Coffee Hour,1470000,0.68920493,0.574,0.141520157456398,1304,https://www.youtube.com/@theicedcoffeehour
Coffeezilla,4340000,0.6880207,0.58,0.12792672216892242,534,https://www.youtube.com/@coffeezilla
Henry Belcaster,3340000,0.6878456,0.65,0.11896250396966934,911,https://www.youtube.com/@henrybelcaster
Alex O'Connor,1730000,0.67961776,0.375,0.0825706347823143,556,https://www.youtube.com/@cosmicskeptic
Ashley Norton,244000,0.6729785,0.713,0.15886469185352325,64,https://www.youtube.com/@ashleynorton
Joma Tech,2350000,0.67235565,0.464,0.09734071046113968,89,https://www.youtube.com/@jomakaze
oompaville,5850000,0.67176974,0.654,0.13870415091514587,1197,https://www.youtube.com/@oompaville
FunkyFrogBait,2880000,0.66980636,0.606,0.1133996844291687,186,https://www.youtube.com/@funkyfrogbait
tiffanyferg,829000,0.6688952,0.521,0.12667615711688995,284,https://www.youtube.com/@tiffanyferg
Sydney Watson,1110000,0.66822207,0.644,0.11485486477613449,223,https://www.youtube.com/@sydneywatson
Matt Walsh,3340000,0.6672138,0.668,0.12062615901231766,6443,https://www.youtube.com/@mattwalsh
Messy Michon Live,40400,0.6665548,0.539,0.11927294731140137,4469,https://www.youtube.com/@messymichonlive
It's Blanko,1620000,0.6644205,0.758,0.16969116032123566,859,https://www.youtube.com/@its.blanko
GaryVee,4720000,0.6625391,0.494,0.1272667646408081,6422,https://www.youtube.com/@garyvee
Blaire White,1540000,0.65704405,0.59,0.13216136395931244,467,https://www.youtube.com/@blairewhitex
