Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
Democracy At Work,559000,0.67853904,0.531,0.1291854828596115,2444,https://www.youtube.com/@democracyatwrk
Freethink,1360000,0.6767226,0.511,0.10407181829214096,950,https://www.youtube.com/@freethink
The Elsa Kurt Show,177000,0.67526054,0.534,0.1284661889076233,2028,https://www.youtube.com/@elsakurt_official
The Functional Melancholic,122000,0.6455256,0.641,0.14712682366371155,57,https://www.youtube.com/@functionalmelancholic
vlogbrothers,4050000,0.6435554,0.533,0.1000356450676918,2414,https://www.youtube.com/@vlogbrothers
Johnny Harris,7130000,0.64231867,0.538,0.11974071711301804,491,https://www.youtube.com/@johnnyharris
The Economist,3650000,0.61557007,0.481,0.10675565153360367,1137,https://www.youtube.com/@theeconomist
Sargon of Akkad,957000,0.61539656,0.543,0.11115799099206924,125,https://www.youtube.com/@sargonofakkad
CatholicVote Education,28000,0.60304725,0.501,0.1014614850282669,368,https://www.youtube.com/@catholicvoteeducation
Aperture,2430000,0.5911099,0.487,0.1229349672794342,477,https://www.youtube.com/@aperturethinking
Then & Now,534000,0.5859796,0.517,0.1242685467004776,209,https://www.youtube.com/@thennow
Vusi Thembekwayo,1130000,0.5832883,0.496,0.10959592461585999,1118,https://www.youtube.com/@vthembekwayo
The Rest Is Politics US,242000,0.57779187,0.513,0.1145862340927124,570,https://www.youtube.com/@restpoliticsus
Cole Hastings,806000,0.564639,0.585,0.12810233235359192,547,https://www.youtube.com/@colehastings
1Dime,85600,0.56355506,0.479,0.11728587001562119,45,https://www.youtube.com/@1dimee
Garys Economics,1500000,0.5613495,0.473,0.10230622440576553,360,https://www.youtube.com/@garyseconomics
Economics Explained,2810000,0.5567162,0.502,0.12536709010601044,408,https://www.youtube.com/@economicsexplained
Unsolicited advice,791000,0.5563631,0.442,0.10277971625328064,224,https://www.youtube.com/@unsolicitedadvice9198
JREG,567000,0.5563092,0.49,0.10282883048057556,518,https://www.youtube.com/@jreg
Jack Chapple,680000,0.555384,0.525,0.13075728714466095,470,https://www.youtube.com/@jackchappleshow
Jordan B Peterson,8820000,0.55507374,0.457,0.09846561402082443,1485,https://www.youtube.com/@jordanbpeterson
Bernie Sanders,1160000,0.5462579,0.414,0.12691859900951385,2367,https://www.youtube.com/@berniesanders
tiffanyferg,829000,0.54286635,0.455,0.1187874972820282,284,https://www.youtube.com/@tiffanyferg
Moon,1570000,0.54074836,0.49,0.10179140418767929,324,https://www.youtube.com/@moon-real
FaceTatt Philosophy ,38600,0.5385202,0.461,0.08966845273971558,93,https://www.youtube.com/@sagethis
New Money,1070000,0.5380588,0.485,0.11406805366277695,408,https://www.youtube.com/@newmoneyyoutube
Investing Basics,277000,0.53636783,0.481,0.15924805402755737,1366,https://www.youtube.com/@investingbasicsyt
Uneducated Economist,158000,0.5340272,0.453,0.1100841537117958,2427,https://www.youtube.com/@uneducatedeconomist
Ed Post,16500,0.5327461,0.521,0.12461588531732559,938,https://www.youtube.com/@edpostvideo
Museum of Science,786000,0.52403206,0.471,0.09865230321884155,2106,https://www.youtube.com/@museumofscience
Institute of Development Studies,10200,0.52109945,0.472,0.1059049591422081,1055,https://www.youtube.com/@ids_uk
Common Knowledge,10300,0.52047944,0.443,0.08523409813642502,12,https://www.youtube.com/@commonknowledge42
Principles by Ray Dalio,2970000,0.5181731,0.461,0.11959345638751984,530,https://www.youtube.com/@principlesbyraydalio
J.J. McCullough,1000000,0.51800454,0.499,0.09751280397176743,592,https://www.youtube.com/@jjmccullough
Solar Sands,1430000,0.5110364,0.467,0.08826645463705063,178,https://www.youtube.com/@solarsands
Hot Mess,99000,0.5105556,0.485,0.11769579350948334,46,https://www.youtube.com/@hotmesspbs
TDC,1080000,0.50942993,0.492,0.09320807456970215,1303,https://www.youtube.com/@thedailyconversation
Washington Policy Center,20500,0.50665593,0.477,0.11659660190343857,1014,https://www.youtube.com/@washingtonpolicycenter
Blair (Whatitis),15300,0.5044361,0.346,0.05324622988700867,73,https://www.youtube.com/@whatitis
Olurinatti ,198000,0.5013084,0.433,0.09680087119340897,136,https://www.youtube.com/@olurinatti
Mr. Beat,1300000,0.5006014,0.441,0.09623231738805771,849,https://www.youtube.com/@iammrbeat
Sprouts,1900000,0.50015455,0.434,0.07789642363786697,221,https://www.youtube.com/@sprouts


Alex O'Connor,1730000,0.49346548,0.365,0.0824120044708252,557,https://www.youtube.com/@cosmicskeptic
State of Kait,98800,0.49257234,0.504,0.10630419105291367,569,https://www.youtube.com/@stateofkait
Know Your Meme,493000,0.49013388,0.405,0.08574482053518295,2363,https://www.youtube.com/@knowyourmeme
PBS Terra,800000,0.48968813,0.474,0.09691738337278366,467,https://www.youtube.com/@pbsterra
RoyaltyIsHere,226000,0.48946536,0.386,0.08082184940576553,347,https://www.youtube.com/@royaltyishere
Visual Venture,1360000,0.48695958,0.438,0.09706585854291916,120,https://www.youtube.com/@visualventure
The Paint Explainer,1590000,0.4863208,0.427,0.09995047748088837,122,https://www.youtube.com/@thepaintexplainer
Mike Winger,926000,0.48496285,0.363,0.08822976052761078,1175,https://www.youtube.com/@mikewinger
Students for Life of America,360000,0.4815816,0.384,0.1065661758184433,2201,https://www.youtube.com/@studentsforlife
MindScope,13800,0.47998524,0.466,0.09227865934371948,116,https://www.youtube.com/@mindscopechannel
IMF,199000,0.4786545,0.475,0.1152283251285553,2225,https://www.youtube.com/@imf
CBC Kids News,256000,0.4766272,0.412,0.09747637063264847,1315,https://www.youtube.com/@cbckidsnews
StarTalk,5160000,0.47329184,0.384,0.07979163527488708,1611,https://www.youtube.com/@startalk
Strong Medicine,778000,0.47270286,0.446,0.07153129577636719,440,https://www.youtube.com/@strongmed
YaleCourses,1630000,0.47264752,0.424,0.09848006069660187,2157,https://www.youtube.com/@yalecourses
Queen,149000,0.4722563,0.365,0.09120281040668488,240,https://www.youtube.com/@queen3369
Be Smart,5690000,0.47212738,0.424,0.07328490912914276,512,https://www.youtube.com/@besmart
threadbare,13400,0.47195384,0.381,0.10071171820163727,25,https://www.youtube.com/@threadbarevids
Future Business Tech,152000,0.47039628,0.437,0.11188375949859619,122,https://www.youtube.com/@futurebusinesstech
BBC World Service,1640000,0.46995887,0.352,0.06887516379356384,2308,https://www.youtube.com/@bbcworldservice
meg,17800,0.469667,0.401,0.08320885896682739,48,https://www.youtube.com/@normalgirlmakesclothes
Jasmine Star,80500,0.46871847,0.379,0.07689240574836731,1351,https://www.youtube.com/@officialjasminestar
Meditations for the anxious mind,306000,0.46850365,0.43,0.08443085849285126,387,https://www.youtube.com/@meditationsfortheanxiousmind
Jarrett Moore,81000,0.46760023,0.379,0.11803369224071503,24,https://www.youtube.com/@jarrettmoore6458
The Deep End w/Taylor Welch,491000,0.46164545,0.377,0.08440662175416946,576,https://www.youtube.com/@taylorawelch
Tiff In Tech,568000,0.45880187,0.416,0.09872376918792725,829,https://www.youtube.com/@tiffintech
PragerU Kids,125000,0.45858306,0.352,0.10077421367168427,829,https://www.youtube.com/@pragerukids
Motivation Core,433000,0.45729214,0.447,0.13709072768688202,34,https://www.youtube.com/@m_core
Sociology Live!,17400,0.4552378,0.424,0.11227124184370041,10,https://www.youtube.com/@sociologylive4343
The Body Language Guy,918000,0.45488074,0.367,0.07276757061481476,1707,https://www.youtube.com/@thebodylanguageguy
Business Upside,13100,0.45454183,0.43,0.11319086700677872,441,https://www.youtube.com/@businessupside
MSL Talk,11500,0.4536426,0.373,0.06596977263689041,251,https://www.youtube.com/@msltalk
Candace Owens,5510000,0.45000327,0.269,0.07888147979974747,1514,https://www.youtube.com/@realcandaceo


Google,13600000,0.44876486,0.372,0.09391811490058899,2440,https://www.youtube.com/@google
Ryan Chapman,504000,0.44827735,0.465,0.10266509652137756,41,https://www.youtube.com/@realryanchapman
Science Magazine,335000,0.44616973,0.416,0.09504279494285583,894,https://www.youtube.com/@sciencemagazine
Jay Shetty Podcast,4910000,0.44468576,0.374,0.07346735149621964,1697,https://www.youtube.com/@jayshettypodcast.
Adam's Axiom,34500,0.44443536,0.453,0.13023461401462555,14,https://www.youtube.com/@adamsaxiom
Chill Dude Explains,522000,0.43980962,0.422,0.0948641374707222,293,https://www.youtube.com/@chilldudeexplains
Bailey Sarian,7810000,0.43951517,0.371,0.08885858952999115,1361,https://www.youtube.com/@baileysarian
BE AMAZED,13400000,0.43841195,0.399,0.07998277992010117,2106,https://www.youtube.com/@beamazed
SleepWise,220000,0.43574828,0.344,0.10949813574552536,51,https://www.youtube.com/@wisesleep
Jaydone History,171000,0.43569428,0.386,0.10216166079044342,122,https://www.youtube.com/@jaydonehistory
Dr Ben Miles,2110000,0.43389994,0.337,0.07203695178031921,304,https://www.youtube.com/@drbenmiles
ANU TV,85400,0.42946956,0.395,0.06819184869527817,2308,https://www.youtube.com/@anuchannel
Cleo Abram,6880000,0.42941874,0.362,0.0798277035355568,429,https://www.youtube.com/@cleoabram
Kyle Hill,2690000,0.4283727,0.358,0.07210130244493484,433,https://www.youtube.com/@kylehill
Wendigoon,4470000,0.42203403,0.397,0.09125784039497375,179,https://www.youtube.com/@wendigoon
Bad Lip Reading,8100000,0.42031422,0.306,0.08565705269575119,140,https://www.youtube.com/@badlipreading
CFR Education,34700,0.41885304,0.415,0.07723341137170792,176,https://www.youtube.com/@cfr_education
Mind Unveiled,350000,0.41830388,0.373,0.0800715982913971,186,https://www.youtube.com/@mindunveiled
Natalie Brunell,220000,0.41797203,0.351,0.09558813273906708,869,https://www.youtube.com/@nataliebrunell
Potential,27100,0.4177953,0.39,0.1039491593837738,1369,https://www.youtube.com/@potentialcom
American Express,211000,0.4154914,0.291,0.08606290072202682,1356,https://www.youtube.com/@amex
"Teachers College, Columbia University",12400,0.41519517,0.401,0.06331539154052734,1950,https://www.youtube.com/@teacherscollege
Science Museum,72000,0.41178584,0.432,0.06610884517431259,321,https://www.youtube.com/@sciencemuseum
SideMoneyTom,76400,0.4106551,0.402,0.0692504271864891,284,https://www.youtube.com/@sidemoneytom
