Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
Democracy At Work,559000,0.67853904,0.531,0.1291854828596115,2444,https://www.youtube.com/@democracyatwrk
Freethink,1360000,0.6767226,0.511,0.1040718182921409,950,https://www.youtube.com/@freethink
The Elsa Kurt Show,177000,0.67526054,0.534,0.1284661889076233,2028,https://www.youtube.com/@elsakurt_official
The Functional Melancholic,122000,0.6455256,0.641,0.1471268236637115,57,https://www.youtube.com/@functionalmelancholic
vlogbrothers,4050000,0.6435554,0.533,0.1000356450676918,2414,https://www.youtube.com/@vlogbrothers
Johnny Harris,7130000,0.64231867,0.538,0.119740717113018,491,https://www.youtube.com/@johnnyharris
The Economist,3650000,0.61557007,0.481,0.1067556515336036,1137,https://www.youtube.com/@theeconomist
Sargon of Akkad,957000,0.61539656,0.543,0.1111579909920692,125,https://www.youtube.com/@sargonofakkad
CatholicVote Education,28000,0.60304725,0.501,0.1014614850282669,368,https://www.youtube.com/@catholicvoteeducation
Aperture,2430000,0.5911099,0.487,0.1229349672794342,477,https://www.youtube.com/@aperturethinking
Then & Now,534000,0.5859796,0.517,0.1242685467004776,209,https://www.youtube.com/@thennow
Vusi Thembekwayo,1130000,0.5832883,0.496,0.1095959246158599,1118,https://www.youtube.com/@vthembekwayo
The Rest Is Politics US,242000,0.57779187,0.513,0.1145862340927124,570,https://www.youtube.com/@restpoliticsus
Cole Hastings,806000,0.564639,0.585,0.1281023323535919,547,https://www.youtube.com/@colehastings
1Dime,85600,0.56355506,0.479,0.1172858700156211,45,https://www.youtube.com/@1dimee
Garys Economics,1500000,0.5613495,0.473,0.1023062244057655,360,https://www.youtube.com/@garyseconomics
Economics Explained,2810000,0.5567162,0.502,0.1253670901060104,408,https://www.youtube.com/@economicsexplained
Unsolicited advice,791000,0.5563631,0.442,0.1027797162532806,224,https://www.youtube.com/@unsolicitedadvice9198
JREG,567000,0.5563092,0.49,0.1028288304805755,518,https://www.youtube.com/@jreg
Jack Chapple,680000,0.555384,0.525,0.1307572871446609,470,https://www.youtube.com/@jackchappleshow
Jordan B Peterson,8820000,0.55507374,0.457,0.0984656140208244,1485,https://www.youtube.com/@jordanbpeterson
Bernie Sanders,1160000,0.5462579,0.414,0.1269185990095138,2367,https://www.youtube.com/@berniesanders
