Tier,Seed_Channel_Name,Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Reason,Discovered_Channel_URL
-1,Vox,Democracy At Work,559000,0.67853904,0.531,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@democracyatwrk
-1,Vox,Freethink,1360000,0.6767226,0.511,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@freethink
-1,Vox,The Elsa Kurt Show,177000,0.67526054,0.534,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@elsakurt_official
-1,Vox,The Functional Melancholic,122000,0.6455256,0.641,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@functionalmelancholic
-1,Vox,vlogbrothers,4050000,0.6435554,0.533,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@vlogbrothers
-1,Vox,Johnny Harris,7130000,0.64231867,0.538,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@johnnyharris
-1,Vox,The Economist,3650000,0.61557007,0.481,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@theeconomist
-1,Vox,Sargon of Akkad,957000,0.61539656,0.543,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@sargonofakkad
-1,Vox,CatholicVote Education,28000,0.60304725,0.501,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@catholicvoteeducation
-1,Vox,Aperture,2430000,0.5911099,0.487,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@aperturethinking
-1,Vox,Then & Now,534000,0.5859796,0.517,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@thennow
-1,Vox,Vusi Thembekwayo,1130000,0.5832883,0.496,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@vthembekwayo
-1,Vox,The Rest Is Politics US,242000,0.57779187,0.513,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@restpoliticsus
-1,Vox,Cole Hastings,806000,0.564639,0.585,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@colehastings
-1,Vox,1Dime,85600,0.56355506,0.479,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@1dimee
-1,Vox,Garys Economics,1500000,0.5613495,0.473,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@garyseconomics
-1,Vox,Economics Explained,2810000,0.5567162,0.502,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@economicsexplained
-1,Vox,Unsolicited advice,791000,0.5563631,0.442,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@unsolicitedadvice9198
-1,Vox,JREG,567000,0.5563092,0.49,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@jreg
-1,Vox,Jack Chapple,680000,0.555384,0.525,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@jackchappleshow
-1,Vox,Jordan B Peterson,8820000,0.55507374,0.457,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@jordanbpeterson
-1,Vox,Bernie Sanders,1160000,0.5462579,0.414,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@berniesanders
-1,Vox,tiffanyferg,829000,0.54286635,0.455,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@tiffanyferg
-1,Vox,Moon,1570000,0.54074836,0.49,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@moon-real
-1,Vox,FaceTatt Philosophy ,38600,0.5385202,0.461,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@sagethis
-1,Vox,New Money,1070000,0.5380588,0.485,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@newmoneyyoutube
-1,Vox,Investing Basics,277000,0.53636783,0.481,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@investingbasicsyt
-1,Vox,Uneducated Economist,158000,0.5340272,0.453,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@uneducatedeconomist
-1,Vox,Ed Post,16500,0.5327461,0.521,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@edpostvideo
-1,Vox,Museum of Science,786000,0.52403206,0.471,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@museumofscience
-1,Vox,Institute of Development Studies,10200,0.52109945,0.472,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@ids_uk
-1,Vox,Common Knowledge,10300,0.52047944,0.443,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@commonknowledge42
-1,Vox,Principles by Ray Dalio,2970000,0.5181731,0.461,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@principlesbyraydalio
-1,Vox,J.J. McCullough,1000000,0.51800454,0.499,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@jjmccullough
-1,Vox,Solar Sands,1430000,0.5110364,0.467,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@solarsands
-1,Vox,Hot Mess,99000,0.5105556,0.485,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@hotmesspbs
-1,Vox,TDC,1080000,0.50942993,0.492,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@thedailyconversation
-1,Vox,Washington Policy Center,20500,0.50665593,0.477,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@washingtonpolicycenter
-1,Vox,Blair (Whatitis),15300,0.5044361,0.346,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@whatitis
-1,Vox,Olurinatti ,198000,0.5013084,0.433,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@olurinatti
-1,Vox,Mr. Beat,1300000,0.5006014,0.441,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@iammrbeat
-1,Vox,Sprouts,1900000,0.50015455,0.434,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@sprouts
-1,Vox,Alex O'Connor,1730000,0.49346548,0.365,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@cosmicskeptic
-1,Vox,State of Kait,98800,0.49257234,0.504,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@stateofkait
-1,Vox,Know Your Meme,493000,0.49013388,0.405,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@knowyourmeme
-1,Vox,PBS Terra,800000,0.48968813,0.474,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@pbsterra
-1,Vox,RoyaltyIsHere,226000,0.48946536,0.386,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@royaltyishere
-1,Vox,Visual Venture,1360000,0.48695958,0.438,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@visualventure
-1,Vox,The Paint Explainer,1590000,0.4863208,0.427,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@thepaintexplainer
-1,Vox,Mike Winger,926000,0.48496285,0.363,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@mikewinger
-1,Vox,Students for Life of America,360000,0.4815816,0.384,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@studentsforlife
-1,Vox,MindScope,13800,0.47998524,0.466,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@mindscopechannel
-1,Vox,IMF,199000,0.4786545,0.475,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@imf
-1,Vox,CBC Kids News,256000,0.4766272,0.412,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@cbckidsnews
-1,Vox,StarTalk,5160000,0.47329184,0.384,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@startalk
-1,Vox,Strong Medicine,778000,0.47270286,0.446,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@strongmed
-1,Vox,YaleCourses,1630000,0.47264752,0.424,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@yalecourses
-1,Vox,Queen,149000,0.4722563,0.365,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@queen3369
-1,Vox,Be Smart,5690000,0.47212738,0.424,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@besmart
