Channel_ID,Channel_Name,Date_Added,Processing_Status,Embedding_Score,LLM_Score,niche
UCLXo7UDZvByw2ixzpQCufnA,Vox,2025-10-31T14:04:59.168315,seed,,,Current Events - Documentary
UCZFMm1mMw0F81Z37aaEzTUA,NDTV,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UCs0OK0Z6_6nMN-B1FDBtXBw,Dhani Iandika,2025-10-31T14:04:59.170067,scored,0.242,0.2,Agriculture - Educational Tutorials
UCn4sPeUomNGIr26bElVdDYg,NowThis Impact,2025-10-31T14:04:59.170067,scored,0.744,0.67,Social Issues - Documentary
UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Television,2025-10-31T14:04:59.170067,scored,0.391,0.3,Financial News - Talking-Head Analysis
UCx-KWLTKlB83hDI6UKECtJQ,HBO Max,2025-10-31T14:04:59.170067,scored,0.57,0.2,Entertainment - Vlog
UC8sVn1Nei99nJ8gpoFX0s0g,Penelope Scott - Topic,2025-10-31T14:04:59.170067,scored,0.265,0.3,Music - Documentary
UCFJ4mb3Qjup0DRjAzV7W_8Q,RARE FACTS,2025-10-31T14:04:59.170067,filtered_videos,,,
UChamurUK7hzdnBd0LcEHLzw,Cancel Me Later,2025-10-31T14:04:59.170067,filtered_subs,,,
UCChSuwAR1y8P7DA07ftAd5w,Information Man Show,2025-10-31T14:04:59.170067,scored,0.666,0.47,Social Issues - Podcast/Interviews
UCU_nlLzlVPFLJxB_iEwtwBw,Michael Moore,2025-10-31T14:04:59.170067,scored,0.839,0.54,Social Commentary - Podcast/Interviews
UCtC8jgm2a8_v3J3qT17v4kw,Legal Clinic By Lalit,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UC2j1xlnnhU6DJ5SInd0xgmA,Know Your Rights,2025-10-31T14:04:59.170067,scored,0.453,0.54,Legal Rights - Educational Tutorials
UCAdZHIY1ZKSEcPH0DsqB-QA,Casual Cattle Conversations,2025-10-31T14:04:59.170067,filtered_subs,,,
UCb72Gn5LXaLEcsOuPKGfQOg,DW Planet A,2025-10-31T14:04:59.170067,filtered_country_DE,,,
UCb1Ti1WKPauPpXkYKVHNpsw,LBC,2025-10-31T14:04:59.170067,scored,0.726,0.67,Current Affairs - Podcast/Interviews
UCLHyzSNMJZVtQaBs9uWO4vA,feqwix,2025-10-31T14:04:59.170067,scored,0.257,0.2,Education - Educational Tutorials
UChOJtVfmReK8X2e4Bx3GddA,MRI masood,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UCMk8U2Hmfdxqn3zrCq2g9oQ,The Federalist Society,2025-10-31T14:04:59.170067,scored,0.736,0.76,Law and Public Policy - Educational Tutorials
UCgXXn2HYOZ-gHAP54psiM2A,Global Landscapes Forum - GLF,2025-10-31T14:04:59.170067,filtered_country_DE,,,
UCbQpsn0-BPw6LMkyIud_D-A,Christiane Amanpour Presents: The Ex Files,2025-10-31T14:04:59.170067,scored,0.667,0.54,Geopolitics - Podcast/Interviews
UCWoMt08bewC-sVTGMbzBV7g,Quick Review,2025-10-31T14:04:59.170067,filtered_country_PK,,,
UCSN0ehODyVpQWgWDkUS0izQ,La Excellence IAS ,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UCzI8K9xO_5E-4iCP7Km6cRQ,Faye D'Souza,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-10-31T14:04:59.170067,scored,0.768,0.67,Ideas - Talks
UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,2025-10-31T14:04:59.170067,scored,0.658,0.67,News - Documentary
UCNkB-du6tdYKX5Tr21hRJfQ,lemsip,2025-10-31T14:04:59.170067,filtered_subs,,,
UCKgpamMlm872zkGDcBJHYDg,Learn English With TV Series,2025-10-31T14:04:59.170067,scored,0.286,0.3,Language Learning - Educational Tutorials
UCLiWQk8JzhNRcNiDKk4dpaw,American Heart Association,2025-10-31T14:04:59.170067,scored,0.233,0.3,Health and Wellness - Educational Tutorials
UCXnLiJ_busjKAVon7vatTrQ,Nexus Point,2025-10-31T14:04:59.170067,filtered_subs,,,
UCJ24N4O0bP7LGLBDvye7oCA,Matt D'Avella,2025-10-31T14:04:59.170067,scored,0.588,0.4,Minimalism - Documentary
UC90RW5ZmBBqp4r2QIQxfACA,Kanak News,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UCAdK2GeP1j7Cl4XfTUOkVDg,Rajendra More Motivation ,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UCUTF61UNExRdjmoK5mXwWfQ,AI Uncovered,2025-10-31T14:04:59.170067,filtered_country_SE,,,
UCDRIjKy6eZOvKtOELtTdeUA,Breaking Points,2025-10-31T14:04:59.170067,scored,0.756,0.54,Politics - Talking-Head Analysis
UCuFFtHWoLl5fauMMD5Ww2jA,CBC News,2025-10-31T14:04:59.170067,scored,0.729,0.54,News - Documentary
UCctXZhXmG-kf3tlIXgVZUlw,GaryVee,2025-10-31T14:04:59.170067,scored,0.406,0.3,Entrepreneurship - Vlog
UCdWuhQg9XRYXTiON98aC03w,Geo All Day,2025-10-31T14:04:59.170067,scored,0.523,0.54,Geopolitics - Documentary
UCtfXgNnA-QcxjHJjk5wXLFg,Karl Rock,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UCijcd0GR0fkxCAZwkiuWqtQ,Free Documentary,2025-10-31T14:04:59.170067,filtered_country_DE,,,
UCuyRsHZILrU7ZDIAbGASHdA,ThePrint,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UC0HVmTX-O38jXhWJF2pPRKQ,Captain Trucker,2025-10-31T14:04:59.170067,scored,0.39,0.2,Culture - Vlog
UCl-Zrl0QhF66lu1aGXaTbfw,Neil Patel,2025-10-31T14:04:59.170067,scored,0.306,0.2,Digital Marketing - Talking-Head Analysis
UCx2ZzkEQlUwZCa9F-CuonNg,Christopher L Webster,2025-10-31T14:04:59.170067,filtered_subs,,,
UCeCikyZwKGhLnpheYkqTKDA,OoS Pictures,2025-10-31T14:04:59.170067,filtered_subs,,,
UCcNkwfTQuXAxAFwoAUHweJA,The Boston Globe,2025-10-31T14:04:59.170067,scored,0.588,0.54,News - Documentary
UC50IiMC9ivkjs_VRdweu6eg,SSE Energy Solutions,2025-10-31T14:04:59.170067,scored,0.498,0.4,Energy Solutions - Educational Tutorials
UCQPss_g3Iak_a0PmvrGvH8w,BBC My World,2025-10-31T14:04:59.170067,scored,0.801,0.76,Global Issues - Documentary
UCmuccm2PUMlyIyvD6EOh_qA,MTV Impact,2025-10-31T14:04:59.170067,scored,0.682,0.67,Social Justice - Documentary
UCUeZBocfxALSUdOgNJB5ySA,Dr Ben Miles,2025-10-31T14:04:59.170067,scored,0.408,0.3,Entrepreneurship - Talking-Head Analysis
UC0uGC_EBwAxw3ljqeGjy2qw,Dove US,2025-10-31T14:04:59.170067,scored,0.367,0.38,Beauty - Documentary
UCjhebDbxJHNM0w2O1qkJA-g,Roya,2025-10-31T14:04:59.170067,scored,0.358,0.2,Travel - Vlog
UCzw35O6toJtjqEAAt4LTjKQ,Trade Brains,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UCgb25Zn3fTXcK3h7W1BCxKA,The Khandan ( खंडन ),2025-10-31T14:04:59.170067,filtered_subs,,,
UCwWhs_6x42TyRM4Wstoq8HA,The Daily Show,2025-10-31T14:04:59.170067,scored,0.592,0.47,News and Politics - Satirical Commentary
UCV3Nm3T-XAgVhKH9jT0ViRg,AJ+,2025-10-31T14:04:59.170067,scored,0.57,0.73,News - Documentary
UCnG0N70SNBkNqvIMLodPTIA,Senator Sheldon Whitehouse,2025-10-31T14:04:59.170067,scored,0.711,0.67,Politics - Talking-Head Analysis
UCl2mFZoRqjw_ELax4Yisf6w,Louis Rossmann,2025-10-31T14:04:59.170067,scored,0.507,0.3,Tech Repair - Educational Tutorials
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,2025-10-31T14:04:59.170067,scored,0.321,0.3,Business - Talking-Head Analysis
UCr4kgAUTFkGIwlWSodg43QA,Michael Knowles,2025-10-31T14:04:59.170067,scored,0.822,0.47,Politics - Talking-Head Analysis
UCwZVrhC7kJNE1aV5coPiPwA,Antihero's Club,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UCLF6ZhuAuhOA98UwZgDkQ2Q,IMPACT FOUNDATION,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UCXW0SzDz6QxnxpXTT5B4-SQ,Bijali ki Dukan,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UC1JAwKeDUjN2orv5t7LWODQ,KARE 11,2025-10-31T14:04:59.170067,scored,0.476,0.54,News - Documentary
UCJMoNdFjLwI3MbnlfrCw36g,JourneyJunkie,2025-10-31T14:04:59.170067,filtered_subs,,,
UCk_6KmDDc_zZQnTf4lH43pQ,Rifana art & craft,2025-10-31T14:04:59.170067,filtered_country_IN,,,
UCv3cvTwgQy8nPj01yvn2yuw,mrthomasenglish,2025-10-31T14:04:59.170067,scored,0.205,0.1,Halloween Culture - Vlog
UCZceliiH71OLw4t4HcvKKjw,UNICEF,2025-10-31T14:04:59.170067,scored,0.514,0.45,Child Rights Advocacy - Documentary
UCzJXNzqz6VMHSNInQt_7q6w,Megyn Kelly,2025-10-31T14:04:59.170067,scored,0.702,0.54,Politics - Podcast/Interviews
UCZWlSUNDvCCS1hBiXV0zKcA,PragerU,2025-10-31T14:04:59.170067,scored,0.764,0.54,American Values - Educational Tutorials
UCpxYSWgxVt3Pyn1ovXsGQ0g,PBS Terra,2025-10-31T14:04:59.170067,scored,0.662,0.54,Science and Nature - Documentary
UC40Tw2tFuMzK305mi7nj8rg,Met Office - UK Weather,2025-10-31T14:04:59.170067,scored,0.327,0.3,Weather - Educational Tutorials
UCyhEZKz-LOwgktptEOh6_Iw,Andrew Klavan,2025-10-31T14:04:59.170067,scored,0.728,0.43,Politics - Podcast/Interviews
UCwSAMAKQVX3s3COEdraPjwA,Mbongiworks,2025-10-31T14:04:59.170067,filtered_subs,,,
UCBKGuPLVff4r4-moTh9L7iw,The Earthshot Prize,2025-10-31T14:04:59.170067,scored,0.776,0.76,Environmental Awareness - Documentary
UCQfwfsi5VrQ8yKZ-UWmAEFg,FRANCE 24 English,2025-10-31T14:04:59.170067,scored,0.639,0.67,International News - Documentary
UCXIJgqnII2ZOINSWNOGFThA,Fox News,2025-10-31T14:04:59.170067,scored,0.617,0.4,News - Talking-Head Analysis
UCFKrfZXPHx5URnspnfM8lpQ,PolicyEd,2025-10-31T14:04:59.170067,scored,0.628,0.43,Policy - Educational Tutorials
UCUabjV2w9aHqFAC_Oi0UFQg,Schiff Sovereign,2025-10-31T14:04:59.170067,scored,0.684,0.38,Financial Education - Talking-Head Analysis
UCEsBG5HS3yodOTc30QWsW_A,Zendesk,2025-10-31T14:04:59.170067,scored,0.256,0.1,Customer Service - Educational Tutorials
UC8XjmAEDVZSCQjI150cb4QA,Knowing Better,2025-10-31T14:04:59.170067,scored,0.556,0.47,"The channel description provided does not contain specific information about the content focus or style of the Knowing Better channel. Therefore, I cannot accurately determine the primary niche and format based solely on the description given. Please provide more context or details about the channel - Unknown"
