Seed_Channel_Name,Seed_Niche,Discovered_Channel_Name,Discovered_Niche,Discovered_Subs,Similarity_Score
Ali Abdaal,Productivity strategies and self-improvement,Self improvement | Money | Mindset ,Personal growth and mindset motivation,16300,0.94
Ali Abdaal,Productivity strategies and self-improvement,The Diary Of A CEO,Self-improvement and mindset motivation,13200000,0.94
Ali Abdaal,Productivity strategies and self-improvement,Collin The Chad,Self-improvement and study motivation,725000,0.92
Ali Abdaal,Productivity strategies and self-improvement,Self Improvement,Entrepreneurial mindset and self-improvement,11600,0.88
Ali Abdaal,Productivity strategies and self-improvement,SeeKen,Self-improvement book summaries,4450000,0.88
Ali Abdaal,Productivity strategies and self-improvement,The Art Of Personal Growth,Personal development and self-improvement,82300,0.88
Ali Abdaal,Productivity strategies and self-improvement,Almost Everything,Self-improvement and financial education,1780000,0.855
Ali Abdaal,Productivity strategies and self-improvement,Raw Talks With VK,Entrepreneurship insights and advice podcast,1930000,0.854
Ali Abdaal,Productivity strategies and self-improvement,GREAT IDEAS GREAT LIFE,Self-improvement documentaries and insights,7170000,0.825
Ali Abdaal,Productivity strategies and self-improvement,ExpHub - Prashant Kirad,Motivational guidance for students,10500000,0.816
Ali Abdaal,Productivity strategies and self-improvement,Travel With Business,Business education and entrepreneurship tips,70700,0.767
Ali Abdaal,Productivity strategies and self-improvement,TED-Ed Student Talks,Youth idea development and presentation,123000,0.763
Ali Abdaal,Productivity strategies and self-improvement,Aditya Ranjan Talks,Government exam preparation and motivation,4590000,0.75
Johnny Harris,Global storytelling and analysis,Map & Myth,Geopolitical storytelling and analysis,60100,0.92
Johnny Harris,Global storytelling and analysis,fern,Global events and historical analysis,4040000,0.915
Johnny Harris,Global storytelling and analysis,Narratives,Journalistic analysis of global issues,17500,0.866
Johnny Harris,Global storytelling and analysis,Story Bucket,Geopolitical analysis of Bangladesh,83200,0.865
Johnny Harris,Global storytelling and analysis,Decoding Geopolitics Podcast with Dominik Presl,Geopolitical analysis and insights,103000,0.86
Johnny Harris,Global storytelling and analysis,The Global Narrative,Global politics and current events analysis,48300,0.86
Johnny Harris,Global storytelling and analysis,Geopolitical Economy Report,Geopolitical news and analysis,635000,0.86
Johnny Harris,Global storytelling and analysis,The New York Times,Independent journalism and news analysis,4870000,0.857
Johnny Harris,Global storytelling and analysis,Think School,Business and geopolitics education,4760000,0.842
Johnny Harris,Global storytelling and analysis,BingeWorthy Documentaries,Thought-provoking documentaries and analysis,81000,0.814
Johnny Harris,Global storytelling and analysis,Dr. Roy Casagranda,World history and politics analysis,486000,0.811
Johnny Harris,Global storytelling and analysis,Our Stories,Documentaries on everyday professions,930000,0.788
Johnny Harris,Global storytelling and analysis,SAMA 6TVNEWS,Local and global news coverage,21300,0.783
Johnny Harris,Global storytelling and analysis,MagnatesMedia,Business storytelling and analysis,1830000,0.777
Johnny Harris,Global storytelling and analysis,Global Investigative Journalism Network,Investigative journalism training and resources,13200,0.77
Johnny Harris,Global storytelling and analysis,Nitish Rajput,Indian societal issues analysis and empowerment,7840000,0.768
Johnny Harris,Global storytelling and analysis,Kendall Rae,True-crime storytelling and victim advocacy,3970000,0.762
Johnny Harris,Global storytelling and analysis,James Jani,Documentary-style storytelling and analysis,2190000,0.76
Johnny Harris,Global storytelling and analysis,Past Uncovered,Historical documentaries and storytelling,32900,0.76
Johnny Harris,Global storytelling and analysis,3T TV MEDIA,News storytelling and analysis,14600,0.758
Johnny Harris,Global storytelling and analysis,Documentary Diaries,True crime documentaries and analysis,30000,0.758
Johnny Harris,Global storytelling and analysis,Rohan Travel Stories,Wildlife travel documentaries and stories,1940000,0.752
Johnny Harris,Global storytelling and analysis,Boss Economics World,Global economic insights and analysis,31300,0.74
Moon,Global events analysis and commentary,Brooklyn Savvy Talk Show | Shifting Narratives ,Social change and cultural analysis,38500,0.879
Moon,Global events analysis and commentary,War & Geopolitics Insights,Global conflicts and geopolitical analysis,94600,0.86
Moon,Global events analysis and commentary,Zeihan on Geopolitics,Geopolitical analysis and insights,901000,0.86
Moon,Global events analysis and commentary,BE THEE COMMENTATOR,Fame and scandal storytelling analysis,115000,0.85
Moon,Global events analysis and commentary,Social Impact,Social change and awareness storytelling,19200,0.83
Moon,Global events analysis and commentary,Investigative Reporting Lab,Investigative journalism and storytelling,19700,0.82
Moon,Global events analysis and commentary,Ben Shapiro,Conservative political commentary and analysis,7220000,0.8
Moon,Global events analysis and commentary,Hannah Alonzo,Commentary on MLMs and social media culture,813000,0.783
Moon,Global events analysis and commentary,Clarity for UPSC by Dr.Shivin,UPSC exam preparation and insights,472000,0.783
Moon,Global events analysis and commentary,Quality Culture,Pop culture storytelling and analysis,269000,0.77
Moon,Global events analysis and commentary,A SECRET LIFE DIARY•KOKBOROK 666k View• 6h•,Storytelling and cultural insights in Kokborok,331000,0.765
Moon,Global events analysis and commentary,World Affairs Insights,Indian geopolitics and current events analysis,508000,0.76
