rank,channel_id,channel_name,frequency,percentage,first_seen_in
1,UCA-mWX9CvCTVFWRMb9bKc9w,Dan Martell,6,60.0,How I use AI as an Entrepreneur (My complete workflow)
2,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,4,40.0,How I use AI as an Entrepreneur (My complete workflow)
3,UClHVl2N3jPEbkNJVx-ItQIQ,HealthyGamerGG,3,30.0,How to Find Your Life’s Purpose
4,UCNhWSOlt_UoCzS2YSMhHYmA,Kai Notebook,3,30.0,My Productive Every Day Carry 2025
5,UCw7pM7UTb-L95odxqS4TtYw,Kunal Chawla,3,30.0,"If I was a student again, I’d do this"
6,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,2,20.0,How to Find Your Life’s Purpose
7,UCfxNmqdq50Uq55-tJu7W8KA,Corporate Catalyst,2,20.0,How I use AI as an Entrepreneur (My complete workflow)
8,UCKU0u3VbuYn0wD3CUr-Yn6A,Adam Erhart,2,20.0,How I use AI as an Entrepreneur (My complete workflow)
9,UCxgAuX3XZROujMmGphN_scA,Mark Tilbury,2,20.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
10,UCbDmEdLs-SB3FjrDFQJ4TDg,Reysu,2,20.0,My Productive Every Day Carry 2025
11,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2,20.0,My Productive Every Day Carry 2025
12,UCGznz4NfW5iymkvn1l40qyA,Simon Squibb,2,20.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
13,UCplp_A1sXC0H0PQgRRVVz6Q,Location Rebel,2,20.0,The Ultimate Guide to Building a Lifestyle Business
14,UCF6EZsM8ZuFuaswA7ZtaB9Q,Ankit Deshwal,2,20.0,My Productivity Desk Setup Tour (2025)
15,UCWXYDYv5STLk-zoxMP2I1Lw,Dan Koe,2,20.0,How to Change Your Life
16,UCZDikYGDPdpN_pLgi_RzgXg,Daniel Pink,1,10.0,How to Find Your Life’s Purpose
17,UCbV60AGIHKz2xIGvbk0LLvg,Jay Shetty,1,10.0,How to Find Your Life’s Purpose
18,UCkZjTZNvuxq1CYMS3cwZa1Q,Huberman Lab Clips,1,10.0,How to Find Your Life’s Purpose
19,UCGT_BYcMHygJYqYWZjGx68A,GROWTH™,1,10.0,How to Find Your Life’s Purpose
20,UCrX8UBoue01aj4s0aHmgeQg,Dandapani,1,10.0,How to Find Your Life’s Purpose
21,UCkcwpU1zi5LhOEgCePEJj4Q,Faith Qutoes ,1,10.0,How to Find Your Life’s Purpose
22,UCER2LBsm4hB_Kxte63RoftQ,Joyce Meyer Ministries,1,10.0,How to Find Your Life’s Purpose
23,UCc11676iKpKrJMYqNYHqNig,Brian Tracy,1,10.0,How to Find Your Life’s Purpose
24,UC-qsP49Ai2GymJgyKX38l1w,Robert Greene ,1,10.0,How to Find Your Life’s Purpose
25,UCAPByrKU5-R1emswVlyH_-g,Motiversity,1,10.0,How to Find Your Life’s Purpose
26,UCGSmy2st0rb63fAkoO1aGyw,IMBeggar,1,10.0,How to Find Your Life’s Purpose
27,UC-b3c7kxa5vU-bnmaROgvog,The Futur,1,10.0,How to Find Your Life’s Purpose
28,UCDDSmXjv5vXqXo6OYuu83CA,Steven Furtick,1,10.0,How to Find Your Life’s Purpose
29,UCZJyL1GiRcQA5NdyK9RL63Q,Digital Dhairya,1,10.0,How to Find Your Life’s Purpose
30,UC5eAFEk3psF0mIDtKVsdl4Q,THE GRIM,1,10.0,How to Find Your Life’s Purpose
31,UCPGrgwfbkjTIgPoOh2q1BAg,David Ondrej,1,10.0,How I use AI as an Entrepreneur (My complete workflow)
