channel_id,channel_name,frequency,frequency_score,appearances,subscribers,video_count,country,first_seen_in
UCA-mWX9CvCTVFWRMb9bKc9w,Dan Martell,6,0.6,6/10,2060000,2601,CA,How I use AI as an Entrepreneur (My complete workflow)
UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,4,0.4,4/10,3740000,4052,US,How I use AI as an Entrepreneur (My complete workflow)
UClHVl2N3jPEbkNJVx-ItQIQ,HealthyGamerGG,3,0.3,3/10,3090000,2288,US,How to Find Your Life’s Purpose
UCNhWSOlt_UoCzS2YSMhHYmA,Kai Notebook,3,0.3,3/10,387000,214,PH,My Productive Every Day Carry 2025
UCw7pM7UTb-L95odxqS4TtYw,Kunal Chawla,3,0.3,3/10,3780,207,IN,"If I was a student again, I’d do this"
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,2,0.2,2/10,43800000,246082,unknown,How to Find Your Life’s Purpose
UCfxNmqdq50Uq55-tJu7W8KA,Corporate Catalyst,2,0.2,2/10,2750,213,IN,How I use AI as an Entrepreneur (My complete workflow)
UCKU0u3VbuYn0wD3CUr-Yn6A,Adam Erhart,2,0.2,2/10,615000,1299,US,How I use AI as an Entrepreneur (My complete workflow)
UCxgAuX3XZROujMmGphN_scA,Mark Tilbury,2,0.2,2/10,7080000,286,GB,"The Proven, Reliable Path to Earn $1M (Step By Step)"
UCbDmEdLs-SB3FjrDFQJ4TDg,Reysu,2,0.2,2/10,208000,95,US,My Productive Every Day Carry 2025
UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2,0.2,2/10,21800000,1852,GB,My Productive Every Day Carry 2025
UCGznz4NfW5iymkvn1l40qyA,Simon Squibb,2,0.2,2/10,2040000,1346,GB,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
UCplp_A1sXC0H0PQgRRVVz6Q,Location Rebel,2,0.2,2/10,66300,443,US,The Ultimate Guide to Building a Lifestyle Business
UCF6EZsM8ZuFuaswA7ZtaB9Q,Ankit Deshwal,2,0.2,2/10,5420,100,IN,My Productivity Desk Setup Tour (2025)
UCWXYDYv5STLk-zoxMP2I1Lw,Dan Koe,2,0.2,2/10,1170000,226,US,How to Change Your Life
