Seed_Channel_Name,Discovered_Channel_Name,Discovered_Niche,Discovered_Country
Ali Abdaal,Inspire Greatness,Entrepreneurship - Talking-Head Analysis,Unknown
Ali Abdaal,TEDx Talks,Ideas - Documentary,Unknown
Ali Abdaal,BRIGHT SIDE,General Knowledge - Documentary,Unknown
Ali Abdaal,Victory Venture,Motivational Quotes - Talking-Head Analysis,Unknown
Ali Abdaal,selfspeed-1,Self-Improvement - Documentary,Unknown
Ali Abdaal,Professor Guru Brar,Financial Education - Documentary,Unknown
Ali Abdaal,Gen-Z Way,Business - Talking-Head Analysis,Unknown
Ali Abdaal,selfhelpsonya,Personal Development - Educational Tutorials,Unknown
Ali Abdaal,Fleshcore AI,AI Content Creation - Educational Tutorials,Unknown
Ali Abdaal,Michael Sealey,Hypnotherapy - Educational Tutorials,Unknown
Ali Abdaal,Thewizardliz,Personal Development - Educational Tutorials,Unknown
Ali Abdaal,The Print House,3D Printing - Educational Tutorials,Unknown
Ali Abdaal,Inspirational ideas,Self-Improvement - Talking-Head Analysis,QA
Ali Abdaal,akashsingh_0963,Lifestyle - Vlog,Unknown
Ali Abdaal,50CentVEVO,Music - Official Music Videos,Unknown
Ali Abdaal,Market Page,Business - Educational Tutorials,Unknown
Ali Abdaal,Ü STAMPS,Entrepreneurship - Educational Tutorials,Unknown
Ali Abdaal,Eternal Explorer,Self-Improvement - Vlog,Unknown
Ali Abdaal,Escaping Ordinary (B.C Marx) ,Books and Ideas - Documentary,Unknown
Ali Abdaal,Custom Adventurist,Tech Reviews - Educational Tutorials,Unknown
Ali Abdaal,ColdMindset_,Motivational Content - Documentary,Unknown
Ali Abdaal,K A M A L    T E J A,Fitness - Educational Tutorials,Unknown
Ali Abdaal,Gohar Khan,Productivity - Educational Tutorials,Unknown
Ali Abdaal,MINDSET GROWTH $,Motivation - Educational Tutorials,Unknown
Ali Abdaal,Dylan Lemay,Food - Vlog,Unknown
Ali Abdaal,thebeekid,Tech and Lifestyle - Vlog,Unknown
Ali Abdaal,LilBabyVEVO,Music - Music Videos,Unknown
Ali Abdaal,𝐏𝐢𝐧𝐤 𝐁𝐞𝐫𝐫𝐲'𝐬,Lifestyle - Vlog,Unknown
Ali Abdaal,TheAnimeMen,Anime - Vlog,Unknown
Ali Abdaal,Sujal Thakral,Comedy - Vlog,Unknown
Ali Abdaal,Edmund Yong,Entrepreneurship - Educational Tutorials,Unknown
Ali Abdaal,Zack D. Films,Unusual Stories - Documentary,Unknown
Ali Abdaal,Music Media,Music and Entertainment - Talking-Head Analysis,Unknown
Ali Abdaal,Aishwarya NIT Rourkela,Academic Mentoring - Educational Tutorials,Unknown
Ali Abdaal,Starter Story,Entrepreneurship - Documentary,Unknown
Ali Abdaal,iggyazaleamusicVEVO,Music - Visualizer,Unknown
Ali Abdaal,Rise with Nihar,Entrepreneurship - Podcast/Interviews,Unknown
Ali Abdaal,Kalpanas Vlogs,Inspirational Content - Vlog,Unknown
Ali Abdaal,Isha sisodiya,Comedy - Shorts,Unknown
Ali Abdaal,Sambucha,Pop Culture - Vlog,Unknown
Ali Abdaal,@smotivation1line,Motivation - Educational Tutorials,Unknown
Ali Abdaal,Iron Chef Dad,Cooking - Vlog,Unknown
Ali Abdaal,Success Affection,Motivation - Talking-Head Analysis,Unknown
Ali Abdaal,littlemixVEVO,Music - Official Audio/Live Performances,Unknown
Ali Abdaal,Codie Sanchez,Entrepreneurship - Talking-Head Analysis,Unknown
Ali Abdaal,Apna College,Tech Careers - Educational Tutorials,Unknown
Ali Abdaal,farmya,Agriculture - Educational Tutorials,Unknown
Ali Abdaal,Stevie Sells,Entrepreneurship - Vlog,Unknown
Ali Abdaal,Neel Sharma,Personal Experiences - Vlog,Unknown
Ali Abdaal,Iman Gadzhi Inspiration,Entrepreneurship - Vlog,Unknown
Ali Abdaal,Daizy Aizy Vlogs,Beauty - Vlog,Unknown
Ali Abdaal,50 Cent,Music - Music Videos,Unknown
Ali Abdaal,Nate Herk | AI Automation,AI Automation - Educational Tutorials,Unknown
Ali Abdaal,Adobe Acrobat,Productivity - Educational Tutorials,Unknown
