Seed_Channel_Name,Discovered_Channel_Name,Discovered_Niche
Vox,Real Crime,True Crime - Documentary
Vox,Salesforce,Business - Educational Tutorials
Vox,Astrum,Space Exploration - Documentary
Vox,SOSCAST w/ Adam Sosnick,Finance - Podcast/Interviews
Vox,Madhuri Desai,Cultural Lifestyle - Vlog
Vox,Sky News Australia,News - Talking-Head Analysis
Vox,Museum of Science,Science - Educational Tutorials
Vox,Scripps News,News - Documentary
Vox,Google,Tech - Educational Tutorials
Vox,Bree Lenehan,Body Image and Lifestyle - Vlog
Vox,The Rebel Kid FP,Fan Edits - Documentary
Vox,The Wall Street Journal,Business - Documentary
Vox,King Critical,Trans Identity - Talking-Head Analysis
Vox,FlowchartKen,Business - Talking-Head Analysis
Vox,Thoughty2,Facts and Trivia - Documentary
Vox,Perkolator Press Flipbooks,Art - Educational Tutorials
Vox,Amagansett Press,Travel - Vlog
Vox,National Geographic,Science and Exploration - Documentary
Vox,Prove All Things Audits,First Amendment Auditing - Vlog
Vox,Handmade Heroes,Crafting - Educational Tutorials
Vox,CBC Kids News,Youth Perspectives - Documentary
Vox,Long Island Audit,Constitutional Rights - Documentary
Vox,John Stossel,Libertarianism - Educational Tutorials
Vox,meg,Cultural Critique - Video Essay
Vox,Memphis Islamic Center (MIC),Islamic Community - Social Media Engagement
Vox,DIY FACTORY,Energy Generation - Educational Tutorials
Vox,kfel,Travel - Vlog
Vox,NBC News,News - Documentary
Vox,Alex O'Connor,Philosophy - Podcast/Interviews
Vox,Dr. Todd Grande,Mental Health - Talking-Head Analysis
Vox,Guardian News,News - Live Streaming
Vox,OxfordUnion,Debate - Podcast/Interviews
Vox,EconplusDal,Economics - Educational Tutorials
Vox,The Paint Explainer,Education - Documentary
Vox,South Park Studios,Entertainment - Vlog
Vox,Amala Ekpunobi,Culture Critique - Talking-Head Analysis
Vox,The Hill,Politics - Talking-Head Analysis
Vox,Living Lchaim,Jewish Culture - Documentary
Vox,Taylor Lorenz,Internet Culture - Podcast/Interviews
Vox,A Climate Change With Matt Matern,Climate Change - Podcast/Interviews
Vox,MCamericanpresident,History - Documentary
Vox,GBNews,News - Live Broadcast
Vox,Dropping In Podcast,Personal Development - Podcast/Interviews
Vox,The Institute of Art and Ideas,Philosophy - Podcast/Interviews
Vox,Indic Ideas,Culture - Talking-Head Analysis
Vox,JustSaySteven,Gaming News - Talking-Head Analysis
Vox,Katie Couric,Journalism - Podcast/Interviews
Vox,People's Court Audit,Legal Rights Awareness - Vlog
Vox,Jaiden Forrest,Spirituality - Talking-Head Analysis
Vox,Chess.com,Chess - Podcast/Interviews
Vox,The Telegraph,News - Talking-Head Analysis
Vox,Content Machine,Comedy - Shorts
Vox,Joshua Citarella,Culture Critique - Podcast/Interviews
Vox,Study Yard,Education - Educational Tutorials
Vox,NTD Plus,Investigative News Analysis - Documentary
Vox,Channel 4 News,News - Documentary
Vox,We The Auditors 2.0,Police Accountability - Documentary
Vox,James is Tired,Faith - Podcast/Interviews
Vox,Sowing Prosperity by Logan Duvall,Health and Wellness - Documentary
Vox,Google Arts & Culture,Art and Culture - Documentary
Vox,CSE Online Reviewer,Education - Educational Tutorials
Vox,HISTORY,History - Documentary
Vox,Common Knowledge,Curiosity - Documentary
Vox,WAYNEWALLA,Civic Rights - Documentary
Vox,Jubilee,Social Issues - Podcast/Interviews
Vox,BBC World Service,Global Stories - Podcast/Interviews
Vox,GIVEMeID,Legal Rights - Documentary
Vox,The Infographics Show,Facts - Documentary
Vox,Bajaj Finserv Mutual Fund,Financial Education - Educational Tutorials
Vox,Learn English  ,Language Learning - Educational Tutorials
Vox,Simon Clark,Climate Literacy - Educational Tutorials
Vox,LiveNOW from FOX,News - Live Streaming
Vox,Voice of America,News - Documentary
Vox,MindScope,Psychology - Educational Tutorials
Vox,zoeunlimited,Marketing - Talking-Head Analysis
Vox,Be Smart,Science - Educational Tutorials
Vox,"Live Your Life, Live Your Dream",Language Learning - Educational Tutorials
Vox,United Nations,Global Issues - Live Coverage
Vox,carlsagandotcom,Science - Documentary
Vox,Ayy Lmao,Animation Analysis - Talking-Head Analysis
Vox,The University of Sydney,Education - Documentary
Vox,English Avenue,Language Learning - Educational Tutorials
Vox,Alliance Defending Freedom,Legal Advocacy - Educational Tutorials
Vox,Uncensored America,Free Speech - Podcast/Interviews
Vox,Financian,Business - Educational Tutorials
Vox,Lani's Lens,Film and TV Analysis - Talking-Head Analysis
Vox,Russell Brand,Awakening Consciousness - Talking-Head Analysis
Vox,Harvard GSD,Design - Educational Tutorials
Vox,Mike Rafi - Personal Injury Lawyer,Personal Injury Law - Podcast/Interviews
Vox,vlogbrothers,Philosophy - Talking-Head Analysis
Vox,John Anderson Media,Social and Political Discourse - Podcast/Interviews
Vox,SPIN,Music - Vlog
Vox,Daily Express,Current Affairs - Talking-Head Analysis
Vox,Big Think,Philosophy and Science - Podcast/Interviews
Vox,The Conscious Commune ,Self-Improvement - Talking-Head Analysis
Vox,Jordan B Peterson,Psychology - Podcast/Interviews
Vox,Bible Nerd Ministries,Bible Study - Educational Tutorials
Vox,ConJay,Society and Culture - Talking-Head Analysis
Vox,Michael Steele Network,Politics - Podcast/Interviews
Vox,Dapo IbrahimTV,Storytelling - Documentary
Vox,Glenn Beck,Politics - Talking-Head Analysis
Vox,Garys Economics,Economics - Talking-Head Analysis
Vox,FLAGRANT CLIPS,Comedy - Podcast/Interviews
Vox,Chris Kohler,Finance - Talking-Head Analysis
Vox,It's Just Astronomical!,Astronomy - Animations
Vox,Ryan Long,Comedy - Sketches/Standup
Vox,Baby Shark - Pinkfong Kids’ Songs & Stories,Kids' Entertainment - Educational Videos
Vox,English Speeches,Language Learning - Educational Tutorials
Vox,ReasonTV,Libertarian Perspectives - Talking-Head Analysis
Vox,Change The Game TV,Hip Hop Culture - Clips/Analysis
Vox,Engineering Explained,Automotive Engineering - Educational Tutorials
Vox,CGTN Europe,Geopolitics - Documentary
Vox,Pirate Software,Gaming - Vlog
Vox,We the Internet TV,Comedy News - Talking-Head Analysis
Vox,Laura Flanders & Friends,Public Affairs - Podcast/Interviews
Vox,NewsNation,News - Talking-Head Analysis
Vox,maiabemtbc,Mental Health - Educational Tutorials
Vox,Will Westmoreland,Rural Politics - Podcast/Interviews
Vox,Edit Minds,Video Editing - Educational Tutorials
Vox,space and science,Space and Science - Documentary
Vox, Renewable energy,Renewable Energy - Product Promotion
Vox,TED-Ed,Education - Animated Shorts
Vox,BuzzFeedVideo,Entertainment - Vlog
Vox,Environment and Climate Change Canada,Environment - Educational Tutorials
Vox,StevenCrowder,Politics - Talking-Head Analysis
Vox,Lex Fridman,Psychology - Podcast/Interviews
Vox,ALPHA Philosophy 2.0,Philosophy - Podcast/Interviews
Vox,Cleo Abram,Science and Technology - Documentary
Vox,USAFacts,Civic Engagement - Educational Tutorials
Vox,Black History in Two Minutes or so,Black History - Documentary
Vox,Secular Talk,Political Commentary - Talking-Head Analysis
Vox,Rebel News,News Commentary - Talking-Head Analysis
