Seed_Channel_Name,Discovered_Channel_Name,Discovered_Niche
MagnatesMedia,BusinessCringe,Corporate Culture - Talking-Head Analysis
MagnatesMedia,Movieclips,Movies - Curated Clips
MagnatesMedia,CNN,News - Documentary
MagnatesMedia,Marshall Patrick,Lifestyle - Vlog
MagnatesMedia,Shop Maddie Green,Entrepreneurship - Vlog
MagnatesMedia,Teddy Baldassarre,Watches - Educational Tutorials
MagnatesMedia,Kelly Gooch,Conscious Consumerism - Talking-Head Analysis
MagnatesMedia,McKinsey & Company,Business - Documentary
MagnatesMedia,PROTA,Tech - Documentary
MagnatesMedia,Law By Mike,Legal Education - Educational Tutorials
MagnatesMedia,World According To Briggs,Geography - Documentary
MagnatesMedia,Tom MacDonald,Music - Music Videos
MagnatesMedia,TIKhistory,History - Documentary
MagnatesMedia,Rod Wave - Topic,Music - Documentary
MagnatesMedia,alpha m.,Men's Grooming - Educational Tutorials
MagnatesMedia,fpt.,Tech - Talking-Head Analysis
MagnatesMedia,IntroBooks Education,Education - Documentary
MagnatesMedia,Invicta,History - Documentary
MagnatesMedia,Linus Tech Tips,Consumer Technology - Educational Tutorials
MagnatesMedia,Bhanu Pathak,Entrepreneurship - Podcast/Interviews
MagnatesMedia,Inanna Sarkis,Fitness - Vlog
MagnatesMedia,Sam O'Nella Academy,History - Documentary
MagnatesMedia,TuxMotivation,Motivation - Educational Tutorials
MagnatesMedia,Business To You,Business - Educational Tutorials
MagnatesMedia,j aubrey,Existentialism - Vlog
MagnatesMedia,ProjectManager,Business - Educational Tutorials
MagnatesMedia,TheFeedski,Current Events - Documentary
MagnatesMedia,EPM,Business - Educational Tutorials
MagnatesMedia,RISR Careers,Career Management - Educational Tutorials
MagnatesMedia,Social Symone ♡,Lifestyle - Vlog
MagnatesMedia,ModernGurlz,Pop Culture - Talking-Head Analysis
MagnatesMedia,Omar Agamy,World Facts - Educational Tutorials
MagnatesMedia,Jesper Lowgren,Enterprise Architecture - Educational Tutorials
MagnatesMedia,Maizen,Niche - Format
MagnatesMedia,MOS6510 Models,Scale Modelling - Educational Tutorials
MagnatesMedia,Weird Asia.,True Crime - Documentary
MagnatesMedia,7 News Spotlight,True Crime - Documentary
MagnatesMedia,Beyond Majority,Entrepreneurship - Talking-Head Analysis
MagnatesMedia,ABC News In-depth,News Analysis - Documentary
MagnatesMedia,FeminineLifestyleGuide,Lifestyle - Educational Tutorials
MagnatesMedia,LennyBarn,Gaming - Vlog
MagnatesMedia,GaryVee Video Experience,Entrepreneurship - Podcast/Interviews
MagnatesMedia,YC Root Access,Entrepreneurship - Podcast/Interviews
MagnatesMedia,The Problem With Jon Stewart,Political Commentary - Talking-Head Analysis
MagnatesMedia,The Boss Baby,Animation - Documentary
MagnatesMedia,Ceric Artman,Entertainment - Video Essays
MagnatesMedia,Moon,Current Events - Talking-Head Analysis
MagnatesMedia,FutureAzA,Unknown - Unknown
