Seed_Channel_Name,Seed_Channel_ID,Seed_Niche,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Video_Count,Discovered_Niche,Language,LLM_Score,Embedding_Score,Discovered_Channel_Description,Discovered_Keywords,Seed_Keywords,Level,Timestamp,Discovered_Country
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Varun Mayya,UCsQoiOrh7jzKmE8NBofhTnQ,https://www.youtube.com/@varunmayya,1000000,1036,Entrepreneurship - Educational Tutorials,en,0.73,0.714,"Science and business follow the same principles and are practically the same thing - you experiment, you observe, you make conclusions, and you repeat. 
I help entrepreneurs build software, content, small companies, and freelancing careers with actionable advice. I try my best to distill new developments in technology for the masses. Most importantly, I practice what I preach. I failed countless times on countless projects with a few small wins, and I have come to realise that this is the norm :)

Collabs: teamvarunmayya@gmail.com","ai breakthroughs, ai in advertising, ai browser security, ai and cancer research, ai in gaming, counter-strike economy, virtual economy crash, gaming economy, game development bts, gaming industry news, business innovation, tech investments, ai business models, corporate ai strategies, business trends 2025, ai racing league, ai in sports, future of racing, ai driven sports, racing technology","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:24:08.505245,IN
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Inspire Greatness,UCAigp2nt4ZqzSH10J1u_Snw,https://www.youtube.com/@inspiregreatness,143000,87,Entrepreneurship - Talking-Head Analysis,en,0.56,0.802,Posting daily motivational videos. Subscribe for more.,"morning habits, self improvement, personal growth, mindset change, daily routine, elon musk insights, jeff bezos advice, business leadership, entrepreneur mindset, successful leaders, jordan peterson talks, human behavior, psychology tips, behavioral science, mindset shifts, media influence, news perception, society trends, public opinion, media analysis, huberman lab, scientific insights, innovation trends, future technology, scientific breakthroughs","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:24:24.070189,Unknown
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,MotivationHub,UCR54lF_dD3f-8srmRqnTwgQ,https://www.youtube.com/@motivationhubofficial,3570000,613,Motivation - Documentary,en,0.34,0.811,"MotivationHub is for those that are courageous enough to take a stand towards changing their lives and chasing their dreams. 

We partner with some of the top motivational speakers to create the greatest motivational speech videos. Our team of talented video editors license all the speeches, music and visuals and add high quality edits and special effects to create completely new, original video releases. Our compilations are carefully crafted to bring you a combination of original content, fresh edited versions of content licensed through our partners, and brand new original content submitted to us through our email and website (www.motivationhub.com).

Motivation is what will get you started, but it's the consistent work, day in and day out, that will create measurable value in your life!","motivational speech, work harder motivation, success motivation, daily motivation, motivational video, i am affirmations, positive affirmations, wealth affirmations, mindset affirmations, subconscious reprogramming, wealth mindset, attract abundance, prosperity affirmations, money mindset, financial success, self improvement, personal growth, self discipline, life goals, success habits","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:24:38.390805,CA
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,The Koerner Office Business Ideas,UCzjpCGEXR7BU-_SJSl59CGQ,https://www.youtube.com/@thekoernerofficeideas,87000,542,Entrepreneurship - Talking-Head Analysis,en,0.85,0.928,This is the official Koerner Office business ideas channel.,"business ideas 2025, unique business ideas, small business ideas, startup ideas, entrepreneurship ideas, ice cream industry, industry analysis, market trends, business breakdown, industry secrets, how to start a business, entrepreneur tips, startup advice, business growth, entrepreneur journey, make money online, passive income, financial freedom, wealth building, investment ideas, productivity tips, self improvement, time management, habits and routines, life design","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:24:53.050076,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,PETFLIX,UCl3TER6AOCiKDFs_8FECinA,https://www.youtube.com/@pet_flix,610000,270,Animals - Documentary,en,0.13,0.269,"I'm Milad. And I love animals and pets. I created this channel so that we can enjoy watching the life of animals together.
In this channel, you will see videos of Birds, Cats, Turtles, Mantises, Quails, Budgies, Hamsters, Silkworms, etc.
If you like the animal world like me, then subscribe😍
","wounded tortoise, animal rescue stories, saving wildlife, rescue animals, animal rehabilitation, pet bird care, budgie lifespan, bird egg candling, pet care tips, bird health tips, cute budgies, parakeet behavior, bird watching, pet bird videos, bird lovers, bee vs wasp, honeybee behavior, insect battles, nature encounters, insect videos","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:25:06.771385,GB
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Fk Editz,UCZiO0vVjMVJnXeSlU79N3ig,https://www.youtube.com/@fkeditz0222,70100,7,Entertainment - Shorts,en,0.16,0.449,"TARGET 100K🙏 soon

Buisness for : malikseikh100@gmail.com","top indian movies, best sports movies, indian movie cast, popular indian films, bollywood movie list, top business india, profitable business india, business ideas india, indian business trends, best business india, dangerous states india, top states india, indian state ranking, state safety india, popular states india, popular actors world, famous actors list, top actors 2023, celebrity rankings, world famous actors","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:25:20.976223,IN
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,MIND MOTIVATION,UCHiSdwS3CtZPsf3R6dHjlxA,https://www.youtube.com/@mind-motivation2.0,40100,28,Motivation - Educational Tutorials,en,0.46,0.775,"🔥 Welcome to [Mind Motivation]! 🔥
Your daily dose of Motivation, Success, and Positivity ✨

📌 Here you’ll find:
✅ Powerful Motivational Quotes
✅ Success & Money Quotes
✅ Life-Changing Thoughts in Hindi & English
✅ Inspiration for Students, Entrepreneurs & Dreamers

Our mission is simple – to inspire you every day and keep you focused on your goals. 🚀

💡 Subscribe now and join our family of dreamers & achievers! 💡","daily motivation, inspirational quotes, motivational speech, self improvement, mindset shift, life motivation, personal growth, self improvement, mindset change, goal setting, life goals, personal success, achieve success, success mindset, goal achievement, success habits, life success, success stories, growth mindset, positive mindset, mindset transformation, mental strength, mindset motivation, mindset for success, life lessons, life advice, life tips, advice for success, life improvement, life coaching","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:25:35.484666,IN
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Slayy Point,UCtgGOdTlM-NdJ9rPKIYN8UQ,https://www.youtube.com/@slayypointofficial,10100000,191,Entertainment - Vlog,en,0.16,0.485,"This is Abhyudaya and Gautami, two school friends, who together make fun videos on millennial friendly topics & travel vlogs as well!
SUBSCRIBE and hit the bell icon! FOLLOW US ON SOCIAL MEDIA 

We also do gaming and diverse content on our second channel- SlayyPop. 

For all Business enquiries :- slayypointofficial@gmail.com","bollywood secrets, indian celebrities, bollywood gossip, indian pop culture, celebrity lifestyle, galaxy z fold, latest tech reviews, smartphone reviews, tech gadgets, new tech trends, indian social issues, civic sense india, online hate india, cultural commentary, social issues india, travel to korea, korean culture, india korea travel, cultural experiences, travel vlogs india, indian school life, college farewell, school events india, student life india, college experiences","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:25:50.084942,IN
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Futurepedia,UC_RovKmk0OCbuZjA8f08opw,https://www.youtube.com/@futurepedia_io,594000,134,AI Tools - Educational Tutorials,en,0.76,0.775,"Learn to leverage AI tools and acquire AI skills to future-proof your life and business.
","ai tools, chatgpt features, ai image editor, ai music creation, ai character transfer, productivity tips, ai productivity tools, time management, task automation, digital workflow, ai education, learning with ai, online courses, study tips, ai for students, digital marketing, business automation, marketing tools, ai in marketing, business growth, ai in music, digital art tools, creative ai tools, media creation, content creation","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:26:07.801245,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Caleb Ralston,UCbc7A6bNtpyybJbGvIi0PNQ,https://www.youtube.com/@calebralston,58200,53,Entrepreneurship - Documentary,en,0.56,0.675,"Want to scale your brand? Let’s discuss: https://calebralston.com

Or if you’d rather stay on YouTube, here’s a bit more on my journey:
2008: Started filming training videos for local bodybuilders.
2009: Produced Stan Efferding’s hit training DVD “Proving It.”
2010: Filmed Universal Nutrition’s “Animal Cage” at Mr. Olympia.
2011: Hired by Flex Lewis & American Media Inc.
2012-2016: Logos Bible Software—Jr. Editor to Lead Editor
2016: Went full-time freelance
2017: Hired as a Video Producer for PureWow in Brooklyn, NY
2017: Gary Vaynerchuk pulled me up to Team GaryVee as his traveling videographer & editor
2018: Helped create “Trash Talk,” grew GaryVee’s TikTok from 300K to 3.5M followers.
2019: Moved to VaynerMedia’s client side.
2020: Joined Constellation Brands as video producer
2020: Launched my side gig, Wild Media.
2022-2024: Scaled a major business brand, built an 18-person media team.
2024: Launched my consulting firm, Ralston.

","scale your brand, brand growth, business branding, brand strategy, successful branding, content creation, content strategy, engaging content, creative content, content for platforms, engaged audience, audience growth, audience interaction, build audience, audience feedback, creative success, successful creatives, creative growth, creative advantage, creative edge, platform strategy, optimize content, platform engagement, content for platforms, platform specific content","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:26:21.828823,US
