Seed_Channel_Name,Seed_Channel_ID,Seed_Niche,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Video_Count,Discovered_Niche,Discovered_Country,LLM_Score,Embedding_Score,Discovered_Channel_Description,Discovered_Keywords,Seed_Keywords,Level,Timestamp
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Scott Ste Marie,UCciA8PsPm3Z5E5vlKEct_lg,https://www.youtube.com/@depressiontoexpression,397000,329,Mental Health - Educational Tutorials,CA,0.73,0.793,"For men ready to break free from self-criticism and build the confidence, compassion, and inner strength to live authentically. It's time to stop being so hard on yourself, break free from anxiety and start feeling at peace again. 

My life’s work is to help men feel proud of who they are — not for what they’ve achieved, but for how they live and love. If being hard on yourself worked, it would have worked by now. 

Over the last decade, I’ve taught mindfulness and self-compassion to thousands of people — from corporate teams to classrooms to men’s circles — while earning my Master’s in Neuroscience, Psychology & Mental Health from King’s College London. I’m certified in Life Coaching, Mindful Self-Compassion (MSC), and Mindfulness-Based Stress Reduction (MBSR), and I’ve built a coaching practice rooted in science, spirituality, and lived truth.

Looking forward to meeting you soon!
","men's mental health tips, overcoming anxiety for men, sensitive men advice, self-compassion for men, men's emotional well-being, mental health for men, dealing with negative self-talk, men's anxiety relief, men's emotional support, mental health awareness for men, men's depression help, inner critic for men, self-improvement tips, how to cultivate self-compassion, personal growth strategies, overcoming self-doubt, building self-esteem, finding inner peace, how to change your mindset, embracing vulnerability, journey of self-discovery, how to manage stress, developing healthy habits, life transformation tips, productivity tips for men, how to manage stress and productivity, finding work-life balance, overcoming perfectionism, time management strategies, how to stop procrastinating, setting realistic goals, dealing with overwhelm, creating a balanced life, how to prioritize tasks, mindfulness for productivity, stress management techniques","find your life's purpose, how to change your life, stop overthinking tips, achieve your goals, personal growth strategies, self improvement techniques, life advice for young adults, how to get ahead in life, mindset for success, overcoming self-doubt, build a lifestyle business, how to start a business, business ideas for 2025, financial freedom strategies, make money online, how to earn $1m, successful business case studies, entrepreneurial mindset, wealth building tips, starting a business from scratch, productivity tips and tricks, how to make time for everything, best productivity apps, time management strategies, habits for success, how to stay organized, boosting productivity at work, daily routines for productivity, overcoming procrastination, effective goal setting",1,2025-10-30T23:40:24.318495
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Headspace,UC3JhfsgFPLSLNEROQCdj-GQ,https://www.youtube.com/@headspace,1020000,651,Mental Health - Educational Tutorials,US,0.54,0.606,"Your guide to being kind to your mind. 

Through science-backed meditation and mindfulness tools, Headspace helps you create life-changing habits to support your mental health and find a healthier, happier you. Unwind with guided meditation sessions to relax after a long day, learn how to build healthy boundaries with our meditation and mindfulness teachers, practice mindfulness exercises for everyday scenarios like commuting or cooking, and create the ideal conditions for restful sleep with our guided sleep meditations and sleep music. 

With hundreds of hours of content, Headspace is your personal meditation and mindfulness guide to just about anything, helping you to get through tough times and find joy in every day. Download our app in the App Store or Google Play. 
","guided meditation for anxiety, mindfulness meditation techniques, how to meditate for beginners, meditation for stress relief, mindfulness exercises for relaxation, guided breathing exercises, meditation for self-esteem, how to stay calm during conflict, mindfulness for emotional healing, meditation for sleep improvement, progressive muscle relaxation techniques, overcoming limiting beliefs, self-growth exercises, how to build self-confidence, personal development tips, mindfulness for personal growth, how to get unstuck in life, self-reflection techniques, building resilience in tough times, how to handle feedback, strategies for emotional well-being, navigating job loss with mindfulness, understanding high-functioning anxiety, mental health tips for professionals, how to cope with anxiety, recognizing emotional triggers, mental health strategies for everyday life, how to manage stress, mental health resources for self-care, supporting mental health at work, mindfulness for mental clarity, mental health and self-compassion","find your life's purpose, how to change your life, stop overthinking tips, achieve your goals, personal growth strategies, self improvement techniques, life advice for young adults, how to get ahead in life, mindset for success, overcoming self-doubt, build a lifestyle business, how to start a business, business ideas for 2025, financial freedom strategies, make money online, how to earn $1m, successful business case studies, entrepreneurial mindset, wealth building tips, starting a business from scratch, productivity tips and tricks, how to make time for everything, best productivity apps, time management strategies, habits for success, how to stay organized, boosting productivity at work, daily routines for productivity, overcoming procrastination, effective goal setting",1,2025-10-30T23:40:39.642277
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Michael Hoover,UC0jfkb8bHxx3Y0MbSmx7QyQ,https://www.youtube.com/@michaelhoover.,250000,33,Beauty - Educational Tutorials,Unknown,0.2,0.306,,"hairstyle tutorial, how to style hair, easy hair tutorials, best hairstyles for beginners, hair transformation tutorial, how to do a middle part, quick hairstyle ideas, hair tutorial for long hair, step by step hair tutorial, trendy hairstyles 2023, how to glow up, glow up routine, skin glow up tips, how to improve appearance, glow up transformation, best glow up tips, how to look more attractive, glow up skincare routine, how to fix asymmetrical face, looksmaxxing tips, men's hairstyle tips, how to style men's hair, best hairstyles for men, men's grooming routine, men's glow up tips, how to get attractive hairstyle, men's hair transformation, hairmaxxing for men, men's hair care tips, how to improve men's appearance","find your life's purpose, how to change your life, stop overthinking tips, achieve your goals, personal growth strategies, self improvement techniques, life advice for young adults, how to get ahead in life, mindset for success, overcoming self-doubt, build a lifestyle business, how to start a business, business ideas for 2025, financial freedom strategies, make money online, how to earn $1m, successful business case studies, entrepreneurial mindset, wealth building tips, starting a business from scratch, productivity tips and tricks, how to make time for everything, best productivity apps, time management strategies, habits for success, how to stay organized, boosting productivity at work, daily routines for productivity, overcoming procrastination, effective goal setting",1,2025-10-30T23:40:54.493066
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Olivia Yi,UC9Pt0is5h7BbKoqaezfL54Q,https://www.youtube.com/@oliviayi,92900,262,Cooking - Educational Tutorials,US,0.3,0.349,"GET THE RECIPES HERE  ⬇️⬇️⬇️
https://www.olivia-yi.com

--

Hi, I’m Olivia — a working mom of 3, flavor chaser, and believer that mealtime should feel like a bright spot in your day 🔆

On this channel, you’ll find easy weeknight meals, including meal-prep recipes, and bold Korean-inspired dishes. My goal is to help you make delicious food with less stress — whether you're juggling a busy work schedule, feeding picky eaters, or just trying to save time and money without sacrificing flavor.

With a full-time career and a family to feed, I know how hectic life can get — and I’m here to make mealtime feel easier, more enjoyable, and even a little special.

Subscribe for practical cooking tips, no-fuss recipes, and videos that keep it real. Let’s cook something great together! 🫶


♡ CONNECT WITH ME 
➾ Instagram: https://www.instagram.com/costcokitchen/ 
➾ TikTok: https://www.tiktok.com/@costcokitchen?lang=en
➾ Website: https://www.olivia-yi.com 
","quick dinner recipes, easy weeknight meals, simple dinner ideas, 30 minute meals, family dinner recipes, easy dinner ideas, healthy dinner recipes, one pan dinner recipes, comfort food recipes, easy recipes for dinner, quick and easy meals, healthy meal prep ideas, no bake snacks, high protein snacks, meal prep recipes, easy snack recipes, quick meal prep, healthy snacks for kids, meal prep for beginners, snack ideas, easy meal prep recipes, meal prep lunch ideas, how to cook chicken, cooking tips for beginners, easy cooking techniques, how to make sauces, meal prep tips, cooking hacks, how to freeze vegetables, easy cooking methods, kitchen tips, cooking basics, how to marinate chicken","find your life's purpose, how to change your life, stop overthinking tips, achieve your goals, personal growth strategies, self improvement techniques, life advice for young adults, how to get ahead in life, mindset for success, overcoming self-doubt, build a lifestyle business, how to start a business, business ideas for 2025, financial freedom strategies, make money online, how to earn $1m, successful business case studies, entrepreneurial mindset, wealth building tips, starting a business from scratch, productivity tips and tricks, how to make time for everything, best productivity apps, time management strategies, habits for success, how to stay organized, boosting productivity at work, daily routines for productivity, overcoming procrastination, effective goal setting",1,2025-10-30T23:41:08.568575
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Quantum Project - Tharun Speaks,UCQIV48SRYDq2SNv56zyjU2w,https://www.youtube.com/@quantumproject1,506000,33,Competitive Exams - Educational Tutorials,Unknown,0.54,0.713,"The Goal is to be the Best - Best in Everything!
------------------
Hey! I'm Tharun and I graduated from IIT Kharagpur last year. I work at a StartUp during the day and make videos whenever I get some free time to help out people preparing for competitive exams on this channel. I talk about a lot of things like strategies to crack exams, productivity, time management and so much more. 

I love physics and I would love to teach it to students one day. Let's see where life takes us.
------------------
You can reach out to me at 1ktnofficial@gmail.com for any type of collaborations or ideas to pitch.
See ya, Keep Rocking!
","iit jee study tips, how to crack iit jee, iit jee preparation strategies, best resources for iit jee, iit jee success stories, iit jee coaching tips, iit jee exam strategies, iit jee study plan, iit jee revision techniques, iit jee common mistakes, iit jee time management, iit jee motivation, how to stop procrastination, overcoming procrastination tips, procrastination solutions for students, how to focus better, study motivation techniques, beating procrastination strategies, time management for students, how to stay productive, procrastination and mental health, study discipline tips, how to get things done, overcoming distractions, how to study effectively, study methods for students, learning techniques for exams, how to learn faster, memory retention strategies, active recall techniques, note-taking methods, study hacks for students, best study practices, study skills for success, academic performance tips, study frameworks","find your life's purpose, how to change your life, stop overthinking tips, achieve your goals, personal growth strategies, self improvement techniques, life advice for young adults, how to get ahead in life, mindset for success, overcoming self-doubt, build a lifestyle business, how to start a business, business ideas for 2025, financial freedom strategies, make money online, how to earn $1m, successful business case studies, entrepreneurial mindset, wealth building tips, starting a business from scratch, productivity tips and tricks, how to make time for everything, best productivity apps, time management strategies, habits for success, how to stay organized, boosting productivity at work, daily routines for productivity, overcoming procrastination, effective goal setting",1,2025-10-30T23:41:24.132822
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Dr Faye Bate,UCq8EwIdN0pmgs-EymfaiO5g,https://www.youtube.com/@drfayebate,535000,274,Health and Wellness - Vlog,GB,0.3,0.354,"medical doctor & youtuber
because you deserve a happier, healthier life 🪽
","effects of alcohol on health, how to quit drinking, alcohol addiction recovery, sobriety tips, understanding hangovers, breaking drinking habits, alcohol and mental health, alcohol guilt cycle, advocating for sobriety, sobriety journey stories, alcohol awareness education, benefits of sobriety, improve gut health, gut health tips, probiotics benefits, healthy gut diet, gut health and anxiety, nutrition for gut health, understanding gut microbiome, foods for better digestion, gut health expert advice, signs of gut issues, gut health and immunity, women's health issues, advocating for yourself in healthcare, fertility health tips, understanding menstrual health, women's health education, doctor warning signs for women, navigating healthcare as a woman, importance of women's health, self-advocacy in medicine, women's health awareness","find your life's purpose, how to change your life, stop overthinking tips, achieve your goals, personal growth strategies, self improvement techniques, life advice for young adults, how to get ahead in life, mindset for success, overcoming self-doubt, build a lifestyle business, how to start a business, business ideas for 2025, financial freedom strategies, make money online, how to earn $1m, successful business case studies, entrepreneurial mindset, wealth building tips, starting a business from scratch, productivity tips and tricks, how to make time for everything, best productivity apps, time management strategies, habits for success, how to stay organized, boosting productivity at work, daily routines for productivity, overcoming procrastination, effective goal setting",1,2025-10-30T23:41:38.143447
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Bible Study With Myron Golden,UCQvECB1KyzGF3g6FslFneRw,https://www.youtube.com/@biblestudywithmyrongolden,129000,77,Business - Educational Tutorials,US,0.56,0.747,"→𝐉𝐨𝐢𝐧 𝐌𝐲𝐫𝐨𝐧’𝐬 𝐋𝐢𝐯𝐞 𝐂𝐡𝐚𝐥𝐥𝐞𝐧𝐠𝐞 𝐓𝐨𝐝𝐚𝐲←
https://www.makemoreofferschallenge.com/

Subscribe to my Business channel here: https://www.youtube.com/@MyronGolden

𝐌𝐲𝐫𝐨𝐧’𝐬 𝐁𝐨𝐨𝐤𝐬
B.O.S.S Moves 
https://www.bossmovesbook.com/

From The Trash Man to The Cash Man
https://www.trashmantocashman.com/

𝐌𝐘 𝐅𝐀𝐕𝐎𝐑𝐈𝐓𝐄 𝐁𝐎𝐎𝐊𝐒
https://amzn.to/43l41mq

","biblical business principles, success through scripture, faith and entrepreneurship, financial breakthrough bible, kingdom principles for wealth, how to succeed biblically, spiritual success strategies, god's secrets to prosperity, bible secrets to wealth, faith-based business advice, scriptural wisdom for success, prosperity gospel teachings, mindset for success, overcoming comfort zone, personal growth strategies, how to become your best self, developing a success mindset, transformational teachings, self-improvement through faith, confidence in tough times, wisdom for life challenges, how to respond to adversity, finding purpose in life, building resilience through faith, what it means to be a christian, bible teachings explained, understanding the kingdom of god, christianity and culture, discerning spiritual truths, bible prophecy insights, the role of faith in life, jesus teachings for today, exploring biblical concepts, spiritual growth in faith, how to live a christian life, understanding god's purpose","find your life's purpose, how to change your life, stop overthinking tips, achieve your goals, personal growth strategies, self improvement techniques, life advice for young adults, how to get ahead in life, mindset for success, overcoming self-doubt, build a lifestyle business, how to start a business, business ideas for 2025, financial freedom strategies, make money online, how to earn $1m, successful business case studies, entrepreneurial mindset, wealth building tips, starting a business from scratch, productivity tips and tricks, how to make time for everything, best productivity apps, time management strategies, habits for success, how to stay organized, boosting productivity at work, daily routines for productivity, overcoming procrastination, effective goal setting",1,2025-10-30T23:41:53.705054
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,The Fluellen Fam,UC8shfFhkDOoIBq1i6l0nQcA,https://www.youtube.com/@thefluellenfam,6490000,1415,Family - Vlog,US,0.2,0.403,"Welcome to our family! ☺️💕
New Vlog every Saturday 8am pst 🥰","family daily vlog, day in the life family, family life vlog, family vloggers, family routine vlog, family adventures, family travel vlog, mom and dad vlog, family activities, family fun moments, family challenges, family bonding, baby milestones, parenting tips, newborn care, mom life experiences, funny parenting moments, baby daily routine, raising kids, parenting challenges, family dynamics, toddler activities, parenting humor, baby development stages, family travel tips, traveling with children, family vacation ideas, traveling with toddlers, family trip vlog, best family destinations, traveling with kids tips, family travel experiences, family road trip, traveling with a baby, family travel adventures","find your life's purpose, how to change your life, stop overthinking tips, achieve your goals, personal growth strategies, self improvement techniques, life advice for young adults, how to get ahead in life, mindset for success, overcoming self-doubt, build a lifestyle business, how to start a business, business ideas for 2025, financial freedom strategies, make money online, how to earn $1m, successful business case studies, entrepreneurial mindset, wealth building tips, starting a business from scratch, productivity tips and tricks, how to make time for everything, best productivity apps, time management strategies, habits for success, how to stay organized, boosting productivity at work, daily routines for productivity, overcoming procrastination, effective goal setting",1,2025-10-30T23:42:07.360973
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Zenji with Jason Stephenson and friends,UCKqP5dghQMua9l6ZfZi9V3A,https://www.youtube.com/@zenjijasonstephenson,48200,166,Wellness - Guided Meditations,AU,0.4,0.607,,"guided meditation for anxiety, sleep meditation techniques, mindfulness meditation for beginners, short guided meditations, live guided meditation, meditation for inner peace, daily meditation practice, guided visualization meditation, meditation for self love, affirmations for positivity, meditation for stress relief, body relaxation meditation, mindfulness techniques, self love affirmations, ways to reduce stress, benefits of meditation, how to practice mindfulness, mindfulness for anxiety, self improvement strategies, mindfulness exercises, daily affirmations for positivity, how to ease suffering, mindfulness meditation benefits, self care practices, spiritual growth practices, law of attraction meditation, manifestation techniques, 432 hz meditation music, connecting with your intuition, meditation for abundance, raising your vibration, spiritual awakening meditations, meditation for gratitude, understanding your emotions, finding inner peace, meditation for clarity","find your life's purpose, how to change your life, stop overthinking tips, achieve your goals, personal growth strategies, self improvement techniques, life advice for young adults, how to get ahead in life, mindset for success, overcoming self-doubt, build a lifestyle business, how to start a business, business ideas for 2025, financial freedom strategies, make money online, how to earn $1m, successful business case studies, entrepreneurial mindset, wealth building tips, starting a business from scratch, productivity tips and tricks, how to make time for everything, best productivity apps, time management strategies, habits for success, how to stay organized, boosting productivity at work, daily routines for productivity, overcoming procrastination, effective goal setting",1,2025-10-30T23:42:22.701579
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,WWE,UCJ5v_MCY6GNUBTO8-D3XoAg,https://www.youtube.com/@wwe,111000000,88775,Wrestling - Entertainment,Unknown,0.1,0.144,"WWE on YouTube is your number one spot to catch WWE original shows and exclusives!

Watch videos from all of your favorite WWE Superstars, backstage fallout from live shows including Raw, SmackDown, NXT and original shows such as Top 10, WWE Playlist, Superstar Playback and much more! 

Subscribe - https://goo.gl/2YO0Is

Where to watch WWE: https://wwe.com/wheretowatch

Watch WWE on Netflix: http://netflix.com/WWE
Watch WWE on ESPN: https://plus.espn.com/
Watch WWE on Peacock: https://pck.tv/3ZTjVE7
","full wrestling match, wrestling highlights, best wrestling moments, wrestling match recap, triple threat match highlights, wrestlemania highlights, wrestling event recap, top wrestling matches, epic wrestling moments, wrestling match analysis, wrestling showdown highlights, wrestling event highlights, wrestler interview, wrestling recap show, wrestler journey, wrestler career highlights, behind the scenes wrestling, wrestler stories, wrestler interviews 2025, wrestling news and updates, wrestler spotlight, wrestling character development, wrestler comeback stories, wrestling interviews, wrestling pay-per-view events, wrestling event schedule, wrestling live events, wrestling event highlights, wrestling event reviews, upcoming wrestling events, wrestling event analysis, wrestling event predictions, wrestling event results, wrestling event livestream, wrestling event coverage, wrestling event recap","find your life's purpose, how to change your life, stop overthinking tips, achieve your goals, personal growth strategies, self improvement techniques, life advice for young adults, how to get ahead in life, mindset for success, overcoming self-doubt, build a lifestyle business, how to start a business, business ideas for 2025, financial freedom strategies, make money online, how to earn $1m, successful business case studies, entrepreneurial mindset, wealth building tips, starting a business from scratch, productivity tips and tricks, how to make time for everything, best productivity apps, time management strategies, habits for success, how to stay organized, boosting productivity at work, daily routines for productivity, overcoming procrastination, effective goal setting",1,2025-10-30T23:42:39.243599
