Channel_Name,New_LLM_Score,New_Emb_Score,Old_LLM_Score,Old_Emb_Score,Cand_Ideology,Cand_Format,Cand_Niche,Cand_Intent,Cand_Speaker,Cand_Audience,Seed_Ideology,Seed_Format,Seed_Niche,Seed_Categories,Seed_Keywords,Cand_Categories,Cand_Keywords
Mina Le,0.66,0.618,0.54,0.74,Neutral/Academic,Video Essay,Fashion & Cultural Commentary,To Educate (Tutorial),Solo Creator,"Fashion enthusiasts, movie lovers, and cultural critics",Neutral/Academic,Talking-Head Analysis,Cultural & Social Commentary,"Cultural Critique, Political & Economic Analysis, Technology & Media Critique","economic collapse imminent, society exposed, cultural decay revealed, truth about society, billionaire theft, media influence on society, government corruption exposed, societal collapse warning, celebrity downfall, social media manipulation, internet censorship warning, cultural commentary, media bias exposed, civil unrest forecast, AI dangers revealed, political scandal revealed, hidden agendas exposed, tech industry corruption, everything wrong with Hollywood, economic crisis warning, media manipulation, political manipulation, tech failures exposed, technology's dark side, political hypocrisy, debt crisis explained, digital privacy threats, social commentary, streaming scams uncovered, cultural hypocrisy exposed","Fashion & Identity Exploration, Cultural Critique & Analysis","the reality of social media fun, finding your personal style, clothing that fits, the dark side of romance fiction, the critique of modern romance films, the impact of social media on fashion, the psychology of fashion choices, celebrity fashion trends, the downfall of celebrity culture, the evolution of fashion, the rise of retro aesthetics, Hollywood's obsession with age gaps, the impact of streaming on culture, fashion's cultural significance, age gap romance in fashion, fashion myths debunked, the truth about plastic surgery, the evolution of personal style, the myth of originality in media, fashion industry secrets"
Noah Samsen,0.55,0.737,0.54,0.765,Progressive/Left,Talking-Head Analysis,Political Commentary & Activism,To Report News,Solo Creator,"Political Activists, Socially Conscious Viewers",Neutral/Academic,Talking-Head Analysis,Cultural & Social Commentary,"Cultural Critique, Political & Economic Analysis, Technology & Media Critique","economic collapse imminent, society exposed, cultural decay revealed, truth about society, billionaire theft, media influence on society, government corruption exposed, societal collapse warning, celebrity downfall, social media manipulation, internet censorship warning, cultural commentary, media bias exposed, civil unrest forecast, AI dangers revealed, political scandal revealed, hidden agendas exposed, tech industry corruption, everything wrong with Hollywood, economic crisis warning, media manipulation, political manipulation, tech failures exposed, technology's dark side, political hypocrisy, debt crisis explained, digital privacy threats, social commentary, streaming scams uncovered, cultural hypocrisy exposed","Political Exposé, Social Justice Advocacy","raise awareness for Gaza, activism against injustice, government cover-up, exposing war crimes, media manipulation revealed, activism against genocide, journalism under fire, empowering the oppressed, fight for human rights, truth about Israel, unmasking propaganda, mobilizing for change, stand against oppression, political corruption uncovered, truth about Gaza, support for marginalized voices, call to action for justice, solidarity with victims, genocide denial exposed, advocacy for Palestine"
Pop Culture Detective,0.55,0.712,0.54,0.676,Progressive/Left,Video Essay,Cultural Critique & Media Analysis,To Educate (Tutorial),Solo Creator,"Culturally Curious Individuals, Media Consumers",Neutral/Academic,Talking-Head Analysis,Cultural & Social Commentary,"Cultural Critique, Political & Economic Analysis, Technology & Media Critique","economic collapse imminent, society exposed, cultural decay revealed, truth about society, billionaire theft, media influence on society, government corruption exposed, societal collapse warning, celebrity downfall, social media manipulation, internet censorship warning, cultural commentary, media bias exposed, civil unrest forecast, AI dangers revealed, political scandal revealed, hidden agendas exposed, tech industry corruption, everything wrong with Hollywood, economic crisis warning, media manipulation, political manipulation, tech failures exposed, technology's dark side, political hypocrisy, debt crisis explained, digital privacy threats, social commentary, streaming scams uncovered, cultural hypocrisy exposed","Cultural Commentary, Social Justice & Ethics, Political & Environmental Themes","analyzing media narratives, advocating for consent, confronting media stereotypes, activism through art, reimagining societal structures, promoting empathy in storytelling, environmental storytelling, unmasking toxic masculinity, examining dystopian themes, addressing male vulnerability, navigating complex narratives, revealing media myths, highlighting systemic issues, exploring human nature, debunking alpha male myth, understanding representation, examining gender roles, cultural reflections on climate, engaging with critical theory, transformative storytelling, challenging societal norms, critique of nostalgia, narratives of hope, dissecting pop culture, deconstructing patriarchy, solarpunk futures, political implications in media, exposing harmful tropes, rethinking masculinity, advancing cultural awareness"
The Rational National,0.55,0.815,0.76,0.815,Progressive/Left,Talking-Head Analysis,Political Commentary & Media Critique,To Report News,Solo Creator,"Political Activists, Engaged Citizens",Neutral/Academic,Talking-Head Analysis,Cultural & Social Commentary,"Cultural Critique, Political & Economic Analysis, Technology & Media Critique","economic collapse imminent, society exposed, cultural decay revealed, truth about society, billionaire theft, media influence on society, government corruption exposed, societal collapse warning, celebrity downfall, social media manipulation, internet censorship warning, cultural commentary, media bias exposed, civil unrest forecast, AI dangers revealed, political scandal revealed, hidden agendas exposed, tech industry corruption, everything wrong with Hollywood, economic crisis warning, media manipulation, political manipulation, tech failures exposed, technology's dark side, political hypocrisy, debt crisis explained, digital privacy threats, social commentary, streaming scams uncovered, cultural hypocrisy exposed","Political Scandals & Critiques, Cultural & Social Issues, Election & Campaign Analysis","grassroots movements examined, cultural commentary that inspires, political ads scrutinized, social justice issues discussed, human rights violations exposed, campaign strategies dissected, debate highlights and analysis, election integrity discussions, shocking political revelations, impact of social media on elections, equality movements highlighted, activism in action, outrageous political behavior, progressive values championed, voices of the marginalized amplified, election fraud allegations, politician's lies uncovered, scandal revealed, political commentary that matters, truth behind the headlines, voter sentiment explored, political endorsements analyzed, cultural critique of media, political accountability demanded, political drama breakdown, candidate controversies revealed, exposed political corruption, community empowerment stories, government hypocrisy exposed, workers' rights activism"
tiffanyferg,0.55,0.831,0.54,0.721,Progressive/Left,Video Essay,Internet Culture & Social Commentary,To Educate (Tutorial),Solo Creator,"Young adults (18-35), internet-savvy viewers",Neutral/Academic,Talking-Head Analysis,Cultural & Social Commentary,"Cultural Critique, Political & Economic Analysis, Technology & Media Critique","economic collapse imminent, society exposed, cultural decay revealed, truth about society, billionaire theft, media influence on society, government corruption exposed, societal collapse warning, celebrity downfall, social media manipulation, internet censorship warning, cultural commentary, media bias exposed, civil unrest forecast, AI dangers revealed, political scandal revealed, hidden agendas exposed, tech industry corruption, everything wrong with Hollywood, economic crisis warning, media manipulation, political manipulation, tech failures exposed, technology's dark side, political hypocrisy, debt crisis explained, digital privacy threats, social commentary, streaming scams uncovered, cultural hypocrisy exposed","Cultural Critique, Trends & Issues","home renovation obsession, millennial vs. Gen Z, internet culture exposed, social media impact, community living exploration, parenting in the digital age, consumerism critique, cultural commentary, performative activism, influencer hypocrisy, nostalgia bait, influencer lifestyle paradox, cringe culture critique, social issues in media, pop culture analysis, millennial nostalgia, beauty standards critique, tech literacy crisis, family vlogging truth, financial rage bait"
Vox,0.35,0.699,0.62,0.871,Progressive/Left,Explainer Documentary,Political & Social Commentary,To Educate,Media Company,"Informed Citizens, Socially Conscious Viewers",Neutral/Academic,Talking-Head Analysis,Cultural & Social Commentary,"Cultural Critique, Political & Economic Analysis, Technology & Media Critique","economic collapse imminent, society exposed, cultural decay revealed, truth about society, billionaire theft, media influence on society, government corruption exposed, societal collapse warning, celebrity downfall, social media manipulation, internet censorship warning, cultural commentary, media bias exposed, civil unrest forecast, AI dangers revealed, political scandal revealed, hidden agendas exposed, tech industry corruption, everything wrong with Hollywood, economic crisis warning, media manipulation, political manipulation, tech failures exposed, technology's dark side, political hypocrisy, debt crisis explained, digital privacy threats, social commentary, streaming scams uncovered, cultural hypocrisy exposed","Social Issues & Commentary, Political Analysis & Critique, Cultural Insights & Trends","future of thrifting, memory remaking the past, rural healthcare crisis, truth about free speech, future of education under Trump, digital world potential, internet decline exposed, sports betting consequences, AI and education, fire season crisis, college cheating culture, climate change confusion, civil conflict in America, ghost towns revealed, independent theaters survival, impact of billionaires on society, hopeful pessimism explained, telehealth for rural America, American democracy at risk, probiotics in yogurt myth, TikTok control exposed, Trumpism explained, human extinction debates, cultural obsession with hope, America's infrastructure failures, volunteer EMS shortage, inequality and democracy, extinction scenarios, climate fight strategies, New Right movement"
David Pakman Show,0.35,0.8,0.67,0.778,Progressive/Left,Podcast/Interviews,Political Commentary & Analysis,To Report News,Media Company,"Political Activists, Progressive Viewers",Neutral/Academic,Talking-Head Analysis,Cultural & Social Commentary,"Cultural Critique, Political & Economic Analysis, Technology & Media Critique","economic collapse imminent, society exposed, cultural decay revealed, truth about society, billionaire theft, media influence on society, government corruption exposed, societal collapse warning, celebrity downfall, social media manipulation, internet censorship warning, cultural commentary, media bias exposed, civil unrest forecast, AI dangers revealed, political scandal revealed, hidden agendas exposed, tech industry corruption, everything wrong with Hollywood, economic crisis warning, media manipulation, political manipulation, tech failures exposed, technology's dark side, political hypocrisy, debt crisis explained, digital privacy threats, social commentary, streaming scams uncovered, cultural hypocrisy exposed","Political Exposé, Current Events & Analysis, Social Issues & Impact","Trump's election strategies dissected, Republican infighting exposed, healthcare misinformation exposed, urgent political updates, political chaos unfolding, voting rights under threat, government corruption exposed, shocking political truths, insider political analysis, impact of Trump's policies on farmers, political grift uncovered, Republicans turning against Trump, breaking news on Trump, Trump's influence waning, Trump's cognitive decline revealed, Trump's disastrous policies, economic collapse under Trump, Trump's trade wars impact, job market devastation revealed, social justice issues highlighted, Trump's trade failures, political panic revealed, Trump's economic failures, rural America suffering, Trump's health concerns exposed, food aid crisis exposed, latest political scandals, Trump's bizarre claims analyzed, SNAP aid controversy, cognitive tests controversy"
The Young Turks,0.35,0.826,0.76,0.859,Progressive/Left,Talking-Head Analysis,Political Commentary & News Analysis,To Report News,Media Company,"Political Activists, Young Progressives",Neutral/Academic,Talking-Head Analysis,Cultural & Social Commentary,"Cultural Critique, Political & Economic Analysis, Technology & Media Critique","economic collapse imminent, society exposed, cultural decay revealed, truth about society, billionaire theft, media influence on society, government corruption exposed, societal collapse warning, celebrity downfall, social media manipulation, internet censorship warning, cultural commentary, media bias exposed, civil unrest forecast, AI dangers revealed, political scandal revealed, hidden agendas exposed, tech industry corruption, everything wrong with Hollywood, economic crisis warning, media manipulation, political manipulation, tech failures exposed, technology's dark side, political hypocrisy, debt crisis explained, digital privacy threats, social commentary, streaming scams uncovered, cultural hypocrisy exposed","Political Exposés, Social Justice & Activism, Current Events & Analysis","mobilizing for social change, unpacking today's headlines, exposed political agendas, empowering marginalized voices, calling out inequality, government hypocrisy uncovered, shocking political truths, social issues exposed, advocating for change, politician lies revealed, controversial political commentary, analyzing political events, breaking news analysis, uncovering social injustices, scandalous political behavior, political manipulation exposed, current events dissected, progressive activism revealed, fight for justice, news you won't hear elsewhere, urgent news updates, unmasking political figures, in-depth news analysis, political corruption exposed, activism against oppression, revealing the truth behind headlines, insightful news commentary, critical news breakdown, challenging the status quo, truth about government"
Tom Nicholas,0.35,0.866,0.73,0.842,Progressive/Left,Video Essay,Political & Cultural Commentary,To Educate,Solo Creator,"Curious Learners, Political Activists",Neutral/Academic,Talking-Head Analysis,Cultural & Social Commentary,"Cultural Critique, Political & Economic Analysis, Technology & Media Critique","economic collapse imminent, society exposed, cultural decay revealed, truth about society, billionaire theft, media influence on society, government corruption exposed, societal collapse warning, celebrity downfall, social media manipulation, internet censorship warning, cultural commentary, media bias exposed, civil unrest forecast, AI dangers revealed, political scandal revealed, hidden agendas exposed, tech industry corruption, everything wrong with Hollywood, economic crisis warning, media manipulation, political manipulation, tech failures exposed, technology's dark side, political hypocrisy, debt crisis explained, digital privacy threats, social commentary, streaming scams uncovered, cultural hypocrisy exposed","Political & Social Critique, Cultural Analysis","AI theft consequences, landlord exploitation, energy privatization impact, cultural narratives challenged, monopoly revealed, media bias exposed, university crisis exposed, housing crisis solutions, vape addiction epidemic, British monarchy controversy, capitalism critique, economic inequality discussion, transphobia in media, social justice movements, political debate frustration, youth activism insights, peaceful protest arrests, postmodernism demise, patreon downfall, far right takeover"
Tara Mooknee,0.35,0.779,0.67,0.799,Progressive/Left,Video Essay,Feminist & Cultural Commentary,To Educate (Tutorial),Solo Creator,"Young adults (18-35), socially conscious individuals",Neutral/Academic,Talking-Head Analysis,Cultural & Social Commentary,"Cultural Critique, Political & Economic Analysis, Technology & Media Critique","economic collapse imminent, society exposed, cultural decay revealed, truth about society, billionaire theft, media influence on society, government corruption exposed, societal collapse warning, celebrity downfall, social media manipulation, internet censorship warning, cultural commentary, media bias exposed, civil unrest forecast, AI dangers revealed, political scandal revealed, hidden agendas exposed, tech industry corruption, everything wrong with Hollywood, economic crisis warning, media manipulation, political manipulation, tech failures exposed, technology's dark side, political hypocrisy, debt crisis explained, digital privacy threats, social commentary, streaming scams uncovered, cultural hypocrisy exposed","Feminist Critique, Cultural Commentary, Political Analysis","political correctness debated, misogyny exposed, pro-life movement critiqued, youth culture examined, government influence exposed, political discourse challenged, social media impact on women, celebrity culture critiqued, toxic femininity revealed, dating culture scrutinized, feminism in crisis, patriarchy exposed, toxic relationships dissected, activism in the digital age, political hypocrisy revealed, women's rights under attack, women's issues highlighted, cultural narratives deconstructed, political satire dissected, feminist discourse analyzed, social issues highlighted, activism strategies analyzed, cultural appropriation exposed, gender roles challenged, beauty standards challenged, political correctness gone wrong, social justice movements explored, female empowerment dismantled, internalized misogyny confronted, internet trends analyzed"
