Channel_Name,Channel_ID,video_id,title,description,published_at,duration_seconds,is_short,transcription_original,transcription_language
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,2dtwhEwCig8,Apple MacBook Pro 14 M5 Chip Unboxing & First Look - Designed for the AI Era!🔥🔥🔥,"Namaskaar Dosto, aaj ke video mein karte hain Apple MacBook Pro M5 ki unboxing aur dekhte hai ek first look. Ye 14-inch variant hai with M5 chip, & AI power, making it superfast for creators & pros. Retains classic design, all ports & massive performance! Perfect for extreme workflows. Mujhe umeed hai ki aapko MacBook Pro M5 ki yeh video pasand aayegi.   #MacBookProM5 #TechnicalGuruji #TGFamily   00:00 - Intro  00:46 - Chaliye Shuru Karte Hain  00:55 - MacBook Pro M5 - Unboxing 02:50 - MacBook Pro M5 - Montage  03:16 - MacBook Pro M5 - Physical Overview 05:00 - MacBook Pro M5 - Display 05:52 - MacBook Pro M5 - M5 Chip 07:30 - MacBook Pro M5 - Battery 07:20 - MacBook Pro M5 - Advanced Features 09:52 - MacBook Pro M5 - Price 10:10 - MacBook Pro M5 - Tasks 11:24 - MacBook Pro M5 - Mac OS 12:46 - MacBook Pro M5 - App Demonstration  14:38 - MacBook Pro M5 - Summary  15:12 - MacBook Pro M5 - Outro  Share, Support, Subscribe!!! Subscribe: http://bit.ly/1Wfsvt4 Android App: https://technicalguruji.in/app Youtube: http://www.youtube.com/c/TechnicalGuruji  Twitter:  http://www.twitter.com/technicalguruji Facebook: http://www.facebook.com/technicalguruji Facebook Myself: https://goo.gl/zUfbUU Instagram: http://instagram.com/technicalguruji Website: https://technicalguruji.in/ Merchandise: http://shop.technicalguruji.in/  About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",2025-10-23 14:21:20,950,False,,
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Wh2sRAjV9_Q,Apple iPad Pro M5 Unboxing & First Look – Power Beyond Limits!🔥🔥🔥,"Namaskaar Dosto, aaj ke video mein karte hain Apple iPad Pro M5 ki unboxing aur dekhte hai ek first look. Ye 13-inch variant hai with M5 chip, jo bana deta hai isse superfast for pro workflows. Slim, sleek & powerful, yeh hai productivity ka ultimate device for creators & professionals! Mujhe umeed hai ki aapko Apple iPad Pro M5 Chip ki yeh video pasand aayegi.   #iPadProM5 #TechnicalGuruji #TGFamily   Timestamps :- 00:00 - INTRO 00:30 - Chaliye shuru karte hain 00:40 - iPad PRO M5 - Unboxing 01:47 - iPad PRO M5 - MONTAGE 02:13 - iPad PRO M5 - Physical Overview 03:09 - iPad PRO M5 - Design 04:00 - iPad PRO M5 - Screen 04:56 - iPad PRO M5 -  Buttons & Ports 06:07 - iPad PRO M5 - Apple M5 CHIP 07:25 - iPad PRO M5 - iPad OS 26 09:35 - iPad PRO M5 - Apple Pencil Pro 10:45 - iPad PRO M5 - PRICE 11:15 - iPad PRO M5 - Summary 11:50 - OUTRO   Share, Support, Subscribe!!! Subscribe: http://bit.ly/1Wfsvt4 Android App: https://technicalguruji.in/app Youtube: http://www.youtube.com/c/TechnicalGuruji  Twitter:  http://www.twitter.com/technicalguruji Facebook: http://www.facebook.com/technicalguruji Facebook Myself: https://goo.gl/zUfbUU Instagram: http://instagram.com/technicalguruji Website: https://technicalguruji.in/ Merchandise: http://shop.technicalguruji.in/  About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",2025-10-22 13:42:56,720,False,,
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,mIOFPon4e4w,The Future of AI Smartphones Is Here! Galaxy AI Explained in Detail Ft. Gemini!🔥🔥🔥,"Namaskaar Dosto, aaj ke video mein baat karte hain Samsung Galaxy AI ke sabse powerful features ki . Galaxy AI + Google Gemini ka combination bana raha hai Galaxy Z Fold 7 aur S25 Ultra ko market ke smartest smartphones! From live translate to AI photo editing, amsung is democratizing AI for all with 400M+ devices by year end! Mujhe umeed hai ki aapko Galaxy AI ki yeh video pasand aayegi.  #GalaxyS25Ultra #Samsung #GalaxyAI #GeminiLiveAI #GoogleGemini #TechnicalGuruji   https://www.samsung.com/in/smartphones/galaxy-s25-ultra/buy/?cid=in_pd_video_youtube_s25_none_samsung-s25-q1-2025_influencers-video_22jan2025-yt_2-videowatchers-cpv_na-na-na-na-na-na-na-na-na-na-na   00:00 - INTRO 01:32 - Chaliye Shuru Karte Hain 01:42 - Introduction to SAMSUNG GALAXY AI 02:03 - Samsung S25 ULTRA & Samsung Z FOLD 7 - Multimodal AI 02:38 - GALAXY AI Experience Across the Lineup 03:13 - GALAXY AI Experience in S25 Ultra & Z Fold 7 03:54 - GALAXY AI - Call ASSIST 04:43 - GALAXY AI - Writing ASSIST 05:10 - GALAXY AI - Interpreter 05:37 - GALAXY AI - Note ASSIST 05:57 - GALAXY AI - Transcript ASSIST 06:21 - GALAXY AI - Browsing ASSIST  06:41 - GALAXY AI - Photo ASSIST 07:07 - GALAXY AI - Drawing ASSIST 07:25 - GALAXY AI - Audio Eraser 07:39 - GALAXY AI - Photo Ambient Wallpaper 07:49 - GALAXY AI -Now Bar & Now Brief 08:08 - GALAXY AI - Health Assist 08:18 - Gemini Features 09:44 - Summary 10:47 - OUTRO   Share, Support, Subscribe!!! Subscribe: http://bit.ly/1Wfsvt4 Android App: https://technicalguruji.in/app Youtube: http://www.youtube.com/c/TechnicalGuruji  Twitter:  http://www.twitter.com/technicalguruji Facebook: http://www.facebook.com/technicalguruji Facebook Myself: https://goo.gl/zUfbUU Instagram: http://instagram.com/technicalguruji Website: https://technicalguruji.in/ Merchandise: http://shop.technicalguruji.in/  About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",2025-10-21 12:59:22,658,False,,
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Nr03VkVBALA,Tesla Phone Launch Date? | Best Phone Under 20K? | No MicroSD Slot? | STM #460 | Technical Guruji🔥🔥🔥,"Namaskaar Dosto, yeh video hai Sunday Tech Masala ke ek aur episode ka aur yahan maine diye hain aapke puche gaye #bologuruji sawalo ke jawab. Mujhe umeed hai ki aapko yeh video pasand aayegi. Like, share subscribe karte huye comments mein batana aur hum milenge agle hafte aapke kuch aur aise sawalo ke jawab dene ke liye. Tab tak ke kiye apne sawalo ki list taiyaar rakho.  #SundayTechMasala #BoloGuruji #TechnicalGuruji #TGFamily   STM #460 Time Stamps  00:00 - Intro  00:31 - Chaliye Shuru Karte Hain  00:39 - Frustrating Moto Ads? 01:48 - Budget Smartphones Under 20k? 03:10 - MacBook Air M2 for 64k? 04:01 - Phone addiction?  05:10 - Pixel 7a Battery? 06:23 - Tesla Mobile Launch Date? 06:56 - OnePlus Downfall? 08:47 - MS Excel in the MacBook? 09:34 - Phone Under 30k? 10:12 - Whoop Band Vs. Apple Watch 6? 12:47 - How to Get rid of Phone Addiction? 13:40 - iPhone 17 Pro Vs. iPhone 17 Pro Max? 16:27 - Manage MacBook Storage? 17:15 - Apple Device Necessary for YouTube? 18:20 - Samsung S24FE in BBD? 21:07 - Zoho & Arratai Comment? 22:06 - Why Ditching SD card from Smartphones? 23:45 - Old Followers commitment? 24:40 - Purchase from BBD sale? 25:40 - Summary 25:57 - OUTRO  Share, Support, Subscribe!!! Subscribe: http://bit.ly/1Wfsvt4 Android App: https://technicalguruji.in/app Youtube: http://www.youtube.com/c/TechnicalGuruji  Twitter:  http://www.twitter.com/technicalguruji Facebook: http://www.facebook.com/technicalguruji Facebook Myself: https://goo.gl/zUfbUU Instagram: http://instagram.com/technicalguruji Website: https://technicalguruji.in/ Merchandise: http://shop.technicalguruji.in/  About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",2025-10-19 11:19:52,1561,False,,
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,ne5JN8JWa8k,Nothing Phone (3a) Lite? | Google Chrome Security? | iPad Pro M5 | Episode 169 | Technical Guruji🔥🔥🔥,"Namaskar Dosto, #WTF ke naye episode mai humne baat ki tech duniya ke baare mein aur share kiye hai kuch WTF updates hamare Weekly Tech Focus mein, yaha pe baat hui hai Nothing Phone (3a) Lite?, Google Chrome Security?, iPad Pro M5 aur bahut se interesting updates ke baare mein. I hope aapko WTF ka ye episode pasand aaya hoga. Like & Comment karke zarur batana aapko ye video kaisi lagi.  #WeeklyTechFocus #TechnicalGuruji #TGFamily   00:00 - Intro 00:21 - Chaliye shuru karte hain 00:30 - Apple  02:33 - Samsung 04:31 - Nothing 05:24 - Honor 06:25 - Google 08:04 - Realme 08:42 - Vivo 09:22 - Spotify 09:58 - OnePlus 10:43 - Indian Startup 11:41 - Whatsapp 12:39 - CERT Security 13:17 - Outro  Share, Support, Subscribe!!! Subscribe: http://bit.ly/1Wfsvt4 Android App: https://technicalguruji.in/app Youtube: http://www.youtube.com/c/TechnicalGuruji  Twitter:  http://www.twitter.com/technicalguruji Facebook: http://www.facebook.com/technicalguruji Facebook Myself: https://goo.gl/zUfbUU Instagram: http://instagram.com/technicalguruji Website: https://technicalguruji.in/ Merchandise: http://shop.technicalguruji.in/  About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",2025-10-18 11:56:06,822,False,,
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,vvW20awPlYo,Samsung Galaxy Tab S11 Ultra Unboxing & First Look - The Best Android Tablet!🔥🔥🔥,"Namaskaar Dosto, aaj ke video mein karte hain Samsung Galaxy Tab S11 Ultra ki unboxing aur dekhte hai ek first look. Ye Samsung ka naya flagship tablet hai with massive display, powerful performance, AI features, S Pen support aur IP68 water resistance. Sleek design ke saath ye productivity aur entertainment dono mein king hai! Mujhe umeed hai ki aapko Galaxy S11 Ultra ki yeh video pasand aayegi.   #GalaxyTabS11Ultra #TechnicalGuruji #TGFamily   Time Stamps -  00:00 - Intro  00:32 - Chaliye Shuru Karte Hain  00:41 - SAMSUNG TAB S11_ULTRA- Unboxing 02:12 - SAMSUNG TAB S11_ULTRA- Montage  02:42 - SAMSUNG TAB S11_ULTRA- Physical Overview 03:21 - SAMSUNG TAB S11_ULTRA- Display 04:22 - SAMSUNG TAB S11_ULTRA- Button & Ports 05:28 - SAMSUNG TAB S11_ULTRA- Camera 05:56 - SAMSUNG TAB S11_ULTRA- Durability 06:17 - SAMSUNG TAB S11_ULTRA- Hardware 06:38 - SAMSUNG TAB S11_ULTRA- Battery 07:20 - SAMSUNG TAB S11_ULTRA- AI Features & S PEN 08:46 - SAMSUNG TAB S11_ULTRA- Conclusion 09:51 - SAMSUNG TAB S11_ULTRA- Price 10:26 - SAMSUNG TAB S11_ULTRA- Summary  10:52 - SAMSUNG TAB S11_ULTRA- Outro   Share, Support, Subscribe!!! Subscribe: http://bit.ly/1Wfsvt4 Android App: https://technicalguruji.in/app Youtube:    / technicalguruji    Twitter:    / technicalguruji   Facebook:   / technicalguruji   Facebook Myself: https://goo.gl/zUfbUU Instagram:   / technicalguruji   Website: https://technicalguruji.in/ Merchandise: http://shop.technicalguruji.in/  About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",2025-10-17 13:54:43,690,False,,
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,scu6_n8ozqE,Meta Ray-Ban Display Unboxing & First Look - The Future Of Smartglasses!🔥🔥🔥,"Namaskaar Dosto, aaj ke video mein karte hain Meta Ray-Ban Display Smart Glasses ki unboxing aur dekhte hai ek first look. Ye latest AI-powered glasses Meta ke taraf se aate hain with Waveguide Display, premium sound, built-in Meta AI aur EMG band gesture control ke saath. Ek futuristic gadget jo smartphone ko replace kar sakta hai! Mujhe umeed hai ki aapko Meta RAy-Ban Display ki unboxing video pasand aayegi.    #MetaRayBanDisplay #TechnicalGuruji #TGFamily   Timestamps :- 00:00 - Intro – The Most Expensive Glasses Ever 00:49 -  Chaliye shuru karte hain 00:59 - Story Time – How I Got Them 03:19 - Unboxing – First Look at the Box & Packaging 03:34 - Unboxing - Neural Band Explained 05:37 - MONTAGE 06:12 - Design & Build Quality 07:34 - Gestures & Controls 07:44 - Setup & Connection with Meta AI App 08:17 - Display Technology 08:50 - Apps & Features 11:14 - AI Assistant Demo (Meta AI in Action) 12:22 - Navigation & Daily Use 12:48 - Audio, Camera & Media Experience 13:23 - Battery Life & Charging 13:48 - Durability & Build Details 14:08 - Future of Wearable Tech 15:22 - Summary 16:30 - Outro & Sign-off   Share, Support, Subscribe!!! Subscribe: http://bit.ly/1Wfsvt4 Android App: https://technicalguruji.in/app Youtube: http://www.youtube.com/c/TechnicalGuruji  Twitter:  http://www.twitter.com/technicalguruji Facebook: http://www.facebook.com/technicalguruji Facebook Myself: https://goo.gl/zUfbUU Instagram: http://instagram.com/technicalguruji Website: https://technicalguruji.in/ Merchandise: http://shop.technicalguruji.in/  About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",2025-10-16 13:10:15,1010,False,,
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,MMNr5_KHrLk,Sony ULT Field 3 & Field 5 Unboxing and First Look - New Portable Party Speakers!🔥🔥🔥,"Namaskaar Dosto, aaj ke video mein karte hain Sony ULT Field 3 aur ULT Field 5 Bluetooth speakers ki unboxing aur dekhte hai ek first look. Ye dono naye speakers laate hain premium sound quality, deep bass, carry strap design aur IP rating ke saath powerful outdoor performance. Party ho ya travel, ye speakers har jagah fit hain. Mujhe umeed hai ki aapko Sony ULT Field 3 and Field 5 ki yeh video pasand aayegi.    #SonyULTField3 #SonyULTField5 #TechnicalGuruji #TGFamily   Timestamps :- 00:00 - INTRO 00:16 - Product Intro 01:00 - Chaliye Shuru Karte Hain 01:09 - SONY ULT FIELD 3 & 5 - UNBOXING 02:37 - SONY ULT FIELD 3 & 5 - MONTAGE 03:07 - SONY ULT FIELD 3 & 5 - PHYSICAL OVERVIEW 03:29 - SONY ULT FIELD 3 & 5 - BUTTONS & PORTS 04:44 - SONY ULT FIELD 3 & 5 - DURABILITY 05:12 - SONY ULT FIELD 3 & 5 - WOOFER & TWEETERS 06:40 - SONY ULT FIELD 3 & 5 - SOUND TEST 07:55 - SONY ULT FIELD 3 & 5 - FIELD Lineup 08:11 - SONY ULT FIELD 3 & 5 - COMPACT & LIGHT WEIGHT 09:34 - SONY ULT FIELD 3 & 5 - KARAN AUJLA X ULT FIELD 10:06 - SONY ULT FIELD 3 & 5 - Summary   11:17 - SONY ULT FIELD 3 & 5 -  PRICE 11:27 - OUTRO  Share, Support, Subscribe!!! Subscribe: http://bit.ly/1Wfsvt4 Android App: https://technicalguruji.in/app Youtube: http://www.youtube.com/c/TechnicalGuruji  Twitter:  http://www.twitter.com/technicalguruji Facebook: http://www.facebook.com/technicalguruji Facebook Myself: https://goo.gl/zUfbUU Instagram: http://instagram.com/technicalguruji Website: https://technicalguruji.in/ Merchandise: http://shop.technicalguruji.in/  About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",2025-10-15 10:18:59,695,False,,
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,mnD5ppXIWK4,OPPO Enco Buds3 Pro Unboxing & First Look - Best in Budget?🔥🔥🔥,"Namaskaar Dosto, aaj ke video mein karte hain OPPO Enco Buds 3 Pro ki unboxing aur dekhte hai ek first look. Ye ek budget-friendly TWS earphones hain under ₹2000 ke price mein, jisme milte hain clear sound, AI noise cancellation, long battery life aur stylish design. Kya ye best affordable TWS 2025 ke liye hai? Mujhe umeed hai ki aapko yeh video pasand aayegi.   #OPPOEncoBuds3Pro #TechnicalGuruji #TGFamily   OPPO ENCO BUDS 3 PRO Time Stamp 0:00 – Intro 00:04 - OPPO ENCO BUDS 3 PRO - Overview 00:28 - Chaliye Shuru Karte Hain 00:37 - OPPO ENCO BUDS 3 PRO - Unboxing 01:22 - OPPO ENCO BUDS 3 PRO - Montage 01:38 - OPPO ENCO BUDS 3 PRO - Design  & Ports 02:34 - OPPO ENCO BUDS 3 PRO - Battery Backup 03:14 - OPPO ENCO BUDS 3 PRO - Buds Control 04:33 - OPPO ENCO BUDS 3 PRO - Audio Experinces & Performance 05:18 – OPPO ENCO BUDS 3 PRO - Price  06:02 - OPPO ENCO BUDS 3 PRO - Summary 06:41 - OUTRO  Share, Support, Subscribe!!! Subscribe: http://bit.ly/1Wfsvt4 Android App: https://technicalguruji.in/app Youtube: http://www.youtube.com/c/TechnicalGuruji  Twitter:  http://www.twitter.com/technicalguruji Facebook: http://www.facebook.com/technicalguruji Facebook Myself: https://goo.gl/zUfbUU Instagram: http://instagram.com/technicalguruji Website: https://technicalguruji.in/ Merchandise: http://shop.technicalguruji.in/  About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",2025-10-13 12:16:39,408,False,,
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,R2hg_rfe9rQ,ZOHO Safe Or Not? | Samsung Watch Steps? | MY SIM Card | HMD Touch? | STM #459 | Technical Guruji🔥🔥🔥,"Namaskaar Dosto, yeh video hai Sunday Tech Masala ke ek aur episode ka aur yahan maine diye hain aapke puche gaye #bologuruji sawalo ke jawab. Mujhe umeed hai ki aapko yeh video pasand aayegi. Like, share subscribe karte huye comments mein batana aur hum milenge agle hafte aapke kuch aur aise sawalo ke jawab dene ke liye. Tab tak ke kiye apne sawalo ki list taiyaar rakho.  #SundayTechMasala #BoloGuruji #TechnicalGuruji #TGFamily   STM #459 Time Stamps   00:00 - Intro  00:35 - Chaliye Shuru Karte Hain  00:44 - HMD Touch Review? 01:27 - OnePlus 15 Camera? 02:04 - Tech Product Burden? 03:01 - Duplicate display iPhone from Flipkart BBD? 03:49 - ZOHO Applications are safe or not? 04:41 - Samsung Vs. Apple Watch? 05:41 - Special for Old Subscribers? 07:05 - Arratai app usage? 07:50 - Parliament experience ? 09:47 - Phone Use for 7 years? 10:36 - Youtube search & watch history? 11:16 - Dubai Primary SIM card? 13:09 - iPhone charging Realme Charger? 13:40 - Interview of Samsung CEO? 14:53 - Collab with Fitness Influencer? 15:08 - Macbook Vs. Windows Laptop? 17:23 - Apple Neckband? 17:51 - Summary 18:06 - OUTRO   Share, Support, Subscribe!!! Subscribe: http://bit.ly/1Wfsvt4 Android App: https://technicalguruji.in/app Youtube: http://www.youtube.com/c/TechnicalGuruji  Twitter:  http://www.twitter.com/technicalguruji Facebook: http://www.facebook.com/technicalguruji Facebook Myself: https://goo.gl/zUfbUU Instagram: http://instagram.com/technicalguruji Website: https://technicalguruji.in/ Merchandise: http://shop.technicalguruji.in/  About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",2025-10-12 08:00:28,1095,False,,
