Channel_ID,Channel_Name,Date_Added,Processing_Status,Embedding_Score,LLM_Score,niche
UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,2025-10-29T20:23:30.770719,seed,,,Productivity - Educational Tutorials
UCc10FHcTr3QnIVw2BRf2BZg,STREET FOOD JOURNEY,2025-10-29T20:23:30.772516,scored,0.353,0.13,Street Food - Documentary
UChhw6DlKKTQ9mYSpTfXUYqA,Starter Story,2025-10-29T20:23:30.772516,scored,0.886,0.58,Entrepreneurship - Documentary
UCcdOEjqjiVAnUtEFZIRTlHg,iggyazaleamusicVEVO,2025-10-29T20:23:30.772516,scored,0.331,0.13,Music - Visualizer
UCGW9Yu-lasXo09P4ppv3n9g,Rise with Nihar,2025-10-29T20:23:30.772516,scored,0.81,0.46,Entrepreneurship - Podcast/Interviews
UCDF3Nh_Oapgdht765TD-eqA,Tech Philim,2025-10-29T20:23:30.772516,scored,0.635,0.58,Tech & AI - Educational Tutorials
UCDYkLgjMdmF6okuIdZaZupw,Kalpanas Vlogs,2025-10-29T20:23:30.772516,scored,0.829,0.46,Inspirational Content - Vlog
UCPpu7qeRDxAI-VmqB0iR_vg,Isha sisodiya,2025-10-29T20:23:30.772516,scored,0.458,0.13,Comedy - Shorts
UCzwCEE_PchiBULMnAJqhGVg,Raj Shamani,2025-10-29T20:23:30.772516,scored,0.867,0.61,Entrepreneurship - Podcast/Interviews
UCA-mWX9CvCTVFWRMb9bKc9w,Dan Martell,2025-10-29T20:23:30.772516,scored,0.93,0.91,Entrepreneurship - Educational Tutorials
UC0RT9m-SYlWAinfgCtnd3Yg,Moggerly,2025-10-29T20:23:30.772516,scored,0.507,0.16,Talent Showcase - Documentary
UCDgUAAHgsV2fFZQm2fIWBnA,Prince Ea,2025-10-29T20:23:30.772516,scored,0.899,0.58,Personal Development - Spoken Word
UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2025-10-29T20:23:30.772516,scored,0.402,0.13,Pop Culture - Vlog
UCSXST7C6VuW-lDEHpwb1UIw,Hauterrfly,2025-10-29T20:23:30.772516,scored,0.452,0.16,Women's Lifestyle - Podcast/Interviews
UC0s-lFzmVzrARZpu89WGCZA,Yash Pratap Singh,2025-10-29T20:23:30.772516,scored,0.615,0.49,Entrepreneurship - Educational Tutorials
UCLsooMJoIpl_7ux2jvdPB-Q,Super Simple Songs - Kids Songs,2025-10-29T20:23:30.772516,scored,0.313,0.16,Children's Education - Educational Tutorials
UCxelRRvZTy7tbHZ8uvi4BZw,@smotivation1line,2025-10-29T20:23:30.772516,scored,0.82,0.64,Motivation - Educational Tutorials
UCpeRshJCY2B1irGJUs3vmRg,Sheff G,2025-10-29T20:23:30.772516,scored,0.359,0.1,Music - Music Videos
UCHJ0k3TJURYDAw6McDTYSgg,B Technology,2025-10-29T20:23:30.772516,scored,0.384,0.13,Satisfying Videos - Compilation
UCz67TNWBqU38S8VRvjDO2wg,Khooni Monday,2025-10-29T20:23:30.772516,scored,0.371,0.13,Horror Stories - Documentary
UC5pK3w6QEq1bUMmU2Hs43Pw,Best Buy,2025-10-29T20:23:30.772516,scored,0.423,0.34,Tech - Educational Tutorials
UCQVwn0HNVFhg52-8ln0WJSw,Iron Chef Dad,2025-10-29T20:23:30.772516,scored,0.472,0.13,Cooking - Vlog
UCsKc38DDpGkNTHwsYjA0rbA,cravingsandcalories vlogs,2025-10-29T20:23:30.772516,scored,0.228,0.13,Food and Travel - Vlog
UCC6gbNO098rkQKCU0ZaLITQ,Facts' Mine,2025-10-29T20:23:30.772516,scored,0.478,0.28,Facts - Documentary
UCMO0fL9oNCKscgzJQgrfbmQ,Fit beauty,2025-10-29T20:23:30.772516,scored,0.519,0.22,Beauty - Educational Tutorials
UCtMaG_Zehf5XU-RLm8xbKdA,Success Affection,2025-10-29T20:23:30.772516,scored,0.796,0.38,Motivation - Talking-Head Analysis
UCzpwkXk_GlfmWntZ9v4l3Tg,The Ramsey Show,2025-10-29T20:23:30.772516,scored,0.85,0.64,Financial Education - Podcast/Interviews
UC1eDpSjujSxygPbUByKLWdA,Legends attitude,2025-10-29T20:23:30.772516,scored,0.487,0.38,Self-Improvement - Educational Tutorials
UCgkeXJ0beDGPUfbFkv1dDQA,Aishwarya NIT Rourkela,2025-10-29T20:23:30.772516,scored,0.591,0.44,Academic Mentoring - Educational Tutorials
UCWQrSQ0wJ3oZshXsZcl_Srg,Music Media,2025-10-29T20:23:30.772516,scored,0.363,0.13,Music and Entertainment - Talking-Head Analysis
UCjd7Hr17wfg5-xwcMYhyEpQ,Suresh Mansharamani: Business Coach,2025-10-29T20:23:30.772516,scored,0.883,0.64,Entrepreneurship - Educational Tutorials
UC-b3c7kxa5vU-bnmaROgvog,The Futur,2025-10-29T20:23:30.772516,scored,0.816,0.76,Entrepreneurship - Educational Tutorials
UCWCOoCApFUtccYENOYeL1uw,CBC Kids,2025-10-29T20:23:30.772516,scored,0.405,0.13,Children's Entertainment - Segments and Shows
UCH-g5AQbCdDMtEmBtGXLXNQ,thebeekid,2025-10-29T20:23:30.772516,scored,0.736,0.38,Tech and Lifestyle - Vlog
UCGdPm5Aq081vVD7ih9jZf6Q,FactTechz,2025-10-29T20:23:30.772516,scored,0.639,0.34,Educational Content - Documentary
UCM1gEqLPsgej7ZKzu9w8v7A,LilBabyVEVO,2025-10-29T20:23:30.772516,scored,0.338,0.1,Music - Music Videos
UCk-fweSLYJg9s8JnkUd-NUA,AK,2025-10-29T20:23:30.772516,scored,0.549,0.22,Lifestyle - Vlog
UCY6N8zZhs2V7gNTUxPuKWoQ,Ishan Sharma,2025-10-29T20:23:30.772516,scored,0.824,0.58,Entrepreneurship - Documentary
UCgtTQJ2eCHPmJwyRCbPltug,RapidLapse,2025-10-29T20:23:30.772516,scored,0.42,0.16,Botany - Documentary
UCdlNK1xcy-Sn8liq7feNxWw,Grant Cardone,2025-10-29T20:23:30.772516,scored,0.875,0.64,Financial Education - Talking-Head Analysis
UClWTCPVi-AU9TeCN6FkGARg,EO,2025-10-29T20:23:30.772516,scored,0.823,0.58,Entrepreneurship - Documentary
UCsvAmubKx86Js7qxjZOol2g,GOODLAND,2025-10-29T20:23:30.772516,scored,0.198,0.16,Animation - Storytelling
UCJvE3uJFyBS1WhL1Tou85Hg,rjkarishma,2025-10-29T20:23:30.772516,scored,0.416,0.13,Comedy - Documentary
UCy_DlTwLI812Lh-OIKYrwrQ,Adi Connection,2025-10-29T20:23:30.772516,scored,0.33,0.14,English Learning for Kids - Educational Tutorials
UCPuduY__J6BEggw3wm3A2tg,Blind on the Move,2025-10-29T20:23:30.772516,scored,0.365,0.34,Vision Rehabilitation - Educational Tutorials
UCSPy6VAHbkR5TeIGthkMJdw,MONEY_TALKS,2025-10-29T20:23:30.772516,scored,0.894,0.52,Entertainment - Edits
UCvQDlD9pJlVlGGl-mMq6UPg,systemHUB,2025-10-29T20:23:30.772516,scored,0.825,0.76,Business Systems - Educational Tutorials
UCozwejESfvl88CBBL0KgEhw,Hamster Kombat,2025-10-29T20:23:30.772516,scored,0.532,0.22,Gaming - Vlog
UCIn1EsSr4rgSznqrKtteQgA,TheAnimeMen,2025-10-29T20:23:30.772516,scored,0.303,0.1,Anime - Vlog
UCQpPo9BNwezg54N9hMFQp6Q,Nischa,2025-10-29T20:23:30.772516,scored,0.726,0.66,Financial Education - Educational Tutorials
UCsBjURrPoezykLs9EqgamOA,Fireship,2025-10-29T20:23:30.772516,scored,0.562,0.58,Programming - Educational Tutorials
UCPW0F3QPcwARHVFULyMMr0A,Sujal Thakral,2025-10-29T20:23:30.772516,scored,0.506,0.13,Comedy - Vlog
UCwOk2sq9ehi4Q-sxAM4sfmA,BossUpCosmetics,2025-10-29T20:23:30.772516,scored,0.758,0.52,Entrepreneurship - Vlog
UCT2xzagsBVtStUCA2ulvKmQ,Manoj Dey,2025-10-29T20:23:30.772516,scored,0.789,0.64,Tech - Educational Tutorials
UCuKVsDS3oVzTuNjnQ79pEEg,Edmund Yong,2025-10-29T20:23:30.772516,scored,0.857,0.92,Entrepreneurship - Educational Tutorials
UCvz84_Q0BbvZThy75mbd-Dg,Zack D. Films,2025-10-29T20:23:30.772516,scored,0.415,0.28,Unusual Stories - Documentary
UCIbdlU052I2QSd7pO_CF31w,𝐏𝐢𝐧𝐤 𝐁𝐞𝐫𝐫𝐲'𝐬,2025-10-29T20:23:30.772516,scored,0.474,0.13,Lifestyle - Vlog
UCgkKA7xEOoBQNpC5TJxPLiw,Ben Lionel Scott,2025-10-29T20:23:30.772516,scored,0.75,0.52,Motivation - Documentary
UC5rHti2iIMkXL12pxhMLvTg,Akancha Sharma,2025-10-29T20:23:30.772516,scored,0.41,0.13,Lifestyle - Vlog
UCokE8KzNkKIe4jQRATN8Fcg,Sudha Tripathi 3M,2025-10-29T20:23:30.772516,scored,0.235,0.16,Beauty and Personal Care - Educational Tutorials
UCTAmwT_YfRvsIKIdMFJK6iA,Neel Sharma,2025-10-29T20:23:30.772516,scored,0.458,0.16,Personal Experiences - Vlog
UCX6S71YiSkrEnJ_zcIKaI9g,Mr Techpedia,2025-10-29T20:23:30.772516,scored,0.375,0.26,Technology - Educational Tutorials
UC3xNlZYxWt6fys0G6uubprQ,Dr. Tanu Jain,2025-10-29T20:23:30.772516,scored,0.713,0.28,Philosophy - Talking-Head Analysis
UCq-FDG6Db59WvfRMQI6rYWw,Sameeksha Sud,2025-10-29T20:23:30.772516,scored,0.502,0.22,Education - Educational Tutorials
UCoWhIOUIUCeMxJw4XVbI_6A,TheSutraas हिन्दी,2025-10-29T20:23:30.772516,scored,0.442,0.34,Educational - Educational Tutorials
UCjfgkXbwmFzcWK8sqKA0tcA,AlexKaltsMotivation,2025-10-29T20:23:30.772516,scored,0.763,0.34,Motivation - Documentary
UC1U7kHG0qVknuUIu_hm76Bw,Iman Gadzhi Inspiration,2025-10-29T20:23:30.772516,scored,0.939,0.79,Entrepreneurship - Vlog
UCUamVL0L_lgG720vqmdZqoA,Noodle & Pals,2025-10-29T20:23:30.772516,scored,0.276,0.1,Children's Entertainment - Storytelling
UCht20FQcvP8KATxdKAxJL8A,Rewirs,2025-10-29T20:23:30.772516,scored,0.764,0.38,Self-Improvement - Educational Tutorials
UCKZozRVHRYsYHGEyNKuhhdA,Think School,2025-10-29T20:23:30.772516,scored,0.678,0.46,Business Case Studies - Documentary
UCHCZnC9akNA9pBP7aJGNKdg,Doctorly,2025-10-29T20:23:30.772516,scored,0.253,0.22,Dermatology - Educational Tutorials
UC8PICQUP0a_HsrA9S4IIgWw,Motivation2Study,2025-10-29T20:23:30.772516,scored,0.801,0.46,Motivation - Documentary
UCB_ZZEFZmsWCBa9cR4bJvZg,Lucas Chae,2025-10-29T20:23:30.772516,scored,0.847,0.82,Entrepreneurship - Vlog
UCiyLsTsGwf0FB_P9rQZmJeA,Daizy Aizy Vlogs,2025-10-29T20:23:30.772516,scored,0.432,0.13,Beauty - Vlog
UC6c5nOLAOz3CFN3vYWf3aKg,Umer Qureshi,2025-10-29T20:23:30.772516,scored,0.821,0.56,Entrepreneurship - Talking-Head Analysis
UCjZ7T2nBnxAQBh9ioKGNr1w,Hmm!,2025-10-29T20:23:30.772516,scored,0.349,0.13,Indian Food - Vlog
UC8zJedg1f4sKnyuHWeS6vyw,50 Cent,2025-10-29T20:23:30.772516,scored,0.564,0.22,Music - Music Videos
UCnYKRFQRndE3Wq1eLRQLfWw,Kuldeep Singhania Shorts,2025-10-29T20:23:30.772516,scored,0.675,0.22,Positivity - Vlog
UC2ojq-nuP8ceeHqiroeKhBA,Nate Herk | AI Automation,2025-10-29T20:23:30.772516,scored,0.805,0.82,AI Automation - Educational Tutorials
UCoL68NLLSUQqEDwMZPvrdEg,TechBurner Shorts,2025-10-29T20:23:30.772516,scored,0.453,0.34,Technology - Educational Tutorials
UCl78QGX_hfK6zT8Mc-2w8GA,Adobe Acrobat,2025-10-29T20:23:30.772516,scored,0.716,0.76,Productivity - Educational Tutorials
UCGIcgeJgtye5_2PnZxe_VNg,UpgradeMatrix,2025-10-29T20:23:30.772516,scored,0.726,0.38,Self-Improvement - Educational Tutorials
UCctXZhXmG-kf3tlIXgVZUlw,GaryVee,2025-10-29T20:23:30.772516,scored,0.871,0.61,Entrepreneurship - Vlog
UC6vd-JCD7Z_FuF8N5LTydPA,Shark Tank India,2025-10-29T20:23:30.772516,scored,0.783,0.56,Entrepreneurship - Podcast/Interviews
UCVJ5hHQMXBiRwNv394EOj_w,Art with Flo,2025-10-29T20:23:30.772516,scored,0.403,0.22,Digital Art - Educational Tutorials
UCzNTVzprq6UG7kBK0LIDtUw,Karl Niilo,2025-10-29T20:23:30.772516,scored,0.664,0.36,Community Engagement - Vlog
UCbPQvHhZ5Pveio0LpNfBweA,@wififlex,2025-10-29T20:23:30.772516,filtered_subs,,,
UCEW_Fg9lQ2VaS7DLVma01Cg,Raw Talks With VK,2025-10-29T20:23:30.772516,scored,0.426,0.38,Entrepreneurship - Podcast/Interviews
UCmPCw8O8vVicoPvgWsIorhg,Money Making Community,2025-10-29T20:23:30.772516,scored,0.924,0.76,Entrepreneurship - Talking-Head Analysis
UCLN6TsHI4R2xzw2FDI3tYhQ,Caden Boof,2025-10-29T20:23:30.772516,scored,0.848,0.64,Entrepreneurship - Educational Tutorials
UCvA6cg_eeMNAOvod2H6dnSg,its Gully Boy,2025-10-29T20:23:30.772516,scored,0.373,0.13,Pigeon Care - Educational Tutorials
UCq9DI1Mv2m-bCNL3tsTYRaw,Ashton Hall,2025-10-29T20:23:30.772516,scored,0.71,0.28,Self-Improvement - Vlog
UCR-foyF-C6VuAlwy3KZMkgA,Dr. Vivek Bindra: Motivational Speaker,2025-10-29T20:23:30.772516,scored,0.804,0.46,Entrepreneurship - Educational Tutorials
UCgFyyObuK-oduFw0z0RgBBw,10X ONLINE,2025-10-29T20:23:30.772516,scored,0.833,0.46,Entrepreneurship - Documentary
UCH6QnQzRlHxgJpbXpE_HbPg,Nails Updates,2025-10-29T20:23:30.772516,filtered_videos,,,
UCssD3_aDYhaG44mwP53CO0w,littlemixVEVO,2025-10-29T20:23:30.772516,scored,0.338,0.1,Music - Official Audio/Live Performances
UC5fI3kxC-ewZ6ZXEYgznM7g,Codie Sanchez,2025-10-29T20:23:30.772516,scored,0.934,0.88,Entrepreneurship - Talking-Head Analysis
UCBwmMxybNva6P_5VmxjzwqA,Apna College,2025-10-29T20:23:30.772516,scored,0.619,0.61,Tech Careers - Educational Tutorials
UC949o8thQEP15p9_VK69Vbw,Connor And Liana,2025-10-29T20:23:30.772516,scored,0.54,0.13,Family & Lifestyle - Vlog
UCTH5uQWpP-A6ZIuSKnniQ0w,Rico Rixo,2025-10-29T20:23:30.772516,scored,0.785,0.61,Entrepreneurship - Educational Tutorials
UCCkk57WWq7Vv4Jq9_aXTJaw,ISE ONE,2025-10-29T20:23:30.772516,scored,0.549,0.18,Shorts - Vlog
UCh34OFHpOjQSRZWhvBpY39w,YungGravyVEVO,2025-10-29T20:23:30.772516,filtered_subs,,,
UCNKbE_ac5P_OaPraUoCxvKA,Hooray Kids Songs & Nursery Rhymes,2025-10-29T20:23:30.772516,scored,0.274,0.1,Children's Entertainment - Music Videos
UC9qoB5JgECKwB4y2oYC712w,ForgeCore,2025-10-29T20:23:30.772516,scored,0.473,0.22,DIY/Crafting - Educational Tutorials
UCx9UjTrAXlt4UIMa_-GXVeQ,Mallu Tech,2025-10-29T20:23:30.772516,scored,0.62,0.41,YouTube Growth - Educational Tutorials
UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,2025-10-29T20:23:30.772516,scored,0.925,0.73,Entrepreneurship - Podcast/Interviews
UCgcZAqxnac2aRcPsi4p4-JQ,Maizabeen Shaikh ,2025-10-29T20:23:30.772516,scored,0.392,0.13,Comedy - Vlog
UC9EcGzaVjz9dG1ON_939LlA,Poonam P Bisht,2025-10-29T20:23:30.772516,scored,0.453,0.13,General Lifestyle - Vlog
UCaUacwrOnGvtAS-weXsLFNQ,Monetize My Dog – Shorts Monetization Made Easy.,2025-10-29T20:23:30.772516,scored,0.773,0.61,YouTube Monetization - Educational Tutorials
UCOT2iLov0V7Re7ku_3UBtcQ,Hank Green,2025-10-29T20:23:30.772516,scored,0.521,0.28,Science Communication - Talking-Head Analysis
UCsooa4yRKGN_zEE8iknghZA,TED-Ed,2025-10-29T20:23:30.772516,scored,0.499,0.22,Education - Documentary
UCF5ifv99TgQAwgmHhB_yH3w,farmya,2025-10-29T20:23:30.772516,scored,0.35,0.22,Agriculture - Educational Tutorials
UC0xHrJNbxHmFnUP-49WYM-Q,SetupsAI,2025-10-29T20:23:30.772516,scored,0.4,0.28,Creative Tools - Educational Tutorials
UCqh4bvM88QAqMzi9tt7EEEA,Stevie Sells,2025-10-29T20:23:30.772516,scored,0.673,0.36,Entrepreneurship - Vlog
UCQziO-HnAP_oGPP6z0YSv-A,Techyogesh Shorts,2025-10-29T20:23:30.772516,scored,0.515,0.58,Productivity - Educational Tutorials
UCKmmERguliWTynG9OIoDhDw,Law By Mike,2025-10-29T20:23:30.772516,scored,0.307,0.28,Legal Education - Educational Tutorials
UCzaRorDlS1gd6EROE-xGm-Q,Boss Wallah (Telugu),2025-10-29T20:23:30.772516,scored,0.9,0.76,Entrepreneurship - Educational Tutorials
UCH3GqX5kJew_o_jC2ZQB_AA,SM Beautyland Studio,2025-10-29T20:23:30.772516,scored,0.281,0.22,Beauty - Educational Tutorials
UCxgAuX3XZROujMmGphN_scA,Mark Tilbury,2025-10-29T20:23:30.772516,scored,0.887,0.79,Entrepreneurship - Talking-Head Analysis
UCPqnUgDsh_n2IYvWHw-023A,New Business Ideas • 1.5M views • 3 hours ago,2025-10-29T20:23:30.772516,scored,0.833,0.64,Entrepreneurship - Educational Tutorials
UCWwgaK7x0_FR1goeSRazfsQ,Samsung,2025-10-29T20:23:30.772516,scored,0.78,0.56,Technology - Documentary
UCZQDF0x18Xe6RZayvod99zA,Him-eesh Madaan,2025-10-29T20:23:30.772516,scored,0.823,0.46,Mindset Coaching - Podcast/Interviews
UCPQLGa39GoHFM1xByina4oA,Professor Guru Brar,2025-10-29T20:23:30.772516,scored,0.868,0.58,Financial Education - Documentary
UCeKOGzYzL2JKUpW1IxS-jCA,PrettyBored,2025-10-29T20:23:30.772516,scored,0.402,0.13,Sports - Documentary
UChKQYI9z5rO_sdNjhwyyjSg,Sideserf Cake Studio,2025-10-29T20:23:30.772516,scored,0.396,0.16,Cake Art - Educational Tutorials
UCSoOY37X45twbR5EC4hcdrQ,Also Abhinav,2025-10-29T20:23:30.772516,scored,0.482,0.13,Entertainment - Vlog
UCHUQEbNQBqO4hj7cxRxUPvQ,Gen-Z Way,2025-10-29T20:23:30.772516,scored,0.825,0.56,Business - Talking-Head Analysis
UCL2VaEu0Z-s32DDBfG_FCYA,selfhelpsonya,2025-10-29T20:23:30.772516,scored,0.508,0.16,Personal Development - Educational Tutorials
