Channel_ID,Channel_Name,Date_Added,Processing_Status
UCLXo7UDZvByw2ixzpQCufnA,Vox,2025-11-03T11:20:27.077879,seed
UCOPh6jtZ-xdqzZvG3MQz_VA,Inside the Executive Branch,2025-11-03T11:20:27.079946,filtered_subs
UC63kOMam6uIR2il5tTRYRCA,University of Southampton,2025-11-03T11:20:27.079946,cached_for_llm
UCDsgIm0zLo_yzW8xkW21rnA,Spreadsheet Nation,2025-11-03T11:20:27.079946,cached_for_llm
UCcyq283he07B7_KUX07mmtA,Business Insider,2025-11-03T11:20:27.079946,filtered_max_videos
UCGBO6EahCqQSyXIws1MQdDg,Future Business Tech,2025-11-03T11:20:27.079946,cached_for_llm
UCdQkMf60u7lk5WoWcVdIgJA,AD Finance,2025-11-03T11:20:27.079946,filtered_subs
UCgtQKcwWdSaCPL8u0AAXvWw,The korian world  ,2025-11-03T11:20:27.079946,filtered_country_IN
UC6jaZrPy_AlsMdSPGM7jSyg,ABCD DANCE FACTORY,2025-11-03T11:20:27.079946,filtered_country_IN
UCRCaxGrGMLrn9A5k_bmd-Ow,sanjhifyyy,2025-11-03T11:20:27.079946,filtered_country_IN
UCKZozRVHRYsYHGEyNKuhhdA,Think School,2025-11-03T11:20:27.079946,filtered_country_IN
UCIDnolv9d0AXZXA6sKpxvGA,Drive White,2025-11-03T11:20:27.079946,filtered_subs
UCS4VWcCVVI8Bcn8Dteylxzw,Modern Millie,2025-11-03T11:20:27.079946,cached_for_llm
UCyOG9f8likyOBaPg7RmeUIw,Gorilla Tag VR,2025-11-03T11:20:27.079946,cached_for_llm
UCAMK2iZ_pvXqvdow5D6x-gw,Trang Trương,2025-11-03T11:20:27.079946,filtered_subs
UCbkjhyMW-cyk8q7afVP4xCw,★ DS2 - Della / Animation ★ ,2025-11-03T11:20:27.079946,filtered_country_MA
UCFbtcTaMFnOAP0pFO1L8hVw,Kyle Hill,2025-11-03T11:20:27.079946,cached_for_llm
UCTyGMGTqN6H4PPKwmj6TRyw,KINETIC SCHOOL,2025-11-03T11:20:27.079946,cached_for_llm
UC9ZRaMRtVgYRfBc-ojzzTnQ,Adam's Axiom,2025-11-03T11:20:27.079946,cached_for_llm
UC3DbEAQQbwwpU6XZBEEkqUw,Mindset Mastery,2025-11-03T11:20:27.079946,filtered_country_PT
UCWTGEpCPDpaq5cKbDMwH7aQ,Text Breakdown,2025-11-03T11:20:27.079946,filtered_subs
UCPqwspsmjhZnwuee3SiYzAg,meg,2025-11-03T11:20:27.079946,cached_for_llm
UCk9P9FH37GNzqIcP_4WcUEg,Inspiring Codes,2025-11-03T11:20:27.079946,filtered_country_IN
UC3nKFJEzTBMbUi7Vu0_pdNw,University of Plymouth,2025-11-03T11:20:27.079946,cached_for_llm
UCMdDvrpTcVtQxPqN162z9Pw,Waterloo Regional Health Network,2025-11-03T11:20:27.079946,filtered_subs
UCr4kgAUTFkGIwlWSodg43QA,Michael Knowles,2025-11-03T11:20:27.079946,filtered_max_videos
UC4A9zqDjNgjksLBCU97BDAw,chandni 1,2025-11-03T11:20:27.079946,filtered_subs
UCsQjXIogmPLe9ddOcAkv3zg,"JCU: James Cook University, Australia",2025-11-03T11:20:27.079946,filtered_subs
UCKHQmMru9nAJ71FMrGfhfJQ,SOC 119,2025-11-03T11:20:27.079946,cached_for_llm
UCuj0mRuuCZN0Ot7qJGA8AwQ,Inside the Supernatural,2025-11-03T11:20:27.079946,filtered_subs
UC6H07z6zAwbHRl4Lbl0GSsw,TechZone,2025-11-03T11:20:27.079946,cached_for_llm
UC-5OPoRRGw64RKyXMiMXNBQ,Metaphysical Political Talk,2025-11-03T11:20:27.079946,filtered_subs
UCb-capTCx4yI3fjZrtDKKEw,Olurinatti ,2025-11-03T11:20:27.079946,cached_for_llm
UChYbMYIMhr_5iYPhJ0C19dA,Tony Montez,2025-11-03T11:20:27.079946,filtered_subs
UC39nGOtc-gGE-Fy12v52toA,Male mentality,2025-11-03T11:20:27.079946,skipped_few_videos
UC9K9Wnz6t4cLnCdTzAVrXqQ,Vinh Giang,2025-11-03T11:20:27.079946,cached_for_llm
UC3rLoj87ctEHCcS7BuvIzkQ,MsMojo,2025-11-03T11:20:27.079946,filtered_max_videos
UCw-kH-Od73XDAt7qtH9uBYA,World Economic Forum,2025-11-03T11:20:27.079946,filtered_max_videos
UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2025-11-03T11:20:27.079946,filtered_max_videos
UCfCpiEfEjDcr3Wv45B41MBA,Law Enforcement Insider,2025-11-03T11:20:27.079946,filtered_subs
UCl-Zrl0QhF66lu1aGXaTbfw,Neil Patel,2025-11-03T11:20:27.079946,cached_for_llm
UCAsvFcpUQegneSh0QAUd64A,Neo News,2025-11-03T11:20:27.079946,filtered_max_videos
