Channel_ID,Channel_Name,Date_Added,Processing_Status,Embedding_Score,LLM_Score
UCE4Gn00XZbpWvGUfIslT-tA,MagnatesMedia,2025-10-25T18:23:46.317078,seed,,
UC5SaEaTVcbWlEa8OtRi4Gsg,Trader Anurag Yadav,2025-10-25T18:23:46.317078,filtered_subs,,
UCOtYObwhBWmKJzbuHsHsy3A,Pharaoh3,2025-10-25T18:23:46.317078,filtered_subs,,
UCZiPhIQxeLgGPdqwSPs9_Gw,iDabba Data World ,2025-10-25T18:23:46.317078,scored,0.43,0.1
UCKgAB8lqTbqbwXC-e6_9lhQ,KGW News,2025-10-25T18:23:46.317078,scored,0.574,0.2
UC4llo5lw9pg-bdhumEryjIg,Skeletor99,2025-10-25T18:23:46.317078,filtered_subs,,
UCydizp97p9kqJfJT0zZky1Q,Unscripted Photographers,2025-10-25T18:23:46.317078,filtered_subs,,
UCkD5jowtFric4cjYsHT609Q,Business Shorts,2025-10-25T18:23:46.317078,filtered_subs,,
UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-10-25T18:23:46.317078,scored,0.498,0.2
UCpzRsg-0wya_ao1bvb1Q9VA,Economic and Social Research Institute (ESRI),2025-10-25T18:23:46.317078,filtered_subs,,
UCim3lHfNVbrmDQHkniqmc6g,Retire with Ashley,2025-10-25T18:23:46.317078,filtered_subs,,
UCeNMeH4XVilUjaRU7kv0q5w,New learning Everyday,2025-10-25T18:23:46.317078,filtered_subs,,
UC4exYtWOlHd4mL-owyyA12w,Mark Bone,2025-10-25T18:23:46.317078,scored,0.609,0.4
UCuWcjpKbIDAbZfHoru1toFg,GTA Series Videos,2025-10-25T18:23:46.317078,scored,0.376,0.0
UC_R5smHVXRYGhZYDJsnXTwg,R Consortium,2025-10-25T18:23:46.317078,scored,0.431,0.2
UC6Gz2JBB9SU2o6Q1ne8iikQ,WB STUDIO,2025-10-25T18:23:46.317078,filtered_subs,,
UCToe3dspZyw2L_JY-JmP3Mw,Charles Schwab,2025-10-25T18:23:46.317078,scored,0.618,0.5
UC-kVpPN_Vy3Wx6kGc9Al-xA,BeTheCut,2025-10-25T18:23:46.317078,scored,0.451,0.2
UCpp_h9ZN0NnXoFgLmrs4MFg,Julian Camacho,2025-10-25T18:23:46.317078,filtered_subs,,
UCqmY2tez-KhjM1a10r4CZew,Simarpreet Singh,2025-10-25T18:23:46.317078,scored,0.769,0.6
UCjrpDYaU-VK2ytsDtJsSqEw,PW OnlylAS Bihar,2025-10-25T18:23:46.317078,scored,0.52,0.2
UCTY7oS9e2b8sKxRrTfn8OKw,Hazelwood Health Study,2025-10-25T18:23:46.317078,filtered_subs,,
UC5fyJ9G1p0gsvZ3sFAXIuZw,Pepperdine University,2025-10-25T18:23:46.317078,scored,0.446,0.1
UCn3ivnL9H3Qs6ev_-4uzHYw,Media Literacy For Everyone,2025-10-25T18:23:46.317078,filtered_subs,,
UCj9h5yRwxE8KeE26PP1L8Dw,QuickGeo,2025-10-25T18:23:46.317078,filtered_subs,,
UCi5aTHy7-pGi1igT7x1pl5g,PoliticalExpose,2025-10-25T18:23:46.317078,filtered_subs,,
UCenM9spRhNl882-sRqhV-Kw,Naseem Qureshi official,2025-10-25T18:23:46.317078,filtered_subs,,
UCupQd0e1leK4-Mj1wSfnkoQ,al jokes,2025-10-25T18:23:46.317078,scored,0.547,0.1
UCeInYlZ7VfOe5sQ2b2iRAwg,Yogendra Editor,2025-10-25T18:23:46.317078,filtered_subs,,
UCXeAu-Sc7uoEQ2LQb22Pwjw,New Scholars,2025-10-25T18:23:46.317078,filtered_subs,,
UCSrNRhQFcqPgl-oUbo5zGRA,The Jeff Heilman Project,2025-10-25T18:23:46.317078,filtered_subs,,
UC-x2v_S6rIaiJ4UB4lkfPrQ,People & Businesses,2025-10-25T18:23:46.317078,filtered_subs,,
UCt7WYnIeIwsijzLeNN7V1_A,Founder Secrets with Taylor and Flaviu,2025-10-25T18:23:46.317078,filtered_subs,,
UCz7Z1UJbhgTQSHxfior0R8g,Ayaan Seth,2025-10-25T18:23:46.317078,filtered_subs,,
UCS7f1KVCKk-1wKGiNQMb84w,Liberating Humanity Podcast,2025-10-25T18:23:46.317078,scored,0.688,0.5
UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2025-10-25T18:23:46.317078,scored,0.598,0.3
UCymmaQ15fuq4niHrP4uvhbw,Prime King,2025-10-25T18:23:46.317078,filtered_subs,,
UCfV4ytTbeq07dRpahtMP5AA,Health & Wealth Academy,2025-10-25T18:23:46.317078,filtered_subs,,
UC4iSQK92BAmELn3rLD0nkOg,Enniskey,2025-10-25T18:23:46.317078,scored,0.784,0.5
UCq0LKsq3YoMDFDJVQ8JumFw,Kf true news,2025-10-25T18:23:46.317078,filtered_subs,,
UC1k9-OR3Ix4E2WAWaisHiDQ,MakeRealChange,2025-10-25T18:23:46.317078,filtered_subs,,
UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2025-10-25T18:23:46.317078,scored,0.65,0.4
UCCLblvXT4vkxLPUbm84mIDw,Luc Forsyth,2025-10-25T18:23:46.317078,scored,0.685,0.4
UCQyoKfULtJaHqSxB80Efw4w,Motion Array Tutorials,2025-10-25T18:23:46.317078,scored,0.48,0.2
UCbEsGLazaqm8ufjwCSmCPOw,Rajnish mystery word ,2025-10-25T18:23:46.317078,scored,0.581,0.2
UCPgfM-dk3XAb4T3DtT6Nwsw,CA Rahul Malodia,2025-10-25T18:23:46.317078,scored,0.793,0.6
UC84ET1F4twhpBQCbXyHfH2Q,Mukesh Badai,2025-10-25T18:23:46.317078,filtered_subs,,
UC56coVRjeQqYUQcULKo_afw,Mr. Rahul,2025-10-25T18:23:46.317078,filtered_subs,,
UCTZXTucHXhjD7wauqygrXJw,KRISHIV KUMAR,2025-10-25T18:23:46.317078,scored,0.568,0.2
UCW4ipczqfAHWnWgI6p0YY_g,HLC Equity,2025-10-25T18:23:46.317078,filtered_subs,,
UCHs3bWyXIw_6J0ORvg97b2w,Live Hindi,2025-10-25T18:23:46.317078,scored,0.741,0.7
UCSYMiQAiikesqqT_uel9aEA,Business Leader,2025-10-25T18:23:46.317078,filtered_subs,,
UCktSt0D58Z8dR7HIkxTaIQg,McKenna Large Co.,2025-10-25T18:23:46.317078,filtered_subs,,
UC8ikkCDEuNXtRMQbwqsTlKw,Aadi Works,2025-10-25T18:23:46.317078,filtered_subs,,
UC-Jb6IMAz5T0JfWd5bdDosA,Pro Fan Hoops,2025-10-25T18:23:46.317078,filtered_subs,,
UCLEQTAREdFM_m8sb0x5Ybyw,B News Nation,2025-10-25T18:23:46.317078,scored,0.609,0.4
UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,2025-10-25T18:23:46.317078,scored,0.66,0.4
UCjhve-7jRD_VK1JLChtEr2A,Gnawledge,2025-10-25T18:23:46.317078,filtered_subs,,
UCwxod2w5NT4qMWfMgZivCYQ,The FBI Files,2025-10-25T18:23:46.317078,scored,0.574,0.3
UCGdPm5Aq081vVD7ih9jZf6Q,FactTechz,2025-10-25T18:23:46.317078,scored,0.613,0.4
UCs60_Z83HU76uygzHRQl0kA,Long Term Mindset,2025-10-25T18:23:46.317078,scored,0.623,0.5
UCttwStSDBO0hlz6q6i3dvvQ,Jerry Shkavritko,2025-10-25T18:23:46.317078,filtered_subs,,
UCqV7CwO0JSxraa9mpN03zog,THE ON CAMERA ,2025-10-25T18:23:46.317078,filtered_subs,,
UC1fyQXDainNELwvYTUGz0mA,Official Icee,2025-10-25T18:23:46.317078,filtered_subs,,
UCp2fPufYorB-UhcGHhykOXQ,ChengKai,2025-10-25T18:23:46.317078,filtered_subs,,
UCXxCruD2b-S0P2k9D-wqKZQ,Youth Pastor Ryan,2025-10-25T18:23:46.317078,scored,0.806,0.5
UCRY-R3u9IN8CEr4hT8DX5AQ,PaunOcha,2025-10-25T18:23:46.317078,filtered_subs,,
UCKTrRrMOaeYltDtM5FdMBYg,LazorEffect,2025-10-25T18:23:46.317078,scored,0.492,0.1
UC99ZVZwH69Ji2NNQ1T7Tk5Q,Creature Planet,2025-10-25T18:23:46.317078,scored,0.388,0.1
UCXI2sj5kaCfMCkYcGk1m44A,Serious History,2025-10-25T18:23:46.317078,scored,0.629,0.4
UCARzPV4BkHMq01FX-8MEYJQ,POLITIKA,2025-10-25T18:23:46.317078,filtered_subs,,
UCmapkf4A5883lT90j86WXFg,marketfeed,2025-10-25T18:23:46.317078,scored,0.702,0.4
UCFe2uZ5pUer6Wt92i2G6ofg,Bang On Theory,2025-10-25T18:23:46.317078,scored,0.482,0.3
UCOix3hh2xqRZ4ZQ9mbaFW2Q,Discussions Official Show,2025-10-25T18:23:46.317078,filtered_subs,,
UCsd8jBqgndIsJTsIxNPvspA,Digital Skills,2025-10-25T18:23:46.317078,filtered_subs,,
