video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
-gDbGvK2Og0,Why “Greater Israel” Is No Longer A Fantasy,"For over a century, Zionist leaders imagined a Jewish state stretching across the region. Netanyahu is now calling that “Greater Israel” project his historic mission. We break down what this means, as Israel wages genocide in Gaza and grabs more land across the Middle East.   #GreaterIsrael #Palestine #GazaGenocide  Subscribe for more videos: https://ajplus.co/subscribe  Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on Facebook: https://www.facebook.com/ajplusenglish Follow us on Twitter: https://twitter.com/ajplus",2025-10-30 19:54:09,340,False,AJ+,UCV3Nm3T-XAgVhKH9jT0ViRg,"AJ+ is a global news community for the connected generation. We highlight human struggles and achievements, empower impassioned voices, and challenge the status quo."
8XvAB6QinHU,Why Did Hamas & Israel Agree To A Ceasefire?,Is Israel’s genocide in Gaza really over? Political analyst Mouin Rabbani and Dena Takruri talk about why Israel and Hamas came to a ceasefire agreement now – and how it can fall apart.   Subscribe for more videos: https://ajplus.co/subscribe  Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on Facebook: https://www.facebook.com/ajplusenglish Follow us on Twitter: https://twitter.com/ajplus  00:00 - 1:04 - Why do we have a ceasefire all of a sudden? 1:04 - 2:47 - Will this ceasefire be any different from the last two? 2:47 - 5:38 - Has Hamas given up its leverage? 5:38 - 7:44 - Why didn't Trump do this before? 7:44 - 10:06 - How realistic is Trump’s plan to “deradicalize” Palestinians? 10:06 - 11:53 - What does Israel owe Gaza? 11:53 - 13:03 - Is Israel at its weakest point right now? 13:03 - 16:18 - How public support for Palestine is changing Western policies,2025-10-18 13:00:27,979,False,AJ+,UCV3Nm3T-XAgVhKH9jT0ViRg,"AJ+ is a global news community for the connected generation. We highlight human struggles and achievements, empower impassioned voices, and challenge the status quo."
C1PTj0Vt_6Q,"It’s Bisan From Gaza, And Israel Even Took Our Rubble","“They removed everything from existence. There is only dust and no rubble.”   After months of relentless bombing, a fragile ceasefire holds in Gaza. Video journalist Bisan Owda returns to Gaza’s north for the first time in months, documenting the destruction and meeting families making their return, hoping to rebuild their homes from dust and rubble.   What she captures isn’t just destruction — it’s the pain of returning and the strength of people trying to start over again.   #BisanOwda #Gaza #Ceasefire #AJPlus #Palestine #Documentary #Resilience #Rebuild #Hope   Subscribe for more videos: https://ajplus.co/subscribe  Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on Facebook: https://www.facebook.com/ajplusenglish Follow us on Twitter: https://twitter.com/ajplus",2025-10-17 19:09:30,869,False,AJ+,UCV3Nm3T-XAgVhKH9jT0ViRg,"AJ+ is a global news community for the connected generation. We highlight human struggles and achievements, empower impassioned voices, and challenge the status quo."
aQ2j74Djij8,Mosab Abu Toha’s Poem “Under the Rubble”,"""Heaven has been blocked by the drones and F-16s and the smoke of death.""  Palestinian poet Mosab Abu Toha was forced out of Gaza after Israel bombed his home and killed his relatives.  He wrote “Under the Rubble” as a tribute to them, and to all Palestinians killed in Israel’s genocide in Gaza.  Subscribe for more videos: https://ajplus.co/subscribe  Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on Facebook: https://www.facebook.com/ajplusenglish Follow us on Twitter: https://twitter.com/ajplus",2025-10-16 15:00:03,199,False,AJ+,UCV3Nm3T-XAgVhKH9jT0ViRg,"AJ+ is a global news community for the connected generation. We highlight human struggles and achievements, empower impassioned voices, and challenge the status quo."
iC79UnT6-kA,Is Ireland As Pro-Palestine As You Think?,"Is Ireland as pro-Palestine as you think?   Despite its global reputation, Ireland is actually one of Israel’s biggest trading partners. And many Irish people are accusing their government of silent complicity in Israel’s occupation and genocide. Dena Takruri travels there to look into Ireland’s surprising ties to Israel and to meet the people fighting to end them.    00:00 Intro  2:17 Why are Irish people so pro-Palestine?  3:25 Dena witnesses a boycott action  4:52 Inside Ireland’s move to sanction trade with Israel’s illegal settlements   5:52 Dena speaks with Independent Senator Frances Black  6:49 The surprising truth about Ireland's trade with Israel  7:56 How Ireland assists the U.S. military  8:57 Dena meets Palestine Action Éire activists facing possible prison time 11:46 What Ireland has to do with Israeli “war bonds”  13:10 Dena meets recent Gaza refugee Abubaker Abed  15:25 Conclusion    #Ireland #Palestine #Israel   Subscribe for more videos: https://ajplus.co/subscribe  Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on Facebook: https://www.facebook.com/ajplusenglish Follow us on Twitter: https://twitter.com/ajplus",2025-10-14 16:00:06,1031,False,AJ+,UCV3Nm3T-XAgVhKH9jT0ViRg,"AJ+ is a global news community for the connected generation. We highlight human struggles and achievements, empower impassioned voices, and challenge the status quo."
VQnIUFQZbUM,How Illegal Travel Agents Brought Indians To The U.S,Harjit Singh crossed the border into the U.S. a week after Donald Trump came into office. He was immediately deported. Punjabi migrants are among the largest group of people who were sent back to India from the U.S. this year.    The men deported after trying to cross the U.S.-Mexico border said economic difficulties back home forced them to take the difficult journey. The migrants were promised a chance at a life in the U.S. by so-called “travel agents” who sent them on a dunki route – making the men hop from place to place before having to cross the border without proper paperwork.    AJ+ also spoke to a “travel agent” who broke down the steps of the journey and explained why it has become rarer in the past two years.    Subscribe for more videos: https://ajplus.co/subscribe  Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on Facebook: https://www.facebook.com/ajplusenglish Follow us on Twitter: https://twitter.com/ajplus,2025-10-04 11:00:54,721,False,AJ+,UCV3Nm3T-XAgVhKH9jT0ViRg,"AJ+ is a global news community for the connected generation. We highlight human struggles and achievements, empower impassioned voices, and challenge the status quo."
Du8_2IH6b7k,Why Israel Should Be Banned From Sports,"Pressure is mounting for Israel to end the genocide in Gaza, with calls for action emerging at sporting events like Spain's La Vuelta. Disrupting sports can be very effective – just look at what happened during apartheid in South Africa. Can the same tactics be used to pressure Israel? AJ+ Editorial Lead Tony Karon discusses.  Subscribe for more videos: https://ajplus.co/subscribe  Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on Facebook: https://www.facebook.com/ajplusenglish Follow us on Twitter: https://twitter.com/ajplus",2025-10-02 18:30:25,287,False,AJ+,UCV3Nm3T-XAgVhKH9jT0ViRg,"AJ+ is a global news community for the connected generation. We highlight human struggles and achievements, empower impassioned voices, and challenge the status quo."
DkOSWShgI_c,“I Didn’t Think Anybody Could Be That Evil”,"Former U.S. soldier Anthony Aguilar spent several months in Gaza during the genocide. He thought he was going to help deliver aid to Palestinians being starved by Israel, but as he tells Dena Takruri, what he saw was a scheme to force Palestinians out of their land.  00:00 - 2:28 - How a U.S. Special Forces veteran went to Gaza 2:28 - 3:21 - Seeing Gaza from the inside: “It made me feel sick” 3:21 - 5:30 - Confronting GHF for the first time 5:30 - 6:50 - Realizing Israel’s true intentions 6:50 - 7:54 - How Israeli soldiers dehumanized Palestinians  7:54 - 9:07 - The biker gang hiring U.S. contractors in Gaza 9:07 - 12:34 - “This type of work is very lucrative” 12:34 - 16:59 - What made him quit  #Gaza #Israel #Military  Subscribe for more videos: https://ajplus.co/subscribe  Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on Facebook: https://www.facebook.com/ajplusenglish Follow us on Twitter: https://twitter.com/ajplus",2025-10-01 11:00:20,1020,False,AJ+,UCV3Nm3T-XAgVhKH9jT0ViRg,"AJ+ is a global news community for the connected generation. We highlight human struggles and achievements, empower impassioned voices, and challenge the status quo."
HNtgwujTpDQ,"Australian Doctor In Gaza: It’s 100,000 Times Worse Than The Videos","Dr. Saya Aziz is volunteering at al-Shifa Hospital in Gaza City, under Israeli bombing and with few resources to save the people being “shredded” by the bombs. Despite that, she told AJ+’s Dena Takruri about how Gaza’s remaining health workers inspire her by refusing to give up on their patients.   00:00 -4:49 - My kids don't know I'm in Gaza 4:49 - 6:29 - “What kind of human being thinks of shredding body parts?” 6:29 - 9:36 - Hospital with no equipment or medicine 9:36 - 12:30 - “It’s a weapons lab” 12:30 - 14:34 - Coping with trauma 14:34 - 19:23 - Why the risk is worth it  Subscribe for more videos: https://ajplus.co/subscribe  Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on Facebook: https://www.facebook.com/ajplusenglish Follow us on Twitter: https://twitter.com/ajplus",2025-09-27 02:38:30,1164,False,AJ+,UCV3Nm3T-XAgVhKH9jT0ViRg,"AJ+ is a global news community for the connected generation. We highlight human struggles and achievements, empower impassioned voices, and challenge the status quo."
3KfC0JWRUpY,How The IMF Helped Corporations Crush India's Farmers,"In Punjab, India’s farming families are caught in a cycle of debt, climate shocks and failed policies. Some sell land to flee abroad – and end up deported in shackles. Others lose loved ones to suicide. And thousands are taking to the streets demanding change.   #Punjab #IndianFarmers #FarmersProtest   Subscribe for more videos: https://ajplus.co/subscribe  Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on Facebook: https://www.facebook.com/ajplusenglish Follow us on Twitter: https://twitter.com/ajplus",2025-09-25 14:00:04,647,False,AJ+,UCV3Nm3T-XAgVhKH9jT0ViRg,"AJ+ is a global news community for the connected generation. We highlight human struggles and achievements, empower impassioned voices, and challenge the status quo."
