video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
HSRmfNDk87s,Runway Numbers: The Earth Made Two Systems,"Thank you, Bonnie Bees, for making this video possible: https://www.patreon.com/cgpgrey  ## Related Videos + Talking about Making the video on Cortex: https://www.youtube.com/watch?v=dYYPV-ZlRIk + How to be a Pirate: https://www.youtube.com/watch?v=3YFeE1eDlD0 + Social Security Numbers: https://www.youtube.com/watch?v=Erp8IAUouus + Metric Paper: https://www.youtube.com/watch?v=pUF5esTscZI  ## Special Thanks + Mylos Besseling: www.youtube.com/c/mylosairplanefan + Dr. Charlie Freeman: Department Chair and Distinguished Teaching Professor at SUNY Geneseo + Doug Moss: Owner of AeroPacific Consulting + John H. Mott: Advanced Aviation Analytics Institute for Research at Purdue University + Office of the Secretary General: International Civil Aviation Organization + Derek Muller: https://www.youtube.com/veritasium  ## Patreon Executive Producers: Bobby, Bob Kunz, Andrew Bereza, Rebecca Wortham, Nevin Spoljaric, Donal Botkin, BN-12, Marco Arment, George Lin, Richard Jenkins, Phil Gardner, Martin, Steven Grimm, David Tyler, iulus, Xueqi, Colin Millions, Oliver Steele, Andrea Di Biagio, Henry Ng, Jason Lewandowski, Alex Simonides, سليمان العقل, Tim Stumbaugh, rictic, Nicholas Welna, Meekay, David White, Derek Argueta, shannon cherng, Anthony Paolilli, Emmett Jayhart, Katie Scheper, Andrew, Jeromy Johnson, Michael Ritter, Pluto, C C, Bogdan Toma, Brian Tillman, Chad Bramwell, jill hoffman, Nicolas Dedual, Derek Bonner, Mikko, Orbit_Junkie, Tómas Árni Jónasson, Dennis Dimka, Rick Edwards, Daniel Kwak, Bear, chrysilis, Drago175, Emil, Esteban Santana Santana, Freddi Hørlyck, John Rogers, Peter Lomax, Rhys Parry, Veronica Peshterianu, John Lee, Maxime Zielony, Elizabeth Keathley, Birdstryke, Darn https://www.patreon.com/cgpgrey  ## Music & Sound + Kevin MacLeod Track Name: Fig Leaf Times Two  Kevin MacLeod on YouTube: youtu.be/UcOXTd9Ix7g Music from: incompetech.com  + David Rees: http://www.davidreesmusic.com  + duckduckpony: https://freesound.org/people/duckduckpony/  ## Kurzgesagt Posters - https://shop-eu.kurzgesagt.org/collections/posters/products/black-holes-infographic-poster - https://shop-eu.kurzgesagt.org/collections/posters/products/periodic-table-poster",2025-04-14 19:47:51,1177,False,CGP Grey,UC2C_jShtL725hvbm1arSV9w,
58SrtQNt4YE,Why Nickels Should Die,"- Thank you, Bonnie Bees, for making this video possible: https://www.cgpgrey.com/bonnie  ## Related Videos:  Death to Pennies: https://www.youtube.com/watch?v=y5UT04p5f7U  ## Bonnie Bees:  💚 The Wall of 1,000 Thanks: https://www.cgpgrey.com/wall-of-thanks  🎩🐤🎩 And the 100 Top Chickens:  - Rebecca Wortham - Bob Kunz - Kate Scheper - Donal Botkin - BN-12 - David White - Andrea Di Biagio - George Lin - Nancy Flores - iulus - Xueqi - Tim Stumbaugh - Bogdan Toma - Brian Tillman - Chad Bramwell - Nicolas Dedual - Nicholas Welna - Richard Jenkins - Martin - Chris - Meekay - سليمان العقل - Jason Lewandowski - Manuel O. Maldonado - Norm - rictic - Silvainius - Derek Bonner - Eliri SDH - Freddi Hørlyck - Peter-Claire Lomax - Vero - John Lee - Maxime Zielony - John Rogers  https://www.patreon.com/cgpgrey -   https://www.patreon.com/cgpgrey  Work is Work Kevin MacLeod (incompetech.com) Licensed under Creative Commons: By Attribution 3.0 License http://creativecommons.org/licenses/by/3.0/",2025-04-13 22:06:57,456,False,CGP Grey,UC2C_jShtL725hvbm1arSV9w,
n1KgxqEQn0A,Is The Penny *Finally* Dead?,"- Thank you, Bonnie Bees, for making this video possible: https://www.cgpgrey.com/bonnie  ## Related Videos:  What is Federal Land? https://www.youtube.com/watch?v=LruaD7XhQ50  ## Bonnie Bees:  💚 The Wall of 1,000 Thanks: https://www.cgpgrey.com/wall-of-thanks  🎩🐤🎩 And the 100 Top Chickens:  - Rebecca Wortham - Bob Kunz - Kate Scheper - Donal Botkin - BN-12 - David White - Andrea Di Biagio - George Lin - Nancy Flores - iulus - Xueqi - Tim Stumbaugh - Bogdan Toma - Brian Tillman - Chad Bramwell - Nicolas Dedual - Nicholas Welna - Richard Jenkins - Martin - Chris - Meekay - سليمان العقل - Jason Lewandowski - Manuel O. Maldonado - Norm - rictic - Silvainius - Derek Bonner - Eliri SDH - Freddi Hørlyck - Peter-Claire Lomax - Vero - John Lee - Maxime Zielony - John Rogers  https://www.patreon.com/cgpgrey  ## Music  David Rees: http://www.davidreesmusic.com",2025-02-17 18:39:32,313,False,CGP Grey,UC2C_jShtL725hvbm1arSV9w,
1K5oDtVAYzk,What Are Post Codes Actually Telling You?,"- Thank you, Bonnie Bees, for making this video possible: https://www.cgpgrey.com/bonnie  ## Related Videos:  What is Federal Land? https://www.youtube.com/watch?v=LruaD7XhQ50  ## Bonnie Bees:  💚 The Wall of 1,000 Thanks: https://www.cgpgrey.com/wall-of-thanks  🎩🐤🎩 And the 100 Top Chickens:  - Rebecca Wortham - Bob Kunz - Kate Scheper - Donal Botkin - BN-12 - David White - Andrea Di Biagio - George Lin - Nancy Flores - iulus - Xueqi - Tim Stumbaugh - Bogdan Toma - Brian Tillman - Chad Bramwell - Nicolas Dedual - Nicholas Welna - Richard Jenkins - Martin - Chris - Meekay - سليمان العقل - Jason Lewandowski - Manuel O. Maldonado - Norm - rictic - Silvainius - Derek Bonner - Eliri SDH - Freddi Hørlyck - Peter-Claire Lomax - Vero - John Lee - Maxime Zielony - John Rogers  https://www.patreon.com/cgpgrey  ## Music  David Rees: http://www.davidreesmusic.com",2025-01-28 21:45:11,469,False,CGP Grey,UC2C_jShtL725hvbm1arSV9w,
lk4lBV5wgGM,Which Sidekick Notepad Is For You?,http://www.cgpgrey.com/sidekick-family,2025-01-28 21:30:08,191,False,CGP Grey,UC2C_jShtL725hvbm1arSV9w,
xfPKwJ7Qukc,BREAKING NEWS! The Election's Most Difficult Decision…,"- Thank you, Bonnie Bees, for making this video possible: https://www.cgpgrey.com/bonnie  ## Related Videos:  - Breaking Flag News: Minnesota Edition: https://www.youtube.com/watch?v=lFwwo0W5Ugg - Grey Grades the US State Flags: https://www.youtube.com/watch?v=l4w6808wJcU  ## Bonnie Bees:   💚 The Wall of 1,000 Thanks: https://www.cgpgrey.com/wall-of-thanks  🎩🐤🎩 And the 100 Top Chickens:  - Rebecca Wortham - Bob Kunz - Katie Scheper - Donal Botkin - BN-12 - David White - Andrea Di Biagio - Nancy Flores - George Lin - Xueqi - iulus - Tim Stumbaugh - Nicolas Dedual - Chad Bramwell - Bogdan Toma - Richard Jenkins - Martin - Nicholas Welna - Colin Millions - Meekay - سليمان العقل - Jason Lewandowski - Dennis Dimka - Brian Tillman - rictic - Norm - Silvainius - Derek Bonner - Vero - Peter-Claire Lomax - Freddi Hørlyck - Eliri Santana DeHendrick - Drago175 - Maxime Zielony - John Lee - John Rogers  https://www.patreon.com/cgpgrey  ## Music  Music  David Rees: http://www.davidreesmusic.com",2024-10-29 19:45:11,244,False,CGP Grey,UC2C_jShtL725hvbm1arSV9w,
G6wYSpLtwRI,Grading Canada's Provincial Flags,Give the Gift of Being a Bonnie Bee: https://cgpgrey.substack.com/subscribe?gift=true  Grey Reads The Fir Tree: https://cgpgrey.substack.com/p/grey-reads-the-fir-tree  Grey Grades the Territory Flags: https://cgpgrey.substack.com/p/us-territories-flag-grades-9f4,2023-12-23 17:51:57,542,False,CGP Grey,UC2C_jShtL725hvbm1arSV9w,
lFwwo0W5Ugg,🚨 BREAKING FLAG NEWS: Minnesota Getting a New Flag,"Thank you, Bonnie Bees, for making this video possible: https://www.patreon.com/cgpgrey  ## Related Videos:  Minnesota Flag Redesign: Grey's First Impressions: https://www.youtube.com/watch?v=8nFfMlYDync  💚 The Wall of 1,000 Thanks  🎩🐔🎩 And the 100 Top Chickens:  - Bobby - Rebecca Wortham - Bob Kunz - Donal Botkin - BN-12 - Katie Scheper - Jeromy Johnson - Andrew - Andrea Di Biagio - David White - George Lin - David Tyler - iulus - Xueqi: @Awoobear - Oliver Steele: @steeleosteele - Tim Stumbaugh: @anabus - Richard Jenkins - Phil Gardner - Nancy Flores - Martin: @sundhaug92 - Steven Grimm - Colin Millions - Bogdan Toma - Brian Tillman - Chad Bramwell - Nicolas Dedual - Nicholas Welna - Jason Lewandowski - سليمان العقل: @SuleimanAQL - Meekay - rictic - Daniel Kwak - Derek Bonner - Silvainius - Drago175 - Eliri Santana DeHendrick - Freddi Hørlyck: @freddi_h - Peter-Claire Lomax - Veronica Peshterianu - John Lee - Maxime Zielony: @xumiz - Arbolest  ## Music  David Rees: http://www.davidreesmusic.com",2023-12-14 22:00:19,418,False,CGP Grey,UC2C_jShtL725hvbm1arSV9w,
z_7N8MFRJkc,Your New Sidekick (Notepad!),Get Sidekick Notepad: https://cottonbureau.com/p/XT9MRF/journal/sidekick-notepad#/16404980/black-paper-12x7,2023-12-05 18:30:41,239,False,CGP Grey,UC2C_jShtL725hvbm1arSV9w,
bgR3yESAEVE,Chess Was Designed Wrong,"💚 The Wall of 1,000 Thanks: https://cgpgrey.substack.com/p/wall-of-thanks   🎩🐔🎩 And the 100 Top Chickens:     - Ethan - Jay Westerman - Skorgu  - William Sasko - Emmett Jayhart - David White - Nancy Flores - Rebecca Wortham - Bobby  - Katie Scheper - James Gill - Blake - Alex Randall - Andrew Adam - Bob Kunz - Andrew Bereza - Rebecca Wortham - Donal Botkin - BN-12 - George Lin - iulus - Xueqi - David Tyler - Andrea Di Biagio - Oliver Steele - Richard Jenkins - Phil Gardner - David White - Steven Grimm - Martin  - Katie Scheper - Colin Millions - Jeromy Johnson - Tim Stumbaugh - Alex Simonides - Andrew - Jason Lewandowski - Nicholas Welna - سليمان العقل - rictic - Chad Bramwell - jill hoffman - Nicolas Dedual - Brian Tillman - Bogdan Toma - Dennis Dimka - Nancy Flores - Meekay - Daniel Kwak - Skorgu - William Sasko - Tiger Li - Derek Bonner - Mikko - Orbit_Junkie - Nick Muggio - Drago175 - Veronica Peshterianu - Freddi Hørlyck - John Rogers - Claire Lomax - Eliri Santana DeHendrick - John Lee - Maxime Zielony - Justin Ford - Jay Westerman - MaxPal - SDKyle - Qsie: http://qsie.dev/",2023-07-10 19:00:09,712,False,CGP Grey,UC2C_jShtL725hvbm1arSV9w,
