video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
r6o9XGsYYr4,The Future of Streaming Is Getting Real: Non-Fiction Takes the Spotlight,"One-on-one with Eric Trump on the future of American Bitcoin. Plus, Clint Stinchcomb, CEO of CuriosityStream, offers insight into how niche streaming services are navigating growth and consolidation in a crowded media landscape. And, Patrick Palomo, Principal Solutions Architect at Smarsh, discusses leveraging artificial intelligence to enhance data management, compliance, and communications intelligence across industries.  00:00 Intro 00:20 American Bitcoin (ABTC) 11:45 Curiosity Stream 19:20 Smarsh  Connect with Cheddar! On Facebook: https://facebook.com/cheddar On Instagram: https://instagram.com/cheddar On the web: https://cheddar.com In your inbox: https://need2know.cheddar.com/subscribe",2025-10-30 16:01:34,1437,False,Cheddar,UC04KsGq3npibMCE9Td3mVDg,"Bringing you the latest in financial news and tech coverage. 📈💡

Check-out cheddar.com to learn more and find out where to watch us!

Don't forget: Follow us on our other social media channels for more great exclusive content.
"
_m-w3GPAgUc,Eric Trump’s Vision to Put the U.S. on the Blockchain Map,"Eric Trump joins us to discuss American Bitcoin’s mission, market strategy, and why he believes the U.S. must lead the next era of digital currency innovation.  Connect with Cheddar! On Facebook: https://facebook.com/cheddar On Instagram: https://instagram.com/cheddar On the web: https://cheddar.com In your inbox: https://need2know.cheddar.com/subscribe",2025-10-28 15:23:50,715,False,Cheddar,UC04KsGq3npibMCE9Td3mVDg,"Bringing you the latest in financial news and tech coverage. 📈💡

Check-out cheddar.com to learn more and find out where to watch us!

Don't forget: Follow us on our other social media channels for more great exclusive content.
"
uxuQPDx5VmI,The AWS Outage Explained: What It Means for You and the Future of Cybersecurity,"This week, Tom Bruni, Head of Markets and Retail Investor Insights at StockTwits, joins the show to dive into a major AWS outage that took down several major websites and exposed the risks of our growing reliance on cloud infrastructure. We’ll also cover OpenAI’s big announcements, including the launch of ChatGPT Atlas, a next-generation AI-powered browser that could disrupt industry giants like Google and Microsoft. Also, in the media world, Warner Bros. Discovery is reportedly exploring a potential sale — what could this mean for the company’s future and the broader streaming landscape? And speaking of streaming, we’ll break down Netflix’s latest earnings, looking at how the company’s ad-supported tier, live sports ambitions, and slowing subscriber growth are shaping its next chapter.  Connect with Cheddar! On Facebook: https://facebook.com/cheddar On Instagram: https://instagram.com/cheddar On the web: https://cheddar.com In your inbox: https://need2know.cheddar.com/subscribe",2025-10-24 16:01:46,1203,False,Cheddar,UC04KsGq3npibMCE9Td3mVDg,"Bringing you the latest in financial news and tech coverage. 📈💡

Check-out cheddar.com to learn more and find out where to watch us!

Don't forget: Follow us on our other social media channels for more great exclusive content.
"
He2-jLmFrVk,Starbucks' AI Barista is Here,"Starbucks is brewing up the future with its new AI-powered barista to transform our coffee experience.  With the goal of perfecting customers’ order recipes and simplifying manual tasks for baristas, the company’s most significant AI implementation is an internal tool called the “Green Dot,” which functions as a digital barista assistant. This system helps partners manage daily operations by providing instant answers to equipment issues, optimizing the production line, and quickly responding to recipe questions, thereby improving wait times for customers.  Connect with Cheddar! On Facebook: https://facebook.com/cheddar On Instagram: https://instagram.com/cheddar On the web: https://cheddar.com In your inbox: https://need2know.cheddar.com/subscribe",2025-10-24 14:00:36,631,False,Cheddar,UC04KsGq3npibMCE9Td3mVDg,"Bringing you the latest in financial news and tech coverage. 📈💡

Check-out cheddar.com to learn more and find out where to watch us!

Don't forget: Follow us on our other social media channels for more great exclusive content.
"
sJpp1xy9th4,"After A Record Year, GMC Puts The Pedal Down On EV Expansion","WSJ columnist Callum Borchers on how the role of executive assistants is shifting and how reflects changing demands in a world where work-life boundaries are less defined. Plus, GMC's Global VP Jaclyn McQuaid discusses the brand’s momentum after a record-breaking 2024, with plans to grow its EV strategy and global reach.  Connect with Cheddar! On Facebook: https://facebook.com/cheddar On Instagram: https://instagram.com/cheddar On the web: https://cheddar.com In your inbox: https://need2know.cheddar.com/subscribe",2025-10-23 16:01:35,1414,False,Cheddar,UC04KsGq3npibMCE9Td3mVDg,"Bringing you the latest in financial news and tech coverage. 📈💡

Check-out cheddar.com to learn more and find out where to watch us!

Don't forget: Follow us on our other social media channels for more great exclusive content.
"
OeI2hwbdvwA,Alternative Investments: The (New) Gold Rush,Chapters 00:00 The Timeless Appeal of Gold 04:36 Gold's Historical Significance and Cultural Impact 09:37 Navigating the Gold Market: Buying and Selling 14:38 Physical Gold vs. Gold ETFs: Understanding Your Options 19:37 Gold as a Safe Haven: Economic Insights and Strategies  Connect with Cheddar! On Facebook: https://facebook.com/cheddar On Instagram: https://instagram.com/cheddar On the web: https://cheddar.com In your inbox: https://need2know.cheddar.com/subscribe,2025-10-17 17:00:39,1424,False,Cheddar,UC04KsGq3npibMCE9Td3mVDg,"Bringing you the latest in financial news and tech coverage. 📈💡

Check-out cheddar.com to learn more and find out where to watch us!

Don't forget: Follow us on our other social media channels for more great exclusive content.
"
UyuB9W6eMck,Will Apple’s New M5 Chips Take Devices to the Next Level?,"On this episode of Big Business This Week, J.D. Durkin brings in Ray Wang of Constellation Research to unpack three major stories making waves in tech. OpenAI strikes a multi-billion dollar chip deal with Broadcom, potentially challenging NVIDIA’s dominance in AI hardware. Plus, Walmart teams up with OpenAI to reshape the online retail experience. And Apple rolls out its new M5 chip upgrades, promising faster performance and possibly a smarter home. Watch now!  Connect with Cheddar! On Facebook: https://facebook.com/cheddar On Instagram: https://instagram.com/cheddar On the web: https://cheddar.com In your inbox: https://need2know.cheddar.com/subscribe",2025-10-17 16:01:01,998,False,Cheddar,UC04KsGq3npibMCE9Td3mVDg,"Bringing you the latest in financial news and tech coverage. 📈💡

Check-out cheddar.com to learn more and find out where to watch us!

Don't forget: Follow us on our other social media channels for more great exclusive content.
"
bAhOk4vq8Co,Inside the Rise of Robotics with RoboForce CEO Leo Ma,"In this week's episode of Power Players we speak with Roboforce CEO Leo Ma on how the company is transforming industries with cutting-edge humanoid robots that leverage AI and automation to boost productivity and address critical labor shortages. Plus, go inside ‘The Tech Bro Murders,’ hosted by retired detective Sandra Brown, is a six-part true crime series that uncovers the dark side of Silicon Valley’s tech boom, where innovation and ambition sometimes ended in tragedy.  Photo credit: RoboForce  Connect with Cheddar! On Facebook: https://facebook.com/cheddar On Instagram: https://instagram.com/cheddar On the web: https://cheddar.com In your inbox: https://need2know.cheddar.com/subscribe",2025-10-16 16:01:06,1440,False,Cheddar,UC04KsGq3npibMCE9Td3mVDg,"Bringing you the latest in financial news and tech coverage. 📈💡

Check-out cheddar.com to learn more and find out where to watch us!

Don't forget: Follow us on our other social media channels for more great exclusive content.
"
BnVeG1jghO8,Why Gold Has Hit All-Time Highs,"On this week’s episode of Big Business This Week we unpack the top business news of the last seven days including the major deal between OpenAI & AMD. Plus, why Tesla is rolling out standard pricing for it’s electric vehicles. And why gold is hitting record highs. Watch!  Connect with Cheddar! On Facebook: https://facebook.com/cheddar On Instagram: https://instagram.com/cheddar On the web: https://cheddar.com In your inbox: https://need2know.cheddar.com/subscribe",2025-10-10 16:00:31,1201,False,Cheddar,UC04KsGq3npibMCE9Td3mVDg,"Bringing you the latest in financial news and tech coverage. 📈💡

Check-out cheddar.com to learn more and find out where to watch us!

Don't forget: Follow us on our other social media channels for more great exclusive content.
"
NomcxHQPWWY,How 'The Life of a Showgirl' Shattered Sales Records,"Sinead O’Sullivan breaks down Taylor Swift’s genius marketing for The Life of a Showgirl, which just set the record for most albums sold in a single week.  Connect with Cheddar! On Facebook: https://facebook.com/cheddar On Instagram: https://instagram.com/cheddar On the web: https://cheddar.com In your inbox: https://need2know.cheddar.com/subscribe",2025-10-09 17:21:04,597,False,Cheddar,UC04KsGq3npibMCE9Td3mVDg,"Bringing you the latest in financial news and tech coverage. 📈💡

Check-out cheddar.com to learn more and find out where to watch us!

Don't forget: Follow us on our other social media channels for more great exclusive content.
"
_W3IThn41-c,Inside Charlotte Hornets’ New Multi-Year Partnership,"On this week’s Power Players episode, Delta's Chief Sustainability Officer Amelia DeLuca discusses the airlines goals for environmentally friendly skies. Plus the President of Business Operations for the Charlotte Hornets Shelly Cayette-Weston on the teams recent partnership. And Atlanta Mayor Andre Dickens takes us inside his mission for affordable housing for the city.  Connect with Cheddar! On Facebook: https://facebook.com/cheddar On Instagram: https://instagram.com/cheddar On the web: https://cheddar.com In your inbox: https://need2know.cheddar.com/subscribe",2025-10-09 16:01:09,1439,False,Cheddar,UC04KsGq3npibMCE9Td3mVDg,"Bringing you the latest in financial news and tech coverage. 📈💡

Check-out cheddar.com to learn more and find out where to watch us!

Don't forget: Follow us on our other social media channels for more great exclusive content.
"
ZBkoejLvAik,Apple vs. Amazon: Which New Tech Products Are Worth Your Wallet?,"Tom’s Guide Editor-in-Chief Mark Spoonauer breaks down Apple & Amazon's latest product drops—what's hot, what's hype, and what really matters for users.  Connect with Cheddar! On Facebook: https://facebook.com/cheddar On Instagram: https://instagram.com/cheddar On the web: https://cheddar.com In your inbox: https://need2know.cheddar.com/subscribe",2025-10-06 18:50:28,521,False,Cheddar,UC04KsGq3npibMCE9Td3mVDg,"Bringing you the latest in financial news and tech coverage. 📈💡

Check-out cheddar.com to learn more and find out where to watch us!

Don't forget: Follow us on our other social media channels for more great exclusive content.
"
