video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
Za_R6h89iS8,Australia’s Monopoly Is Hidden in Plain Sight,"Go to https://brilliant.org/coldfusion for 20% off the premium subscription, which grants you unlimited daily access to everything on Brilliant.  Australia is one of the most monopolistic countries in the developed world. From banking, to air travel and groceries. It's all controlled by a few giant corporations. But how bad is it and how did it get this way? In this episode we take a look.  Watch or listen to ColdFusion on Spotify: https://open.spotify.com/show/1YEwCKoRz8fEDqheXB6UJ1  ColdFusion Music:   https://www.youtube.com/@ColdFusionmusic http://burnwater.bandcamp.com     Get my book:   http://bit.ly/NewThinkingbook   ColdFusion Socials:   https://discord.gg/coldfusion https://facebook.com/ColdFusionTV  https://twitter.com/ColdFusion_TV  https://instagram.com/coldfusiontv  Created by: Dagogo Altraide Producers: Tawsif Akkas, Dagogo Altraide",2025-10-28 15:39:44,1410,False,ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here.
This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere.
Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.

--- New Thinking Book written by Dagogo Altraide ---
Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority!
Audio Book: https://goo.gl/p8auh3
Get the book on Amazon US: http://bit.ly/NewThinkingbook
Amazon India Link: https://goo.gl/qJCC1T
Amazon UK link: https://goo.gl/RBxisf
Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay

MERCH:

INTERNATIONAL: https://store.coldfusioncollective.com/
AUSTRALIA: https://shop.coldfusioncollective.com/

Contact | *Business ONLY* dagogo@coldfusioncollective.com

Join the fun on instagram: 

@ColdFusiontv

Facebook | www.facebook.com/coldfusiontv"
O0lpnsuR0Ik,How This Man Vanished With $4.5 Billion,"Get your exclusive NordVPN ColdFusion deal + 4 months extra here → https://nordvpn.com/coldfusionvpn. It’s risk-free with Nord’s 30-day money-back guarantee.  Jho Low is a fugitive. Believed to be hiding in Shanghai, living under a false identity with a forged Australian passport.  This is the unbelievable story of how he stole $4.5 Billion from Malaysia and managed to get away with it.  Watch or listen to ColdFusion on Spotify: https://open.spotify.com/show/1YEwCKoRz8fEDqheXB6UJ1  ColdFusion Music:   https://www.youtube.com/@ColdFusionmusic http://burnwater.bandcamp.com     Get my book:   http://bit.ly/NewThinkingbook   ColdFusion Socials:   https://discord.gg/coldfusion https://facebook.com/ColdFusionTV  https://twitter.com/ColdFusion_TV  https://instagram.com/coldfusiontv  Created by: Dagogo Altraide Producers: Tawsif Akkas, Dagogo Altraide",2025-10-22 14:26:51,1356,False,ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here.
This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere.
Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.

--- New Thinking Book written by Dagogo Altraide ---
Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority!
Audio Book: https://goo.gl/p8auh3
Get the book on Amazon US: http://bit.ly/NewThinkingbook
Amazon India Link: https://goo.gl/qJCC1T
Amazon UK link: https://goo.gl/RBxisf
Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay

MERCH:

INTERNATIONAL: https://store.coldfusioncollective.com/
AUSTRALIA: https://shop.coldfusioncollective.com/

Contact | *Business ONLY* dagogo@coldfusioncollective.com

Join the fun on instagram: 

@ColdFusiontv

Facebook | www.facebook.com/coldfusiontv"
QX1Xwzm9yHY,Replacing Humans with AI is Going Horribly Wrong,"Go to https://brilliant.org/coldfusion for 20% off the premium subscription, which grants you unlimited daily access to everything on Brilliant.  AI is a technology that divides people's opinions when we talk about its impacts. On the one had, AI has been disruptive to certain roles of employment. On the other hand, companies who have rushed to implement AI have found themselves regretting it. In this episode we get to the bottom of how AI is being used in the business world.  Watch or listen to ColdFusion on Spotify: https://open.spotify.com/show/1YEwCKoRz8fEDqheXB6UJ1  Sources:  https://docs.google.com/document/d/1cavjbsmufe42UwPWBJAZFnuIcML58SZR1I8g1CugCYA/edit?usp=drivesdk  ColdFusion Music:   https://www.youtube.com/@ColdFusionmusic http://burnwater.bandcamp.com     Get my book:   http://bit.ly/NewThinkingbook   ColdFusion Socials:   https://discord.gg/coldfusion https://facebook.com/ColdFusionTV  https://twitter.com/ColdFusion_TV  https://instagram.com/coldfusiontv  Created by: Dagogo Altraide Producers: Tawsif Akkas, Dagogo Altraide",2025-09-30 13:42:26,959,False,ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here.
This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere.
Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.

--- New Thinking Book written by Dagogo Altraide ---
Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority!
Audio Book: https://goo.gl/p8auh3
Get the book on Amazon US: http://bit.ly/NewThinkingbook
Amazon India Link: https://goo.gl/qJCC1T
Amazon UK link: https://goo.gl/RBxisf
Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay

MERCH:

INTERNATIONAL: https://store.coldfusioncollective.com/
AUSTRALIA: https://shop.coldfusioncollective.com/

Contact | *Business ONLY* dagogo@coldfusioncollective.com

Join the fun on instagram: 

@ColdFusiontv

Facebook | www.facebook.com/coldfusiontv"
Eys5oQabMF8,"Forget AI, The Robots Are Coming!","Check out Odoo for free: https://www.odoo.com/r/MYl5  Humanoid robots are suddenly everywhere, but why? In this episode, we explore the state of the art in both the US and China.  Watch or listen to ColdFusion on Spotify: https://open.spotify.com/show/1YEwCKoRz8fEDqheXB6UJ1  Sources: https://docs.google.com/document/d/11dWsaDecDPUHbm9GgeQEEWrrEm_pztKfJHoiRLnN1Sc/edit?usp=drivesdk  ColdFusion Music:   https://www.youtube.com/@ColdFusionmusic http://burnwater.bandcamp.com     Get my book:   http://bit.ly/NewThinkingbook   ColdFusion Socials:   https://discord.gg/coldfusion https://facebook.com/ColdFusionTV  https://twitter.com/ColdFusion_TV  https://instagram.com/coldfusiontv  Created by: Dagogo Altraide Producers: Tawsif Akkas, Dagogo Altraide  home robots",2025-09-16 15:20:08,1467,False,ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here.
This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere.
Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.

--- New Thinking Book written by Dagogo Altraide ---
Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority!
Audio Book: https://goo.gl/p8auh3
Get the book on Amazon US: http://bit.ly/NewThinkingbook
Amazon India Link: https://goo.gl/qJCC1T
Amazon UK link: https://goo.gl/RBxisf
Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay

MERCH:

INTERNATIONAL: https://store.coldfusioncollective.com/
AUSTRALIA: https://shop.coldfusioncollective.com/

Contact | *Business ONLY* dagogo@coldfusioncollective.com

Join the fun on instagram: 

@ColdFusiontv

Facebook | www.facebook.com/coldfusiontv"
B257Ppi129k,Why Young Men Are Falling Even Further Behind,"Go to https://brilliant.org/coldfusion for 30-day free trial + 20% off!  For as long as society has existed, it's always been a given that men had an advantage by simply just being male. But in the past 5 years or so, things have changed, and changed fast. These days many young men find themselves falling further behind in a surprisingly diverse set of ways. In this episode we explore why this is happening and what some solutions could be.  Watch or listen to ColdFusion on Spotify: https://open.spotify.com/show/1YEwCKoRz8fEDqheXB6UJ1   ColdFusion Music:   https://www.youtube.com/@ColdFusionmusic http://burnwater.bandcamp.com     Show notes: https://docs.google.com/document/d/1mF5T-F3r5g-gPL0kQUjR2IFcFvr_2b2Vnh6l_T4MRTw/edit?usp=drivesdk  Get my book:   http://bit.ly/NewThinkingbook   ColdFusion Socials:   https://discord.gg/coldfusion https://facebook.com/ColdFusionTV  https://twitter.com/ColdFusion_TV  https://instagram.com/coldfusiontv  Created by: Dagogo Altraide Producers: Tawsif Akkas, Dagogo Altraide",2025-08-27 15:19:14,1464,False,ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here.
This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere.
Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.

--- New Thinking Book written by Dagogo Altraide ---
Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority!
Audio Book: https://goo.gl/p8auh3
Get the book on Amazon US: http://bit.ly/NewThinkingbook
Amazon India Link: https://goo.gl/qJCC1T
Amazon UK link: https://goo.gl/RBxisf
Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay

MERCH:

INTERNATIONAL: https://store.coldfusioncollective.com/
AUSTRALIA: https://shop.coldfusioncollective.com/

Contact | *Business ONLY* dagogo@coldfusioncollective.com

Join the fun on instagram: 

@ColdFusiontv

Facebook | www.facebook.com/coldfusiontv"
yVc2ZhECTMg,Why Gen Z Graduates Are in Crisis,"Check out Odoo for free: https://www.odoo.com/r/OeAT  From the threat of AI taking jobs to a sluggish job market, Gen Z new graduates are being hit from all sides. But how did it get so bad and what's the solution? In this episode, we explore.  Watch or listen to ColdFusion on Spotify: https://open.spotify.com/show/1YEwCKoRz8fEDqheXB6UJ1  ColdFusion Music:  https://www.youtube.com/@ColdFusionmusic http://burnwater.bandcamp.com     Sources and notes:  https://docs.google.com/document/d/149g1HepLsX6TGy4-HB__NMObvGCsdOObPZ_Erywlew0/edit?usp=drivesdk  Get my book:   http://bit.ly/NewThinkingbook   ColdFusion Socials:   https://discord.gg/coldfusion https://facebook.com/ColdFusionTV  https://twitter.com/ColdFusion_TV  https://instagram.com/coldfusiontv  Created by: Dagogo Altraide Producers: Tawsif Akkas, Dagogo Altraide",2025-08-13 16:55:22,1786,False,ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here.
This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere.
Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.

--- New Thinking Book written by Dagogo Altraide ---
Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority!
Audio Book: https://goo.gl/p8auh3
Get the book on Amazon US: http://bit.ly/NewThinkingbook
Amazon India Link: https://goo.gl/qJCC1T
Amazon UK link: https://goo.gl/RBxisf
Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay

MERCH:

INTERNATIONAL: https://store.coldfusioncollective.com/
AUSTRALIA: https://shop.coldfusioncollective.com/

Contact | *Business ONLY* dagogo@coldfusioncollective.com

Join the fun on instagram: 

@ColdFusiontv

Facebook | www.facebook.com/coldfusiontv"
QYA9i0KC0tE,Japan is (Literally) Dying Out,"Go to https://ground.news/coldfusion to compare news coverage, spot media bias, and avoid algorithms. Try Ground News today and get 40% off your subscription.  The demographic decline in Japan is no secret but the trend of not having kids is spreading across the globe. In this episode we explore the reasons for why this is happening, the consequences and possible solutions.  ColdFusion Music:  https://www.youtube.com/@ColdFusionmusic http://burnwater.bandcamp.com   Watch or listen to ColdFusion on Spotify: https://open.spotify.com/show/1YEwCKoRz8fEDqheXB6UJ1    Sources:  https://docs.google.com/document/d/1-dfnyI0BQsgSit04y9IYO2oNB-wiTWipugaJKcK--cQ/edit?usp=drivesdk  Get my book:  http://bit.ly/NewThinkingbook   ColdFusion Socials:  https://discord.gg/coldfusion https://facebook.com/ColdFusionTV  https://twitter.com/ColdFusion_TV  https://instagram.com/coldfusiontv  Created by: Dagogo Altraide Producers: Tawsif Akkas, Dagogo Altraide",2025-08-06 19:09:00,1908,False,ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here.
This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere.
Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.

--- New Thinking Book written by Dagogo Altraide ---
Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority!
Audio Book: https://goo.gl/p8auh3
Get the book on Amazon US: http://bit.ly/NewThinkingbook
Amazon India Link: https://goo.gl/qJCC1T
Amazon UK link: https://goo.gl/RBxisf
Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay

MERCH:

INTERNATIONAL: https://store.coldfusioncollective.com/
AUSTRALIA: https://shop.coldfusioncollective.com/

Contact | *Business ONLY* dagogo@coldfusioncollective.com

Join the fun on instagram: 

@ColdFusiontv

Facebook | www.facebook.com/coldfusiontv"
CGSFRCeH3dw,The Race to Control Our Brains is Heating Up,"To try everything Brilliant has to offer for free for a full 30 days, visit https://brilliant.org/coldfusion or scan the QR code onscreen—or you can click on the link in the description. You’ll also get 20% off an annual premium subscription.  Connecting the human brain to a computer has been the stuff of science fiction for decades but now it's becoming a reality. Brain computer interfaces have been making large strides over the last couple of years. Neuralink has been joined by a host of other companies, some promising superior technology. In the episode, we explore the state of the art.  Sources: https://docs.google.com/document/d/1XPrIqlXSCYy8eWG-4Cq5Q37rYd2VzdXInTuVqMf6xVE/edit?usp=drivesdk  Watch or listen to ColdFusion on Spotify: https://open.spotify.com/show/1YEwCKoRz8fEDqheXB6UJ1   ColdFusion Music:   https://www.youtube.com/@ColdFusionmusic http://burnwater.bandcamp.com     Get my book:   http://bit.ly/NewThinkingbook   ColdFusion Socials:   https://discord.gg/coldfusion https://facebook.com/ColdFusionTV  https://twitter.com/ColdFusion_TV  https://instagram.com/coldfusiontv  Created by: Dagogo Altraide Producers: Tawsif Akkas, Dagogo Altraide Writers: Julia Masselos, Dagogo Altraide",2025-07-21 16:44:19,1401,False,ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here.
This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere.
Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.

--- New Thinking Book written by Dagogo Altraide ---
Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority!
Audio Book: https://goo.gl/p8auh3
Get the book on Amazon US: http://bit.ly/NewThinkingbook
Amazon India Link: https://goo.gl/qJCC1T
Amazon UK link: https://goo.gl/RBxisf
Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay

MERCH:

INTERNATIONAL: https://store.coldfusioncollective.com/
AUSTRALIA: https://shop.coldfusioncollective.com/

Contact | *Business ONLY* dagogo@coldfusioncollective.com

Join the fun on instagram: 

@ColdFusiontv

Facebook | www.facebook.com/coldfusiontv"
h5IteCKxNj4,How BP Became the World’s Most Dangerous Oil Company,"Go to https://ground.news/coldfusion to compare news coverage, spot media bias, and avoid algorithms. Try Ground News today and get 40% off your subscription.  BP may be a household name, but their track record for safety is one of the worst in the oil and gas industry. Unfortunately, this has led to many needless deaths and ecological damage that's mind-boggling to comprehend. Where did it all go wrong? In this episode we explore.  Sources: https://docs.google.com/document/d/1pLt2O1C5fwKatAQQy9L994YsplCJyX30kKe5zOv6OaU/edit?usp=drivesdk   Watch or listen to ColdFusion on Spotify: https://open.spotify.com/show/1YEwCKoRz8fEDqheXB6UJ1   ColdFusion Music:  https://www.youtube.com/@ColdFusionmusic http://burnwater.bandcamp.com     Get my book:   http://bit.ly/NewThinkingbook   ColdFusion Socials:   https://discord.gg/coldfusion https://facebook.com/ColdFusionTV  https://twitter.com/ColdFusion_TV  https://instagram.com/coldfusiontv  Created by: Dagogo Altraide Producers: Tawsif Akkas, Dagogo Altraide",2025-07-17 14:12:07,1250,False,ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here.
This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere.
Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.

--- New Thinking Book written by Dagogo Altraide ---
Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority!
Audio Book: https://goo.gl/p8auh3
Get the book on Amazon US: http://bit.ly/NewThinkingbook
Amazon India Link: https://goo.gl/qJCC1T
Amazon UK link: https://goo.gl/RBxisf
Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay

MERCH:

INTERNATIONAL: https://store.coldfusioncollective.com/
AUSTRALIA: https://shop.coldfusioncollective.com/

Contact | *Business ONLY* dagogo@coldfusioncollective.com

Join the fun on instagram: 

@ColdFusiontv

Facebook | www.facebook.com/coldfusiontv"
d1TpqmQ0I7U,How China Won the Thorium Nuclear Energy Race,"Go to https://ground.news/coldfusion to compare news coverage, spot media bias, and avoid algorithms. Try Ground News today and get 40% off your subscription.  Thorium has been the holy grail of energy production for the better part of a century so when China announced they got one working it took the world by surprise. The twist? It was built on declassified American research. In this episode we take a look.  Watch or listen to ColdFusion on Spotify: https://open.spotify.com/show/1YEwCKoRz8fEDqheXB6UJ1  Sources and notes:  https://docs.google.com/document/d/1_Zvu6mfrT4utr9NWL9-KPSpT96rKhvTdl0H83NKlT_A/edit?usp=sharing   ColdFusion Music:   https://www.youtube.com/@ColdFusionmusic http://burnwater.bandcamp.com     Get my book:   http://bit.ly/NewThinkingbook   ColdFusion Socials:   https://discord.gg/coldfusion https://facebook.com/ColdFusionTV  https://twitter.com/ColdFusion_TV  https://instagram.com/coldfusiontv  Created by: Dagogo Altraide Producers: Tawsif Akkas, Dagogo Altraide",2025-06-22 16:14:03,1436,False,ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here.
This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere.
Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.

--- New Thinking Book written by Dagogo Altraide ---
Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Book Authority!
Audio Book: https://goo.gl/p8auh3
Get the book on Amazon US: http://bit.ly/NewThinkingbook
Amazon India Link: https://goo.gl/qJCC1T
Amazon UK link: https://goo.gl/RBxisf
Ebook on Google Play: http://bit.ly/NewThinkingGooglePlay

MERCH:

INTERNATIONAL: https://store.coldfusioncollective.com/
AUSTRALIA: https://shop.coldfusioncollective.com/

Contact | *Business ONLY* dagogo@coldfusioncollective.com

Join the fun on instagram: 

@ColdFusiontv

Facebook | www.facebook.com/coldfusiontv"
