video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
XNHbSAKAjk0,How Sports Scams Actually Work — From FIFA Corruption To Olympic Doping | Marathon,"Moses Swaibu, a former defender for Crystal Palace and Lincoln City, was jailed in 2014 for his role in UK soccer match fixing. He describes how syndicates from Russia, China, and Singapore recruited players and laundered money through betting. Since his release, he has worked with the FA to combat match fixing, founded GameChanger360, and appeared on the BBC podcast ""Confessions of a Match Fixer."" He is the author of ""Fixed: My Secret Life as a Match Fixer.""  Bonita Mersiades is a FIFA whistleblower and former head of corporate and public affairs at Football Australia. She played a key role in Australia's bids to host the 2018 and 2022 FIFA World Cups, a bidding season at the heart of a major FIFA corruption scandal that led to the indictment of 14 officials and executives. After she was fired in 2010, Mersiades became a prominent whistleblower and helped expose the culture of bribery and corruption within the organization. She is the author of ""Whatever It Takes: The Inside Story of the FIFA Way"" and the founder of Fair Play Publishing.  Owen Hanson is a former backup tight end for the University of Southern California's football team in the early 2000s. He set up the ODOG Enterprise — a betting company targeting wealthy gamblers — from Costa Rica. He was eventually arrested in an FBI sting in 2017. Sentenced to 21 years, he served seven years and forfeited $5 million worth of assets. Hanson is the author of ""The California Kid,"" founder of California Ice Protein, and the subject of ""Cocaine Quarterback,"" a docuseries from Mark Wahlberg's Unrealistic Ideas production company.  Victor Conte, founder of BALCO, designed doping programs for elite athletes, supplying the untraceable steroid “the clear” to Olympic champions and pros in the MLB and NFL. He served four months in prison for steroid distribution and money laundering, then rebranded as a boxing promoter and anti-doping advocate, working with Nonito Donaire, Andre Ward, and Devin Haney. He speaks on the 2024 Paris Olympics, the proposed Enhanced Games, and the future of doping.  For more: Moses Swaibu https://www.amazon.com/Fixed-Confessi... Bonita Mersiades https://www.amazon.com.au/Whatever-Takes-Inside-Story-FIFA/dp/1925914682 Owen Hanson https://www.youtube.com/watch?v=HBRs2InNTSE Victor Conte www.snac.com  00:00:00 - Intro 00:00:40 - Olympic Doping 00:25:01 - Football Match Fixing 01:01:23 - FIFA Corruption 01:39:40 - Illegal Sports Betting 02:29:52 - Credits  ------------------------------------------------------ #olympics #football #matchfixing #FIFA #sportsbetting #howcrimeworks   MORE HOW CRIME WORKS VIDEOS: How Drug Pilots Actually Work (Medellin Cartel)  https://youtu.be/UdzxHnzgbOI How Multi-Million Dollar Heists Actually Work https://youtu.be/Ua9lEJn82PY Ex-Casino Cheat Reveals How Casino Scams Actually Work https://youtu.be/BKyT-2mr1bI  Insider's mission is to inform and inspire.   Visit our homepage for the top stories of the day: https://www.businessinsider.com/ Insider on Facebook: https://www.facebook.com/insider Insider on Instagram: https://www.instagram.com/insider Insider on Twitter: https://twitter.com/thisisinsider Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621 Insider on TikTok: https://www.tiktok.com/@insider  How Sports Scams Actually Work — From FIFA Corruption To Olympic Doping | Marathon",2025-10-30 12:01:07,9026,False,Insider,UCHJuQZuzapBh-CuhRYxIZrg,"What you want to know. 

Visit our homepage for the top stories of the day: https://www.businessinsider.com
Insider on Facebook: https://www.facebook.com/insider
Insider on Instagram: https://www.instagram.com/insider
Insider on Twitter: https://twitter.com/thisisinsider
Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621
Insider on TikTok: https://www.tiktok.com/@insider

If you have a permissions or licensing request, please connect with our partners at PARS International who will be able to provide you with an accurate quote for the overall usage rights that you’re interested in. A representative from PARS will contact you shortly after filling out this request form: https://www.parsintl.com/publications/insider/
"
8Y4xt7tFfIg,How Hostage Negotiation Actually Works |  Authorized Account | Insider,"Mickey Bergman is a negotiator involved in political prisoner negotiations for Americans wrongfully detained abroad. Over the past decade, he has helped secure the release of high-profile detainees such as Trevor Reed, Brittney Griner, and Danny Fenster.  The last few years have seen major armed conflicts driving a rise in hostage-taking by both state and non-state actors. Americans are increasingly detained as political leverage, and traditional diplomacy often stalls.  Operating outside government, Bergman travels into hostile territories to negotiate directly with the captors. He aims to bring Americans home through ""fringe diplomacy,"" in which emotional intelligence outweighs firepower and success can mean trading a basketball star for a convicted arms dealer.  For more: ""In The Shadows"": https://www.amazon.com/Shadows-High-Stakes-Negotiations-Americans-Captured/dp/1546004750  Global Reach: https://www.reach.global/  Read ""A hostage negotiator with over 17 years of experience explains the fastest way to ruin a negotiation"": https://trib.al/NEBO5s3   00:00 - Introduction 00:45 - The Russians 02:54 - Negotiation Tactics 05:41 - The Money 08:56 - The Players 12:53 - High-Status Hostages 16:20 - The Diplomacy 19:35 - Left Behind 22:34 - The Gray Zone 24:14 - The Risks 27:47 - The Aftermath 30:34 - The Future 26:22 - The Backstory 39:30 - Credits  ------------------------------------------------------ #hostagenegotiation #hostagerelease #hostagesituation #authorizedaccount   WATCH MORE AUTHORIZED ACCOUNT VIDEOS: How Bomb Disposal Experts Actually Work https://youtu.be/DncAoMvjeyo How Witness Protection Actually Works https://youtu.be/76JwH9VBLpg How Mercenaries Actually Work  https://youtu.be/cX_DXJKZ48w  Insider's mission is to inform and inspire.   Visit our homepage for the top stories of the day: https://www.businessinsider.com/ Insider on Facebook: https://www.facebook.com/insider Insider on Instagram: https://www.instagram.com/insider Insider on Twitter: https://twitter.com/thisisinsider Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621 Insider on TikTok: https://www.tiktok.com/@insider  How Hostage Negotiation Actually Works |  Authorized Account | Insider",2025-10-23 19:17:51,2406,False,Insider,UCHJuQZuzapBh-CuhRYxIZrg,"What you want to know. 

Visit our homepage for the top stories of the day: https://www.businessinsider.com
Insider on Facebook: https://www.facebook.com/insider
Insider on Instagram: https://www.instagram.com/insider
Insider on Twitter: https://twitter.com/thisisinsider
Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621
Insider on TikTok: https://www.tiktok.com/@insider

If you have a permissions or licensing request, please connect with our partners at PARS International who will be able to provide you with an accurate quote for the overall usage rights that you’re interested in. A representative from PARS will contact you shortly after filling out this request form: https://www.parsintl.com/publications/insider/
"
4OkOLPx8H6w,How Illegal Sports Betting Actually Works | How Crime Works | Insider,"Owen Hanson is a former college athlete who ran an illegal sports betting company and later expanded into international cartel-backed money laundering and drug trafficking.  Hanson is a former backup tight end for the University of Southern California football team in the early 2000s. He started smuggling steroids over the US-Mexico border while in school. He got involved in sports betting after the 2008 financial crisis and set up the ODOG Enterprise — a betting company targeting wealthy gamblers — from Costa Rica. Using his sports connections, Hanson offered rigged tips, bribed players, and enforced payments through threats. The FBI arrested him in 2015 for racketeering conspiracy and conspiracy to distribute narcotics, and he was sentenced to 21 years and three months in federal prison. He served nine years in prison since his arrest and forfeited $5 million in assets.  He spoke to Business Insider about money laundering and the lifestyle of high-rolling sports betters. He discussed cartel suppliers and how steroids are smuggled across the US-Mexico border.  Hanson is the author of ""The California Kid: From USC Golden Boy to International Drug Kingpin."" He launched California Ice Protein, a frozen ""protein‑on‑a‑stick"" brand inspired by Mexican paletas. He's the subject of a three-part docuseries, ""Cocaine Quarterback,"" produced by Mark Wahlberg’s Unrealistic Ideas company. It premiered on Prime Video in September.  For more: Owen’s book www.TheCaliforniaKid.com Cocaine Quarterback on Prime Video https://www.youtube.com/watch?v=HBRs2InNTSE    The logo on his hat has been obscured to ensure no implied endorsement or connection between the brand and the subject matter discussed.  00:00 - Introduction 00:38 - The Connections 05:42 - The Rules 07:50 - The Clients 14:34 - The Banks 16:51 - Money Laundering 22:05 - The Lifestyle 24:34 - The Cartels 30:56 - Intimidation Tactics 35:21- College Sports 38:37 - The Smuggling 42:11 - The Aftermath 45:14 - The Future 50:12 - Credits  ------------------------------------------------------ #sportsbetting #cartels #HowCrimeWorks  MORE HOW CRIME WORKS VIDEOS: How Drug Pilots Actually Work (Medellin Cartel)  https://youtu.be/UdzxHnzgbOI How Soccer Match-Fixing Actually Works https://youtu.be/ZZHwR629-yw How Multi-Million Dollar Heists Actually Work https://youtu.be/Ua9lEJn82PY  Insider's mission is to inform and inspire.   Visit our homepage for the top stories of the day: https://www.businessinsider.com/ Insider on Facebook: https://www.facebook.com/insider Insider on Instagram: https://www.instagram.com/insider Insider on Twitter: https://twitter.com/thisisinsider Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621 Insider on TikTok: https://www.tiktok.com/@insider  How Illegal Sports Betting Actually Works | How Crime Works | Insider",2025-10-16 15:00:14,3037,False,Insider,UCHJuQZuzapBh-CuhRYxIZrg,"What you want to know. 

Visit our homepage for the top stories of the day: https://www.businessinsider.com
Insider on Facebook: https://www.facebook.com/insider
Insider on Instagram: https://www.instagram.com/insider
Insider on Twitter: https://twitter.com/thisisinsider
Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621
Insider on TikTok: https://www.tiktok.com/@insider

If you have a permissions or licensing request, please connect with our partners at PARS International who will be able to provide you with an accurate quote for the overall usage rights that you’re interested in. A representative from PARS will contact you shortly after filling out this request form: https://www.parsintl.com/publications/insider/
"
DncAoMvjeyo,How Bomb Disposal Experts Actually Work | Authorized Account | Insider,"Brian Castner is a former explosive ordnance disposal officer, or EOD officer, who served in the Air Force during the war in Iraq. Castner deployed twice, in 2004 and 2006, as a commander of an EOD unit at the Balad and Kirkuk air bases, respectively.  After leaving the military in 2007, he worked as a military contractor before turning to writing. Since 2018, Castner has worked at Amnesty International as a weapons and war crime investigator, becoming the head of crisis research in 2024. In that role, Castner has traveled to conflict areas around the world, such as Ukraine, Afghanistan, and Somalia.  Castner breaks down the rigorous training and preparation for EOD service, in which a single mistake can be fatal, as well as his transition into war crime investigation amid rising global tensions and rapidly increasing weapons production.  For more: https://www.amnesty.org/en/what-we-do/armed-conflict/  Read ""Former Air Force bomb diffuser says what the job is really like and that cutting the red wire is a Hollywood trope,"" the article version of this video: https://trib.al/PskUGSW  00:00: Intro 00:36: The Movies 03:11: The Missions 08:52: The Tools 11:11: The Forensics 14:37: The Training 18:43: Escape From Kabul 26:52: The War in Ukraine 34:02: The Weaponry 36:30: The Future 39:05: Credits  ------------------------------------------------------ #bombdisposal #veterans #AuthorizedAccount  WATCH MORE AUTHORIZED ACCOUNT VIDEOS: How Witness Protection Actually Works https://youtu.be/76JwH9VBLpg How Mercenaries Actually Work  https://youtu.be/cX_DXJKZ48w How US Drone Warfare Actually Works https://youtu.be/yYdKnWxmC7o  Insider's mission is to inform and inspire.   Visit our homepage for the top stories of the day: https://www.businessinsider.com/ Insider on Facebook: https://www.facebook.com/insider Insider on Instagram: https://www.instagram.com/insider Insider on Twitter: https://twitter.com/thisisinsider Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621 Insider on TikTok: https://www.tiktok.com/@insider  How Military Bomb Disposal Actually Works  | Authorized Account | Insider",2025-10-09 15:48:59,2370,False,Insider,UCHJuQZuzapBh-CuhRYxIZrg,"What you want to know. 

Visit our homepage for the top stories of the day: https://www.businessinsider.com
Insider on Facebook: https://www.facebook.com/insider
Insider on Instagram: https://www.instagram.com/insider
Insider on Twitter: https://twitter.com/thisisinsider
Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621
Insider on TikTok: https://www.tiktok.com/@insider

If you have a permissions or licensing request, please connect with our partners at PARS International who will be able to provide you with an accurate quote for the overall usage rights that you’re interested in. A representative from PARS will contact you shortly after filling out this request form: https://www.parsintl.com/publications/insider/
"
76JwH9VBLpg,How Witness Protection Actually Works | Authorized Account | Insider,"Jackee Taylor was 7 years old when she entered the Witness Protection Program in 1981, and she has remained in it for over 40 years.   Her father, Clarence ""Butch"" Crouch, was a member of the Cleveland Hells Angels. His decision to turn state's evidence upended his family's life. After years of struggling to prove her identity, which put her children at risk of losing their health insurance, Taylor went to the press in 2010.  Taylor provides insight into the often misunderstood world of witness protection, detailing the challenges of living with a secret identity and how a parent's crimes can affect their children's lives. She describes a lack of support from the United States Marshals Service after being placed in the program and the difficulties of obtaining proper identification and adequate mental healthcare.  Since going public, Taylor has become an advocate for reform in witness protection. Her family's story was detailed in a narrative podcast series released in 2020, ""Relative Unknown."" The second season is currently in development.  For more: https://podcasts.apple.com/au/podcast/relative-unknown/id1526581627 https://open.spotify.com/show/0sdRJmu7Wewl5dKw7o0nPE?si=5b4c63aa94714c92  00:00 - Introduction 00:34 - Hells Angels 04:17 - The Safe House 05:43 - Escape to Montana 08:45 - The Revelation 11:32 - Changing Identities 15:33 - Lost in the System 18:27 - Death in Texas 22:20 - The History 24:49 - The Aftermath 26:37 - The Future 30:34 - Credits  Read the article of Jackee's story: https://trib.al/1z5BC85  ------------------------------------------------------  WATCH MORE AUTHORIZED ACCOUNT VIDEOS: How Mercenaries Actually Work  https://youtu.be/cX_DXJKZ48w How US Drone Warfare Actually Works https://youtu.be/yYdKnWxmC7o How Reforming A Neo-Nazi Actually Works https://youtu.be/1KGH8_khwQw  Insider's mission is to inform and inspire.   Visit our homepage for the top stories of the day: https://www.businessinsider.com/ Insider on Facebook: https://www.facebook.com/insider Insider on Instagram: https://www.instagram.com/insider Insider on Twitter: https://twitter.com/thisisinsider Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621 Insider on TikTok: https://www.tiktok.com/@insider  How Witness Protection Actually Works | Authorized Account | Insider",2025-10-02 15:00:10,1864,False,Insider,UCHJuQZuzapBh-CuhRYxIZrg,"What you want to know. 

Visit our homepage for the top stories of the day: https://www.businessinsider.com
Insider on Facebook: https://www.facebook.com/insider
Insider on Instagram: https://www.instagram.com/insider
Insider on Twitter: https://twitter.com/thisisinsider
Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621
Insider on TikTok: https://www.tiktok.com/@insider

If you have a permissions or licensing request, please connect with our partners at PARS International who will be able to provide you with an accurate quote for the overall usage rights that you’re interested in. A representative from PARS will contact you shortly after filling out this request form: https://www.parsintl.com/publications/insider/
"
xIrPfQJHxRc,How My Aircraft Carrier Survived A WWII Kamikaze Attack,"Of the more than 11 million American armed service members who served during World War II, only about 66,000 are still alive today. Chief video correspondent Graham Flanagan interviewed 106-year-old Navy veteran William McClintick, who commissioned as an ensign in the US Naval Reserve in 1939.  After conducting Neutrality Patrols in the Atlantic Ocean aboard the battleship USS Idaho, McClintick served aboard the escort carrier USS Savo Island in the Pacific theater during World War II. In 1945, McClintick and his crew survived the impact of a Japanese kamikaze plane that crashed into the ship's mast during operations in the Philippines.  McClintick shares detailed stories from his Navy career, his candid thoughts on current US leadership, and his experience living past age 100.  00:00 Kamikaze Attack Intro 00:39 Meet William McClintick 01:29 Life at 106 02:30 Becoming a Navy Officer 03:56 Patrolling the Atlantic Ocean, 1941 04:41 War Begins, Aleutian Islands Operations 05:48 On the USS Savo Island in the Pacific Theater 06:44 The Kamikaze Attack 09:02 Losing Friends in Combat 09:58 Advice for Young Navy Officers 10:52 Thoughts on Pete Hegseth and Trump 11:43 Concerns About the Future of America 12:31 Life After World War II 13:06 Life at 106, Continued 13:43 Tour of Bill's ""Nest"" 15:17 Credits  ------------------------------------------------------ #USNavy #veteran #WWII  WATCH MORE: Inside The Fort Knox Factory That Makes 60,000 Military Name Tapes Each Month  https://youtu.be/1Kld0XFi-w0 Inside The US Army Drone Innovation Cell 400 Miles From Ukraine https://youtu.be/mh9RtpZPpVo Marine Reveals Untold Boot Camp Stories https://youtu.be/O73aCOuJrlw  Business Insider tells you all you need to know about business, finance, tech, retail, and more.  Visit our homepage for the top stories of the day: https://www.businessinsider.com Business Insider on Facebook: https://www.facebook.com/businessinsider  Business Insider on Instagram: https://www.instagram.com/businessinsider  Business Insider on Twitter: https://www.twitter.com/businessinsider  Business Insider on Snapchat: https://www.snapchat.com/discover/Business_Insider/5319643143 Business Insider on TikTok: https://www.tiktok.com/@businessinsider  How This 106-Year-Old WWII Navy Vet Survived A Kamikaze Attack | War Journal | Business Insider",2025-09-20 15:01:44,931,False,Insider,UCHJuQZuzapBh-CuhRYxIZrg,"What you want to know. 

Visit our homepage for the top stories of the day: https://www.businessinsider.com
Insider on Facebook: https://www.facebook.com/insider
Insider on Instagram: https://www.instagram.com/insider
Insider on Twitter: https://twitter.com/thisisinsider
Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621
Insider on TikTok: https://www.tiktok.com/@insider

If you have a permissions or licensing request, please connect with our partners at PARS International who will be able to provide you with an accurate quote for the overall usage rights that you’re interested in. A representative from PARS will contact you shortly after filling out this request form: https://www.parsintl.com/publications/insider/
"
cX_DXJKZ48w,How Mercenaries Actually Work | Authorized Account | Insider,"Barrie Rice is a former commando with the New Zealand Special Air Service. For the past 30 years, he's been a mercenary and personal bodyguard all over the world.  Rice served in the Special Air Service for seven years. After leaving in 1995, Rice worked globally as a private security contractor, including roles with Blackwater in Iraq. He spent seven years in Iraq from 2003 to 2010. After Iraq, he spent time as a private contractor training military forces in South Sudan. Rice has also worked as a personal bodyguard, traveling all over the world to places such as Syria, Libya, Ukraine, and Latin America.  Rice talks to Business Insider about the weapons, the ethics, the money, and the perks of being a mercenary. He also discusses his training, the risks, and his thoughts on how private military contractors are being used in global warfare.  He is the author of ""We Were Blackwater: Life, Death and Madness in the Killing Fields of Iraq.""  For more: https://www.bitebackpublishing.com/books/we-were-blackwater  00:00 - Introduction 00:28 - The Missions 04:01 - The Risks 06:03 - The Rules 07:48 - The Weapons 11:41 - The Hierarchy 13:56 - The Money 16:31 - Friendly Fire 19:40 - The Firefights 22:36 - The Ambushes 25:17 - The Ethics 28:13 - Global Mercenaries 31:13 - Psychological Impact 34:15 -The Backstory 37:59 - The Future 39:53 - The Aftermath  ------------------------------------------------------ #mercenaries #specialairservice #blackwater #bodyguard   MORE AUTHORIZED ACCOUNT VIDEOS: How US Drone Warfare Actually Works https://youtu.be/yYdKnWxmC7o How Reforming A Neo-Nazi Actually Works https://youtu.be/1KGH8_khwQw How The SAS Actually Works  https://youtu.be/Ce8pf1Y3Zlc  Insider's mission is to inform and inspire.   Visit our homepage for the top stories of the day: https://www.businessinsider.com/ Insider on Facebook: https://www.facebook.com/insider Insider on Instagram: https://www.instagram.com/insider Insider on Twitter: https://twitter.com/thisisinsider Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621 Insider on TikTok: https://www.tiktok.com/@insider  How Mercenaries Actually Work | Authorized Account | Insider",2025-09-18 15:01:16,2525,False,Insider,UCHJuQZuzapBh-CuhRYxIZrg,"What you want to know. 

Visit our homepage for the top stories of the day: https://www.businessinsider.com
Insider on Facebook: https://www.facebook.com/insider
Insider on Instagram: https://www.instagram.com/insider
Insider on Twitter: https://twitter.com/thisisinsider
Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621
Insider on TikTok: https://www.tiktok.com/@insider

If you have a permissions or licensing request, please connect with our partners at PARS International who will be able to provide you with an accurate quote for the overall usage rights that you’re interested in. A representative from PARS will contact you shortly after filling out this request form: https://www.parsintl.com/publications/insider/
"
yYdKnWxmC7o,How US Drone Warfare Actually Works | Authorized Account | Insider,"Tanner Yackley, a former drone sensor operator with the US Air Force, spent years flying remote combat missions, tracking targets, and executing high-stakes strikes — all from a windowless room thousands of miles away from the battlefield.  Yackley enlisted in the military at 18, drawn in by a recruiter who told him he’d be protecting convoys. He spent nearly 8 years in the service, sometimes working up to 12-hour shifts in a type of combat most Americans don’t realize exists. Operating MQ-9 Reaper drones, Yackley made life-and-death decisions daily, striking targets based on limited intel, monitoring suspected terrorists, and witnessing acts of war unfold in real time.  Yackley opens up to Business Insider about the realities of drone warfare: the precision required to pull a trigger, the emotional cost of fighting a war you’re not physically in, and what it's like to live with the memories of decisions made through a screen. He breaks down drone pilot training, the mental toll of shift work, and how it feels to be forgotten in the conversation about combat veterans. He also covers the technical specifics of MQ-9 Reaper drones, such as Hellfire missiles.  Since leaving the service, Yackley has become a vocal advocate for mental health awareness among drone crews and continues to challenge public misconceptions about remote warfare.  For more: https://remotewarrior.carrd.co/ https://rwsupport.carrd.co/  If you or someone you know is dealing with substance misuse or mental illness, call the Substance Abuse and Mental Health Services Administration's National Helpline (1-800-662-4357) for 24/7, free, confidential treatment referral and information.  00:00 - Introduction 00:35 - The Targets 03:14 - The Kill Chain 07:44 - The Drones 09:01 - Margins of Error 13:09 - Ground Control 16:09 - The Recruitment 17:44 - The Training 22:03 - The First Strike 25:20 - The Moral Cost 29:33 - Gamers and Myths 30:50 - The Future of War 32:54 - The Aftermath 36:59 - End Credits  ------------------------------------------------------ #dronepilot #militarytechnology #dronewarfare #hellfire   MORE AUTHORIZED ACCOUNT VIDEOS: How Reforming A Neo-Nazi Actually Works https://youtu.be/1KGH8_khwQw How The SAS Actually Works  https://youtu.be/Ce8pf1Y3Zlc How US Army Special Forces (Green Berets) Actually Work https://youtu.be/UNbuDKQTgRg  Insider's mission is to inform and inspire.   Visit our homepage for the top stories of the day: https://www.businessinsider.com/ Insider on Facebook: https://www.facebook.com/insider Insider on Instagram: https://www.instagram.com/insider Insider on Twitter: https://twitter.com/thisisinsider Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621 Insider on TikTok: https://www.tiktok.com/@insider  How US Military Drone Operators Actually Work | Authorized Account | Insider",2025-09-11 15:01:53,2240,False,Insider,UCHJuQZuzapBh-CuhRYxIZrg,"What you want to know. 

Visit our homepage for the top stories of the day: https://www.businessinsider.com
Insider on Facebook: https://www.facebook.com/insider
Insider on Instagram: https://www.instagram.com/insider
Insider on Twitter: https://twitter.com/thisisinsider
Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621
Insider on TikTok: https://www.tiktok.com/@insider

If you have a permissions or licensing request, please connect with our partners at PARS International who will be able to provide you with an accurate quote for the overall usage rights that you’re interested in. A representative from PARS will contact you shortly after filling out this request form: https://www.parsintl.com/publications/insider/
"
1KGH8_khwQw,How US Neo-Nazism Actually Works | Authorized Account — The Podcast,"Arno Michaelis identifies as a former white nationalist. For seven years, he lived in a world of hate, leading a popular white-power punk rock band, Centurion, and cofounding a violent Neo-Nazi gang that preyed on anyone who seemed different. His radicalization began in the punk scene as a form of rebellion and a desire to shock people, which eventually morphed into a full-fledged white power ideology.  Michaelis claims antisemitism stands as the core, unifying belief that connects all forms of violent extremism, from the far right to the far left. His eventual escape from the movement was driven by exhaustion and the profound impact of receiving kindness from the very people he claimed to hate.  He contrasts the ""laziness"" of hate with the strength required for compassion and discusses his current work in counter-extremism, emphasizing that hate and violence are preventable.  Today, he’s working for the nonprofit Parents for Peace. He’s written two books, including one with Pardeep Kaleka, whose father was the first victim in the 2012 Sikh Temple shooting in Wisconsin.  Michaelis speaks to Authorized Account host Kevin Reilly about his former life of hate, how he eventually left it behind, and what people could do to prevent violence before it begins.  For more:  https://www.parents4peace.org/ Instagram: @ArnoMichaelis   If you or someone you know is dealing with substance misuse or mental illness, call the Substance Abuse and Mental Health Services Administration's National Helpline (1-800-662-4357) for 24/7, free, confidential treatment referral and information.   ------------------------------------------------------  MORE AUTHORIZED ACCOUNT VIDEOS: How The SAS Actually Works  https://youtu.be/Ce8pf1Y3Zlc How US Army Special Forces (Green Berets) Actually Work https://youtu.be/UNbuDKQTgRg How 6 Secretive Military Roles Work - from The CIA to Navy SEALs  https://youtu.be/IvhD-2F1KNo  Insider's mission is to inform and inspire.   Visit our homepage for the top stories of the day: https://www.businessinsider.com/ Insider on Facebook: https://www.facebook.com/insider Insider on Instagram: https://www.instagram.com/insider Insider on Twitter: https://twitter.com/thisisinsider Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621 Insider on TikTok: https://www.tiktok.com/@insider  How Reforming A Neo-Nazi Actually Works | Authorized Account — The Podcast | Insider",2025-09-06 15:00:07,5709,False,Insider,UCHJuQZuzapBh-CuhRYxIZrg,"What you want to know. 

Visit our homepage for the top stories of the day: https://www.businessinsider.com
Insider on Facebook: https://www.facebook.com/insider
Insider on Instagram: https://www.instagram.com/insider
Insider on Twitter: https://twitter.com/thisisinsider
Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621
Insider on TikTok: https://www.tiktok.com/@insider

If you have a permissions or licensing request, please connect with our partners at PARS International who will be able to provide you with an accurate quote for the overall usage rights that you’re interested in. A representative from PARS will contact you shortly after filling out this request form: https://www.parsintl.com/publications/insider/
"
Ce8pf1Y3Zlc,How The SAS Actually Works | Authorized Account | Insider,"Krishna Thapa is a former Special Air Service troop leader, Gurkha, and record-breaking mountaineer.  Thapa began his military career in 1996 with the Gurkhas before passing the notoriously grueling SAS selection in 2003. Over the next 16 years, he was deployed across global conflict zones including Bosnia, Kosovo, Iraq, and Afghanistan, ultimately leading the SAS's Mountain Troop. During his service, Thapa became the first active-duty warrant officer to summit both Everest and K2.  Thapa speaks to Business Insider about the most intense phases of SAS training, such as jungle survival and the escape and evasion test. He explains the regiment’s values, hierarchy, weapons systems, and the meaning behind its ""Who Dares Wins"" motto.  Since retiring in 2022, Thapa has built a career in leadership coaching and motivational speaking. He's a frequent guest on TV and podcasts, and he cofounded a resilience initiative supporting veterans through the Gurkha Welfare Trust.  For more: https://linktr.ee/krishnathapa22  At 06:00 in this video, on-screen text identifies ""DS"" as ""Drill Sergeant."" The correct meaning is ""Directing Staff."" Business Insider regrets the error.  00:38 Chapter 1: The Hill Phase 04:40 Chapter 2: The Jungle 09:10 Chapter 3: Escape and Evasion 13:19 Chapter 4: The Recruitment 18:55 Chapter 5: The Missions 24:28 Chapter 6: The Skills 28:07 Chapter 7: The Ranks 32:11 Chapter 8: The Weapons 38:01 Chapter 9: The Aftermath  ------------------------------------------------------ #SpecialAirService #Gurkhas #military  MORE AUTHORIZED ACCOUNT VIDEOS: How US Army Special Forces (Green Berets) Actually Work https://youtu.be/UNbuDKQTgRg How 6 Secretive Military Roles Work - from The CIA to Navy SEALs  https://youtu.be/IvhD-2F1KNo How Casino Card Counting Actually Works https://youtu.be/2NpJ7IO263U  Insider's mission is to inform and inspire.   Visit our homepage for the top stories of the day: https://www.businessinsider.com/ Insider on Facebook: https://www.facebook.com/insider Insider on Instagram: https://www.instagram.com/insider Insider on Twitter: https://twitter.com/thisisinsider Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621 Insider on TikTok: https://www.tiktok.com/@insider  How The SAS Actually Works | Authorized Account | Insider",2025-08-28 16:50:20,2615,False,Insider,UCHJuQZuzapBh-CuhRYxIZrg,"What you want to know. 

Visit our homepage for the top stories of the day: https://www.businessinsider.com
Insider on Facebook: https://www.facebook.com/insider
Insider on Instagram: https://www.instagram.com/insider
Insider on Twitter: https://twitter.com/thisisinsider
Insider on Snapchat: https://www.snapchat.com/discover/Insider/2708030621
Insider on TikTok: https://www.tiktok.com/@insider

If you have a permissions or licensing request, please connect with our partners at PARS International who will be able to provide you with an accurate quote for the overall usage rights that you’re interested in. A representative from PARS will contact you shortly after filling out this request form: https://www.parsintl.com/publications/insider/
"
