video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
pnux6cEdkxk,Is Donald Trump Dying?,Go to https://ground.news/noah to stay fully informed and see all sides of every story. Subscribe through my link for 40% off for unlimited access on the Vantage plan.  Looking at da evidence  SOURCES https://www.youtube.com/shorts/vfft0hiAGTw https://www.nbcnews.com/politics/donald-trump/white-house-says-large-bruise-trumps-hand-shaking-hands-day-every-day-rcna193652 https://www.newsweek.com/jd-vance-says-ready-presidency-trump-vp-succession-2122085 https://youtu.be/NuaEjUixvlY?si=4ZkfR0zt4HdIYl5j https://ground.news/article/trump-dismisses-health-rumors-as-fake-news-says-he-was-very-active-over-the-weekend https://x.com/adamscochran/status/1962233429770285093 https://x.com/GazaMartyrs/status/1962653260054966282 https://x.com/Timesofgaza/status/1963001096227717326 https://x.com/AnasAlSharif0/status/1962884216728781004  MY LINKS patreon: https://www.patreon.com/samsen twitter: https://x.com/noahsamsen_ bluesky: https://bsky.app/profile/nsamsen.bsky.social instagram: https://www.instagram.com/noahsamsen/,2025-09-03 21:30:30,828,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
VOyGoJ5HqzM,"The Free Press: Genocide Denial ""Journalism""","Go to https://ground.news/noah to stay fully informed and see all sides of every story. Subscribe through my link for 40% off for unlimited access on the Vantage plan.  The Free Press is running cover for Israel's genocidal man made famine in the Gaza strip. The ""journalists"" responsible for this piece are Oliva Reingold and Tanya Lukyanova.  Sources: https://docs.google.com/document/d/1b0kveV2xTZnoHsaaBAFpajdy9Vt71HqpIF939wc5zSM/edit?usp=sharing  MY LINKS patreon: https://www.patreon.com/samsen twitter: https://x.com/noahsamsen_ bluesky: https://bsky.app/profile/nsamsen.bsky.social instagram: https://www.instagram.com/noahsamsen/",2025-08-29 12:01:04,1142,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
6TmiULEbUaA,"Israel Bombs Hospital, Kills 5 Journalists","https://www.instagram.com/p/DNxR2KlWg02/ https://x.com/gazanotice/status/1959881104569069708  Israel targeted 5 journalists for assassination with a double tap strike at Nasser Hospital in Khan Younis, Gaza.  SOURCES: https://docs.google.com/document/d/1BJu2YAfBBEh3kmvCHw2qhwPMRiucz8PS7oPKcLYjxR4/edit?usp=sharing  MY LINKS patreon: https://www.patreon.com/samsen twitter: https://x.com/noahsamsen_ bluesky: https://bsky.app/profile/nsamsen.bsky.social instagram: https://www.instagram.com/noahsamsen/",2025-08-26 12:00:14,355,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
lau3Wp1a2NM,Israeli Official Arrested in Child Predator Sting,"Go to https://ground.news/noah to see through misleading media narratives. Subscribe for 40% off their unlimited access Vantage plan.   This is a repost of a video uploaded on August 19th. That video was heavily restricted and demonetized even after getting cleared by a human reviewer.  SOURCES: https://docs.google.com/document/d/190j2Z-tGKDOko7Yc9ZTq4f9nm-4AmveWR_vMgicOQ-g/edit?usp=sharing  MY LINKS patreon: https://www.patreon.com/samsen twitter: https://x.com/noahsamsen_ bluesky: https://bsky.app/profile/nsamsen.bsky.social instagram: https://www.instagram.com/noahsamsen/  Tom Artiom Alexandrovich, Irsael, Netanyahu, Las Vegas arrest",2025-08-22 10:59:23,494,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
zf9j8v5ks8U,streaming with Ahmed from Gaza,yes I shaved my head. Follow Ahmed @ahmed_hsarsour and donate to his fundraiser https://chuffed.org/project/144092-project-sarsour  MY LINKS patreon: https://www.patreon.com/samsen twitter: https://x.com/noahsamsen_ bluesky: https://bsky.app/profile/nsamsen.bsky.social instagram: https://www.instagram.com/noahsamsen/,2025-08-16 23:38:15,10545,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
OO0YaLoSNPI,Israel's Sloptuber Army,"Go to https://ground.news/noah to see through misleading media narratives. Subscribe for 40% off their unlimited access Vantage plan.   Talkin' sloptubers, tokenization and zionist propaganda with @HasanAbi. I will be streaming with Palestinian poet @ahmed_hsarsour this week, follow him and stay tuned for details! Here's his Instagram too: https://www.instagram.com/ahmed.hsarsour/  Sloptubers video by @overzealots  https://youtu.be/jelZxG9smOE?si=sEHA5QrB7HejQhxD  MY LINKS patreon: https://www.patreon.com/samsen twitter: https://x.com/noahsamsen_ bluesky: https://bsky.app/profile/nsamsen.bsky.social instagram: https://www.instagram.com/noahsamsen/",2025-08-11 18:52:26,3980,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
wd6DPCEgynI,Israel Drops 500lb Bomb on Gaza Cafe,SOURCES: https://docs.google.com/document/d/1UcFGH1Df-qnXxxshCA6zTbl7mVNWV-fmaalxOwSCT_c/edit?usp=sharing DONATE: https://getinvolved.unrwausa.org/fundraiser/6373577  MY LINKS patreon: https://www.patreon.com/samsen bluesky: https://bsky.app/profile/nsamsen.bsky.social instagram: https://www.instagram.com/noahsamsen/,2025-07-06 12:01:44,874,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
FdO05o1S79k,How to Girlboss a Genocide,Go to https://ground.news/noah to stay fully informed on issues that matter to you. Save 40% for unlimited access to the Vantage Plan through my link this month only.  More H3 Israel propaganda bullshiiii  SOURCES https://docs.google.com/document/d/11aLuf0RELircBe2atTUaELmuM9yrY1jU422pONuzt8c/edit?usp=sharing  MY LINKS patreon: https://www.patreon.com/samsen bluesky: https://bsky.app/profile/nsamsen.bsky.social instagram: https://www.instagram.com/noahsamsen/,2025-06-20 11:33:50,1526,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
IDJRRA0YeJU,Hasan Piker and BadEmpanada DESTROY EACHOTHER with LISTENING and LAUGHTER,"This is a reupload of the conversation between ​⁠@BadEmpanada and ​⁠@HasanAbi that took place during our UNRWA fundraising livestream last week. The donation link is still open for a limited time only: https://getinvolved.unrwausa.org/fundraiser/6373577 Sorry the upload is so late, I'm bad at streaming lol  MY LINKS patreon: https://www.patreon.com/samsen bluesky: https://bsky.app/profile/nsamsen.bsky.social instagram: https://www.instagram.com/noahsamsen/",2025-06-02 15:31:27,11277,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
VkRhfrAMm4w,Documenting the Downfall of Zionism w/ Chris Kunzler,This interview with Chris Kunzler was recorded during last week's UNRWA fundraiser live stream. Subscribe to Chris! @chris_kunzler   MY LINKS patreon: https://www.patreon.com/samsen bluesky: https://bsky.app/profile/nsamsen.bsky.social instagram: https://www.instagram.com/noahsamsen/,2025-05-31 22:28:19,4952,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
