video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
eGEU26PjQkA,Tiffany Haddish Targets Trump in Monologue,Tiffany Haddish called out Trump in her monologue — and she didn’t even need to say his name.,2025-08-19 18:01:15,193,False,NowThis World,UCn4sPeUomNGIr26bElVdDYg,"The issues you care about.

Subscribe to our other channel!
NowThis: http://www.youtube.com/@nowthis
"
g8RlgorMfXw,Woman Defends Immigrants at Torrance Car Wash,"The business owner and a bystander stepped in as uniformed officers walked into a car wash in Torrance, CA.",2025-06-23 21:01:08,211,False,NowThis World,UCn4sPeUomNGIr26bElVdDYg,"The issues you care about.

Subscribe to our other channel!
NowThis: http://www.youtube.com/@nowthis
"
niwcjiQoWuI,Trump’s Giant Poster Sparks Backlash,Trump went full dictator with this 30-foot banner on a government building.,2025-05-19 19:00:53,215,False,NowThis World,UCn4sPeUomNGIr26bElVdDYg,"The issues you care about.

Subscribe to our other channel!
NowThis: http://www.youtube.com/@nowthis
"
jr491-7Lwok,From Tragedy to Action: How Nancy Davis Is Helping Others,"In 2022, Nancy Davis was denied a medically necessary abortion in her home state of Louisiana. After going through that ordeal, she created the Nancy Davis Foundation so others wouldn’t have to face what she did. Thank you to the Brigid Alliance for sharing Nancy’s story.",2025-05-14 22:50:43,232,False,NowThis World,UCn4sPeUomNGIr26bElVdDYg,"The issues you care about.

Subscribe to our other channel!
NowThis: http://www.youtube.com/@nowthis
"
ClT87m38euY,Sen. Murphy Calls Out Kristi Noem’s Record in Committee Showdown,"Kristi Noem, aka ICE Barbie, gets called out — ‘your department s out of control’",2025-05-09 20:01:08,331,False,NowThis World,UCn4sPeUomNGIr26bElVdDYg,"The issues you care about.

Subscribe to our other channel!
NowThis: http://www.youtube.com/@nowthis
"
J7ok1cBNlO8,George Clooney and Patti LuPone Discuss Hopes for the Future,"This actually gave us hope.  During their candid 'Actors on Actors' conversation, George Clooney and Patti LuPone got real about today's troubling political climate — and why they're still hopeful about the path forward.",2025-04-23 21:01:16,189,False,NowThis World,UCn4sPeUomNGIr26bElVdDYg,"The issues you care about.

Subscribe to our other channel!
NowThis: http://www.youtube.com/@nowthis
"
8Bs0T20hKdk,Breaking Down Trump’s Speech — What’s True & What’s Not,"If Trump's speaking, he's lying... shocking",2025-03-05 19:00:50,218,False,NowThis World,UCn4sPeUomNGIr26bElVdDYg,"The issues you care about.

Subscribe to our other channel!
NowThis: http://www.youtube.com/@nowthis
"
xmJ7dHp8EwA,Hunter Schafer Confronts Anti-Trans Policies,"After filing for a new passport, 'Euphoria' star Hunter Schafer was confronted with the reality of the Trump administration when her gender marker was changed to 'male.'  'I just wanna say trans people are beautiful. We are never going to stop existing. I’m never gonna stop being trans, a letter on a passport can’t change that, and fuck this administration,' she said in her series of TikTok videos.",2025-02-21 23:01:07,193,False,NowThis World,UCn4sPeUomNGIr26bElVdDYg,"The issues you care about.

Subscribe to our other channel!
NowThis: http://www.youtube.com/@nowthis
"
0k0PiEsXrJc,Former President Jimmy Carter Has Passed Away,"Jimmy Carter, the 39th president of the United States, has passed away at 100  » Follow NowThis Impact on Bluesky: https://bsky.app/profile/nowthisimpact.bsky.social » Subscribe to our other channel: @nowthis   For more stories like this, subscribe to @nowthisimpact   #JimmyCarter #RIP #USPresident #Politics #News #NowThis  Connect with NowThis Impact » Follow us on Instagram: https://go.nowth.is/Impact_Instagram » Like us on Facebook: https://go.nowth.is/Impact_Facebook » Connect with us on Twitter: https://go.nowth.is/Impact_Twitter  NowThis is your premier media outlet providing you with all the content you need to stay up to date. We’re delivering all you need to know straight to your social feeds. We live where you live.  http://www.youtube.com/@nowthisimpact",2024-12-30 17:30:00,207,False,NowThis World,UCn4sPeUomNGIr26bElVdDYg,"The issues you care about.

Subscribe to our other channel!
NowThis: http://www.youtube.com/@nowthis
"
UpNeUWKs4RA,How Racism Fuels Religious Opposition to Abortion,"Is it really about religion, or is it about control? Racism is the missing piece of the puzzle.  (via revdrcalebjlines on Instagram) » Follow NowThis Impact on Bluesky: https://bsky.app/profile/nowthisimpact.bsky.social » Subscribe to our other channel: http://www.youtube.com/@nowthis   For more stories like this, subscribe to http://www.youtube.com/@nowthisimpact  #Aborion #ReproductiveFreedom #Politics #News #NowThis  Connect with NowThis Impact » Like us on Facebook: https://go.nowth.is/Impact_Facebook » Connect with us on Twitter: https://go.nowth.is/Impact_Twitter » Follow us on Instagram: https://go.nowth.is/Impact_Instagram » Find us on Snapchat Discover: https://go.nowth.is/Impact_Snapchat  NowThis is your premier media outlet providing you with all the content you need to stay up to date. We’re delivering all you need to know straight to your social feeds. We live where you live.  http://www.youtube.com/@nowthisimpact",2024-12-05 18:55:00,241,False,NowThis World,UCn4sPeUomNGIr26bElVdDYg,"The issues you care about.

Subscribe to our other channel!
NowThis: http://www.youtube.com/@nowthis
"
