video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
nH56nlI1QXo,The Myth of the Alpha Wolf,,2025-06-16 21:17:57,181,False,Pop Culture Detective,UCHiwtz2tCEfS17N9A-WoSSw,"Video essays exploring the intersections of politics, masculinity, and entertainment. Hosted by Jonathan McIntosh.

Help me make more videos!
https://www.patreon.com/popdetective"
kpvpadX5mwM,The Myth of the Alpha Male,"There’s no such thing as an “alpha male.” It’s a false myth with no bases in biology or science. That fact, however, hasn’t stopped the pseudoscience behind a natural dominance hierarchy among men from spreading like a virus through our media culture.  PATREON https://www.patreon.com/popdetective PAYPAL https://www.paypal.me/popdetective WISHLIST https://www.amazon.com/hz/wishlist/ls/VPZW4GU512ON?ref_=wl_share  REFERENCES • Dr. David Mech explains why the term ""alpha wolf"" is wrong https://youtu.be/tNtFgdwTsbU?feature=shared • Frans de Waal debunks the aggressive ""alpha male"" myth in apes https://www.youtube.com/watch?v=inx2dMobzYs • Frans de Waal on The Surprising Science of ""alpha male"" Apes https://www.youtube.com/watch?v=BPsSKKL8N0s • The Will to Change: Men, Masculinity, and Love by bell hooks https://www.powells.com/book/will-to-change-men-masculinity-love-9780743456081  SUBTITLES • Help translate this video over on Amara https://amara.org/videos/DqYhZzpMT8t2/info/the-myth-of-the-alpha-male/  TEXT TRANSCRIPT  • Coming soon  COMMENTS Some YouTube comments are held for approval to reduce the number of trolls. If you'd like to participate in constructive online conversations about this video, please share it on your social media networks.  FAIR USE All multimedia clips included in this video constitute a 'fair use' of any copyrighted material as provided for in Section 107 of U.S. Copyright law, which allows for criticism, comment and scholarship. Learn more about fair use with this awesome app by New Media Rights! http://newmediarights.org/fairuse",2025-05-27 20:25:40,1897,False,Pop Culture Detective,UCHiwtz2tCEfS17N9A-WoSSw,"Video essays exploring the intersections of politics, masculinity, and entertainment. Hosted by Jonathan McIntosh.

Help me make more videos!
https://www.patreon.com/popdetective"
_yl0LJH-nFM,"Human Nature, Hope & Ice Cream","Political scholar Noam Chomsky used to do a thought experiment to combat cynicism about human nature involving an ice cream cone. This video explores Chomsky's rhetorical arguments on the topic through the lens of popular culture.   PATREON https://www.patreon.com/popdetective PAYPAL https://www.paypal.me/popdetective WISHLIST https://www.amazon.com/hz/wishlist/ls/VPZW4GU512ON?ref_=wl_share  REFERENCES • Bill Moyers interview with Noam Chomsky (1988) https://www.youtube.com/watch?v=mEYJMCydFNI • Mutual Aid: An Illuminated Factor of Evolution by Peter Kropotkin https://pmpress.org/index.php?l=product_detail&p=1185 • Ice Cream story appears in ""Understanding Power: The Indispensable Chomsky"" https://thenewpress.com/books/understanding-power • The Mean World Syndrome https://www.youtube.com/watch?v=ylhqasb1chI  SUBTITLES • Help translate this video over on Amara https://amara.org/videos/jwD4kkcqq3ww/info/human-nature-hope-ice-cream/  TEXT TRANSCRIPT  • Coming soon  COMMENTS Some YouTube comments are held for approval to reduce the number of trolls. If you'd like to participate in constructive online conversations about this video, please share it on your social media networks.",2024-11-09 00:07:24,691,False,Pop Culture Detective,UCHiwtz2tCEfS17N9A-WoSSw,"Video essays exploring the intersections of politics, masculinity, and entertainment. Hosted by Jonathan McIntosh.

Help me make more videos!
https://www.patreon.com/popdetective"
rK66s7VQmXE,Patriarchy According to The Barbie Movie,"This video essay uses the Barbie Movie as a primer to help explain what patriarchy actually is, what it isn't, and how it ends up harming everyone, including men.   PATREON https://www.patreon.com/popdetective PAYPAL https://www.paypal.me/popdetective  REFERENCES • The Gender Knot: Unraveling Our Patriarchal Legacy by Allan G Johnson • The Will to Change: Men, Masculinity, and Love by bell hooks • Masculinities by R. W. Connell  VIDEOS • Longer supercut of conservatives freaking out https://www.patreon.com/posts/behind-scenes-95631754 •  Longer supercut of fictional characters saying the word patriarchy  https://www.patreon.com/posts/another-behind-97665659 •  Supercut of fictional male characters saying the word patriarchy  https://www.patreon.com/posts/behind-scenes-3-99506234 • Julia Fox Takes A lie Detector Test https://www.vanityfair.com/video/watch/lie-detector-test-vf-lie-detector-julia-fox  SUBTITLES • Help translate this video over on Amara https://amara.org/videos/H0IvWPZJuDKv/info/patriarchy-according-to-the-barbie-movie/  TEXT TRANSCRIPT  • Coming soon  COMMENTS Some YouTube comment may be held for approval to reduce the number of trolls. If you'd like to participate in constructive online conversations about this video, please share it on your social media networks.",2024-05-09 22:33:09,1981,False,Pop Culture Detective,UCHiwtz2tCEfS17N9A-WoSSw,"Video essays exploring the intersections of politics, masculinity, and entertainment. Hosted by Jonathan McIntosh.

Help me make more videos!
https://www.patreon.com/popdetective"
SArtgoMMDNg,Searching for Humanity in Fortnite,"Can you win Fortnite's Battle Royale as a pacifist? Can you make friends with opponents during a death match? Come with me on a journey as I try to break Fortnite by acting like a Care Bear on a battlefield.  PATREON https://www.patreon.com/popdetective PAYPAL https://www.paypal.me/popdetective WISHLIST https://www.amazon.com/hz/wishlist/ls/VPZW4GU512ON?ref_=wl_share  GAMES MENTIONED • Book of Travels (Early Access) https://www.mightanddelight.com/book-of-travels • Palia (Public beta)  https://palia.com • Codename: Islands https://meetyourisland.com/ • Communite https://jimjum.itch.io/communite • Loftia  https://loftia.gg • Meadow https://store.steampowered.com/app/486310/Meadow • Sky: Children of the Light  https://www.thatskygame.com/  REFERENCES • John Green plays Fortnite as a pacifist:  https://www.youtube.com/watch?v=XjRa1RQhy-w • The real Lord of the Flies article by Rutger Bergman: https://www.theguardian.com/books/2020/may/09/the-real-lord-of-the-flies-what-happened-when-six-boys-were-shipwrecked-for-15-months • The Castaways documentary film from 1966: https://www.youtube.com/watch?v=DYebOCCoTYM • Humankind by Rutger Bregman: https://www.powells.com/book/-9780316418539/1-11 • Fortnite Players Roleplaying As Taxi Drivers: https://www.gamespot.com/articles/fortnite-players-are-roleplaying-as-taxi-drivers/1100-6480764/ • Crash Course Literature - Lord of the Flies: https://www.youtube.com/watch?v=WfNiQBXmPw8  POP DETECTIVE PODCAST • Apple Podcasts https://podcasts.apple.com/us/podcast/pop-culture-detective-audio-files/id1585512628 • Spotify: https://open.spotify.com/show/2C6SdbT75mdRp2jRyvuLfa • Google Podcasts: https://podcasts.google.com/feed/aHR0cHM6Ly9wb3BjdWx0dXJlZGV0ZWN0aXZlLmFnZW5jeS9mZWVkL3BvZGNhc3Q  SUBTITLES • Help translate this video over on Amara https://amara.org  TEXT TRANSCRIPT  • Coming soon  COMMENTS Some YouTube comments are held for approval to reduce the number of trolls. If you'd like to participate in constructive online conversations about this video, please share it on your social media networks.",2023-11-01 04:00:15,1818,False,Pop Culture Detective,UCHiwtz2tCEfS17N9A-WoSSw,"Video essays exploring the intersections of politics, masculinity, and entertainment. Hosted by Jonathan McIntosh.

Help me make more videos!
https://www.patreon.com/popdetective"
HhNLkKw7ClM,Solarpunk and How We Escape Dystopia with @Andrewism - Audio Episode 10,"In this episode we explore a relatively new subgenre of science fiction called Solarpunk, which aims to imagine better, more ecologically harmonious, futures on earth. In many ways Solarpunk is a reaction to both the real-world climate crisis and to the many apocalyptic visions of collapse filling our screens. Andrew Sage from the YouTube channel @Andrewism  joins host Jonathan McIntosh and friend of the show Carl Williams for this conversation.  FOLLOW OUR PODCAST Spotify: https://open.spotify.com/show/2C6SdbT75mdRp2jRyvuLfa Apple Podcasts: https://podcasts.apple.com/us/podcast/pop-culture-detective-audio-files/id1585512628 Google Podcasts: https://podcasts.google.com/feed/aHR0cHM6Ly9wb3BjdWx0dXJlZGV0ZWN0aXZlLmFnZW5jeS9mZWVkL3BvZGNhc3Q Our website: https://popculturedetective.agency/podcast  PATREON https://www.patreon.com/popdetective  PAYPAL https://www.paypal.me/popdetective  WISHLIST https://www.amazon.com/hz/wishlist/ls/VPZW4GU512ON?ref_=wl_share  LINKS & REFERENCES • The Andrewism YouTube Channel https://www.youtube.com/c/Andrewism • Walkaway by Cory Doctorow https://craphound.com/category/walkaway/ • Ecotopia by Ernest Callenbach https://www.penguinrandomhouse.com/books/23059/ecotopia-by-ernest-callenbach/ • Sunvault: Stories of Solarpunk and Eco-Speculation https://upperrubberboot.com/sunvault/ • Fighting for the Future edited by Phoebe Wagner  https://www.kickstarter.com/projects/androidpress/fighting-for-the-future • Parable of the Sower by Octavia Butler https://en.wikipedia.org/wiki/Parable_of_the_Sower_(novel) • Princess Mononoke from Studio Ghibli https://letterboxd.com/film/princess-mononoke/ • The Ones Who Walk Away from Omelas by Ursula K. Le Guin https://en.wikipedia.org/wiki/The_Ones_Who_Walk_Away_from_Omelas • Emergency Skin by N. K. Jemisin https://en.wikipedia.org/wiki/Emergency_Skin • Monk and Robot book series by Becky Chambers https://us.macmillan.com/series/monkrobot • Disney’s Strange Solarpunk World  https://www.youtube.com/watch?v=rqQJHja9qxU • Dear Alice from THE LINE https://www.youtube.com/watch?v=z-Ng5ZvrDm4 • Dear Alice’ Decommodified Edition by Waffle To The Left https://www.youtube.com/watch?v=UqJJktxCY9U • Our History Is the Future by Nick Estes https://www.versobooks.com/products/600-our-history-is-the-future • 3000-Year-Old Solutions to Modern Problems by Lyla June  https://www.youtube.com/watch?v=eH5zJxQETl4 • Capitalist Realism by Mark Fisher https://en.wikipedia.org/wiki/Capitalist_Realism  * Background image is the cover of the first book in the Monk and Robot series entitled ""Psalm for the Wild-Built.""  FAIR USE All multimedia clips included in this podcast constitute a ‘fair use’ of any copyrighted material as provided for in Section 107 of U.S. Copyright law, which allows for criticism, comment and scholarship. Learn more about fair use via New Media Rights!   CREDITS Audio production: Jonathan McIntosh Intro music: Simon Stålenhag Outro music: Rick Lopez",2023-05-29 20:16:26,3218,False,Pop Culture Detective,UCHiwtz2tCEfS17N9A-WoSSw,"Video essays exploring the intersections of politics, masculinity, and entertainment. Hosted by Jonathan McIntosh.

Help me make more videos!
https://www.patreon.com/popdetective"
rqQJHja9qxU,In Defense of Disney’s Strange Solarpunk World,"Exploring the surprisingly radical ecological messages in Disney's Strange World. The movie's visuals are borrowed from old pulp adventure magazines but its theme has much more in common with Solarpunk narratives.  PATREON https://www.patreon.com/popdetective PAYPAL https://www.paypal.me/popdetective WISHLIST https://www.amazon.com/hz/wishlist/ls/VPZW4GU512ON?ref_=wl_share  RESOURCES • Lyla June's talk ""3000-Year-Old Solutions To Modern Problems: https://www.youtube.com/watch?v=eH5zJxQETl4 • Decommodified version of  ""Dear Alice"" by Waffle To The Left: https://www.youtube.com/watch?v=UqJJktxCY9U • The Monk and Robot series by Becky Chambers  https://us.macmillan.com/series/monkrobot • Mock ""Clean Coal"" commercial by The Coen brothers https://www.youtube.com/watch?v=W-_U1Z0vezw • Join The Sunrise Movement:  https://www.sunrisemovement.org • The Dawn of Everything: A New History of Humanity https://us.macmillan.com/books/9780374157357/thedawnofeverything • ""What is Solarpunk?"" by Andrewism https://www.youtube.com/watch?v=hHI61GHNGJM • ""Why Solarpunk is not enough"" by Andrewism https://www.youtube.com/watch?v=rKaSb2gi1Ew  POP DETECTIVE PODCAST • Apple Podcasts https://podcasts.apple.com/us/podcast/pop-culture-detective-audio-files/id1585512628 • Spotify: https://open.spotify.com/show/2C6SdbT75mdRp2jRyvuLfa • Google Podcasts: https://podcasts.google.com/feed/aHR0cHM6Ly9wb3BjdWx0dXJlZGV0ZWN0aXZlLmFnZW5jeS9mZWVkL3BvZGNhc3Q  SUBTITLES • Help translate this video over on Amara https://amara.org/videos/xwJ5HzMpEIRM/info/in-defense-of-disneys-strange-solarpunk-world/?team=  TEXT TRANSCRIPT  • Coming soon  COMMENTS Some YouTube comments are held for approval to reduce the number of trolls. If you'd like to participate in constructive online conversations about this video, please share it on your social media networks.  FAIR USE All multimedia clips included in this video constitute a 'fair use' of any copyrighted material as provided for in Section 107 of U.S. Copyright law, which allows for criticism, comment and scholarship. Learn more about fair use with this awesome app by New Media Rights! http://newmediarights.org/fairuse  VIDEO LINK FOR EDUCATORS • Coming soon   CREDITS Writer/Editing: Jonathan McIntosh Outro music: Rick Lopez",2023-05-01 08:11:02,971,False,Pop Culture Detective,UCHiwtz2tCEfS17N9A-WoSSw,"Video essays exploring the intersections of politics, masculinity, and entertainment. Hosted by Jonathan McIntosh.

Help me make more videos!
https://www.patreon.com/popdetective"
-4SuuIcDmug,"Demystifying Fair Use, Copyright, and Content ID - Audio Episode 09","In this Audio Files episode, we discuss the fair use doctrine and why it's so important for everyone on the internet. We also dig into how fair use interacts (or doesn't) with YouTube’s Content ID system. Two legal experts in fair use join the conversation: Art Neill and Erika Lee from New Media Rights.  New Media Rights website: https://www.newmediarights.org  Listen wherever you get your podcasts: Spotify: https://open.spotify.com/show/2C6SdbT75mdRp2jRyvuLfa Apple Podcasts: https://podcasts.apple.com/us/podcast/pop-culture-detective-audio-files/id1585512628 Google Podcasts: https://podcasts.google.com/feed/aHR0cHM6Ly9wb3BjdWx0dXJlZGV0ZWN0aXZlLmFnZW5jeS9mZWVkL3BvZGNhc3Q Our website: https://popculturedetective.agency/podcast  PATREON Support this media project on Patreon: https://www.patreon.com/popdetective  PAYPAL Make a one-time donation via PayPal: https://www.paypal.me/popdetective  WISHLIST Send research materials for video essays: https://www.amazon.com/hz/wishlist/ls/VPZW4GU512ON?ref_=wl_share  Fair use: All multimedia clips included in this podcast constitute a ‘fair use’ of any copyrighted material as provided for in Section 107 of U.S. Copyright law, which allows for criticism, comment and scholarship. Learn more about fair use via New Media Rights!   Show credits: Audio production: Jonathan McIntosh Intro music: Simon Stålenhag Outro music: Rick Lopez",2023-02-01 09:24:06,3298,False,Pop Culture Detective,UCHiwtz2tCEfS17N9A-WoSSw,"Video essays exploring the intersections of politics, masculinity, and entertainment. Hosted by Jonathan McIntosh.

Help me make more videos!
https://www.patreon.com/popdetective"
LpitmEnaYeU,Marvel: Defenders of The Status Quo,"Superheroes usually manage to roll back the various apocalypses but rarely use their powers to build a better world. The villains are the ones constantly dreaming up big audacious schemes to transform the universe.  PATREON Support this project on Patreon: https://www.patreon.com/popdetective  PAYPAL Make a one-time donation via PayPal: https://www.paypal.me/popdetective  WISHLIST Send research materials for video essays: https://www.amazon.com/hz/wishlist/ls/VPZW4GU512ON?ref_=wl_share  PODCAST LINKS Apple Podcasts https://podcasts.apple.com/us/podcast/pop-culture-detective-audio-files/id1585512628 Spotify: https://open.spotify.com/show/2C6SdbT75mdRp2jRyvuLfa Google Podcasts: https://podcasts.google.com/feed/aHR0cHM6Ly9wb3BjdWx0dXJlZGV0ZWN0aXZlLmFnZW5jeS9mZWVkL3BvZGNhc3Q  REFERENCES • Super Position by David Graeber  https://thenewinquiry.com/super-position • The Utopia of Rules by David Graeber  https://www.mhpbooks.com/books/the-utopia-of-rules • Alan Moore Gives Rare Interview https://deadline.com/2020/10/alan-moore-rare-interview-watchmen-creator-the-show-superhero-movies-blighted-culture-1234594526  DOCUMENTARY FOOTAGE FROM  • This Changes Everything (2015) • The 13th (2016) • Sir No Sir (2005) • I Am Not Your Negro (2016) • Eyes on the Prize (1987) • The Vote (2020) • Harlan County U.S.A. (1976) • Disobedience (2016) • We Were Here (2011) • The Corporation (2003) • Zapatista (1999)  SUBTITLES • Help by adding subtitle translations via Amara https://amara.org/videos/bnhuIc588XqN/info/marvels-defenders-of-the-status-quo  TEXT TRANSCRIPT  • Coming soon  COMMENTS Many YouTube comments are held for approval to reduce the number of bad-faith trolls. If you'd like to participate in constructive online conversations about this video, please share it on your social media networks.  FAIR USE All multimedia clips included in this video constitute a 'fair use' of any copyrighted material as provided for in Section 107 of U.S. Copyright law, which allows for criticism, comment and scholarship. Learn more about fair use with this awesome app by New Media Rights! http://newmediarights.org/fairuse  VIDEO LINK FOR EDUCATORS • Coming soon   CREDITS Writer/Editing: Jonathan McIntosh Outro music: Rick Lopez",2022-12-01 02:30:28,1319,False,Pop Culture Detective,UCHiwtz2tCEfS17N9A-WoSSw,"Video essays exploring the intersections of politics, masculinity, and entertainment. Hosted by Jonathan McIntosh.

Help me make more videos!
https://www.patreon.com/popdetective"
MPhvr_vlF_w,A Conversation with Artist Simon Stålenhag - Audio Episode 08,"This special podcast episode is an in-depth conversation with award-winning Swedish artist and storyteller Simon Stålenhag. Simon is the creator of narrative art books like Tales From the Loop, Things From the Flood, and The Electric State. We discuss what it’s like for a small artist to be courted by the Hollywood machine. We dig into the meaning and messages in dystopian science fiction. And we talk about the negative implications of AI art generators.  Follow Simon's art narratives here:  https://www.simonstalenhag.se  Listen wherever you get your podcasts: Spotify: https://open.spotify.com/show/2C6SdbT75mdRp2jRyvuLfa Apple Podcasts: https://podcasts.apple.com/us/podcast/pop-culture-detective-audio-files/id1585512628 Google Podcasts: https://podcasts.google.com/feed/aHR0cHM6Ly9wb3BjdWx0dXJlZGV0ZWN0aXZlLmFnZW5jeS9mZWVkL3BvZGNhc3Q Our website: https://popculturedetective.agency/podcast  PATREON Support this media project on Patreon: https://www.patreon.com/popdetective  PAYPAL Make a one-time donation via PayPal: https://www.paypal.me/popdetective  WISHLIST Send research materials for video essays: https://www.amazon.com/hz/wishlist/ls/VPZW4GU512ON?ref_=wl_share  Fair use: All multimedia clips included in this podcast constitute a ‘fair use’ of any copyrighted material as provided for in Section 107 of U.S. Copyright law, which allows for criticism, comment and scholarship. Learn more about fair use via New Media Rights!   Show credits: Audio production: Jonathan McIntosh Intro music: Simon Stålenhag Outro music: Rick Lopez",2022-11-01 03:46:32,2665,False,Pop Culture Detective,UCHiwtz2tCEfS17N9A-WoSSw,"Video essays exploring the intersections of politics, masculinity, and entertainment. Hosted by Jonathan McIntosh.

Help me make more videos!
https://www.patreon.com/popdetective"
