video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
A-2bCKakP7c,Why The 2-State Solution Just Became Impossible,"Get Nebula using my link for 40% off an annual subscription: https://go.nebula.tv/reallifelore Or, get a Nebula lifetime subscription for 40% off here https://go.nebula.tv/lifetime?ref=reallifelore Or, gift a subscription to Nebula here: https://go.nebula.tv/gift?ref=reallifelore  Please subscribe: https://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww  RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/  Select video clips courtesy of Getty Images  Select video clips courtesy of the AP Archive  Special thanks to MapTiler / OpenStreetMap Contributors and GEOlayers 3  https://www.maptiler.com/copyright/ https://www.openstreetmap.org/copyright https://aescripts.com/geolayers/",2025-10-31 16:38:50,2372,False,RealLifeLore,UCP5tjEmvPItGyLhmjdwP7Ww,"Answers to questions that you've never asked. Welcome to the RealLifeLore community

Please subscribe and ring the bell

Business Email: reallifelore@standard.tv

RealLifeLore on Spotify: spoti.fi/47yMfzp
RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/
"
jq0FhcfAbG0,America’s Biggest Looming Catastrophe,"To try everything Brilliant has to offer for free, visit https://brilliant.org/RealLifeLore/ You'll also get 20% off an annual premium subscription  Watch 50 additional exclusive RealLifeLore videos on Nebula in Modern Conflicts: https://nebula.tv/modernconflicts  Please Subscribe: https://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww  RealLifeLore on Spotify: https://spoti.fi/47yMfzp  RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/  Select video clips courtesy of Getty Images  Select video clips courtesy of the AP Archive  Special thanks to MapTiler, OpenStreetMap Contributors, and GEOlayers  https://www.maptiler.com/copyright/ https://www.openstreetmap.org/copyright https://aescripts.com/geolayers/",2025-10-17 18:28:19,1806,False,RealLifeLore,UCP5tjEmvPItGyLhmjdwP7Ww,"Answers to questions that you've never asked. Welcome to the RealLifeLore community

Please subscribe and ring the bell

Business Email: reallifelore@standard.tv

RealLifeLore on Spotify: spoti.fi/47yMfzp
RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/
"
O-9SE9mf2Rc,Why Israel & Turkey Are Heading To War Over Syria,"Compare news coverage. Spot media bias. Avoid algorithms. Try Ground News today and get 40% off your subscription by going to https://ground.news/reallifelore  Watch more than 50 additional exclusive RealLifeLore videos on Nebula in Modern Conflicts: https://nebula.tv/modernconflicts   Please Subscribe: https://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww  RealLifeLore on Spotify: https://spoti.fi/47yMfzp  RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/  Select video clips courtesy of Getty Images  Select video clips courtesy of the AP Archive  Special thanks to MapTiler, OpenStreetMap Contributors, and GEOlayers  https://www.maptiler.com/copyright/ https://www.openstreetmap.org/copyright https://aescripts.com/geolayers/",2025-10-11 16:17:57,2447,False,RealLifeLore,UCP5tjEmvPItGyLhmjdwP7Ww,"Answers to questions that you've never asked. Welcome to the RealLifeLore community

Please subscribe and ring the bell

Business Email: reallifelore@standard.tv

RealLifeLore on Spotify: spoti.fi/47yMfzp
RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/
"
sgQesoA7rcU,Every Time The World Map Has Changed Since 2000,"Get Nebula using my link for 40% off an annual subscription: https://go.nebula.tv/reallifelore Or, get a Nebula lifetime subscription here https://go.nebula.tv/lifetime?ref=reallifelore Or, gift a subscription to Nebula here: https://go.nebula.tv/gift?ref=reallifelore  Please subscribe: https://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww  RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/  Select video clips courtesy of Getty Images  Select video clips courtesy of the AP Archive  Special thanks to MapTiler / OpenStreetMap Contributors and GEOlayers 3  https://www.maptiler.com/copyright/ https://www.openstreetmap.org/copyright https://aescripts.com/geolayers/",2025-09-30 17:53:51,3235,False,RealLifeLore,UCP5tjEmvPItGyLhmjdwP7Ww,"Answers to questions that you've never asked. Welcome to the RealLifeLore community

Please subscribe and ring the bell

Business Email: reallifelore@standard.tv

RealLifeLore on Spotify: spoti.fi/47yMfzp
RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/
"
d-Mh-ndtqAY,Why The US & Venezuela Are On The Brink of War,"Compare news coverage. Spot media bias. Avoid algorithms. Try Ground News today and get 40% off your subscription by going to https://ground.news/reallifelore  Watch more than 50 additional exclusive RealLifeLore videos on Nebula in Modern Conflicts: https://nebula.tv/modernconflicts   Please Subscribe: https://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww  RealLifeLore on Spotify: https://spoti.fi/47yMfzp  RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/  Select video clips courtesy of Getty Images  Select video clips courtesy of the AP Archive  Special thanks to MapTiler, OpenStreetMap Contributors, and GEOlayers  https://www.maptiler.com/copyright/ https://www.openstreetmap.org/copyright https://aescripts.com/geolayers/",2025-09-22 14:50:02,2345,False,RealLifeLore,UCP5tjEmvPItGyLhmjdwP7Ww,"Answers to questions that you've never asked. Welcome to the RealLifeLore community

Please subscribe and ring the bell

Business Email: reallifelore@standard.tv

RealLifeLore on Spotify: spoti.fi/47yMfzp
RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/
"
NVxI4nlRDBQ,Why Tourists Are Flocking to Afghanistan Now,"Get an exclusive 15% discount on Saily eSIM data plans! Download Saily app and use code 'reallifelore' at checkout - https://Saily.com/reallifelore  Please Subscribe: https://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww  RealLifeLore on Spotify: https://spoti.fi/47yMfzp  RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/  Select video clips courtesy of Getty Images  Select video clips courtesy of the AP Archive  Special thanks to MapTiler, OpenStreetMap Contributors, and GEOlayers  https://www.maptiler.com/copyright/ https://www.openstreetmap.org/copyright https://aescripts.com/geolayers/",2025-09-11 16:33:52,1452,False,RealLifeLore,UCP5tjEmvPItGyLhmjdwP7Ww,"Answers to questions that you've never asked. Welcome to the RealLifeLore community

Please subscribe and ring the bell

Business Email: reallifelore@standard.tv

RealLifeLore on Spotify: spoti.fi/47yMfzp
RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/
"
iVx_bvyBhDM,Why The US Southeast Coast is Absurdly Empty,"Compare news coverage. Spot media bias. Avoid algorithms. Try Ground News today and get 40% off your subscription by going to https://ground.news/reallifelore  Watch more than 50 additional exclusive RealLifeLore videos on Nebula in Modern Conflicts: https://nebula.tv/modernconflicts   Please Subscribe: https://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww  RealLifeLore on Spotify: https://spoti.fi/47yMfzp  RealLifeLore on Facebook:  https://www.facebook.com/RealLifeLore/  Select video clips courtesy of Getty Images  Select video clips courtesy of the AP Archive  Special thanks to MapTiler, OpenStreetMap Contributors, and GEOlayers  https://www.maptiler.com/copyright/ https://www.openstreetmap.org/copyright https://aescripts.com/geolayers/",2025-08-29 16:29:59,2054,False,RealLifeLore,UCP5tjEmvPItGyLhmjdwP7Ww,"Answers to questions that you've never asked. Welcome to the RealLifeLore community

Please subscribe and ring the bell

Business Email: reallifelore@standard.tv

RealLifeLore on Spotify: spoti.fi/47yMfzp
RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/
"
RdNQWHc5a4E,Why The ICC Is The World’s Biggest Joke,"Get Nebula using my link for 40% off an annual subscription: https://go.nebula.tv/reallifelore Or, get a Nebula lifetime subscription here: https://go.nebula.tv/lifetime?ref=reallifelore Or, gift a subscription to Nebula here: https://go.nebula.tv/gift?ref=reallifelore  Please subscribe: https://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww  RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/  Select video clips courtesy of Getty Images  Select video clips courtesy of the AP Archive  Special thanks to MapTiler / OpenStreetMap Contributors and GEOlayers 3  https://www.maptiler.com/copyright/ https://www.openstreetmap.org/copyright https://aescripts.com/geolayers/",2025-08-22 15:50:33,2928,False,RealLifeLore,UCP5tjEmvPItGyLhmjdwP7Ww,"Answers to questions that you've never asked. Welcome to the RealLifeLore community

Please subscribe and ring the bell

Business Email: reallifelore@standard.tv

RealLifeLore on Spotify: spoti.fi/47yMfzp
RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/
"
if6uRH13ZCg,Why Cambodia & Thailand Are Moving Towards War,"Claim your 10 Free Meals + Free Breakfast for Life by using code REALLIFELOREFM at https://bit.ly/4ertNwx! One free meal per box with active subscription. Free meals applied as discount on first box, new or returning subscribers only, varies by plan.   Watch more than 50 additional exclusive RealLifeLore videos on Nebula in Modern Conflicts: https://nebula.tv/modernconflicts   Please Subscribe: https://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww  RealLifeLore on Spotify: https://spoti.fi/47yMfzp  RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/  Select video clips courtesy of Getty Images  Select video clips courtesy of the AP Archive  Special thanks to MapTiler, OpenStreetMap Contributors, and GEOlayers  https://www.maptiler.com/copyright/ https://www.openstreetmap.org/copyright https://aescripts.com/geolayers/",2025-08-19 14:56:59,2282,False,RealLifeLore,UCP5tjEmvPItGyLhmjdwP7Ww,"Answers to questions that you've never asked. Welcome to the RealLifeLore community

Please subscribe and ring the bell

Business Email: reallifelore@standard.tv

RealLifeLore on Spotify: spoti.fi/47yMfzp
RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/
"
Fjjy0aNEA4w,Why Myanmar is Dying,"Compare news coverage. Spot media bias. Avoid algorithms. Try Ground News today and get 40% off your subscription by going to https://ground.news/reallifelore  Watch more than 50 additional exclusive RealLifeLore videos on Nebula in Modern Conflicts: https://nebula.tv/modernconflicts   Please Subscribe: https://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww  RealLifeLore on Spotify: https://spoti.fi/47yMfzp  RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/  Select video clips courtesy of Getty Images  Select video clips courtesy of the AP Archive  Special thanks to MapTiler, OpenStreetMap Contributors, and GEOlayers  https://www.maptiler.com/copyright/ https://www.openstreetmap.org/copyright https://aescripts.com/geolayers/",2025-07-31 17:08:38,2582,False,RealLifeLore,UCP5tjEmvPItGyLhmjdwP7Ww,"Answers to questions that you've never asked. Welcome to the RealLifeLore community

Please subscribe and ring the bell

Business Email: reallifelore@standard.tv

RealLifeLore on Spotify: spoti.fi/47yMfzp
RealLifeLore on Facebook: https://www.facebook.com/RealLifeLore/
"
