video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
XbYFpAA39_w,"Strike First, Explain Never","So far, the U.S. has blown up 14 boats in the Caribbean and the Pacific, killing at least 57 people. In the two months since the strikes began, the administration has consistently offered the same explanation: The U.S. has a fentanyl overdose problem, and these boats are a source of that drug. The federal government has stuck to that line despite the Drug Enforcement Administration and Department of Homeland Security saying most of the fentanyl brought into this country comes from Mexico, not through the Caribbean.    Nancy Youssef covers national security for The Atlantic. She joins the show to discuss the strikes, the administration’s changes to the military, and the lack of transparency in the transformed Pentagon.    Get more from your favorite Atlantic voices when you subscribe. You’ll enjoy unlimited access to Pulitzer-winning journalism, from clear-eyed analysis and insight on breaking news to fascinating explorations of our world. Atlantic subscribers also get access to exclusive subscriber audio in Apple Podcasts. Subscribe today at TheAtlantic.com/listener (https://theatlantic.com/listener) .       Learn more about your ad choices. Visit megaphone.fm/adchoices (https://megaphone.fm/adchoices)",2025-10-30 10:14:36,1475,False,The Atlantic,UCK0z0_5uL7mb9IjntOKi5XQ,The official YouTube channel of The Atlantic
ry0fmBEQ3FI,Behind the Byline: Faith Hill,"Atlantic staff writer Faith Hill majored in cognitive science in college—and found “how psychologically rich” stories on dating and partnership were. She discusses how she found her reporting beat, how she puts her own dates at ease, and more.  This is “Behind the Byline”: a new series from The Atlantic that lets you get to know the people behind our journalism. Hear from Atlantic staff on their interests, their curiosities, and their quirks.  Subscribe to The Atlantic on YouTube: http://bit.ly/subAtlanticYT",2025-10-29 19:30:12,197,False,The Atlantic,UCK0z0_5uL7mb9IjntOKi5XQ,The official YouTube channel of The Atlantic
5cJrYC9tkN8,Would U.S. Generals Obey Illegal Trump Orders? | The David Frum Show,"On this episode of The David Frum Show, The Atlantic’s David Frum opens with reflections on the new Trump administration’s pattern of “politicized stupidity”: the willful refusal to understand abuses of power, including the destruction of the White House’s East Wing and the perceived sale of government influence disguised as private donations.  Then Frum speaks with his Atlantic colleague Tom Nichols, an expert on civil-military relations and a longtime scholar of U.S. defense policy, about President Donald Trump’s efforts to turn the military into a personal instrument of power. Nichols explains how the capture of the Justice Department, the firing of Pentagon lawyers, and the use of the National Guard against civilians are eroding the rule of law, and how a president can launch wars without congressional consent.  Finally, Frum closes with a reflection on Eugène Ionesco’s play Rhinoceros, a parable about conformity and courage, and what it means to remain human in a world where everyone else is turning into beasts.   Subscribe to The David Frum Show on Apple Podcasts: https://podcasts.apple.com/us/podcast/the-david-frum-show/id1305908387  Subscribe to The David Frum Show on Spotify: https://open.spotify.com/show/79CBHEDdEbdykveVgbpWs7  Follow The Atlantic on Instagram: https://www.instagram.com/theatlantic/?hl=en  Get more from your favorite Atlantic voices when you subscribe. You’ll enjoy unlimited access to Pulitzer-winning journalism, from clear-eyed analysis and insight on breaking news to fascinating explorations of our world. Atlantic subscribers also get access to exclusive subscriber audio in Apple podcasts. Subscribe today at TheAtlantic.com/listener.  #davidfrum #thedavidfrumshow #theatlantic #tomnichols #military  Subscribe to The Atlantic on YouTube: http://bit.ly/subAtlanticYT",2025-10-29 15:00:11,3610,False,The Atlantic,UCK0z0_5uL7mb9IjntOKi5XQ,The official YouTube channel of The Atlantic
_woBkRdrxAE,18 Minutes From Nuclear Annihilation,"In Kathryn Bigelow’s new movie, A House of Dynamite, the clock is ticking. The film’s fictional president of the United States has less than 20 minutes and very little information to decide whether or not to retaliate against a nuclear missile, launched at the United States, from an unknown source. As with Bigelow’s other war movies, the story is disturbingly plausible. During the Cold War, the likely scenario was a war with the Soviet Union. Now there are nine nuclear powers, which makes the possibility of error, rogue actors, or a total information vacuum more likely. We talk with “A House of Dynamite” screenwriter Noah Oppenheim and Tom Nichols, a national-security writer at the Atlantic, who consulted on the movie.    Get more from your favorite Atlantic voices when you subscribe. You’ll enjoy unlimited access to Pulitzer-winning journalism, from clear-eyed analysis and insight on breaking news to fascinating explorations of our world. Atlantic subscribers also get access to exclusive subscriber audio in Apple Podcasts. Subscribe today at theAtlantic.com/listener (https://theatlantic.com/listener) .       Learn more about your ad choices. Visit megaphone.fm/adchoices (https://megaphone.fm/adchoices)",2025-10-23 10:16:53,2076,False,The Atlantic,UCK0z0_5uL7mb9IjntOKi5XQ,The official YouTube channel of The Atlantic
vZC6CnGX8qU,"The Triumphs and Tragedies of the American Revolution, with Ken Burns | The David Frum Show","On this episode of The David Frum Show, The Atlantic’s David Frum opens with an urgent warning about TikTok’s looming sale to Trump-aligned insiders—a move David calls the “biggest giveaway since the days of the railway grants.” He argues that the American media landscape has been quietly transformed, with political power shifting from legacy outlets to algorithmic platforms loyal to the president.  Then David speaks with filmmaker Ken Burns about his new documentary series on the American Revolution. Together, they explore the Revolution’s competing legacies—liberty and exclusion, heroism and hypocrisy—and how its unresolved contradictions still shape the nation’s identity. Burns reflects on the moral complexity of figures like George Washington and Thomas Jefferson, the forgotten role of Loyalists and Indigenous nations, and the Revolution’s echoes in contemporary America.  Finally, David discusses Benjamin Nathans’s Pulitzer Prize–winning book, To the Success of Our Hopeless Cause, an exploration of the Soviet dissident movement and the story of Alexander Esenin-Volpin, who defied tyranny by insisting that Soviet laws be obeyed exactly as written.  Subscribe to The David Frum Show on Apple Podcasts: https://podcasts.apple.com/us/podcast/the-david-frum-show/id1305908387  Subscribe to The David Frum Show on Spotify: https://open.spotify.com/show/79CBHEDdEbdykveVgbpWs7  Follow The Atlantic on Instagram: https://www.instagram.com/theatlantic/?hl=en  Get more from your favorite Atlantic voices when you subscribe. You’ll enjoy unlimited access to Pulitzer-winning journalism, from clear-eyed analysis and insight on breaking news to fascinating explorations of our world. Atlantic subscribers also get access to exclusive subscriber audio in Apple podcasts. Subscribe today at TheAtlantic.com/Listener.  #davidfrum #thedavidfrumshow #theatlantic #kenburns #americanrevolution",2025-10-22 16:49:22,3599,False,The Atlantic,UCK0z0_5uL7mb9IjntOKi5XQ,The official YouTube channel of The Atlantic
gwXWgGWOUiw,Raising Resilience in a Digital World with Dr. Becky and Julie Beck,"Becky Kennedy, clinical psychologist and founder and CEO of Good Inside, and Atlantic staff writer Julie Beck explore how to navigate the challenges of modern parenting with effective strategies to foster resilience, secure attachments, and set healthy boundaries in a world of constant distraction and digital overload",2025-10-16 21:31:42,1620,False,The Atlantic,UCK0z0_5uL7mb9IjntOKi5XQ,The official YouTube channel of The Atlantic
4q7Ib6XVhmA,If the Voting Rights Act Falls,"This week, the Supreme Court heard oral arguments about the last remaining section of the Voting Rights Act, a civil rights law designed to ensure that states could not get in the way of nonwhite citizens voting.          We talk to Stacey Abrams, voting rights activist and former candidate for Georgia governor, and Atlantic staff writer Vann Newkirk about the case and a world without the Voting Rights Act.      Get more from your favorite Atlantic voices when you subscribe. You’ll enjoy unlimited access to Pulitzer-winning journalism, from clear-eyed analysis and insight on breaking news to fascinating explorations of our world. Atlantic subscribers also get access to exclusive subscriber audio in Apple Podcasts. Subscribe today at theAtlantic.com/listener (https://theatlantic.com/listener) .       Learn more about your ad choices. Visit megaphone.fm/adchoices (https://megaphone.fm/adchoices)",2025-10-16 10:23:43,2075,False,The Atlantic,UCK0z0_5uL7mb9IjntOKi5XQ,The official YouTube channel of The Atlantic
i0AjNbYo6Nw,When Conservatism Meant Freedom | The David Frum Show,"On this episode of The David Frum Show, The Atlantic’s David Frum opens with observations about the ongoing government shutdown, how it could be a strategic mistake for Republicans, and why this political standoff is best understood as a “quasi-election” about the rule of law itself.  Then Frum is joined by Lord Charles Moore, the authorized biographer of Margaret Thatcher, to mark the centenary of her birth. Together, they look back on Thatcher’s transformation of Britain, from nationalized stagnation to a revitalized free-market democracy, and her alliance with Ronald Reagan, which helped bring the Cold War to a close. Moore explains how Thatcher’s belief in “law-based liberty” and her defense of national sovereignty set her apart from both libertarians and nationalists, and why her example of disciplined, principled leadership feels more and more distant in the politics of today.  In the book segment, Frum discusses Stefan Zweig’s The World of Yesterday, and reflects on exile, despair, and why holding on to hope, rather than despair, matters when history suddenly turns dark.  0:00 David Frum on the 2025 government shutdown 9:30 David interviews Lord Charles Moore about Margaret Thatcher 16:28 Charles Moore on Margaret Thatcher's role in privatization, union strikes, and economic liberty 35:19 Thatcher's legacy as Britain's first female prime minister 39:53 Thatcher's role in the end of the Cold War 51:00 Charles Moore on Thatcher's lasting legacy 57:13 David discusses Stefan Zweig’s book The World of Yesterday  Subscribe to The David Frum Show on Apple Podcasts: https://podcasts.apple.com/us/podcast/the-david-frum-show/id1305908387  Subscribe to The David Frum Show on Spotify: https://open.spotify.com/show/79CBHEDdEbdykveVgbpWs7  Follow The Atlantic on Instagram: https://www.instagram.com/theatlantic/?hl=en Get more from your favorite Atlantic voices when you subscribe. You’ll enjoy unlimited access to Pulitzer-winning journalism, from clear-eyed analysis and insight on breaking news to fascinating explorations of our world. Atlantic subscribers also get access to exclusive subscriber audio in Apple podcasts.   Subscribe today at TheAtlantic.com/Listener  #davidfrum #thedavidfrumshow #theatlantic #margaretthatcher #charlesmoore",2025-10-15 15:01:27,3814,False,The Atlantic,UCK0z0_5uL7mb9IjntOKi5XQ,The official YouTube channel of The Atlantic
DyC5bEzkY1o,Saudi Arabia Gets the Last Laugh,"The Riyadh Comedy Festival in Saudi Arabia concludes this week, but the outrage (from comedians who didn’t go) and self-justification (from comedians who did) continues. The festival is one small piece of Crown Prince Mohammed bin Salman’s grand vision to remake the kingdom for the 21st century and simultaneously draw global attention away from human-rights violations like the 2018 murder of journalist Jamal Khashoggi.    In this episode, we talk to the Atlantic staff writers Vivian Salama and Helen Lewis about what happened at the festival and how to understand Saudi Arabia’s push for modernization.     Get more from your favorite Atlantic voices when you subscribe. You’ll enjoy unlimited access to Pulitzer-winning journalism, from clear-eyed analysis and insight on breaking news to fascinating explorations of our world. Atlantic subscribers also get access to exclusive subscriber audio in Apple Podcasts. Subscribe today at TheAtlantic.com/listener (https://theatlantic.com/listener) .       Learn more about your ad choices. Visit megaphone.fm/adchoices (https://megaphone.fm/adchoices)",2025-10-09 10:11:07,1742,False,The Atlantic,UCK0z0_5uL7mb9IjntOKi5XQ,The official YouTube channel of The Atlantic
wZJ8iTLdNiI,Bring Back High-Stakes School Testing | The David Frum Show,"On this episode of The David Frum Show, The Atlantic’s David Frum opens with reflections on the strange and revealing controversy over Donald Trump’s rumored commemorative coin and what it says about the culture of flattery and self-abasement now defining MAGA politics.  Then David is joined by former U.S. Secretary of Education Margaret Spellings for a candid look at the crisis in American education. Spellings, a key architect of No Child Left Behind and now president of the Bipartisan Policy Center, explains why U.S. test scores began to stagnate years before COVID and why the pandemic only deepened an accountability collapse already underway. They discuss the successes in states like Mississippi, the wasted billions in federal relief funds, and the political backlash against testing that, Spellings argues, has left millions of children behind.  Finally, Frum turns to art and history with his discussion of The Judgment of Paris by Ross King, a story of how the impressionists overturned the art establishment of their time, and what it teaches about how the future judges the present.  Subscribe to The David Frum Show on Apple Podcasts: https://podcasts.apple.com/us/podcast/the-david-frum-show/id1305908387  Subscribe to The David Frum Show on Spotify: https://open.spotify.com/show/79CBHEDdEbdykveVgbpWs7  Follow The Atlantic on Instagram: https://www.instagram.com/theatlantic/?hl=en  Get more from your favorite Atlantic voices when you subscribe. You’ll enjoy unlimited access to Pulitzer-winning journalism, from clear-eyed analysis and insight on breaking news to fascinating explorations of our world. Atlantic subscribers also get access to exclusive subscriber audio in Apple podcasts. Subscribe today at TheAtlantic.com/Listener.  #davidfrum #thedavidfrumshow #theatlantic #education #margaretspellings",2025-10-08 15:01:48,3281,False,The Atlantic,UCK0z0_5uL7mb9IjntOKi5XQ,The official YouTube channel of The Atlantic
