video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
nJSHH6okEl0,Battle Of The Fireballs: The Worlds Most Extreme Festival,"VICE takes you inside one of the most surreal and extreme traditions on earth, El Salvador's Fireball Festival, to witness the battle of the fireballs firsthand. So just why does this one town in El Salvador gather each year to hurls balls of flame at each other, and what inspired this fiery and frightening tradition? Find out as VICE takes you inside the fire and the flames of the latest Fireball Festival to see the incredible action up close and personal.   Click here to subscribe to VICE: http://bit.ly/Subscribe-to-VICE  About VICE: The Definitive Guide To Enlightening Information. From every corner of the planet, our immersive, caustic, ground-breaking and often bizarre stories have changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the growing library and discover corners of the world you never knew existed. Welcome to VICE.  Connect with VICE: Check out our full video catalog: http://bit.ly/VICE-Videos Videos, daily editorial and more: http://vice.com Like VICE on Facebook: http://fb.com/vice Follow VICE on Twitter: http://twitter.com/vice Follow us on Instagram: http://instagram.com/vice Follow us on TikTok: https://www.tiktok.com/@vice?lang=en  The VICE YouTube Network: VICE: https://www.youtube.com/VICE MUNCHIES: https://www.youtube.com/MUNCHIES  VICE News: https://www.youtube.com/VICENews VICE TV: https://www.youtube.com/@VICE-TV/featured Noisey: https://www.youtube.com/Noisey Motherboard: https://www.youtube.com/MotherboardTV  https://www.youtube.com/@VICESports Waypoint: https://www.youtube.com/WaypointVICE",2025-10-31 16:30:31,753,False,Vice,UCn8zNIfYAQNdrFRrr8oibKw,"All the good stuff.

Enlightening commentary, authoritative advice, and unique stories you won't find anywhere else. Our immersive and ground-breaking storytelling has changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the library and discover corners of the world you never knew existed. 

All video licensing inquiries should be directed to licensing@vice.com."
hEGKpKOJssY,Rule Britannia: Inside A Teenage Drug Empire,"In the next episode of Rule Britannia by Will Fairman we spend one night deep in the Welsh valleys — tracking teenage cocaine dealers, users and the “phone-operator” who coordinates it all. They speak openly about how easy it is to get hold of powder in a remote area, the risks of depression, dealing to friends and the weight of responsibility as we tackle the growing epidemic in the valleys of Wales #VICE #drugaddition  #documentary   Click here to subscribe to VICE: http://bit.ly/Subscribe-to-VICE  About VICE: The Definitive Guide To Enlightening Information. From every corner of the planet, our immersive, caustic, ground-breaking and often bizarre stories have changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the growing library and discover corners of the world you never knew existed. Welcome to VICE.  Connect with VICE: Check out our full video catalog: http://bit.ly/VICE-Videos Videos, daily editorial and more: http://vice.com Like VICE on Facebook: http://fb.com/vice Follow VICE on Twitter: http://twitter.com/vice Follow us on Instagram: http://instagram.com/vice Follow us on TikTok: https://www.tiktok.com/@vice?lang=en  The VICE YouTube Network: VICE: https://www.youtube.com/VICE MUNCHIES: https://www.youtube.com/MUNCHIES  VICE News: https://www.youtube.com/VICENews VICE TV: https://www.youtube.com/@VICE-TV/featured Noisey: https://www.youtube.com/Noisey Motherboard: https://www.youtube.com/MotherboardTV  https://www.youtube.com/@VICESports Waypoint: https://www.youtube.com/WaypointVICE",2025-10-24 15:01:27,969,False,Vice,UCn8zNIfYAQNdrFRrr8oibKw,"All the good stuff.

Enlightening commentary, authoritative advice, and unique stories you won't find anywhere else. Our immersive and ground-breaking storytelling has changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the library and discover corners of the world you never knew existed. 

All video licensing inquiries should be directed to licensing@vice.com."
Uc-Mcl9AJlA,Taking My Dog To One Of The World's Most HATED Vets - One Star Reviews,"One Star Reviews is back! In this episode, VICE’s Taji Ameen heads to Puerto Rico with his wife’s dog Maja to investigate one of the island’s most controversial veterinarians. According to many, many one star reviews, this vet cares more about money than animals and even sued the government to shut down a Spayathon - a popular program that provided free spay and neuter services to thousands of pets.  Is Dr. Pagan truly the villain of Puerto Rico’s stray animal crisis? Or has her reputation been smeared by reviewers? Tune in to watch Taji confront her and find out.  Click here to subscribe to VICE: http://bit.ly/Subscribe-to-VICE  About VICE: The Definitive Guide To Enlightening Information. From every corner of the planet, our immersive, caustic, ground-breaking and often bizarre stories have changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the growing library and discover corners of the world you never knew existed. Welcome to VICE.  Connect with VICE: Check out our full video catalog: http://bit.ly/VICE-Videos Videos, daily editorial and more: http://vice.com Like VICE on Facebook: http://fb.com/vice Follow VICE on Twitter: http://twitter.com/vice Follow us on Instagram: http://instagram.com/vice Follow us on TikTok: https://www.tiktok.com/@vice?lang=en  The VICE YouTube Network: VICE: https://www.youtube.com/VICE MUNCHIES: https://www.youtube.com/MUNCHIES  VICE News: https://www.youtube.com/VICENews VICE TV: https://www.youtube.com/@VICE-TV/featured Noisey: https://www.youtube.com/Noisey Motherboard: https://www.youtube.com/MotherboardTV  https://www.youtube.com/@VICESports Waypoint: https://www.youtube.com/WaypointVICE",2025-10-09 16:00:52,850,False,Vice,UCn8zNIfYAQNdrFRrr8oibKw,"All the good stuff.

Enlightening commentary, authoritative advice, and unique stories you won't find anywhere else. Our immersive and ground-breaking storytelling has changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the library and discover corners of the world you never knew existed. 

All video licensing inquiries should be directed to licensing@vice.com."
dai-pCj1EYg,Skateboarder. Architect. Olympian | Epicly Later’d: Alexis Sablone,"Alexis Sablone’s story is unlike any other in skateboarding. From Boston’s early 2000s scene and her breakout part in PJ Ladd’s Wonderful Horrible Life, to earning a degree in architecture and stepping away from the spotlight, Alexis always did things her own way. Her return to skating led to turning pro, competing at the highest level, and helping open the door for a new era of women in skateboarding. This is her story. #skateboarding #skate #vice   Click here to subscribe to VICE: http://bit.ly/Subscribe-to-VICE  About VICE: The Definitive Guide To Enlightening Information. From every corner of the planet, our immersive, caustic, ground-breaking and often bizarre stories have changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the growing library and discover corners of the world you never knew existed. Welcome to VICE.  Connect with VICE: Check out our full video catalog: http://bit.ly/VICE-Videos Videos, daily editorial and more: http://vice.com Like VICE on Facebook: http://fb.com/vice Follow VICE on Twitter: http://twitter.com/vice Follow us on Instagram: http://instagram.com/vice Follow us on TikTok: https://www.tiktok.com/@vice?lang=en  The VICE YouTube Network: VICE: https://www.youtube.com/VICE MUNCHIES: https://www.youtube.com/MUNCHIES  VICE News: https://www.youtube.com/VICENews VICE TV: https://www.youtube.com/@VICE-TV/featured Noisey: https://www.youtube.com/Noisey Motherboard: https://www.youtube.com/MotherboardTV  https://www.youtube.com/@VICESports Waypoint: https://www.youtube.com/WaypointVICE",2025-10-02 15:01:10,2141,False,Vice,UCn8zNIfYAQNdrFRrr8oibKw,"All the good stuff.

Enlightening commentary, authoritative advice, and unique stories you won't find anywhere else. Our immersive and ground-breaking storytelling has changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the library and discover corners of the world you never knew existed. 

All video licensing inquiries should be directed to licensing@vice.com."
m54GoyTY38g,Working One Of Puerto Rico's Last Cacao Farms  | Island Classified w/ Taji Ameen,"Taji Ameen takes a job working the land at Hacienda Jeanmarie Chocolat, a small cacao farm tucked into the hills of Puerto Rico. He’s not alone—joining him is Hunter Durham, a friend with his own bankruptcy backstory and no stranger to starting over. Together, they trade deadlines for dirt, figuring out how to ferment cacao while quietly confronting what it means to rebuild from scratch. The reset works—sort of. Eventually, the quiet gives way to momentum, and Taji finds himself back in New York, where a reunion with longtime friend and artist Coolr The Don brings the whole thing full circle. From financial collapse to farming to reconnection, this episode maps one of Taji’s strangest detours yet—and the unlikely path that got him there. #VICE #cocoa #farming   For more of Taji Ameen, check out his YouTube channel here: https://www.youtube.com/@UC3iITmrDIQrK1pgZjFQzI7A   Click here to subscribe to VICE: http://bit.ly/Subscribe-to-VICE  About VICE: The Definitive Guide To Enlightening Information. From every corner of the planet, our immersive, caustic, ground-breaking and often bizarre stories have changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the growing library and discover corners of the world you never knew existed. Welcome to VICE.  Connect with VICE: Check out our full video catalog: http://bit.ly/VICE-Videos Videos, daily editorial and more: http://vice.com Like VICE on Facebook: http://fb.com/vice Follow VICE on Twitter: http://twitter.com/vice Follow us on Instagram: http://instagram.com/vice Follow us on TikTok: https://www.tiktok.com/@vice?lang=en  The VICE YouTube Network: VICE: https://www.youtube.com/VICE MUNCHIES: https://www.youtube.com/MUNCHIES  VICE News: https://www.youtube.com/VICENews VICE TV: https://www.youtube.com/@VICE-TV/featured Noisey: https://www.youtube.com/Noisey Motherboard: https://www.youtube.com/MotherboardTV  https://www.youtube.com/@VICESports Waypoint: https://www.youtube.com/WaypointVICE",2025-09-30 16:16:12,1531,False,Vice,UCn8zNIfYAQNdrFRrr8oibKw,"All the good stuff.

Enlightening commentary, authoritative advice, and unique stories you won't find anywhere else. Our immersive and ground-breaking storytelling has changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the library and discover corners of the world you never knew existed. 

All video licensing inquiries should be directed to licensing@vice.com."
XaZJAUmfhIc,Taji Becomes The Ultimate Reggaeton Hype Man? | Island Classified w/ Taji Ameen,"Taji Ameen is back in Puerto Rico—and this time, he's reinventing himself as a reggaeton hypeman. In a chaotic attempt to reboot his career and channel a new kind of energy, Taji dives headfirst into the world of Latin party culture, trading irony for volume. He links up with rising artist Wriiiki, hits the stage, and does everything he can to hype the crowd like his life depends on it. Along the way, he stops for a fresh cut at Sports Barber in Dorado, where the line between makeover and meltdown starts to blur. It’s loud, awkward, and just unhinged enough to work. 🎤💈 #VICE #reggaeton #reggaetonclubmix   For more of Taji Ameen, check out his YouTube channel here: https://www.youtube.com/@UC3iITmrDIQrK1pgZjFQzI7A   Click here to subscribe to VICE: http://bit.ly/Subscribe-to-VICE  About VICE: The Definitive Guide To Enlightening Information. From every corner of the planet, our immersive, caustic, ground-breaking and often bizarre stories have changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the growing library and discover corners of the world you never knew existed. Welcome to VICE.  Connect with VICE: Check out our full video catalog: http://bit.ly/VICE-Videos Videos, daily editorial and more: http://vice.com Like VICE on Facebook: http://fb.com/vice Follow VICE on Twitter: http://twitter.com/vice Follow us on Instagram: http://instagram.com/vice Follow us on TikTok: https://www.tiktok.com/@vice?lang=en  The VICE YouTube Network: VICE: https://www.youtube.com/VICE MUNCHIES: https://www.youtube.com/MUNCHIES  VICE News: https://www.youtube.com/VICENews VICE TV: https://www.youtube.com/@VICE-TV/featured Noisey: https://www.youtube.com/Noisey Motherboard: https://www.youtube.com/MotherboardTV  https://www.youtube.com/@VICESports Waypoint: https://www.youtube.com/WaypointVICE",2025-09-23 18:00:30,1299,False,Vice,UCn8zNIfYAQNdrFRrr8oibKw,"All the good stuff.

Enlightening commentary, authoritative advice, and unique stories you won't find anywhere else. Our immersive and ground-breaking storytelling has changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the library and discover corners of the world you never knew existed. 

All video licensing inquiries should be directed to licensing@vice.com."
mLs-HpQteIc,Hunting For Aliens In The Jungles Of Puerto Rico,"In Stories from Puerto Rico, Taji Ameen sets out to better understand the island - its culture, its people, and its most unforgettable stories. In this episode, @TajCam  dives into Puerto Rico’s UFO capital of Lajas and explores El Yunque National Forest with UFO investigators who believe extraterrestrials live beneath the rainforest. From strange lights in the skies to tales of alien encounters, he gets an inside look at Puerto Rico’s fascination with the unexplained. #ufo #aliens #Vice   Click here to subscribe to VICE: http://bit.ly/Subscribe-to-VICE  About VICE: The Definitive Guide To Enlightening Information. From every corner of the planet, our immersive, caustic, ground-breaking and often bizarre stories have changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the growing library and discover corners of the world you never knew existed. Welcome to VICE.  Connect with VICE: Check out our full video catalog: http://bit.ly/VICE-Videos Videos, daily editorial and more: http://vice.com Like VICE on Facebook: http://fb.com/vice Follow VICE on Twitter: http://twitter.com/vice Follow us on Instagram: http://instagram.com/vice Follow us on TikTok: https://www.tiktok.com/@vice?lang=en  The VICE YouTube Network: VICE: https://www.youtube.com/VICE MUNCHIES: https://www.youtube.com/MUNCHIES  VICE News: https://www.youtube.com/VICENews VICE TV: https://www.youtube.com/@VICE-TV/featured Noisey: https://www.youtube.com/Noisey Motherboard: https://www.youtube.com/MotherboardTV  https://www.youtube.com/@VICESports Waypoint: https://www.youtube.com/WaypointVICE",2025-09-18 15:01:35,1124,False,Vice,UCn8zNIfYAQNdrFRrr8oibKw,"All the good stuff.

Enlightening commentary, authoritative advice, and unique stories you won't find anywhere else. Our immersive and ground-breaking storytelling has changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the library and discover corners of the world you never knew existed. 

All video licensing inquiries should be directed to licensing@vice.com."
s6fiEgVaGvg,Can Taji Become The Dark Prince of Puerto Rico Goths? | Island Classified w/ Taji Ameen,"On this episode, Taji Ameen steps into the goth scene as part of his ongoing journey of self-discovery after going independent. He visits Necromancy Cosmetics in San Juan for a full transformation by the incredibly talented Luanne Rós, who gives him a dramatic new look. Later, Taji heads to a goth party in Caguas, where the vibe is raw, theatrical, and deeply expressive. It's a glimpse into a subculture that values individuality over everything—and for Taji, it's another unexpected but meaningful stop on the path to figuring out who he’s becoming.  For more of Taji Ameen, check out his YouTube channel here: https://www.youtube.com/@UC3iITmrDIQrK1pgZjFQzI7A   #VICE #goth #gothic   Click here to subscribe to VICE: http://bit.ly/Subscribe-to-VICE  About VICE: The Definitive Guide To Enlightening Information. From every corner of the planet, our immersive, caustic, ground-breaking and often bizarre stories have changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the growing library and discover corners of the world you never knew existed. Welcome to VICE.  Connect with VICE: Check out our full video catalog: http://bit.ly/VICE-Videos Videos, daily editorial and more: http://vice.com Like VICE on Facebook: http://fb.com/vice Follow VICE on Twitter: http://twitter.com/vice Follow us on Instagram: http://instagram.com/vice Follow us on TikTok: https://www.tiktok.com/@vice?lang=en  The VICE YouTube Network: VICE: https://www.youtube.com/VICE MUNCHIES: https://www.youtube.com/MUNCHIES  VICE News: https://www.youtube.com/VICENews VICE TV: https://www.youtube.com/@VICE-TV/featured Noisey: https://www.youtube.com/Noisey Motherboard: https://www.youtube.com/MotherboardTV  https://www.youtube.com/@VICESports Waypoint: https://www.youtube.com/WaypointVICE",2025-09-16 16:17:25,1425,False,Vice,UCn8zNIfYAQNdrFRrr8oibKw,"All the good stuff.

Enlightening commentary, authoritative advice, and unique stories you won't find anywhere else. Our immersive and ground-breaking storytelling has changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the library and discover corners of the world you never knew existed. 

All video licensing inquiries should be directed to licensing@vice.com."
fJOeJ-BqjCg,Rule Britannia: Inside Britain’s Shoplifting Epidemic,"Shoplifting in the UK has exploded to record levels, a crime wave fuelled not by master criminals but by addicts, single mums and ordinary people pushed to the edge. With the cost of living biting hard, stealing has become less about greed—and more about survival.  One man who knows this world better than most is Cullan Mais. Once one of Britain’s most prolific shoplifters, he stole an estimated £3 million worth of goods over a decade to feed his addiction, serving multiple prison sentences along the way. Today, after turning his life around, Cullan is a popular content creator and recovery advocate.  In this episode of Rule Britannia, filmmaker Will Fairman follows Cullan back to the Welsh streets where he grew up to expose the hidden ecosystem of shoplifting—far removed from organised gangs, and closer to home than many might think. What unfolds is the iceberg beneath the statistics: a raw, unfiltered look at theft driven by addiction, poverty and systemic failure. #VICE #shoplifting #shoplifters   Click here to subscribe to VICE: http://bit.ly/Subscribe-to-VICE  About VICE: The Definitive Guide To Enlightening Information. From every corner of the planet, our immersive, caustic, ground-breaking and often bizarre stories have changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the growing library and discover corners of the world you never knew existed. Welcome to VICE.  Connect with VICE: Check out our full video catalog: http://bit.ly/VICE-Videos Videos, daily editorial and more: http://vice.com Like VICE on Facebook: http://fb.com/vice Follow VICE on Twitter: http://twitter.com/vice Follow us on Instagram: http://instagram.com/vice Follow us on TikTok: https://www.tiktok.com/@vice?lang=en  The VICE YouTube Network: VICE: https://www.youtube.com/VICE MUNCHIES: https://www.youtube.com/MUNCHIES  VICE News: https://www.youtube.com/VICENews VICE TV: https://www.youtube.com/@VICE-TV/featured Noisey: https://www.youtube.com/Noisey Motherboard: https://www.youtube.com/MotherboardTV  https://www.youtube.com/@VICESports Waypoint: https://www.youtube.com/WaypointVICE",2025-09-11 15:01:17,1266,False,Vice,UCn8zNIfYAQNdrFRrr8oibKw,"All the good stuff.

Enlightening commentary, authoritative advice, and unique stories you won't find anywhere else. Our immersive and ground-breaking storytelling has changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the library and discover corners of the world you never knew existed. 

All video licensing inquiries should be directed to licensing@vice.com."
QA0k3IbDlHc,Can I Wash Away My Biggest Mistake? | Island Classified w/ Taji Ameen,"After his messy OnlyFans experiment, Taji Ameen heads to the Caribbean in search of redemption. In this first episode of Island Classified, he sets out to find a Godfather and embraces the wild, emotional path that leads to his baptism. A mix of faith, controversy, and new beginnings as Island Classified x VICEWORLD returns!  For more of Taji Ameen, check out his YouTube channel here: https://www.youtube.com/@TajCam  #islandclassified #VICE #baptism   Click here to subscribe to VICE: http://bit.ly/Subscribe-to-VICE  About VICE: The Definitive Guide To Enlightening Information. From every corner of the planet, our immersive, caustic, ground-breaking and often bizarre stories have changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the growing library and discover corners of the world you never knew existed. Welcome to VICE.  Connect with VICE: Check out our full video catalog: http://bit.ly/VICE-Videos Videos, daily editorial and more: http://vice.com Like VICE on Facebook: http://fb.com/vice Follow VICE on Twitter: http://twitter.com/vice Follow us on Instagram: http://instagram.com/vice Follow us on TikTok: https://www.tiktok.com/@vice?lang=en  The VICE YouTube Network: VICE: https://www.youtube.com/VICE MUNCHIES: https://www.youtube.com/MUNCHIES  VICE News: https://www.youtube.com/VICENews VICE TV: https://www.youtube.com/@VICE-TV/featured Noisey: https://www.youtube.com/Noisey Motherboard: https://www.youtube.com/MotherboardTV  https://www.youtube.com/@VICESports Waypoint: https://www.youtube.com/WaypointVICE",2025-09-09 17:00:37,579,False,Vice,UCn8zNIfYAQNdrFRrr8oibKw,"All the good stuff.

Enlightening commentary, authoritative advice, and unique stories you won't find anywhere else. Our immersive and ground-breaking storytelling has changed the way people think about culture, crime, art, parties, fashion, protest, the internet and other subjects that don't even have names yet. Browse the library and discover corners of the world you never knew existed. 

All video licensing inquiries should be directed to licensing@vice.com."
