video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
Jik3F9zUXgo,The messy truth about free speech,"On September 15, Jimmy Kimmel’s late-night show opening monologue included comments about the shooting of right-wing media figure Charlie Kirk, and how the ""Maga gang"" was ""desperately trying to characterize this kid who murdered Charlie Kirk as anything other than one of them.”   Soon after, Brendan Carr, the chair of the FCC and an appointee of President Donald Trump, appeared on a conservative podcast and threatened to act against ABC and its parent company, Disney, for Kimmel’s remarks. On September 17, ABC and Disney suspended “Jimmy Kimmel Live!”   Kimmel’s suspension launched a national debate and protest around freedom of speech and satire. From celebrities like Wanda Sykes to Republicans like Sen. Ted Cruz, people from across the spectrum weighed in on the decision. The show returned days later on September 23, but the FCC’s actions left many questioning whether Kimmel’s First Amendment rights were violated.  This incident is just one of many instances of the gray areas of free speech making its way into the news cycle. In this video, we take a look at the origins of the “inalienable right” to free speech, how the Supreme Court has determined the boundaries of speech (including hate speech), and where free speech might be headed next with a six-justice majority of Republican appointees. As this issue continues to evolve, social media is one of the latest modes of communication adding new layers of complexity to this age-old debate.  Subscribe to our channel and turn on notifications (🔔) so you don't miss any videos: http://goo.gl/0bsAjO  Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.  Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on TikTok: http://tiktok.com/@voxdotcom Check out our articles: https://www.vox.com/ Listen to our podcasts: https://www.vox.com/podcasts",2025-10-29 20:00:26,609,False,Vox,UCLXo7UDZvByw2ixzpQCufnA,"Making sense of it all.

Become a member today: https://www.vox.com/support-now

Check out our FAQ on permissions and licensing of our videos: https://www.voxmedia.com/pages/licensing

✉️ Write us: voxvideo@vox.com
"
55yvGkMTKSg,We’re not doomed by climate change. We’re just confused. | The Gray Area,"The story we tell about climate change is mostly a story about loss. But look to the data, and that story starts to fall apart. Emissions are peaking in key sectors. Clean energy is scaling faster than anyone predicted. Real progress is happening. It’s just not happening in the way we imagine it.  Sean’s guest today is Hannah Ritchie, Deputy Editor at Our World in Data and author of Clearing the Air: A Hopeful Guide to Solving Climate Change. They discuss why our picture of the planet is so distorted, why despair can be as dangerous as denial, and what a truly energy-abundant, livable future could look like.  Host: Sean Illing (@seanilling) Guest: Hannah Ritchie, author of Clearing the Air  https://mitpress.mit.edu/9780262052740/clearing-the-air/  00:00 Intro 00:38 We know how to solve big problems 12:10 The cost of renewables has plummeted 28:58 Contested topics in the climate world 38:55 There's too much focus on plastic 45:09 What the future could look like  This episode was supported by a grant from Arnold Ventures. Vox had full discretion over the content of this reporting.  Subscribe to our channel and turn on notifications (🔔) so you don't miss any videos: http://goo.gl/0bsAjO  Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.  Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on TikTok: http://tiktok.com/@voxdotcom Check out our articles: https://www.vox.com/ Listen to our podcasts: https://www.vox.com/podcasts",2025-10-27 12:00:09,2876,False,Vox,UCLXo7UDZvByw2ixzpQCufnA,"Making sense of it all.

Become a member today: https://www.vox.com/support-now

Check out our FAQ on permissions and licensing of our videos: https://www.voxmedia.com/pages/licensing

✉️ Write us: voxvideo@vox.com
"
guOdGIQC3hs,Why everything on the internet is getting worse | The Gray Area,"Open a browser and you can feel it instantly: everything online just feels … worse.   Subscribe to our channel! http://goo.gl/0bsAjO  Search results that look like ads. Social feeds that you don’t control. Streaming platforms that are packed with ads. Services that used to be free, but are now behind paywalls. It’s not your imagination — it’s enshittification, the process by which good platforms turn bad … and it’s starting to happen outside the internet as well.  Sean’s guest today is Cory Doctorow, author of Enshittification: Why Everything Suddenly Got Worse and What to Do About It. They discuss how the web became enshittified, why monopolies are the true engine behind our digital decay, and what it would mean to build a freer, fairer, and more human internet.  Host: Sean Illing (@seanilling)  Guest: Cory Doctorow (https://x.com/doctorow), author of Enshittification: Why Everything Suddenly Got Worse and What to Do About It.  00:00 Intro 00:45 What is enshittification? 11:48 Is this techno-feudalism? 25:53 You didn't shop wrong.  35:14 How to win a trade war.  Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.  Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on Facebook: http://goo.gl/U2g06o Or Twitter: http://goo.gl/XFrZ5H",2025-10-20 12:01:22,2609,False,Vox,UCLXo7UDZvByw2ixzpQCufnA,"Making sense of it all.

Become a member today: https://www.vox.com/support-now

Check out our FAQ on permissions and licensing of our videos: https://www.voxmedia.com/pages/licensing

✉️ Write us: voxvideo@vox.com
"
SCT3e0WsrLI,How close is America to civil conflict?  | The Gray Area,"Is America at a tipping point?   Subscribe to our channel! http://goo.gl/0bsAjO  Sean Illing talks with Barbara Walter, one of the world’s leading experts on violent extremism and domestic terror. She’s the author of How Civil Wars Start, about how democracies unravel from within, and a professor at UC San Diego’s School of Global Policy and Strategy.  Walter talks to Sean about the warning signs she’s seeing in the US, why polarization and party identity become combustible, and what lessons we can draw from other countries. They also discuss what an American civil war might look like in the 21st century, the social and informational dynamics that accelerate breakdown, and whether America still has a path away from the brink.  Host: Sean Illing (@SeanIlling) Guest: Barbara Walter, professor at UC San Diego and author of How Civil Wars Start  00:00 Intro 01:23 Our political leaders are reacting differently to violence 11:05 Violence is no longer one-sided 17:54 Law enforcement leaders aren't what they used to be 22:12 Where are we on the violence continuum 33:03 The effect of violent rhetoric 38:35 Violence without ideology?  Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.  Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on Facebook: http://goo.gl/U2g06o Or Twitter: http://goo.gl/XFrZ5H",2025-10-13 12:00:53,3287,False,Vox,UCLXo7UDZvByw2ixzpQCufnA,"Making sense of it all.

Become a member today: https://www.vox.com/support-now

Check out our FAQ on permissions and licensing of our videos: https://www.voxmedia.com/pages/licensing

✉️ Write us: voxvideo@vox.com
"
HDkBrqaD0EE,How Your Memory Can Remake the Past | The Gray Area,"We like to think of memory as a record of the past. But that’s not really what it is. Memory doesn’t keep the past — it can also remake it. It stitches fragments into stories, and those stories — true or not — are what we end up calling our life, and sometimes, our collective history.  Sean’s guest today is Charan Ranganath, a neuroscientist and author of a book called Why We Remember. The two discuss the strange alchemy of remembering and how the stories our minds create end up creating us.  Host: Sean Illing (@SeanIlling) Guest: Charan Ranganath, neuroscientist and author of Why We Remember  Subscribe to our channel! http://goo.gl/0bsAjO  Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.  Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on Facebook: http://goo.gl/U2g06o Or Twitter: http://goo.gl/XFrZ5H",2025-10-06 12:00:34,3292,False,Vox,UCLXo7UDZvByw2ixzpQCufnA,"Making sense of it all.

Become a member today: https://www.vox.com/support-now

Check out our FAQ on permissions and licensing of our videos: https://www.voxmedia.com/pages/licensing

✉️ Write us: voxvideo@vox.com
"
kg18CwWeMnc,Why Nevada has so many ghost towns,"Nevada is home to over 600 ghost towns, many of which are the remnants of the gold rush era of the 1800s and 1900s. Some of these ghost towns are well-known, like Rhyolite, but others are just coordinates on a map — hidden like secrets to the true history of Nevada.  Vox video producer Dolly Li road tripped through northern Nevada to try and find some of these hidden ghost towns and learn about the real history behind the boom and bust cycles of mining in the state. Along the way, she stops by a town that many call a ghost town, but is still partially occupied by a dozen residents.  Through visiting a few abandoned mining towns and speaking to historians about the technology and infrastructure that made mining a key industry of the state, we piece together a rich and fascinating story of Nevada’s development.  We had a chance to speak to a lot of great experts and historians for this video. Here are some links to their work:  Tami Force’s website, Nevada Ghost Towns & Beyond, where she’s documented hundreds of ghost towns in the state: https://nvtami.com/  The archives of the W.M. Keck Earth Science and Mineral Engineering Museum (The Keck Museum), curated by Garrett J. Barmore, where we also conducted one of our interviews: https://www.unr.edu/keck-museum  The Friends of Midas, a nonprofit organization currently run by Dana Bennett, that has a great collection of photos and history about the town of Midas: https://friendsofmidas.com/  #ghosttowns #nevada #travel #roadtrip This video is presented by Travel Nevada. Travel Nevada doesn’t have a say in our editorial decisions, but they make videos (and adventures!) like this one possible.  Subscribe to our channel and turn on notifications (🔔) so you don't miss any videos: http://goo.gl/0bsAjO  Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.  Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on TikTok: http://tiktok.com/@voxdotcom Check out our articles: https://www.vox.com/ Listen to our podcasts: https://www.vox.com/podcasts",2025-09-30 12:01:28,632,False,Vox,UCLXo7UDZvByw2ixzpQCufnA,"Making sense of it all.

Become a member today: https://www.vox.com/support-now

Check out our FAQ on permissions and licensing of our videos: https://www.voxmedia.com/pages/licensing

✉️ Write us: voxvideo@vox.com
"
iT1isKg52So,Who really controls TikTok? | The Gray Area,"This week, Sean talks with Emily Baker-White, author of Every Screen on the Planet, about why TikTok feels uniquely addictive, how it turned social media into a push-not-pull entertainment feed, and what happens when human editors inside the company can override the algorithm.  A few days after they spoke, TikTok was in the headlines again. So they jumped on a follow-up call to unpack the latest twists in the saga of who will ultimately control the app's US-operations.  Host: Sean Illing (@SeanIlling) Guest: Emily Baker-White, reporter and author of Every Screen on the Planet: The War Over TikTok  The Gray Area has been nominated for a Signal Listener’s Choice Award. Vote for The Gray Area here: https://vote.signalaward.com/PublicVoting#/2025/shows/genre/thought-leadership  Subscribe to our channel! http://goo.gl/0bsAjO  Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.  Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on Facebook: http://goo.gl/U2g06o Or Twitter: http://goo.gl/XFrZ5H",2025-09-29 12:01:25,3646,False,Vox,UCLXo7UDZvByw2ixzpQCufnA,"Making sense of it all.

Become a member today: https://www.vox.com/support-now

Check out our FAQ on permissions and licensing of our videos: https://www.voxmedia.com/pages/licensing

✉️ Write us: voxvideo@vox.com
"
JGy6DzTExf0,How the climate fight will be won | The Gray Area,"The sun will save us  Bill McKibben has spent four decades warning us about climate change. Much of what he predicted has come true. And yet, his new book Here Comes the Sun is more hopeful than you might expect. That’s because, for the first time, we have a genuine alternative: Solar and wind energy are now the cheapest, fastest-growing sources of power on Earth. The revolution has already begun.  This week, Sean is joined by McKibben to talk about the peril and promise of this moment. They explore how close we are to catastrophe, why each fraction of a degree of warming matters, and how the fossil fuel industry is fighting a desperate last stand. They also discuss the politics of energy in the age of Trump, why Texas and Utah may hold surprising lessons, and how cheap, abundant power could transform not just the climate fight but democracy itself.  This episode was made in partnership with Vox's Future Perfect team.  Subscribe to our channel! http://goo.gl/0bsAjO  Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.  Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on Facebook: http://goo.gl/U2g06o Or Twitter: http://goo.gl/XFrZ5H",2025-09-22 12:00:29,2530,False,Vox,UCLXo7UDZvByw2ixzpQCufnA,"Making sense of it all.

Become a member today: https://www.vox.com/support-now

Check out our FAQ on permissions and licensing of our videos: https://www.voxmedia.com/pages/licensing

✉️ Write us: voxvideo@vox.com
"
DDysIPc98i4,How much free speech is too much? | The Gray Area,"Free speech is often treated as a timeless and sacred right. But what if it’s more myth than reality?  This week, Sean is joined by historian Fara Dabhoiwala, author of What Is Free Speech? They trace the history of free expression from 18th-century pamphleteers, to John Stuart Mill, to the digital platforms that dominate our lives today. They explore why speech is never just “speech,” how context and power shape who gets heard, the dangers of harmful speech, and the challenges of regulating platforms in a global media environment.  Subscribe to our channel! http://goo.gl/0bsAjO  Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.  Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on Facebook: http://goo.gl/U2g06o Or Twitter: http://goo.gl/XFrZ5H",2025-09-15 20:00:16,3178,False,Vox,UCLXo7UDZvByw2ixzpQCufnA,"Making sense of it all.

Become a member today: https://www.vox.com/support-now

Check out our FAQ on permissions and licensing of our videos: https://www.voxmedia.com/pages/licensing

✉️ Write us: voxvideo@vox.com
"
FjPSeB-brrM,Why rural America needs telehealth,"Rural health care is in crisis. Telehealth can help.  Rural health care has been in crisis mode for decades due to a wide range of issues from distance to care to provider shortages and budget shortfalls. Rural residents may have to travel up to twice as far to access a hospital than those in urban areas. Staffing shortages mean that even when they do arrive they’re less likely to find the correct specialist. The American Medical Association reported that about 65 percent of rural areas have a shortage of primary care physicians. The list goes on, and despite multiple grants or special designations designed to help close these gaps, the issues persist. The reality is, rural areas need a range of options to better serve their communities. One that’s working right now is the use of telehealth to supplement care. The trouble is, telehealth is frequently overlooked and underfunded, but if used correctly, proponents say it could be a game changer for rural communities, where about 20 percent of Americans live.   Thanks to our sponsor, T-Mobile: http://t-mobile.com/FirstResponders. T-Priority - a 5G network experience made for first responders.  Our sponsor has no editorial influence over how we report our stories, but their support makes videos like these possible.  Support our work. Become a Vox Member today: http://www.vox.com/memberships Subscribe to our channel and turn on notifications (🔔) so you don't miss any videos: http://goo.gl/0bsAjO  Sources and further reading:  For more on telehealth’s effectiveness: https://pmc.ncbi.nlm.nih.gov/articles/PMC9392842/ https://www.ruralhealthinfo.org/topics/telehealth-health-it https://pmc.ncbi.nlm.nih.gov/articles/PMC8430850/ https://www.ruralhealth.us/blogs/2024/06/how-telemedicine-provides-unique-care-in-rural-settings  For more about the barriers for health care access in rural areas: https://www.ruralhealthinfo.org/topics/healthcare-access https://www.ruralhealth.us/about-us/about-rural-health-care https://nihcm.org/publications/rural-health-addressing-barriers-to-care https://healersandpatients.web.unc.edu/2024/04/socioeconomic-and-systemic-barriers-in-rural-healthcare/ https://www.ruralhealth.us/blogs/2025/06/rural-physician-burnout-and-staffing-shortage-impact-in-2025 https://www.abpsus.org/emergency-physician-shortages-worsening-in-rural-america/",2025-09-15 12:00:23,473,False,Vox,UCLXo7UDZvByw2ixzpQCufnA,"Making sense of it all.

Become a member today: https://www.vox.com/support-now

Check out our FAQ on permissions and licensing of our videos: https://www.voxmedia.com/pages/licensing

✉️ Write us: voxvideo@vox.com
"
