Channel_Name,Embedding_Score,LLM_Score_40_60,LLM_Score_60_40
ColdFusion,0.801,0.69,0.66
CGP Grey,0.626,0.6599999999999999,0.6399999999999999
VICE News,0.807,0.74,0.76
The Atlantic,0.823,0.825,0.8500000000000001
NowThis World,0.637,0.7849999999999999,0.79
Johnny Harris,0.727,0.74,0.76
Veritasium,0.69,0.56,0.54
AJ+,0.682,0.7550000000000001,0.77
Wired,0.758,0.6399999999999999,0.6599999999999999
Kurzgesagt,0.73,0.5,0.5
Wendover Productions,0.667,0.6299999999999999,0.6199999999999999
RealLifeLore,0.747,0.6399999999999999,0.6599999999999999
PolyMatter,0.711,0.6399999999999999,0.6599999999999999
Vice,0.639,0.71,0.74
TED-Ed,0.585,0.56,0.54
Insider,0.59,0.44999999999999996,0.5
Cheddar,0.615,0.42000000000000004,0.48
