Discovered_Channel_ID,Discovered_Channel_Name,Discovered_Channel_URL,Final_Tier,Final_Status,score_similarity,score_format_match,Niche_Check_Reason,Tie_Breaker_Reason
UCk2U-Oqn7RXf-ydPqfSxG5g,Mel Robbins,https://www.youtube.com/@melrobbins,1,Tier 1 (Direct Competitor),0.9097771780401596,True,,
UC1QbgAuzMDsWn7eCtImRB7Q,Grace Beverley,https://www.youtube.com/@grace-beverley,1,Tier 1 (Direct Competitor),0.8901182685007099,True,,
UCkFE6GCezYXF1xcqlcaz1tQ,Jasmin Siri,https://www.youtube.com/@jasminsirii,1,Tier 1 (Direct Competitor),0.8750190154805522,True,,
UCdMrj5kezVrTiqZoFRqGxAg,BigDeal by Codie Sanchez ,https://www.youtube.com/@podcastbigdeal,1,Tier 1 (Direct Competitor),0.8647872751019682,True,,
UCX502l7IeiHUUlcUHQLSCaA,Emma Grede,https://www.youtube.com/@emmagrede,1,Tier 1 (Direct Competitor),0.8626738110289004,True,,
UCIaH-gZIVC432YRjNVvnyCA,Chris Williamson,https://www.youtube.com/@chriswillx,1,Tier 1 (Direct Competitor),0.8547815828873546,True,,
UCpjlh0e319ksmoOD7bQFSiw,Rich Roll,https://www.youtube.com/@richroll,1,Tier 1 (Direct Competitor),0.8514729953832767,True,,
UCi2jPL-eTYhSf5YnaX5fDcA, A Better You Podcast,https://www.youtube.com/@abetteryoubyfernanda,1,Tier 1 (Direct Competitor),0.8431467355260007,True,,
UCFRCiFkWWJN2rO6dsKU9-1A,Jack Neel,https://www.youtube.com/@jackneel,1,Tier 1 (Direct Competitor),0.8410341350717574,True,,
UCz67j2koC3urUkQirbvueCA,B. Simone,https://www.youtube.com/@thebsimone,1,Tier 1 (Direct Competitor),0.8361603728946708,True,,
UC0gSvvNdgFK0tv3vgTOnt8w,Awf The Record ,https://www.youtube.com/@awftherecord,1,Tier 1 (Direct Competitor),0.8319434848869208,True,,
UCuvjQYKukKjVyhSVxQibgOw,The Calum Johnson Show,https://www.youtube.com/@thecalumjohnsonshow,1,Tier 1 (Direct Competitor),0.8271699096441514,True,,
UCDsOKnUQnQek7-G7Xc5kB8Q,Social Proof,https://www.youtube.com/@realsocialproof,1,Tier 1 (Direct Competitor),0.8158130983331573,True,,
UCs07L46sXZqkJbUSXTJa_0Q,Omar Eltakrori,https://www.youtube.com/@omareltakrori,1,Tier 1 (Direct Competitor),0.8085753214583988,True,,
UCnT1R08f7FHLab3nB4f0AGQ,The Gottman Institute,https://www.youtube.com/@thegottmaninstitute,1,Tier 1 (Direct Competitor),0.8073754712543707,True,,
UCuNc0j9dER2_AOORpCcFS-g,Dr Sheen Gurrib,https://www.youtube.com/@sheengurrib,1,Tier 1 (Direct Competitor),0.8019997273254891,True,,
UCAzZQUlj_tpj6HPNmEFetqw,The Skinny Confidential,https://www.youtube.com/@theskinnyconfidential,1,Tier 1 (Direct Competitor),0.8000826156866331,True,,
UC6UznTeISwn81w5Bt6P_Kxg,Bedros Keuilian,https://www.youtube.com/@bedroskeuilian,1,Tier 1 (Direct Competitor),0.793614828388143,True,,
UCAUN0lbKJFUVzrys9qtgbdw,Mari Llewellyn,https://www.youtube.com/@pursuitofwellnesspodcast,1,Tier 1 (Direct Competitor),0.7922296490502014,True,,
UCLjBhO5ODRZmy6tcKQtg_hg,Black Love,https://www.youtube.com/@blacklove,1,Tier 1 (Direct Competitor),0.7828900067614473,True,,
UCGbzCe9feKNpWXUJL_G5LjA,Girls Gone Bible,https://www.youtube.com/@girlsgonebible,1,Tier 1 (Direct Competitor),0.7805165063790751,True,,
UCN6-VZsIikHvr_B0TG72x_A,The Glow Up Secrets Podcast ,https://www.youtube.com/@theglowupsecretspodcast,2,Tier 2 (Saved by Auditor),0.8468225474045761,False,,"Both transcripts feature a host introducing the podcast, engaging in dialogue, and discussing topics in a conversational manner, which aligns with the podcast format."
UCKsP3v2JeT2hWI_HzkxWiMA,Lewis Howes,https://www.youtube.com/@lewishowes,2,Tier 2 (Saved by Auditor),0.8335565434550674,False,,"The transcripts contain dialogue and conversational exchanges between individuals, indicating an interview format typical of a podcast. Phrases like 'Welcome to the show' and references to guests or personal anecdotes support this classification."
UCyGi3eCuxko37WB6uUr7LjA,Call Her Daddy,https://www.youtube.com/@callherdaddy,2,Tier 2 (Saved by Auditor),0.8326431286112779,False,,"The transcripts contain dialogue between the host and a guest, including introductions and conversational exchanges, which aligns with the podcast format."
UC2D2CMWXMOVWx7giW1n3LIg,Andrew Huberman,https://www.youtube.com/@hubermanlab,2,Tier 2 (Niche Verified),0.777310220188077,True,"The content samples from Andrew Huberman's channel focus on science-based discussions related to mental health, physical health, and performance, which aligns with the podcast niche. The format and intent of delivering informative and engaging discussions are consistent with what is expected from a podcast.",
UChpWgrkJY_i7F6wwI_TOnrg,Foundr ,https://www.youtube.com/@foundr,2,Tier 2 (Niche Verified),0.7744443950069646,True,"The Foundr podcast focuses on entrepreneurial stories and insights from successful founders, which aligns with the target niche of 'Podcast' as it provides valuable content for listeners interested in entrepreneurship and business growth.",
UCbSpMDJ3X656Q3Sipoeqvmg,Speak English With Class,https://www.youtube.com/@speakenglishwithclass,2,Tier 2 (Niche Verified),0.7458202136084652,True,"The candidate channel 'Speak English With Class' focuses on English language learning through podcasts, which aligns with the target niche of 'Podcast' as it provides audio content designed for listeners interested in improving their English skills.",
UCrhSRUfxm1jmALtH5CdlGag,Neimoya Basden,https://www.youtube.com/@neimoyabasden,2,Tier 2 (Niche Verified),0.7423793148856875,True,"The candidate channel 'Neimoya Basden' focuses on healing journeys and personal growth, which aligns with the podcast format and intent of discussing topics related to self-improvement and emotional well-being.",
UCzQUP1qoWDoEbmsQxvdjxgQ,PowerfulJRE,https://www.youtube.com/@joerogan,2,Tier 2 (Niche Verified),0.7234260987630323,True,"The candidate channel 'PowerfulJRE' is a podcast hosted by Joe Rogan, which directly aligns with the target niche of 'Podcast'. The content samples provided are excerpts from episodes of the Joe Rogan Experience, confirming that the channel is focused on podcasting.",
UCAoTNjO6WV8Y1pv44GCcQdA,Faith Driven Entrepreneur,https://www.youtube.com/@faithdrivenentrepreneur,2,Tier 2 (Niche Verified),0.699169277072756,True,"The 'Faith Driven Entrepreneur' podcast focuses on the intersection of faith and entrepreneurship, which aligns with the target niche of 'Podcast' as it provides content in podcast format that discusses relevant topics for entrepreneurs driven by their faith.",
UChFnGuCZ_Fb4DhbxRm9N9UQ,Oprah,https://www.youtube.com/@oprah,3,Tier 3 (Format Match / Niche Mismatch),0.7792999808243677,True,"The content samples from the 'Oprah' channel focus on personal stories and discussions about family relationships and emotional well-being, which do not align with the podcast niche as a whole. While Oprah's content may be presented in a podcast format, it does not specifically target the podcasting topic or industry.",
UCtgs8c2Z_97gA_1TkJos18w,Leo Skepi,https://www.youtube.com/@awareandaggravated,3,Tier 3 (Format Match / Niche Mismatch),0.7755102751256788,True,"The content samples from 'Leo Skepi' focus on personal experiences, spirituality, and self-reflection rather than the specific topic of podcasts. While the channel may be in a podcast format, the content does not align with the niche of podcasting itself.",
UCyRxtHZSa9nyYJVBcAVLH_Q,Well with Arielle Lorre,https://www.youtube.com/@wellwithariellelorre,3,Tier 3 (Saved by Auditor),0.7612393876245735,False,,"Both transcripts contain dialogue and conversational exchanges between hosts and guests, indicating a podcast format with interviews and discussions."
UCUnxiP7q4RDDyeioZFZLnXA,The Pivot Podcast,https://www.youtube.com/@thepivotpodcast,3,Tier 3 (Format Match / Niche Mismatch),0.7069339906425566,True,"The Pivot Podcast focuses on sports discussions, personal anecdotes, and interviews with athletes, which does not align with the podcast niche as a whole. While it is a podcast, its content is centered around sports rather than the broader podcasting topic.",
UCodkb-qBktJI5NrUsPYpf7g,Jordan B Peterson Clips,https://www.youtube.com/@drjordanbpetersonclips,3,Tier 3 (Format Match / Niche Mismatch),0.6804344737737281,True,"The candidate channel 'Jordan B Peterson Clips' primarily focuses on discussions around philosophy, psychology, and morality, rather than the specific format or content typically associated with podcasts. While it may contain podcast-like elements, it does not align with the broader podcast niche as a whole.",
